,Unnamed: 0,"2) In the experiment above, if you change the direction of the current, how does the compass needle move? ",Unnamed: 0,", q26_against, q26_against.1"
48,48,The needle will go in that direction.,48.0,"49,1,"
49,49,It's the opposite,49.0,"50,1,"
50,50,Changed,50.0,"51,0,"
51,51,It will spin faster.,51.0,"52,1,"
52,52,change one's course,52.0,"53,0,"
53,53,It's getting faster,53.0,"54,1,"
54,54,It will change,54.0,"55,0,"
55,55,I doubt it.,55.0,"56,1,"
56,56,It's going the other way around,56.0,"57,0,"
57,57,I don't know.,57.0,"58,0,59,0,"
58,58,We're going east,58.0,"60,0,"
59,59,I don't know,59.0,"61,1,"
60,60,I don't know.,60.0,"62,0,"
61,61,"The compass is likely to change direction, too",61.0,"63,1,"
62,62,The direction of movement is likely to move more and more.,62.0,"64,0,"
63,63,It's turning the other way around,63.0,"65,0,"
64,64,I'm sorry,64.0,"66,1,"
65,65,I don't know,65.0,"67,0,"
66,66,It will change differently,66.0,"68,0,"
67,67,I don't know.,67.0,"69,1,"
68,68,Don't know,68.0,"70,1,"
69,69,I'm changing it the other way around,69.0,"71,1,"
70,70,N and S are switched.,70.0,"72,1,"
71,71,It changes the other way around.,71.0,"73,1,"
72,72,It changes symmetrically.,72.0,"74,1,"
73,73,Move in the opposite direction,73.0,"75,1,"
74,74,It's moving the other way around.,74.0,"76,1,"
75,75,It changes the other way around.,75.0,"77,1,"
76,76,It's moving the other way around.,76.0,"78,1,"
77,77,It changes the other way around.,77.0,"79,1,"
78,78,It rotates 180 degrees.,78.0,"80,1,"
79,79,It will move in the opposite direction to the existing direction.,79.0,"81,1,"
80,80,The compass needle moves in the opposite direction to the original direction.,80.0,"82,1,"
81,81,The compass needle will move to the other side.,81.0,"83,1,"
82,82,Changing the direction of the current changes the needle on the compass in the opposite direction.,82.0,"84,1,"
83,83,It's moving in the opposite direction,83.0,"85,1,"
84,84,Changing the direction of the current reverses the direction of the needle on the compass.,84.0,"86,0,"
85,85,It will be opposite to the direction of rotation before changing direction.,85.0,"87,1,"
86,86,h,86.0,"88,0,89,1,"
87,87,It will rotate in the opposite direction.,87.0,"90,1,"
88,88,.,88.0,"91,1,"
89,89,"Changing the direction of the current also changes the direction of the magnetic field created by the wire, and the movement of the compass needle also changes in the opposite way.",89.0,"92,0,"
90,90,"Since the direction of the current is changed by receiving a magnetic force according to the flow of the existing current, the direction of the magnetic force is changed accordingly, and the direction indicated by the compass is reversed unlike the original.",90.0,"93,1,"
91,91,The direction is reversed.,91.0,"94,1,"
92,92,.,92.0,"95,1,"
93,93,"When the direction in which the current flows is called the right thumb and the other four fingers of the right hand are bent, these four fingers indicate the movement of the magnetic field that occurs. When the direction of the current changes, the direction of the thumb changes, and the movement of the four fingers also moves in the opposite direction, so the compass needle will move in the opposite direction.",93.0,"96,1,"
94,94,"The compass needle changes direction from north to south. This is because the direction in which the current flows is reversed, so the direction of the magnetic field generated in the compass changes.",94.0,"97,1,"
95,95,It goes back to 180 degrees.,95.0,"98,1,"
96,96,Changing the direction of the current causes the compass needle to move in reverse.,96.0,"99,1,"
97,97,"When the direction of the current changes, the direction of the magnetic field changes, so the needle's movement changes in reverse",97.0,"100,1,"
98,98,"When the direction of the current changes, the direction of the magnetic field also changes in reverse, so the compass moves backwards.Changing the direction of the current will cause the compass needle to rotate 180 degrees from the conventional direction.",98.0,"101,1,"
99,99,"Changing the direction of the current will also reverse the direction of the magnetic field formed. Thus, the opposite direction of the magnetic field means that the compass's reaction is also the opposite, so the compass needle will move in the opposite direction instead of turning back.",99.0,"102,1,"
100,100,the opposite direction,100.0,"103,1,"
101,101,The direction changes.,101.0,"104,1,"
102,102,Move in the opposite direction.,102.0,"105,1,"
103,103,"On the contrary,",103.0,"106,1,"
104,104,"On the contrary,",104.0,"107,1,"
105,105,"On the contrary,",105.0,"108,1,"
106,106,It's changing,106.0,"109,1,"
107,107,move accordingly,107.0,"110,0,"
108,108,It's moving the other way around.,108.0,"111,1,"
109,109,I don't understand.,109.0,"112,0,"
110,110,The movement of the compass needle changes along the direction of the current,110.0,"113,1,"
111,111,I don't know.,111.0,"114,1,"
112,112,It will change in a different direction.,112.0,"115,1,"
113,113,It changes in the direction of the current,113.0,"116,1,"
114,114,It's moving the other way around.,114.0,"117,1,"
115,115,It's going the other way around,115.0,"118,1,119,1,"
116,116,It changes the other way around.,116.0,"120,0,"
117,117,I think the compass will change the direction of the car,117.0,"121,0,"
118,118,It changes the other way around.,118.0,"122,0,"
119,119,The movement will change.,119.0,"123,1,"
120,120,I don't know.,120.0,"124,1,"
121,121,I don't understand.,121.0,"125,1,"
122,122,The needle moves in the direction of the current,122.0,"126,1,"
123,123,To change in the opposite direction,123.0,"127,1,"
124,124,It changes in the opposite direction of the changing current.,124.0,"128,1,"
125,125,It's moving the other way around.,125.0,"129,0,"
126,126,It's moving the other way around,126.0,"130,0,"
127,127,It moves in the opposite direction to before changing the direction of the current,127.0,"131,0,"
128,128,.,128.0,"132,1,"
129,129,It's changing,129.0,"133,1,"
130,130,It's changing,130.0,"134,1,"
131,131,It's moving backwards,131.0,"135,1,"
132,132,Hold it the other way around,132.0,"136,0,"
133,133,It's moving in the opposite direction,133.0,"137,1,"
134,134,It's turning the other way around,134.0,"138,1,"
135,135,I don't know.,135.0,"139,1,"
136,136,It's going the other way,136.0,"140,1,"
137,137,The needle goes where the current flows,137.0,"141,1,"
138,138,"On the contrary,",138.0,"142,1,"
139,139,Opposition,139.0,"143,1,"
140,140,It changes in the opposite direction,140.0,"144,1,"
141,141,"Compass changed direction, too",141.0,"145,0,"
142,142,"The compass changes direction, too",142.0,"146,0,"
143,143,It's going the other way around.,143.0,"147,0,"
144,144,I'm just gonna move around in a giddy way,144.0,"148,1,149,1,"
145,145,I don't know,145.0,"150,0,"
146,146,I don't know,146.0,"151,1,"
147,147,"On the contrary,",147.0,"152,1,"
148,148,The compass needle moves the other way around,148.0,"153,1,"
149,149,I have no idea.,149.0,"154,1,"
150,150,The compass turns in the opposite direction,150.0,"155,1,"
151,151,It will change the other way around.,151.0,"156,0,"
152,152,The compass needle moves in reverse,152.0,"157,1,"
153,153,It will turn the other way around.,153.0,"158,1,"
154,154,It changes the other way around.,154.0,"159,1,"
155,155,Let's go back,155.0,"160,1,"
156,156,"On the contrary,",156.0,"161,1,"
157,157,It's going the other way around.,157.0,"162,1,"
158,158,It changes the other way around,158.0,"163,1,"
159,159,The other way around,159.0,"164,0,"
160,160,It changes the other way around.,160.0,"165,1,"
161,161,It changes the other way around,161.0,"166,1,"
162,162,The compass needle changes direction.,162.0,"167,1,"
163,163,Just don't experiment;;,163.0,"168,1,"
164,164,It changes the other way around,164.0,"169,1,"
165,165,The compass needle changes direction.,165.0,"170,1,"
166,166,It changes the other way around,166.0,"171,0,"
167,167,point in the opposite direction,167.0,"172,0,"
168,168,It changes the other way around.,168.0,"173,0,"
169,169,It changes the other way around,169.0,"174,0,"
170,170,It's hard.,170.0,"175,1,"
171,171,I don't know.,171.0,"176,0,"
172,172,I don't know.,172.0,"177,0,"
173,173,right,173.0,"178,1,179,0,"
174,174,It's going the other way around,174.0,"180,1,"
175,175,It's changing,175.0,"181,1,"
176,176,I don't know.,176.0,"182,0,"
177,177,It's changing.,177.0,"183,1,"
178,178,..;.,178.0,"184,1,"
179,179,It's changing.,179.0,"185,1,"
180,180,It will turn in the opposite direction.,180.0,"186,1,"
181,181,I don't know,181.0,"187,1,"
182,182,Move in the opposite direction,182.0,"188,1,"
183,183,in the opposite direction,183.0,"189,1,"
184,184,It's going the other way around.,184.0,"190,1,"
185,185,The needle changes in the opposite direction,185.0,"191,1,"
186,186,It's going the other way around.,186.0,"192,1,"
187,187,The direction of the n pole and the s pole changes.,187.0,"193,1,"
188,188,The compass needle also changes its movement,188.0,"194,1,"
189,189,The compass turns the other way around,189.0,"195,1,"
190,190,It's moving the other way around,190.0,"196,0,"
191,191,"Because the compass needle is now in the opposite direction to the original needle, it returns to the original direction",191.0,"197,1,"
192,192,It changes the other way around.,192.0,"198,1,"
193,193,"On the contrary, from south to north",193.0,"199,0,"
194,194,The direction of the needle is reversed,194.0,"200,1,"
195,195,I don't know.,195.0,"201,0,"
196,196,It changes into a current-flowing direction,196.0,"202,1,"
197,197,The compass needle is in the opposite directionI don't know,197.0,"203,0,"
198,198,It's moving the other way around.,198.0,"204,0,"
199,199,I don't know.,199.0,"205,1,"
200,200,It's moving the other way around,200.0,"206,1,"
201,201,I have no idea.,201.0,"207,1,"
202,202,The needle on the compass moves.,202.0,"208,1,209,1,"
203,203,It's moving the other way around,203.0,"210,1,"
204,204,It's moving the other way around.,204.0,"211,1,"
205,205,The needle moves the other way around,205.0,"212,1,"
206,206,The movement of the compass needle changes to the opposite side.,206.0,"213,1,"
207,207,It changes the other way around.,207.0,"214,0,"
208,208,It moves in the opposite direction.,208.0,"215,0,"
209,209,The compass will also move at the discharge of electricity,209.0,"216,1,"
210,210,The compass needle also changes in the direction of the current,210.0,"217,1,"
211,211,The compass needle changes its direction of movement,211.0,"218,0,"
212,212,.,212.0,"219,1,"
213,213,I don't know.,213.0,"220,1,"
214,214,The current changes to the stronger side.,214.0,"221,1,"
215,215,"When changing the direction of the current, the compass needle moves in the opposite shape of the wire.",215.0,"222,1,"
216,216,It's not turning.,216.0,"223,1,"
217,217,The needle moves in the direction of the current.,217.0,"224,0,"
218,218,It's going the other way!,218.0,"225,0,"
219,219,It's moving the other way around,219.0,"226,0,"
220,220,It's moving the other way around,220.0,"227,1,"
221,221,The compass needle moves with a different direction of current,221.0,"228,1,"
222,222,It's not moving,222.0,"229,0,"
223,223,You'll just be shaking.,223.0,"230,1,"
224,224,It spins faster,224.0,"231,1,"
225,225,It's the other way around,225.0,"232,1,"
226,226,Turn the other way around,226.0,"233,1,"
227,227,The needle in the compass won't move,227.0,"234,0,"
228,228,It's changing,228.0,"235,0,"
229,229,Boyfriends change the other way around,229.0,"236,0,"
230,230,The needle moves the other way around,230.0,"237,1,"
231,231,It changes the other way around,231.0,"238,1,239,1,"
232,232,The position of the compass needle changes,232.0,"240,0,"
233,233,The movement of the compass needle intensifies.,233.0,"241,1,"
234,234,It's not moving,234.0,"242,1,"
235,235,It's turning the other way around,235.0,"243,1,"
236,236,The compass needle also changes direction.,236.0,"244,0,"
237,237,It's turning 180 degrees,237.0,"245,1,"
238,238,It breaks down.,238.0,"246,1,"
239,239,I think it will move in the opposite direction.,239.0,"247,0,"
240,240,It's going the other way around.,240.0,"248,1,"
241,241,It changes to the opposite direction of the first one.,241.0,"249,1,"
242,242,It doesn't move,242.0,"250,1,"
243,243,It's moving the other way around.,243.0,"251,0,"
244,244,It's going the other way around.,244.0,"252,0,"
245,245,I don't know,245.0,"253,1,"
246,246,It's moving the other way around,246.0,"254,1,"
247,247,It's going the other way around,247.0,"255,0,"
248,248,I'll turn the other way around,248.0,"256,0,"
249,249,I don't know.,249.0,"257,0,"
250,250,I don't know,250.0,"258,1,"
251,251,I think it's going to move the other way around or break down,251.0,"259,1,"
252,252,I'll go to the other side,252.0,"260,0,"
253,253,I don't know,253.0,"261,1,"
254,254,I don't know,254.0,"262,0,"
255,255,As much as I could move... :'),255.0,"263,1,"
256,256,The compass also returns to the opposite direction of the original current flowing,256.0,"264,0,"
257,257,It changes the other way around,257.0,"265,0,"
258,258,with one's right foot,258.0,"266,0,"
259,259,The compass needle turns the other way,259.0,"267,0,"
260,260,I don't know,260.0,"268,1,269,0,"
261,261,I'll go the other way,261.0,"270,0,"
262,262,I don't know,262.0,"271,1,"
263,263,You'll know when you try it,263.0,"272,1,"
264,264,Change the direction of motor rotation,264.0,"273,0,"
265,265,I don't know.,265.0,"274,1,"
266,266,It's going the other way around,266.0,"275,1,"
267,267,It's changing nicely,267.0,"276,1,"
268,268,North,268.0,"277,1,"
269,269,It seems to change the direction of a needle.,269.0,"278,0,"
270,270,"On the contrary,",270.0,"279,1,"
271,271,I don't know.,271.0,"280,1,"
272,272,Will change the direction of the compass is.,272.0,"281,0,"
273,273,Moving backwards.,273.0,"282,0,"
274,274,"On the contrary, changed.",274.0,"283,0,"
275,275,Will go back to the opposite direction of the compass needle.,275.0,"284,0,"
276,276,Moving.,276.0,"285,1,"
277,277,"We change the direction of a compass over the contrary, the compass of eddy current.",277.0,"286,1,"
278,278,The compass needle is moving in the opposite direction in the direction of the first time.,278.0,"287,0,"
279,279,Biased to the side.,279.0,"288,0,"
280,280,Was taken.,280.0,"289,1,"
281,281,I don't know.,281.0,"290,1,"
282,282,I don't know.,282.0,"291,1,"
283,283,Rub of,283.0,"292,1,"
284,284,I don't know.,284.0,"293,0,"
285,285,I don't know,285.0,"294,1,"
286,286,?,286.0,"295,0,"
287,287,The opposite turns into a movement of the needle.,287.0,"296,0,"
288,288,The compass needle is the first time and to change the direction of current movement.,288.0,"297,0,"
289,289,"On the contrary, changed.",289.0,"298,0,299,0,"
290,290,Compass needle is heading to the changes.,290.0,"300,0,"
291,291,Moreugesseum,291.0,"301,1,"
292,292,It changes from the direction of the needle to the opposite direction.,292.0,"302,0,"
293,293,Opposite side,293.0,"303,1,"
294,294,The speed changes,294.0,"304,1,"
295,295,"Sorry, I don't know ~",295.0,"305,0,"
296,296,I don't knowDon't know,296.0,"306,0,"
297,297,In the opposite direction,297.0,"307,1,"
298,298,"On the contrary, go.",298.0,"308,0,"
299,299,Moreugesseum,299.0,"309,1,"
300,300,Compass direction of the opposite trends.,300.0,"310,1,"
301,301,"On the contrary, wouldn't go round?",301.0,"311,1,"
302,302,"2) Changing the direction of the current experiment, the movement of the compass needle is on what happens? *",302.0,"312,1,"
303,303,Will be a great compass needle moves.,303.0,"313,0,"
304,304,Changing,304.0,"314,0,"
305,305,"Big man,",305.0,"315,0,"
306,306,Is it to change the direction of,306.0,"316,1,"
307,307,Along with the direction of current.,307.0,"317,1,"
308,308,The direction is reversed.,308.0,"318,1,"
309,309,The compass pointed in opposite directions be.,309.0,"319,0,"
310,310,"Needle eumjigin for all flow, too.",310.0,"320,1,"
311,311,I don't know.,311.0,"321,1,"
312,312,"I don't know I don't know I don't know I don't know I don't know I don't know I don't know I don't know I don't know I don't know I don't know yomollayomollayomollayomollayomollayomollayomollayomollayomollayomollayomol rayomollayomollayomollayomollayomollayomollayomollayomollayomollayomollayo mollayomollayomollayomollayomollayomollayomollayomollayomollayomollayomolla yomollayomollayomollayomollayomollayomollayomollayomollayomollayomollayomol rayomollayomollayomollayomollayomollayomollayomollayomollayomollayomollayo mollayomollayomollayomollayomollayomollayomollayomollayomollayomollayomolla yomollayomollayomollayomollayomollayomollayomollayomollayomollayomollayomol rayomollayomollayomollayomollayomollayomollayomollayomollayomollayomollayo mollayomollayomollayomollayomollayomollayomollayomollayomollayomollayomolla yomollayomollayomollayomollayomollayomollayomollayomollayomollayoDon't knowYomolla, I don't know I don't know I don't know I don't know I don't know I don't know I don't know I don't know I don't know Mall rayomollayomollayomollayomollayomollayomollayomollayomollayomollayomollayo mollayomollayomollayomollayomollayomollayomollayomollayomollayomollayomolla yomollayomollayomollayomollayomollayomollayomollayomollayomollayomollayomol rayomollayomollayomollayo",312.0,"322,1,"
313,313,Namchimban a needle is going to turn elsewhere.,313.0,"323,1,"
314,314,The compass will turn the other way.,314.0,"324,0,"
315,315,The electric current is likely to go in the direction that it is going.,315.0,"325,1,"
316,316,I don't know.,316.0,"326,1,"
317,317,It turns upside down.,317.0,"327,0,"
318,318,Turn in the other direction.,318.0,"328,0,329,1,"
319,319,The needle will move in the other direction.,319.0,"330,1,"
320,320,It's going the other way around,320.0,"331,1,"
321,321,The needle is about to move ninety degrees.,321.0,"332,0,"
322,322,"If you change the direction of the current, the compass needle will also move in the changed direction.",322.0,"333,1,"
323,323,I think it will move the other way around.,323.0,"334,1,"
324,324,Magnet,324.0,"335,0,"
325,325,It won't move,325.0,"336,0,"
326,326,It is likely to move along with the current.,326.0,"337,1,"
327,327,It will move the other way around.,327.0,"338,1,"
328,328,The compass needle will move towards the current.,328.0,"339,1,"
329,329,I think the compass will move strangely,329.0,"340,0,"
330,330,"On the contrary,",330.0,"341,1,"
331,331,It's moving the other way around,331.0,"342,0,"
332,332,I think we'll move together.,332.0,"343,0,"
333,333,.,333.0,"344,1,"
334,334,It will change the other way around.,334.0,"345,0,"
335,335,The N pole points to the - direction and the S pole points to the + direction.,335.0,"346,1,"
336,336,Turn the other way around.,336.0,"347,1,"
337,337,.,337.0,"348,1,"
338,338,"On the contrary,",338.0,"349,0,"
339,339,It's stopping,339.0,"350,1,"
340,340,.,340.0,"351,1,"
341,341,The compass will be in the opposite direction.,341.0,"352,1,"
342,342,No change.,342.0,"353,1,"
343,343,"On the contrary, changed.",343.0,"354,1,"
344,344,Opposition,344.0,"355,1,"
345,345,It's changing.,345.0,"356,0,"
346,346,.,346.0,"357,1,"
347,347,It's turning 180 degrees.,347.0,"358,1,359,1,"
348,348,"On the contrary, changed.",348.0,"360,1,"
349,349,Of course. Turn 180 degrees.,349.0,"361,1,"
350,350,It changes the other way around,350.0,"362,1,"
351,351,The needle in the compass changes.,351.0,"363,1,"
352,352,It changes the other way around,352.0,"364,1,"
353,353,It's moving very minutely,353.0,"365,1,"
354,354,The position of the NS pole changes.,354.0,"366,1,"
355,355,It's going to be the opposite,355.0,"367,1,"
356,356,"The compass needle changes, too",356.0,"368,1,"
357,357,It's moving the other way around,357.0,"369,1,"
358,358,The compass moves in the opposite direction.,358.0,"370,1,"
359,359,It changes the other way around,359.0,"371,0,"
360,360,It's changing,360.0,"372,1,"
361,361,It's moving the other way around.,361.0,"373,1,"
362,362,It changes the other way around,362.0,"374,1,"
363,363,Move in the opposite direction.,363.0,"375,1,"
364,364,It will be in the opposite direction.,364.0,"376,0,"
365,365,"On the contrary,",365.0,"377,0,"
366,366,The other way around,366.0,"378,1,"
367,367,Move in the opposite direction.,367.0,"379,0,"
368,368,I don't know.,368.0,"380,1,"
369,369,"The direction of the magnetic field by the current is reversed, and the compass needle rotates in the opposite direction.",369.0,"381,1,"
370,370,It will be the other way around.,370.0,"382,1,"
371,371,It's changing,371.0,"383,0,"
372,372,"Changing the direction of the current changes the direction of the magnetic field according to Anper's law of the right screw, so the needle of the compass rotates in reverse.",372.0,"384,1,"
373,373,I don't know.,373.0,"385,1,"
374,374,I don't know,374.0,"386,1,"
375,375,It's moving in the opposite direction,375.0,"387,1,"
376,376,.,376.0,"388,1,389,1,"
377,377,"On the contrary,",377.0,"390,1,"
378,378,the opposite direction,378.0,"391,1,"
379,379,Opposition,379.0,"392,0,"
380,380,counterclockwise,380.0,"393,0,"
381,381,Changed,381.0,"394,1,"
382,382,It changes in the opposite direction,382.0,"395,1,"
383,383,It's going the other way around.,383.0,"396,1,"
384,384,It turns 180 degrees,384.0,"397,1,"
385,385,The movement of the needle will change in reverse.,385.0,"398,1,"
386,386,Opposition,386.0,"399,1,"
387,387,It changes the other way around,387.0,"400,0,"
388,388,It changes the other way around,388.0,"401,1,"
389,389,It's the same,389.0,"402,0,"
390,390,"Oh, come on",390.0,"403,0,"
391,391,The compass needle moves in reverse.,391.0,"404,0,"
392,392,"On the contrary, changed.",392.0,"405,1,"
393,393,The compass needle changes direction.,393.0,"406,0,"
394,394,The direction of the needle will be the opposite,394.0,"407,1,"
395,395,It changes in the opposite directionChanging,395.0,"408,0,"
396,396,I don't know.,396.0,"409,1,"
397,397,It's moving the other way around,397.0,"410,1,"
398,398,What are you doing?,398.0,"411,1,"
399,399,The compass is moving at will,399.0,"412,1,"
400,400,I don't know,400.0,"413,0,"
401,401,Turn the other way around.,401.0,"414,0,"
402,402,?,402.0,"415,1,"
403,403,The direction changes.,403.0,"416,0,"
404,404,I don't know.,404.0,"417,0,"
405,405,The direction of the compass changes according to the direction of the current.,405.0,"418,0,419,1,"
406,406,Needle moving to another place,406.0,"420,1,"
407,407,It's moving the other way around,407.0,"421,1,"
408,408,The needle moves to another place.,408.0,"422,1,"
409,409,It's changing,409.0,"423,1,"
410,410,It's moving fast,410.0,"424,1,"
411,411,It moves according to the current.,411.0,"425,1,"
412,412,I don't know.,412.0,"426,1,"
413,413,Don't know,413.0,"427,1,"
414,414,ㅊ,414.0,"428,1,"
415,415,It's flipped upside down.,415.0,"429,1,"
416,416,The direction of the needle changes in reverse.,416.0,"430,1,"
417,417,It changes depending on the direction of the current.,417.0,"431,1,"
418,418,The movement of the compass needle changes because the flow of the magnetic field changes,418.0,"432,0,"
419,419,It's the other way around,419.0,"433,1,"
420,420,It moves in the opposite direction.,420.0,"434,0,"
421,421,Move in the opposite direction.,421.0,"435,0,"
422,422,The same reaction occurs in the opposite direction.,422.0,"436,1,"
423,423,It's moving the other way around.,423.0,"437,1,"
424,424,The needle rotates in the opposite direction.,424.0,"438,1,"
425,425,It changes the other way around,425.0,"439,0,"
426,426,The direction of the compass needle is reversed.,426.0,"440,1,"
427,427,I don't know,427.0,"441,1,"
428,428,It will move the other way around.,428.0,"442,0,"
429,429,I don't know.,429.0,"443,1,"
430,430,"In the picture, the compass needle rotates to the right.",430.0,"444,1,"
431,431,The direction of the compass needle is the opposite.,431.0,"445,0,"
432,432,The compass is in the opposite direction.,432.0,"446,1,"
433,433,"On the contrary, go.",433.0,"447,1,"
434,434,It goes back and forth.,434.0,"448,0,449,0,"
435,435,It moves the other way around.,435.0,"450,0,"
436,436,"When the direction of the current is changed, the direction of the magnetic field is also changed, so the compass needle also moves in a different direction from the previous direction.",436.0,"451,0,"
437,437,?,437.0,"452,0,"
438,438,It's the other way around,438.0,"453,1,"
439,439,"""On the contrary,",439.0,"454,1,"
440,440,"""",440.0,"455,1,"
441,441,Back to the original position,441.0,"456,0,"
442,442,"On the contrary,",442.0,"457,1,"
443,443,The compass needle moves the other way around.,443.0,"458,0,"
444,444,Don't know,444.0,"459,1,"
445,445,I don't know,445.0,"460,0,"
446,446,He he,446.0,"461,1,"
447,447,Because of the magnet,447.0,"462,1,"
448,448,I don't know,448.0,"463,1,"
449,449,It's moving the other way around.,449.0,"464,1,"
450,450,"Turn the other way around, move the same",450.0,"465,1,"
451,451,Changing,451.0,"466,1,"
452,452,?,452.0,"467,1,"
453,453,It's moving the other way around.,453.0,"468,1,"
454,454,?,454.0,"469,1,"
455,455,I think it's going to move the other way around,455.0,"470,1,"
456,456,.,456.0,"471,1,"
457,457,It's moving the other way around,457.0,"472,1,"
458,458,It's likely to change in the direction of current flow,458.0,"473,0,"
459,459,The compass needle moves in the opposite direction.,459.0,"474,0,"
460,460,"If the direction of the current changes, the direction of the magnetic field changes, and the compass moves in the opposite direction",460.0,"475,1,"
461,461,It's moving the other way around.,461.0,"476,0,"
462,462,It's moving the other way around.,462.0,"477,1,"
463,463,It's going the other way around.,463.0,"478,1,479,1,"
464,464,"If you change the direction of the current, the needle in the compass moves 180 degrees, making it the opposite direction",464.0,"480,0,"
465,465,"""It's the other way around, 180 degrees",465.0,"481,1,"
466,466,"""",466.0,"482,1,"
467,467,It moves in the opposite direction.,467.0,"483,1,"
468,468,It's moving the other way around,468.0,"484,1,"
469,469,It's going the other way,469.0,"485,1,"
470,470,69 74,470.0,"486,1,"
471,471,It's not moving,471.0,"487,1,"
472,472,"The direction of the current changes the direction of the magnetic field, so the compass needle moves in the opposite direction",472.0,"488,1,"
473,473,I'm going to go around once.,473.0,"489,1,"
474,474,It's moving the other way around,474.0,"490,0,"
475,475,It's moving the other way around,475.0,"491,1,"
476,476,It changes the other way around,476.0,"492,0,"
477,477,.,477.0,"493,1,"
478,478,It will change the other way around,478.0,"494,0,"
479,479,It shrinks in the opposite direction,479.0,"495,1,"
480,480,Changing,480.0,"496,1,"
481,481,"On the contrary, changed.",481.0,"497,1,"
482,482,It turns in the opposite direction,482.0,"498,1,"
483,483,The direction in which the N pole and the S pole are viewed changes.,483.0,"499,1,"
484,484,It moves the other way around.,484.0,"500,0,"
485,485,It changes the other way around,485.0,"501,1,"
486,486,It will rotate in the opposite direction to the original one.,486.0,"502,1,"
487,487,I don't know.,487.0,"503,1,"
488,488,It's moving the other way around.,488.0,"504,1,"
489,489,Don't know,489.0,"505,0,"
490,490,The compass will start to turn the other way around.,490.0,"506,1,"
491,491,The compass needle will not stop moving,491.0,"507,0,"
492,492,Rotate 180 degrees in the original direction,492.0,"508,1,509,0,"
493,493,The compass needle moves in reverse.,493.0,"510,0,"
494,494,It depends on the currentIt's moving the other way around,494.0,"511,0,"
495,495,Changing,495.0,"512,0,"
496,496,It moves a lot,496.0,"513,1,"
497,497,It's moving towards the current,497.0,"514,0,"
498,498,It's moving the other way around.,498.0,"515,0,"
499,499,"On the contrary,",499.0,"516,0,"
