,Unnamed: 0,"18. Most people now use smartphones, which are small computers in their hands that they couldn't imagine 20 years ago. Many changes have occurred due to the development of science and technology. How has the development of science and technology changed our lives? ",Unnamed: 0,", q18_convenience, q18_information, q18_problem, q18_convenience.1, q18_information.1, q18_problem.1"
18,18,Convenience,18.0,"18,1,0,0 ,it is easy to solve ,the development of science and technology also causes new social problems"
19,19,It's made our lives more convenient than before,19.0,"19,1,0, things can be solved easily, the development of science and technology also causes new social problems"
20,20,It becomes more convenient.,20.0,"20, 1, 0, 0, work can be done easily, the development of science and technology can cause new social problems"
21,21,"Even if people are far away, they can contact each other by phone, and even without a camera, they can save pictures on small phones.",21.0,"21,0,1,0, helping life, the development of science and technology also causes new social problems"
22,22,There are good things and bad things because of the development of science and technology,22.0,"22,0,0,1,the development of science and technology also causes new social problems"
23,23,"With the development of science and technology, people can live more conveniently.",23.0,"23,1,0, it has become easier, and the development of science and technology also causes new social problems"
24,24,It made our lives more convenient.,24.0,"24,1,0,0 became simple, new social problems arise"
25,25,"In the past, it took nearly a month to get to Jeju Island from Seoul, but due to the development of science, it will arrive in two to three hours.",25.0,"25,0,1,0, science and technology make people comfortable, new social problems arise"
26,26,It makes you feel comfortable.,26.0,"26,1,0, science and technology have made many people convenient, new social problems arise"
27,27,the development of transportation and communication,27.0,"27,0,1,0, the difference between us and primitive people is that life has become easier due to the beginning of science and technology, new social problems arise"
28,28,I made him live a convenient life,28.0,"28,1,0, light and portable, new social problems arise29,0,0,0, a lot of information can be dataized in a short time, new social problems arise"
29,29,"Without the development of current science and technology, the spread of information would decrease exponentially.",29.0,"30,0,0,0, information search is fast, new social problems arise"
30,30,It has reduced human activity and changed the type of leisure life.,30.0,"31,1,0,1, convenient to search for information, new social problems arise"
31,31,"Through the development of science and technology, our lives are now very convenient, but during the development of science and technology, there is also a problem of global pollution that cannot be handled by our technology",31.0,"32,0,0, you can search for information right away, new social problems arise due to the development of science and technology"
32,32,What?,32.0,"33,0,1,0, information can be obtained quickly, new social problems arise due to the development of science and technology"
33,33,the development of transportation and communication,33.0,"34,1,0, the information and communication is fast, and new social problems arise due to the development of science and technology"
34,34,"With the development of science and technology (nanotechnology), it is possible to produce small products more conveniently.",34.0,"35,1,0, you can search for the information you need right away. . . . New social problems arise due to the development of science and technology"
35,35,Giving you a lot of convenience,35.0,"36,1,0, you can adjust the time by traveling abroad, and new social problems arise due to the development of science and technology"
36,36,made life convenient,36.0,"37,1,0, easy to carry, new social problems arise due to the development of science and technology"
37,37,Better information can be obtained by reducing our movement. So our lives became more convenient,37.0,"38,0,1,0 , new social problems arise due to the development of science and technology"
38,38,"I can go to Seoul in an hour, talk to a person on the other side of the world, and have penetrated deep into our daily lives, so I can not live without science and technology.",38.0,"39,1,0,0 ,, new social problems arise due to the development of science and technology"
39,39,"With the development of science and technology, people are living more convenient lives than before.",39.0,"40,0,0,1,... New social problems arise due to the development of science and technology"
40,40,"Group intelligence decline, intellectual level down, people are easily instigated, privacy violations,",40.0,"41,0,1,0... New social problems arise due to the development of science and technology"
41,41,"It allowed me to enjoy an improved daily life in almost every way. One of the most promising technologies in the future is the Internet of Things, which is expected to develop clothes that analyze biological rhythms that were seen in movies until a few years ago.",41.0,"42,1,0,0... New social problems arise due to the development of science and technology"
42,42,It makes our lives rich.,42.0,"43,1,0,0... New social problems arise due to the development of science and technology"
43,43,It made human life more convenient.,43.0,"44,1,0,,,, new social problems arise due to the development of science and technology"
44,44,It became convenient.,44.0,"45,1,0,,,, New social problems arise due to the development of science and technology"
45,45,Life will be easier,45.0,"46,1,0,0...the development of science and technology raises new social problems"
46,46,The development of science and technology provides us with a more convenient and prosperous life.,46.0,"47,1,0,0...the development of science and technology creates new social problems"
47,47,It gave me a convenient life.,47.0,"48,1,0,1, causing social problems"
48,48,"It has made life convenient, but it has caused environmental pollution and is causing damage to mankind.",48.0,"49,0,1,0, causing social problems"
49,49,"The actual distance is the same, but with the development of transportation, the time it takes to travel has been shortened.",49.0,"50,1,0,0 , cause social problems"
50,50,"You can talk to everyone in the world through the Internet. ""Back""",50.0,"51,0,0,0 , causing social problems"
51,51,It made our lives comfortable.,51.0,"52,0,0,0 , cause social problems"
52,52,It has a very big impact on our way of life,52.0,"53,1,0,0 , cause social problems"
53,53,everything,53.0,"54,0,0,0,,, causing social problems"
54,54,This is because the technology of hyper-proliferation simplifies the complexity of the present world,54.0,"55,1,0,0 , it also causes social problems"
55,55,People's dreams grow bigger because things that they have only imagined come true.,55.0,"56,1,0,1, it also causes social problems"
56,56,It allowed me to live a convenient life,56.0,"57,0,1,0,,, causing social problems"
57,57,"On the positive side, it made people's lives more convenient, and on the negative side, it indiscriminately developed, destroyed the environment, and eliminated various jobs.",57.0,"58,1,0,0 , it also causes social problems59,0,0,0... It also causes social problems"
58,58,Quick sharing of information,58.0,"60,0,0,0 ,the development of science and technology causes social problems"
59,59,It brought convenience and allowed us to imagine a bigger future.,59.0,"61,0,0,0...the development of science and technology causes social problems"
60,60,I don't know.,60.0,"62,0,0,0 ,the development of science and technology causes social problems"
61,61,Unknowingness,61.0,"63,0,0,0 ,the development of science and technology causes social problems"
62,62,Do.,62.0,"64,0,0,0...the development of science and technology causes social problems"
63,63,Much,63.0,"65,0,0,0 ,the development of science and technology causes social problems"
64,64,I don't know.,64.0,"66,0,0,0...the development of science and technology also causes social problems"
65,65,I don't know.,65.0,"67,0,0,0...the development of science and technology also causes social problems"
66,66,a technical change,66.0,"68,0,0,0...the development of science and technology also causes social problems"
67,67,"(Playing the guitar"")",67.0,"69,0,0,1, the development of science and technology also causes social problems"
68,68,I don't know.,68.0,"70,0,0,0 , the development of science and technology also causes social problems"
69,69,Unknowingness,69.0,"71,1,0,0...the development of science and technology also causes social problems"
70,70,poor eyesight,70.0,"72,1,0,0... social problems arise"
71,71,I'll let you go of me,71.0,"73,1,0,1, social problems arise"
72,72,Convenient.,72.0,"74,1,0,1, social problems arise"
73,73,a convenient way to live,73.0,"75,0,0,0... social problems arise"
74,74,"It made our lives more convenient, but on the contrary, it also brought negative things that cause Internet addiction such as games.",74.0,"76,1,0,0... social problems arise"
75,75,"It has become more convenient in many ways, but there are bad effects such as game addiction",75.0,"77,1,0,,,, social problems occur"
76,76,The computer is the only thing that hurts,76.0,"78,0,0,0 , social problems arise"
77,77,It makes it more convenient and faster than before.,77.0,"79,0,0,0 , social problems occur"
78,78,It's convenient,78.0,"80,1,0,,,, Social problems arise due to the development of science and technology"
79,79,"Without it, it will be empty, and without it, it will be impossible.",79.0,"81,0,0,0... Social problems arise due to the development of science and technology"
80,80,"Science and technology have developed and medical technology has also developed. Also, we can watch TV at night because of the advanced technology.",80.0,"82,1,0,0... Social problems arise due to the development of science and technology"
81,81,"I can carry it around comfortably, so I can live comfortably.",81.0,"83,1,0,0 ,, social problems arise due to the development of science and technology"
82,82,It helped me live a better life and the economy.,82.0,"84,0,0,0... Social problems arise due to the development of science and technology"
83,83,It helped make our lives convenient and prolong our lives further.,83.0,"85,0,0,0... Social problems arise due to the development of science and technology"
84,84,Convenience,84.0,"86,1,0,0 , social problems arise due to the development of science and technology"
85,85,I don't know.,85.0,"87,1,1,0... Social problems arise due to the development of science and technology"
86,86,FKMGKMGL,86.0,"88,0,0,0…, the development of science and technology causes social problems89,1,0,... Social problems arise due to the development of science and technology"
87,87,I can find things I am curious about quickly and easily and live a convenient life.,87.0,"90,1,1,0...the development of science and technology raises social problems"
88,88,Many convenient functions have become more convenient than before science and technology developed.,88.0,"91,1,0,0...the development of science and technology causes social problems"
89,89,"Yes (smartphone search function, contact, payment function, game, photography function)""",89.0,"92,1,0,0... Social problems arise due to the development of science and technology"
90,90,a prosperous and bitter world,90.0,"93,0,0,0... Social problems arise due to the development of science and technology"
91,91,It makes us feel comfortable I think there will be a door in Doraemon,91.0,"94,1,0,0...the development of science and technology causes social problems"
92,92,"People have become much more convenient because most of our lives have been changed to technology related to science and technology. For example, in the past, it took more than a few days from Seoul to Busan, but now we can go there for an hour.",92.0,"95,1,0,0...the development of science and technology causes social problems"
93,93,It provided convenience and help in life.,93.0,"96,0,0,1, causing social problems"
94,94,Science and technology make our lives more convenient.,94.0,"97,1,0,0 , cause new social problems"
95,95,There are many functions and objects that I couldn't imagine before,95.0,"98,0,1,1, it also causes social problems"
96,96,It made life easier,96.0,"99,1,0,0... it also causes new social problems"
97,97,a convenient life,97.0,"100,0,1,0, causing problems"
98,98,"Problems such as cyberbullying, malicious comments, and game addiction occur a lotIn addition to transportation, time-saving, and food, clothing, and shelter-changing environments, technology has made human life easier, not now, but from the past.",98.0,"101,1,0,1,,, it can cause problems"
99,99,I got access to information easily and I have more daily living areas.,99.0,"102, 1, 0, 1, , , cause new problems"
100,100,"However, cyberbullying and hacking systems have increased.""",100.0,"103,1,0,0,,, it also causes new problems"
101,101,"Refrigerator, air conditioner.TV, computer, cell phone, etc. made many scientific advances. It has become much more convenient and convenient than the old facilities. It has become a more livable environment.",101.0,"104,1,0,,,, causing social problems"
102,102,"You can get the necessary information anytime, anywhere.",102.0,"105,0,1,0,,, causing new social problems"
103,103,"As science and technology developed, our lives became more convenient, but due to the development of artificial intelligence, people's jobs decreased.",103.0,"106,1,0,,,, cause social problems"
104,104,"""With the development of science and technology, life has become much more convenient, but it's not something that humans can do",104.0,"107,0,0,0,,, it also causes new social problems"
105,105,"Artificial intelligence has replaced work, so many jobs have disappeared, and people want it",105.0,"108,1,0,1,,, causing problems"
106,106,"I think it will be difficult to choose a job.""",106.0,"109,0,0,0,,, causing problems"
107,107,Life has become easier,107.0,"110,0,0,0,,, causing a new problem"
108,108,"Because I can call and text, I can talk with my girlfriend So it's convenient",108.0,"111,1,0,0,,, it also causes new problems"
109,109,I was able to call someone far away,109.0,"112,0,0,0,,, cause social problems"
110,110,It also affected the economy and gave people a lot of convenience.,110.0,"113,0,0,0,,, cause new social problems"
111,111,It also raises new social problems,111.0,"114,0,1,0 , it also causes social problems"
112,112,"It made our lives easier, but if we do a lot, our eyes will get worse",112.0,"115,1,0,,,, it also causes new social problems"
113,113,The development of science and technology can help our lives and cause new social problems.,113.0,"116,0,0,0,,, causing problems"
114,114,"It gives us a good influence and convenience in our lives, but there are also many disadvantages that are the opposite",114.0,"117,0,1,,,, it also causes problems"
115,115,"In the old days, I couldn't even call because I didn't have electronic devices. However, in this era, many electrons are developed, so it is very convenient.",115.0,"118,1,0,0,,, cause a new problem119,1,0,0…, it also causes new problems"
116,116,Many inconveniences have disappeared in my life Sometimes it's a bad influence on society,116.0,"120,1,0,0 , people become lazy"
117,117,The development of science and technology helps our lives and causes new social problems.,117.0,"121,1,0,0,,,"
118,118,"In the past, you could search in only one place, but now you can search on the go",118.0,"122,1,0,0,,,"
119,119,The development of science and technology makes our lives more convenient and at the same time helps us produce more new things.,119.0,"123,0,1,0,,,"
120,120,M and D,120.0,"124,0,1,0,,,"
121,121,There are good and bad effects on our lives. We can share information with each other,121.0,"125,1,0,0,,,"
122,122,"However, even if you have poor eyesight or walk on a crosswalk, you can use your cell phone to cause an accident.""",122.0,"126,1,0,0,,,"
123,123,It has made a more convenient change for the elderly who have difficulty moving or those who are not feeling well.,123.0,"127,1,0,0,,,"
124,124,It relieves the discomfort,124.0,"128,1,0,0,,,"
125,125,I feel more comfortable,125.0,"129,0,0,0,,,"
126,126,Making our lives more convenient,126.0,"130,0,1,0,,,"
127,127,"Thanks to the development of science and technology, I can enjoy my boring day with my smartphone",127.0,"131,1,0,0,,,"
128,128,Conversations with people far away can be communicated immediately and things you don't know can be known immediately,128.0,"132,1,0,0,,,"
129,129,"It makes our lives faster and more accurate.(Information, etc.)",129.0,"133,0,0,0,,,"
130,130,It makes our daily lives more comfortable. (ㅇㅅㅇ),130.0,"134,1,0,0,,,"
131,131,It became more convenient to talk to people from afar,131.0,"135,1,0,0,,,"
132,132,"The more science and technology develops, the more convenient it will be, but many diligent people disappear, and if science develops too much, I will not want to live 2018 is the best right now",132.0,"136,1,0,0,,,"
133,133,It's convenient,133.0,"137,0,0,0,,,"
134,134,"It has made a lot of changes. In the past, it took a long time to make calls from a certain location, such as a public phone, but now there has been a change in the development of science and technology that eliminates the need for public phones.",134.0,"138,0,0,0,,,"
135,135,I can call and take pictures easily.,135.0,"139,1,0,0,,,"
136,136,It's more convenient,136.0,"140,1,0,0,,,"
137,137,It's convenient. People only use cell phones,137.0,"141,0,0,0,,,"
138,138,The small computer is so comfortable that I use my smartphone,138.0,"142,1,0,0,,,"
139,139,"As cell phones have grown, computers have also come out with the latest coffee machines.",139.0,"143,1,0,0,,,"
140,140,"It used to be a folder phone 20 years ago, but now it can be used conveniently because it comes out with a touch tongue.""",140.0,"144,0,0,0,,,"
141,141,It allowed people to live convenient lives.,141.0,"145,1,0,0,,,"
142,142,be more convenient,142.0,"146,0,0,0,,,"
143,143,"The number of jobs that people do has decreased, and science and technology has given them many advantages such as medical care.",143.0,"147,1,0,0,,,"
144,144,a lot of changes,144.0,"148,0,1,0,,,149,1,0,0,,,"
145,145,It has made our lives more convenient,145.0,"150,1,0,0,,,"
146,146,It helps make our lives more convenient,146.0,"151,0,0,0,,,"
147,147,The existence of it helped,147.0,"152,0,1,0,,,"
148,148,"Convenience, leisure, etc",148.0,"153,1,0,0,,,"
149,149,It has become convenient for living.,149.0,"154,1,0,0,,,"
150,150,You've made a good change,150.0,"155,0,1,0,,,"
151,151,It made it easier and more convenient to live.,151.0,"156,0,0,0,,,"
152,152,"With the development of science and technology, we gave many things such as movement and knowledge to our lives.",152.0,"157,1,0,0,,,"
153,153,Communication and Internet became convenient,153.0,"158,0,1,0,,,"
154,154,"Even if we are far away, we can quickly communicate each other's news over the phone.",154.0,"159,0,0,0,,,"
155,155,"The time and space constraints are less than before.""",155.0,"160,0,0,0,,,"
156,156,It allows you to live comfortably,156.0,"161,0,0,0,,,"
157,157,It makes our lives more convenient and faster,157.0,"162,1,0,0,,,"
158,158,"It's good, but sometimes it's bad",158.0,"163,1,0,0,,,"
159,159,You can deliver the news without going in person.,159.0,"164,1,0,0,,,"
160,160,to be able to live a more convenient life than before,160.0,"165,1,0,0,,,"
161,161,I made it convenient.,161.0,"166,1,0,0,,,"
162,162,"A smartphone, or machine, answers a sentence that I don't know",162.0,"167,1,0,0,,,"
163,163,"Communication has developed, making it easier to talk to people around the world.",163.0,"168,0,1,0,,,"
164,164,It's much more convenient,164.0,"169,1,0,0,,,"
165,165,"We exchange a lot of information without meeting each other, such as SNS and the Internet",165.0,"170,0,1,0,,,"
166,166,"5G came out due to all IT technologies, AI, and the era of the 4th Industrial Revolution.",166.0,"171,1,0,0,,,"
167,167,Our country has developed,167.0,"172,1,0,0,,,"
168,168,I don't know.,168.0,"173,0,1,0,,,"
169,169,Let our lives be at peace,169.0,"174,1,0,0,,,"
170,170,It makes you feel more comfortable,170.0,"175,1,0,0,,,"
171,171,Life has become convenient due to the development of science and technology,171.0,"176,1,0,0,,,"
172,172,Convenience,172.0,"177,0,0,1,,,"
173,173,It helped us feel convenient in our daily lives.,173.0,"178,1,0,0,,,179,0,0,0,,,"
174,174,Life has become easier,174.0,"180,1,0,0,,,"
175,175,"It is because if something you don't know, you can learn new knowledge through the Internet, not through books",175.0,"181,0,0,0,,,"
176,176,He made me feel comfortable,176.0,"182,1,0,0,,,"
177,177,It got faster,177.0,"183,0,0,0,,,"
178,178,Convenient.,178.0,"184,0,1,0,,,"
179,179,It made our lives convenient and made a lot of social changes.,179.0,"185,1,0,0,,,"
180,180,Information and communication technology has developed.,180.0,"186,0,0,0,,,"
181,181,It made our lives easier,181.0,"187,1,1,0,,,"
182,182,It made life easier,182.0,"188,0,0,0,,,"
183,183,The exchange of information has made it easier and more comfortable,183.0,"189,1,0,0,,,"
184,184,"Quality of life, transportation, and information have increased, and information leakage is increasing as science and technology develop",184.0,"190,0,0,0,,,"
185,185,It made life easier,185.0,"191,0,1,0,,,"
186,186,"Information technology takes place and the Fourth Industrial Revolution takes place As a result, we live in an era where knowledge and information become important.",186.0,"192,0,0,0,,,"
187,187,Improving the quality of life,187.0,"193,0,0,1,,,"
188,188,It gave me the ability to do anything.,188.0,"194,1,0,0,,,"
189,189,It has improved our quality of life.,189.0,"195,0,0,0,,,"
190,190,It opened up a new era,190.0,"196,0,1,0,,,"
191,191,"It's perfect to live. For example, the speed of information delivery has increased, making it possible to handle work and medical care. Advanced technology has advanced to look at older age",191.0,"197,0,0,0,,,"
192,192,Convenient,192.0,"198,1,0,0,,,"
193,193,The development of steam engines led to the industrial revolution and the development of current science and technology.,193.0,"199,1,0,0,,,"
194,194,"It has improved the quality of life, and furthermore, it is free from time and space constraints.",194.0,"200,1,0,0,,,"
195,195,My life has changed,195.0,"201,1,0,0,,,"
196,196,It's convenient,196.0,"202,1,0,0,,,"
197,197,"I can play games while lying down.The development of science and technology is the beginning of the Industrial Revolution, which began in Manchester, England. The Industrial Revolution was enough to ask questions about many developments and possibilities in our lives. The development of industrial revolution also affected the development of science and technology called smartphone.  The weaving machine was an innovative machine that made it easy to operate the weaving machine that used to be done manually. There is a connection to the fact that smartphones can be used so easily used.",197.0,"203,1,0,0,,,"
198,198,a bad change,198.0,"204,1,0,0,,,"
199,199,"While science and technology-related industries that have not existed before develop, workers who used to work in existing handicrafts lose their jobs.",199.0,"205,1,0,0,,,"
200,200,It gave us convenience in our lives.,200.0,"206,0,0,0,,,"
201,201,It made everyday life convenient and caused job changes,201.0,"207,0,0,1,,,"
202,202,"With the development of science and technology, the time it takes to travel long distances can be shortened, accurate diseases can be diagnosed, and various information can be obtained.",202.0,"208,1,0,0,,,209,1,0,0,,,"
203,203,...,203.0,"210,1,0,0,,,"
204,204,a convenient life,204.0,"211,1,1,0,,,"
205,205,Convenience,205.0,"212,0,1,0,,,"
206,206,Convenient,206.0,"213,1,0,1,,,"
207,207,Convenient,207.0,"214,1,0,0,,,"
208,208,gave someone convenience,208.0,"215,1,0,1,,,"
209,209,I gave him convenience,209.0,"216,0,0,1,,,"
210,210,Life has become easier,210.0,"217,0,0,0,,,"
211,211,gave convenience,211.0,"218,0,0,1,,,"
212,212,It has brought about changes in production and changes in production bring about changes in the social class,212.0,"219,0,0,0,,,"
213,213,I made you stupid. There has been a change of social class has changed. The phenomenon of the poor and the poor and the poor and the poor of knowledge intensified.,213.0,"220,1,0,0,,,"
214,214,I feel more comfortable.,214.0,"221,1,0,0,,,"
215,215,"It made human life easier, but on the contrary, it made me lazy",215.0,"222,0,1,0,,,"
216,216,The development of science and technology has made our lives convenient.,216.0,"223,1,0,0,,,"
217,217,It gave convenience and easy communication.,217.0,"224,0,1,0,,,"
218,218,"It has made it possible to speed up the distance, talk to someone anywhere, find the necessary information easily, and explore the unknown world (space).",218.0,"225,1,0,0,,,"
219,219,"It gives us convenience in our lives, but in the case of smartphones, there is a side effect of addiction",219.0,"226,1,0,0,,,"
220,220,the convenience of life,220.0,"227,0,0,0,,,"
221,221,"""We're getting more productive, and we're getting a lot of people",221.0,"228,1,0,1,,,"
222,222,"The diet is enriching and destroying the Earth more.""",222.0,"229,1,1,0,,,"
223,223,created an addiction,223.0,"230,1,0,0,,,"
224,224,It's been improved even further,224.0,"231,0,1,0,,,"
225,225,I gave him an addiction,225.0,"232,1,0,0,,,"
226,226,I became a smart zombie,226.0,"233,1,0,0,,,"
227,227,The development of science and technology gave us convenience and speed.,227.0,"234,1,0,0,,,"
228,228,It made our lives more convenient,228.0,"235,0,1,0,,,"
229,229,advances in technology,229.0,"236,0,1,0,,,"
230,230,Our lives have become so easy,230.0,"237,1,1,0,,,"
231,231,"They made it easy to make phone calls, convenient to deliver or share data, and made it easy to find information by searching when traveling or information is needed In the era when there was no smartphone, it was difficult for people to bring materials directly and go and look for them when they needed travel or information.",231.0,"238,1,1,1,,,239,1,1,1,,,"
232,232,a convenient life,232.0,"240,0,0,0,,,"
233,233,It makes us convenient and informative.,233.0,"241,0,1,1,,,"
234,234,a bad change,234.0,"242,0,1,1,,,"
235,235,"Game addiction, convenience",235.0,"243,1,0,0,,,"
236,236,"Life was convenient because of science and technology For example, in the past, people moved directly because they couldn't make a phone call, but with the development of telephones, they can make a phone call anywhere in the world and do everything in Wi-Fi",236.0,"244,0,1,0,,,"
237,237,It allowed me to live a more convenient daily life.,237.0,"245,1,0,0,,,"
238,238,"""We can get news from all over the world quickly.",238.0,"246,0,0,0,,,"
239,239,"- Olympic Conversations, World Cup soccer tournaments can be watched by all countries around the world at the same time.",239.0,"247,0,0,0,,,"
240,240,the development of the Internet,240.0,"248,0,0,0,,,"
241,241,- Get world information.,241.0,"249,0,0,0,,,"
242,242,- Can purchase foreign goods.,242.0,"250,0,0,0,,,"
243,243,- Get information on areas of interest.,243.0,"251,0,0,0,,,"
244,244,- Receive e-mails with friends in foreign countries,244.0,"252,1,0,0,,,"
245,245,-Can access the Internet,245.0,"253,0,0,0,,,"
246,246,"-Call anytime, anywhere.",246.0,"254,0,0,0,,,"
247,247,"""",247.0,"255,0,0,0,,,"
248,248,It becomes convenient,248.0,"256,1,0,0,,,"
249,249,It gave us convenience.,249.0,"257,0,0,0,,,"
250,250,to be able to give convenience to live,250.0,"258,0,0,0,,,"
251,251,"First of all, with the development of science and technology, transportation has also developed.",251.0,"259,0,0,0,,,"
252,252,"And with the development of science and technology, as satellites are made, we can learn a lot from the information sent by satellites in space.In addition, with the development of science and technology, architecture is also developing, such as the installation of an automation system (?) in the house or the application of smart technology throughout the house.""",252.0,"260,1,0,0,,,"
253,253,"Due to the development of science and technology, our knowledge may be higher, convenient, and we can talk to people who cannot meet because it is a video call, so we will be happy to see people who miss and cannot meet.",253.0,"261,0,0,0,,,"
254,254,"Easy information can be obtained with one electronic device per person, and it has become an electronic device convenient for life.",254.0,"262,0,0,0,,,"
255,255,"Transportation has become more convenient, communication has been developed, and life expectancy has been prolonged, but on the contrary, there is a disadvantage of destroying the forest",255.0,"263,0,0,0,,,"
256,256,"Although transportation has become convenient and communication has been developed due to the development of science and technology, the ruthless consumption of natural resources has increased carbon dioxide emissions and caused environmental destruction such as melting glaciers.",256.0,"264,1,0,0,,,"
257,257,"With the development of science and technology, it is possible to take notes like a smartphone in the refrigerator.",257.0,"265,0,0,0,,,"
258,258,"Due to science and technology, incurable disease treatment was also solved. There are also steam engine cars, and it is an advantage to move quickly, but environmental pollution is a disadvantage.",258.0,"266,0,0,0,,,"
259,259,"Due to science and technology, incurable disease treatment was also solved. There are also steam engine cars, and it is an advantage to move quickly, but environmental pollution is a disadvantage.",259.0,"267,0,0,0,,,"
260,260,to be more convenient,260.0,"268,0,0,0,,,269,0,0,0,,,"
261,261,"You can order food or things with your cell phone, transportation is developed, and satellites are made.",261.0,"270,0,0,0,,,"
262,262,to be able to live a more convenient daily life,262.0,"271,1,0,1,,,"
263,263,dwedwedwedwed,263.0,"272,0,0,0,,,"
264,264,I don't know.,264.0,"273,0,0,0,,,"
265,265,M and D,265.0,"274,0,1,0,,,"
266,266,Unknowingness,266.0,"275,1,0,0,,,"
267,267,I don't understand.,267.0,"276,1,0,0,,,"
268,268,I don't know,268.0,"277,1,0,0,,,"
269,269,He made me feel comfortable.,269.0,"278,0,0,0,,,"
270,270,I don't know.,270.0,"279,1,0,0,,,"
271,271,I don't understand.,271.0,"280,1,0,0,,,"
272,272,Unknowingness,272.0,"281,0,0,0,,,"
273,273,It made our livelihood more convenient,273.0,"282,1,0,1,,,"
274,274,I don't understand.,274.0,"283,0,0,0,,,"
275,275,I don't understand.,275.0,"284,1,0,0,,,"
276,276,Mall,276.0,"285,0,0,0,,,"
277,277,a comfortable life,277.0,"286,0,0,0,,,"
278,278,Makes various changes,278.0,"287,1,0,0,,,"
279,279,I don't know.,279.0,"288,0,0,0,,,"
280,280,I don't know,280.0,"289,1,0,0,,,"
281,281,It gives you convenience.,281.0,"290,0,1,0,,,"
282,282,Unknowingness,282.0,"291,1,0,0,,,"
283,283,I don't understand.,283.0,"292,1,0,0,,,"
284,284,There will be an era when software solves everything without using hands.,284.0,"293,1,0,0,,,"
285,285,I don't understand.,285.0,"294,1,0,0,,,"
286,286,.,286.0,"295,0,0,0,,,"
287,287,Unknowingness,287.0,"296,1,0,0,,,"
288,288,"It made our lives convenient, but it also had a bad influence on us due to game addiction, Internet addiction, and poor eyesight.",288.0,"297,1,0,1,,,"
289,289,I don't know.,289.0,"298,0,0,0,,,299,1,0,0,,,"
290,290,so what,290.0,"300,0,1,0,,,"
291,291,"Even if there is no line, you can call anytime, anywhere on your smartphone, text messages, and contact each other even if they are different countries",291.0,"301,0,0,0,,,"
292,292,It makes our lives convenient,292.0,"302,1,0,0,,,"
293,293,Conveniently,293.0,"303,0,1,0,,,"
294,294,It made me feel more comfortable,294.0,"304,0,0,0,,,"
295,295,a very good change(?),295.0,"305,1,0,0,,,"
296,296,"They gave me really nice and convenient thingsIt's made our lives more convenient, and it's become a bit of a cold society",296.0,"306,1,0,0,,,"
297,297,yes,297.0,"307,0,0,0,,,"
298,298,"Life has become more convenient, but there are side effects such as addiction symptoms due to games or sns.",298.0,"308,0,0,0,,,"
299,299,ㅑㅑㅑㅑ,299.0,"309,1,0,0,,,"
300,300,He gave me convenience as a gift,300.0,"310,0,0,1,,,"
301,301,a cool change,301.0,"311,0,1,0,,,"
302,302,"When we shop, we can buy it at home",302.0,"312,1,0,0,,,"
303,303,It was a convenient help for my life,303.0,"313,1,0,0,,,"
304,304,He gave me a lot of things,304.0,"314,0,0,0,,,"
305,305,It's convenient because I can keep in touch with other people even if they are far away,305.0,"315,1,0,0,,,"
306,306,You can get into the Internet more easily,306.0,"316,1,0,0,,,"
307,307,Easily,307.0,"317,0,0,0,,,"
