,Unnamed: 0,"2) What happens when the decomposers (mushrooms, fungi) disappear from Earth?",Unnamed: 0,", q55_degradation, q55_food, q55_ecosystem, q55_degradation1"
17,17,The bitter will not go away and will smell,17.0,"17,1,0,0, the excreta or carcass cannot be decomposed into carbon dioxide, so it does not circulate carbon dioxide"
18,18,"More excrement, more dead animals",18.0,"18,1,0,0, the excreta or carcass cannot be decomposed into carbon dioxide and therefore does not circulate carbon dioxide"
19,19,the failure of the bodies of animals and plants to decompose,19.0,"19,1,0, the waste matter or carcass cannot be decomposed into carbon dioxide and does not circulate carbon dioxide, resulting in a lack of carbon dioxide for photosynthesis"
20,20,The dead animals' bodies and their droppings will remain unmixed,20.0,"20,1,0, the excrement or carcass does not decompose into carbon dioxide and does not circulate carbon dioxide, resulting in a lack of carbon dioxide for photosynthesis"
21,21,"As the role of decomposing rotten things disappears, the earth becomes dirty.",21.0,"21,1,0,0, the excretion or carcass does not decompose into carbon dioxide and does not circulate carbon dioxide, resulting in a lack of carbon dioxide for plants to use in photosynthesis"
22,22,You will not be able to eat mushrooms.,22.0,"22,0,1,0, because excretion or carcasses cannot be decomposed into carbon dioxide, carbon dioxide cannot be circulated, resulting in a lack of carbon dioxide for plants to use in photosynthesis"
23,23,I can't eat mushrooms,23.0,"23,0,1,0, no excretion or body breaks down into carbon dioxide"
24,24,The ecosystem is in danger,24.0,"24,0,0,1, the body is not decomposed into carbon dioxide and accumulates"
25,25,"Decomposers grow on the nutrients of dead animals and plants, but if they are gone, they can rot",25.0,"25,1,0,0, the body does not decompose into carbon dioxide and does not circulate in carbon dioxide"
26,26,The earth will be full of corpses.,26.0,"26,1,0,0, the body does not decompose into carbon dioxide and does not circulate in carbon dioxide"
27,27,"It's very clean, it doesn't smell bad, and people can't eat mushrooms And there will be no poisonous mushrooms, so that person will have more",27.0,"27,0,0,0, the body does not decompose into carbon dioxide and does not circulate carbon dioxide, resulting in a lack of carbon dioxide for photosynthesis"
28,28,The environment is clean,28.0,"28,0,0,0, the body does not decompose into carbon dioxide and does not circulate carbon dioxide, resulting in a lack of carbon dioxide for photosynthesis29,0,0,1, the body does not decompose into carbon dioxide and does not circulate carbon dioxide, resulting in a lack of carbon dioxide for plants to use in photosynthesis"
29,29,The environment gets worse,29.0,"30,1,0, the body does not decompose into carbon dioxide and does not circulate carbon dioxide, resulting in a lack of carbon dioxide for plants to use in photosynthesis"
30,30,Dead or rotten bodies won't disappear well.,30.0,"31,0,0,1, the body cannot be broken down into carbon dioxide"
31,31,"If the decomposer disappears from Earth, consumers or producers will not be as smooth as they are now.",31.0,"32,0,0,0, cadaver or fecal matter cannot be decomposed into carbon dioxide and accumulates"
32,32,"If the decomposer disappears, the more handsome attitude will be maintained.",32.0,"33,1,0,0, cadaver or excrement does not decompose into carbon dioxide and does not circulate"
33,33,"When the decomposer is gone, many of the bodies are released because they do not eat the bodies of animals and humans, and eventually the earth is contaminated.",33.0,"34,0,0,1, cadavers or feces do not decompose into carbon dioxide and do not circulate"
34,34,"In the ecosystem, it becomes difficult for producers and decomposers to give and receive help from each other in the ecosystem.",34.0,"35,0,0,0, cadaver or fecal matter cannot be decomposed into carbon dioxide and does not circulate carbon dioxide, resulting in a shortage of carbon dioxide for photosynthesis"
35,35,"The decomposer is one of the factors that make the ecosystem work well, so if it disappears, there will be good things, but there will be many bad things because it disappears from the earth.",35.0,"36,1,0,0, cadaver or fecal matter cannot be decomposed into carbon dioxide, resulting in a lack of carbon dioxide to be used for photosynthesis"
36,36,"It won't rot, it'll all just die of no need.",36.0,"37,0,0,1, cadaver or excrement does not decompose into carbon dioxide and does not circulate, resulting in a lack of carbon dioxide for plants to use in photosynthesis"
37,37,This is because ecosystems and producers could disappear.,37.0,"38,0,1,0, cadaver or excrement does not decompose into carbon dioxide and does not circulate, resulting in a lack of carbon dioxide for plants to use in photosynthesis"
38,38,"""",38.0,"39,1,0,0, cadavers or feces do not break down into carbon dioxide"
39,39,I can't eat them.,39.0,"40,0,0,1, the carcasses and feces are not decomposed into carbon dioxide and accumulate"
40,40,The body is rotten and stinks.,40.0,"41,1,0,0, cadavers and feces do not decompose into carbon dioxide and do not circulate"
41,41,The earth will be dug up,41.0,"42,0,1,0, cadavers and feces do not decompose into carbon dioxide and do not circulate"
42,42,"The body and excrement remain intact, so I don't think it'll be good.",42.0,"43,0,0,0, cadaver and excrement are not decomposed into carbon dioxide, so there is no circulation of carbon dioxide, and there is a shortage of carbon dioxide for photosynthesis"
43,43,"There are good mold and bad mold among them, and if good mold disappears, it causes a lot of damage. This is because people lose their food without mushrooms.",43.0,"44,0,0,1, cadaver and excrement are not decomposed into carbon dioxide and do not circulate carbon dioxide, resulting in a lack of carbon dioxide to be used for use in photosynthesis"
44,44,"First of all, if there is no mold, it can be damaged where there should be mold, and if there are no mushrooms, it can be damaged naturally, and what we eat is also we eat.",44.0,"45,0,0,0, cadaver and excrement do not decompose into carbon dioxide, resulting in a lack of carbon dioxide for plants to use in photosynthesis"
45,45,The ecosystem is destroyed.,45.0,"46,1,0,46,1,0, cadaver and excrement cannot be decomposed into carbon dioxide, so carbon dioxide is not circulated, and plants lack carbon dioxide for photosynthesis"
46,46,I don't know.,46.0,"47,0,0,0, cadaver and excrement do not break down into carbon dioxide"
47,47,dirty,47.0,"48,0,0,0 leaves keep piling up and the whole earth is buried in the leaves"
48,48,Die.,48.0,"49, 0, 1, 0, leaves are piled up and the whole earth is buried in the leaves"
49,49,I'm going to screw up,49.0,"50,0,0, the animal's body does not decompose."
50,50,I can't eat doenjang-guk,50.0,"51,0, 0, 0, the body or excrement of an animal does not decompose."
51,51,The earth will perish,51.0,"52,1,0,1, animal and plant carcasses remain intact."
52,52,I'm going to screw up,52.0,"53,0,0,0 , animal and plant bodies do not rot away."
53,53,"Without decomposing substances, the substances that need to be decomposed will not be decomposed and will be bad for the environment",53.0,"54,0,0,1, the carcasses of animals and plants remain intact."
54,54,A lot of food will disappear.,54.0,"55,1,0,0, difficulty in decomposing excreta, pollutes the environment"
55,55,Microorganisms that were parasitic on decomposers will disappear,55.0,"56,1,0,0, difficulty in decomposing excreta, pollutes the environment"
56,56,Life doesn't rot.,56.0,"57,0, 0, 0, the excretion remains in place."
57,57,The earth is full of trash,57.0,"58,1,0, accumulated without elimination of excreta59,0,0,0, the excrement is not processed and will be piled up"
58,58,I don't know.,58.0,"60,1,0,0, difficult to disintegrate cadavers, leaving the floor covered with cadavers"
59,59,It will not be able to break down dead creatures and disappear quickly on Earth.,59.0,"61,1,0,0, it's hard to decompose the body, so the floor is covered with bodies"
60,60,I don't think it matters,60.0,"62,1,0,0, difficult to decompose bodies, polluting the environment"
61,61,"There's a lot of rotten things, dead trees, etc",61.0,"63,1,0,0, difficult to decompose cadavers, polluting the environment"
62,62,"The bodies naturally decompose and methane gas increases in the atmosphere, intensifying global warming and reeking of unpleasant odors",62.0,"64,0,0,0, it is difficult to break down the feces of a dead body or animal"
63,63,Things that need to be broken down cannot be broken down,63.0,"65,0,0,0, it's difficult to break down dead bodies or animal waste"
64,64,"If decomposers disappear from the Earth, the ecosystem will be more susceptible to contamination because animals' bodies will not be decomposed.",64.0,"66,1,0, body or animal waste does not decompose"
65,65,It can't be used to make fermented foods and can't be helped by green mold.,65.0,"67,0,0,0, the body or animal waste does not decompose"
66,66,"Landfills do not decompose forever, resulting in environmental destruction.",66.0,"68,1,0, bodies or excrement accumulate unbreakable"
67,67,The earth will be flooded with garbage.,67.0,"69, 1, 0, 0, cadavers or excrement build up unbreakable"
68,68,I don't understand.,68.0,"70,0,0,0, cadaver or fecal matter cannot be decomposed and stinks"
69,69,The earth's environment will be dirty because no remains or bodies will be decomposed,69.0,"71,0,0,0, the body or feces can't decompose and it stinks"
70,70,"As corpses and rotten substances do not disappear and remain in shape, the Earth is polluted much faster and all kinds of lumps are likely to surround the ground without any space for us to step on.",70.0,"72,0,0,0, the body or excrement will not decompose and will stink"
71,71,I don't know.,71.0,"73,0,0,0, the body or feces will not decompose and will stink"
72,72,Life won't be able to get nutrients,72.0,"74,1,0, bodies or excrement continue to pile up without breaking down"
73,73,Fossil fuels are not produced.,73.0,"75,0,1,0, cadavers or excrement continue to pile up without breaking down"
74,74,run out of food,74.0,"It will be filled with 76,1,0,0 bodies"
75,75,The earth becomes a dump,75.0,"77,1,0,1, it'll be full of bodies"
76,76,I can't eat mushroom hot pot,76.0,"78, 1, 0, 0, bodies cannot be decomposed and are scattered"
77,77,"If we don't break it down, we'll only be producing it, and the world will be covered with what's produced",77.0,"79, 0, 0, 0, the bodies are not decomposed and are scattered"
78,78,"Consumer disintegration will not take place, leaving the remains floating and waste useful substances.",78.0,"80,0,0,1, the bodies are unbreakable and piled up"
79,79,The amount of garbage on Earth increases.,79.0,"81, 0, 0, 0, 0, the bodies are unbreakable and piled up"
80,80,No mold left a rotten smell (dead,80.0,"82,0,0,0, the mountain will be covered with fallen leaves"
81,81,I don't think the ecosystem will work,81.0,"83,1,0, the mountain will be covered with fallen leaves"
82,82,I don't understand.,82.0,"84,1,0,1, the mountains are covered with fallen leaves"
83,83,"You don't know what the decomposer does, but you won't benefit when you decompose because you can't decompose.",83.0,"85,0,0,0 mountains are covered with fallen leaves"
84,84,The body rolls around and pollutes the atmosphere,84.0,"86,1,0,1, biological waste and carcasses are not decomposed into carbon dioxide and accumulated"
85,85,"I think the decomposer is a person who breaks down bad substances on Earth and so on, so if decomposition is gone, we can't break down the remaining substances or bad substances on Earth and it will have a bad effect on consumers, so it will be hard for example.",85.0,"87,0,0,1, biological waste and carcasses do not decompose into carbon dioxide and do not circulate"
86,86,"Only when producers, consumers, and decomposers mesh together and coexist can life exist on Earth.",86.0,"88,0,0,0; biological waste and carcasses do not decompose into carbon dioxide and thus do not circulate in carbon dioxide89,1,0, the fecal matter and carcasses of living things cannot be decomposed into carbon dioxide, which does not circulate carbon dioxide, resulting in a lack of carbon dioxide for photosynthesis"
87,87,"If the decomposer disappears, the dead bodies of living things cannot be decomposed, so they cannot continuously circulate. Therefore, carbon in the dead body of living things will gradually increase and affect the Earth in various effects on the Earth.",87.0,"90,1,0,1, the waste and carcasses of living things cannot be decomposed into carbon dioxide, so there is no circulation of carbon dioxide, and there is a lack of carbon dioxide for photosynthesis"
88,88,"It allows the producer to produce and consume what the consumer produces, and when the consumer dies, the consumer decomposes the consumer so that the producer can produce again. This is the cycle of the ecosystem. If the decomposer disappears here, there will be less and less scaffolding for producers to produce. So, as the number of producers decreases and the number of producers decreases, the number of consumers eventually decreases, reducing the cycle of the ecosystem. Therefore, living things cannot survive.",88.0,"91,0,0, the waste and carcasses of living things cannot be decomposed into carbon dioxide, which does not circulate carbon dioxide, resulting in a lack of carbon dioxide for plants to use in photosynthesis"
89,89,I don't know,89.0,"92,0,0,0; biological waste and carcasses do not decompose into carbon dioxide and do not circulate, resulting in a lack of carbon dioxide for plants to use in photosynthesis"
90,90,It is difficult to lose the body of a producer or consumer,90.0,"93,0,0,0 , biological waste and carcasses cannot be broken down into carbon dioxide"
91,91,The ecosystem circulation will not be carried out smoothly because what occurs in the process of consuming something produced is not decomposed.,91.0,"94,1,0,0 biological waste is not decomposed into carbon dioxide and accumulates"
92,92,There are so many producers like grass that I think there will be a shortage of land,92.0,"95,0,0,1, biological waste does not decompose into carbon dioxide and does not circulate"
93,93,I'm not sure about that,93.0,"96,1,0,0, biological waste does not decompose into carbon dioxide and does not circulate"
94,94,I think we need a role like a decomposer. I can't remember why.,94.0,"97,0,0,1, biological waste does not decompose into carbon dioxide and does not circulate, resulting in a lack of carbon dioxide for photosynthesis"
95,95,be indissoluble,95.0,"98,1,0,0, because biological waste does not decompose into carbon dioxide, it does not circulate carbon dioxide, resulting in a lack of carbon dioxide for photosynthesis"
96,96,Producers and consumers also disappear.,96.0,"99,0,0,1, biological waste does not decompose into carbon dioxide and does not circulate, resulting in a lack of carbon dioxide for plants to use in photosynthesis"
97,97,Undecomposed and undesirable,97.0,"100,0,0, the biological waste does not decompose into carbon dioxide and does not circulate, resulting in a lack of carbon dioxide for plants to use in photosynthesis"
98,98,The ecosystem is going to be ruined.It doesn't break down things that need to be broken down,98.0,"101,0,0,0, the biological waste does not break down into carbon dioxide"
99,99,It becomes difficult for producers and consumers to live.,99.0,"102,0,1,0, biological waste or carcasses are not decomposed into carbon dioxide and accumulated"
100,100,It's all over the place and it's going to be ruined,100.0,"103,0,0,1, the waste or carcasses of a living thing cannot be decomposed into carbon dioxide and therefore do not circulate carbon dioxide"
101,101,"It is thought that if the decomposer disappears, both producers and consumers will disappear.",101.0,"104,1,0,1,0, biological waste or carcasses do not decompose into carbon dioxide and do not circulate"
102,102,"Mushroom lovers can't eat mushrooms, and later generations don't know the taste of mushrooms.",102.0,"105,1,0, the fecal matter or carcasses of a living thing cannot be decomposed into carbon dioxide and thus cannot be circulated, resulting in a lack of carbon dioxide for photosynthesis"
103,103,Consumers and producers will also disappear.,103.0,"106,1,0, the fecal matter or carcasses of a living thing cannot be decomposed into carbon dioxide, and thus the carbon dioxide for photosynthesis is not circulated, resulting in a lack of carbon dioxide"
104,104,Everything doesn't rot.,104.0,"107,0,0, because biological waste or carcasses cannot be decomposed into carbon dioxide, carbon dioxide cannot be circulated, resulting in a lack of carbon dioxide for plants to use in photosynthesis"
105,105,"It will take a long time for creatures to rot or become more perishable, causing the Earth to be polluted",105.0,"108,0,0,0, the waste or carcass of living things cannot be decomposed into carbon dioxide and does not circulate carbon dioxide, resulting in a lack of carbon dioxide for plants to use in photosynthesis"
106,106,Harmful creatures don't disappear,106.0,"109,0,0,0, the waste or body of a living thing cannot be broken down into carbon dioxide"
107,107,I don't know.,107.0,"110,1,0, the body of a living thing cannot be broken down into carbon dioxide and accumulates"
108,108,I don't know,108.0,"111,1,0,1, the body of a living thing does not decompose into carbon dioxide and therefore does not circulate carbon dioxide"
109,109,Will the air get muddy?,109.0,"112,0,0,1, the body of a living thing does not decompose into carbon dioxide and therefore does not circulate carbon dioxide"
110,110,"As the bodies do not rot, the bodies will continue to exist on Earth, so there will be a wide range of bodies on the streets, and the garbage will not be decomposed and will be covered with garbage.",110.0,"113,1,0,0, the body of a living thing cannot be decomposed into carbon dioxide and thus does not circulate carbon dioxide, resulting in a lack of carbon dioxide for photosynthesis"
111,111,The environment will be destroyed more quickly and easily by leaving the bodies decomposed and not rotting,111.0,"114,0,1,0, the body of a living thing cannot be decomposed into carbon dioxide and thus does not circulate carbon dioxide, resulting in a lack of carbon dioxide for photosynthesis"
112,112,"The balance of the ecosystem will be destroyed, and green mold and other materials from mushrooms and fungi will no longer be able to be developed or studied.",112.0,"115,0,0,0, the body of a living thing cannot be decomposed into carbon dioxide and thus does not circulate carbon dioxide, resulting in a lack of carbon dioxide for plants to use in photosynthesis"
113,113,"There is a substance that needs to be decomposed, but it cannot be decomposed",113.0,"116,1,0,0, the body of a living thing cannot be decomposed into carbon dioxide and thus does not circulate carbon dioxide, resulting in a lack of carbon dioxide for plants to use in photosynthesis"
114,114,I can't eat mushrooms.,114.0,"117,1,0, the body of a living thing cannot be broken down into carbon dioxide"
115,115,"Go, go, go!",115.0,"118,0,0,0, the body or feces of a living thing cannot be broken down into carbon dioxide and accumulates119,0,0,0, the body or feces of a living thing cannot be decomposed into carbon dioxide and therefore cannot be circulated"
116,116,The garbage is overflowing,116.0,"120,1,0,1,0, the body or feces of a living thing cannot be decomposed into carbon dioxide and therefore cannot be circulated"
117,117,The whole world will turn into a corpse,117.0,"121,0,0,0, the body or excrement of a living thing cannot be decomposed into carbon dioxide and does not circulate carbon dioxide, resulting in a lack of carbon dioxide for photosynthesis"
118,118,I can't live,118.0,"122,0,0,0, the body or excrement of a living thing cannot be decomposed into carbon dioxide and does not circulate carbon dioxide, resulting in a lack of carbon dioxide for photosynthesis"
119,119,"When mushrooms are gone, it's hard, and when mold is gone, it feels good",119.0,"123,0,0,0, the body or excrement of a living thing cannot be decomposed into carbon dioxide and does not circulate carbon dioxide, resulting in a lack of carbon dioxide for plants to use in photosynthesis"
120,120,There will be droppings or bodies of the animals,120.0,"124,1,0,0, the carcass or excrement of a living thing cannot be decomposed into carbon dioxide and does not circulate carbon dioxide, resulting in a lack of carbon dioxide for plants to use in photosynthesis"
121,121,I don't know.,121.0,"125,1,0,0, the carcasses or feces of living things cannot be broken down into carbon dioxide"
122,122,The air becomes clear,122.0,"126,0,1,0, the carcasses and excreta of living things are not decomposed into carbon dioxide and accumulated"
123,123,I have to go to the bathroom.,123.0,"127,0,0,0, the carcasses and feces of living things do not decompose into carbon dioxide and do not circulate"
124,124,The Earth will be filled with corpses,124.0,"128,0,0,1,0, the carcasses and feces of living things do not decompose into carbon dioxide and do not circulate"
125,125,The earth will pile up dead because there is no decomposer,125.0,"129,0,0,1, because the carcasses and feces of living things cannot be decomposed into carbon dioxide, carbon dioxide is not circulated, and thus carbon dioxide for photosynthesis is insufficient"
126,126,I can't eat mushrooms.,126.0,"130,0,0,1,0, the carcasses and excreta of living things cannot be decomposed into carbon dioxide, so there is no circulation of carbon dioxide, and there is a shortage of carbon dioxide for photosynthesis"
127,127,"""I can't cook",127.0,"131,1,0,1, the carcasses and excreta of living things cannot be decomposed into carbon dioxide, so the carbon dioxide for plants to use in photosynthesis is insufficient because carbon dioxide is not circulated"
128,128,"""",128.0,"132,0,0,0, the carcasses and feces of living things cannot be decomposed into carbon dioxide, and thus the carbon dioxide for plants to use in photosynthesis is not circulated"
129,129,I can't eat mushrooms,129.0,"133,1,0,0, the carcasses and feces of living things cannot be broken down into carbon dioxide"
130,130,The earth becomes clean and the mushrooms disappear,130.0,"134,0,0,0,0, the ecosystem is not maintained"
131,131,I can't eat mushrooms.,131.0,"135,0,1,0, ecosystem is not maintained"
132,132,"When fungi or mushrooms disappear, the environment deteriorates.",132.0,"136,0,1,0, it is difficult to maintain the ecosystem"
133,133,The earth becomes dusty,133.0,"137,0,1,0, it's hard to maintain the ecosystem"
134,134,"There are no decomposers on Earth, so it's likely to pile up dead bodies",134.0,"138, 1, 0, 0, the body does not disappear."
135,135,I don't understand.,135.0,"139, 1, 0, 0, bodies are scattered"
136,136,"You can't eat mushrooms, people who like mushrooms complain, and people who sell mushrooms can't do business, and you can't make food with mushrooms.",136.0,"140, 0, 1, 0, bodies all over the place"
137,137,be unable to eat mushrooms,137.0,"141,1,0,0, bodies are piled up"
138,138,I can't eat mushrooms and I think the air will be clean even a little bit,138.0,"142, 0, 1, 0, corpses are piled up"
139,139,Rotten leaves and dead bodies are likely to wander from Earth.,139.0,"The bodies of plants and animals are piled up without disappearing, 143,1,0, without disappearing."
140,140,There is garbage.,140.0,"144,0,0,0, the remains of plants and animals are scattered."
141,141,I can't eat cheese,141.0,"145,1,0, creating an environment where plants are difficult to grow"
142,142,Animal corpses don't rot.,142.0,"146,1,0,1, the area where plants or animals will grow disappears."
143,143,I can't eat cheese.,143.0,"147,1,0, the Earth we live on will be filled with dead bodies of animals and plants"
144,144,Animal corpses don't rot,144.0,"148,1,0,0, the earth we live on will be filled with garbage149,1,0,0, the earth we live on is full of garbage"
145,145,This is because it plays a role in decomposing carbon dioxide.,145.0,"150, 1, 0, 0, the earth we live on will be covered with trash"
146,146,The earth is rotten and stinking,146.0,"151,1,0,0, the earth we live on is covered with trash"
147,147,"When the decomposer disappears, the earth's ecosystem is ruined and dirty.",147.0,"152,1,0,0, the Earth we live on will be full of dead animals and plants"
148,148,The bodies rot and remain intact,148.0,"153,0,1,0, the Earth we live on will be filled with dead animals and plants"
149,149,"As the amount of dead bodies and trash increases, it becomes contaminated",149.0,"154,1,0,0, the Earth we live on is full of dead animals and plants"
150,150,"When the decomposer disappears, the dead creatures continue to remain, making them dirty and food free from spoiling.",150.0,"155,0,0,0, there will be excrement all over the environment we live in"
151,151,Animal bodies are overflowing and smelling.,151.0,"156,1,0,1, there's a lot of excrement in the environment we're living in"
152,152,The bodies won't disappear and the world will smell rotten.,152.0,"157,1,0,0, there will be bodies strewn around in the environment we live in"
153,153,It is likely to have an adverse effect on our environment because living things cannot return to nature.,153.0,"158,1,0,0, the bodies are all over the environment we live in"
154,154,"If the decomposers (mushrooms and fungi) disappear from Earth, they will not be able to eat cheese.",154.0,"The bodies of 159,0,0,0 dead animals and plants will be unstoppable"
155,155,Dead animals and plants do not decay or decay,155.0,"The bodies of 160,1,0, dead plants and animals will be unstoppable"
156,156,It becomes a world that cannot live without a decomposer.,156.0,"The bodies of 161,1,0, dead plants and animals will be all over the floor"
157,157,"When the decomposer disappears, when the animals die and become corpses, the bodies remain intact, making the world more and more uninhabitable.",157.0,"The bodies of 162,0,0,0 dead animals and plants will be all over the floor"
158,158,It doesn't rot,158.0,"163,1,0,0 will be filled with dead bodies of plants and animals"
159,159,There will be a lot of bodies on the floor.,159.0,"164,1,0,0, will be filled with dead bodies of plants and animals"
160,160,The world will be full of rotten meat and consumers,160.0,"There will be 165,1,0, dead animals and plants all over the place"
161,161,The streets are full of trash and corpses,161.0,"166,0,0,1, there will be dead animals and plants all over the place"
162,162,The bodies will overflow,162.0,"167,1,0, the dead plants and animals are undissolved"
163,163,The earth will perish.,163.0,"The 168,1,0,0 dead plants and animals will be undissolved"
164,164,"Every street will be covered with animal waste, and everywhere will stink.",164.0,"There will be 169,1,0, dead plants and animals piled up"
165,165,Animal waste or dead bodies will not decompose and disappear.,165.0,"170,0,0,0, there will be dead animals and plants piled up"
166,166,The bodies of the animals will overflow.,166.0,"171,1,0, dead plants and animals are piled up"
167,167,"The ecological balance has collapsed, and the animals living on Earth are likely to disappear",167.0,"172,1,0, will be stacked with dead animals and plants"
168,168,It fills up with garbage.,168.0,"173,1,0, dead animals and plants are piled up"
169,169,The body doesn't disappear and it gets dirty.,169.0,"174,1,0,1, there will be piles of dead animals and plants"
170,170,The world is overflowing with corpses,170.0,"175,1,0, the dead bodies are left unbreakable and strewn"
171,171,Collapse,171.0,"176,1,0, the dead bodies are left unbreakable"
172,172,the state of the world overflowing with corpses,172.0,"177,1,0, the dead bodies are unbreakable and piled up"
173,173,The earth will be dirty because the bodies are scattered and the things that need to be dismantled will not be dismantled,173.0,"178,1,0,0, the dead bodies are unbreakable and piled up179,1,0, dead bodies are strewn undissolved, stinking"
174,174,The earth will be full of animal carcasses and rotten food and stink,174.0,"180, 1, 0, 0, 0 dead bodies can't be decomposed, they stink"
175,175,"If you don't decompose, the things that the decomposer has to decompose fill the world and the producer can't produce",175.0,"181,1,0, the dead bodies are piled unstructured and stinky"
176,176,The body won't disappear,176.0,"182,0,0,1, the dead bodies are unbreakable and piled up, stinking"
177,177,There is a lot of trash on the earth.,177.0,"183,1,0,0, the Earth will be filled with dead bodies of animals and plants"
178,178,"The earth will be full of animals and human bodies, and the smell of rot will be very bad even if it rotting.",178.0,"184,0,0,1, the Earth will be filled with dead bodies of animals and plants"
179,179,The bodies of people or animals will remain undissolved.,179.0,"185,1,0,0, the Earth will be filled with animal and plant waste"
180,180,"Dead creatures do not rot and remain intact, and garbage does not decompose.",180.0,"186,1,0,0, the Earth will be filled with animal and plant waste"
181,181,"If the decomposer disappears, the animal's dead body or excrement will not decompose and the animal's dead body or excrement will overflow",181.0,"187,0,0,0, the Earth will be filled with corpses"
182,182,"In this world, the odors and dead bodies of all living things will not disappear.",182.0,"188,1,0,0, the Earth will be filled with corpses"
183,183,The animals disappear and the ecosystem breaks down.,183.0,"189,0,0,1, the Earth will be full of rubbish and stinky"
184,184,"If the decomposer disappears, the earth can be contaminated and smelly because it cannot decompose animals' bodies.",184.0,"190,0,0,0, the Earth will be full of garbage and stink"
185,185,"Since the ecosystem is all related to each other, if the decomposer disappears, the ecosystem will not be well established and the ecosystem will be difficult.",185.0,"191,1,0, the Earth is full of garbage"
186,186,Garbage doesn't disappear = Destruction,186.0,"192,1,0, the Earth will be full of rubbish"
187,187,It will be covered with garbage,187.0,"193, 1, 0, 0, the Earth will be full of garbage"
188,188,Fungi will form and increase.,188.0,"194, 1, 0, 0, the Earth is full of garbage"
189,189,The garbage can't be cleaned up.,189.0,"195, 1, 0, 0, the earth is covered with garbage and stinks"
190,190,Ecological Pyramid? Destroyed,190.0,"196,1,0, the Earth is covered with garbage and stinks"
191,191,We don't live,191.0,"197, 1, 0, 0, the Earth will be covered with trash"
192,192,The world will be flooded with garbage,192.0,"198, 1, 0, 0, the Earth will be covered with garbage"
193,193,Only the smell of trash and trash will remain on this earth.,193.0,"The Earth is covered with garbage, 199, 1, 0, 0"
194,194,"""There will be a flood of trash, corpses and secretions on the planet",194.0,The Earth is covered with garbage
195,195,"""",195.0,"201, 0, 0, 1, the Earth will be filled with dead animals and plants"
