,Unnamed: 0,"9. Recently, various problems are occurring due to global warming. Let's think about the causes of global warming and explain the scientific method to solve global warming.",Unnamed: 0,", q64_fossil fuel, q64_carbon dioxide"
45,45,I walk for a short distance,45.0,"46,1,0"
46,46,Reduce carbon dioxide so that heat escapes easily from the magnetic sphere,46.0,"47,0,0"
47,47,I'll use the fumes as I please,47.0,"48,0,0"
48,48,"When you ride a car, the car can get heat, but you can't get out of it, so there's too much carbon dioxide on Earth. I think we can reduce carbon dioxide even a little if we make something that allows heat to escape in the car.",48.0,"49,1,1"
49,49,I make a lot of electric cars and ride them.,49.0,"50,0,1"
50,50,There's a lot of carbon dioxide because of the smoke,50.0,"51,0,0"
51,51,You should not ride a car as much as possible because there is a lot of smoke coming out of the car.,51.0,"52,1,0"
52,52,"Because we threw a lot of trash.People, don't throw away trash.",52.0,"53,0,1"
53,53,I recycle,53.0,"54,0,1"
54,54,"Reduce greenhouse gas emissions, save energy, recycle waste, etc.",54.0,"55,0,0"
55,55,"Save energy, separate waste and reduce carbon dioxide as much as possible",55.0,"56,1,0"
56,56,It does not pollute the environment.,56.0,"57,0,0"
57,57,The earth hurts a lot from riding a lot of cars. This is global warming.,57.0,"58,0,059,1,0"
58,58,"It does not waste resources. Do not burn trees, etc. so that there is not much carbon dioxide produced.",58.0,"60,1,0"
59,59,It creates a device that can release carbon dioxide,59.0,"61,1,0"
60,60,the use of electric vehicles,60.0,"62,0,0"
61,61,"To reduce emissions from cars, I would like to use electric cars or public transportation",61.0,"63,1,0"
62,62,Take care of the waste and keep it at 26 degrees without leaving any food behind,62.0,"64,0,0"
63,63,It is necessary to develop or develop air conditioners that reduce plastic and do not require ventilators. Think of ways to throw away trash efficiently,63.0,"65,0,0"
64,64,"Because of car fumes, car use is reduced",64.0,"66,0,1"
65,65,Use a bicycle or walk nearby.,65.0,"67,1,0"
66,66,"People usually use cars or air conditioners to heat up the earth, resulting in global warming Therefore, I think we can solve short distance by walking and using a fan.",66.0,"68,1,0"
67,67,I cherish,67.0,"69,0,1"
68,68,I walk close by and don't use electricity very often,68.0,"70,1,0"
69,69,"Reduce plastic use, recycle, and solve global warming.",69.0,"71,1,1"
70,70,"Development of new energy, use of eco-friendly goods",70.0,"72,1,0"
71,71,"The cause of warming is carbon dioxide, which means reducing greenhouse gas emissions.",71.0,"73,1,0"
72,72,"I think we should change the law to change every car to an electric car, let everyone know the seriousness of warming, and encourage people to fix every little problem, starting with smoking, turning on the acorn, and windows.",72.0,"74,0,0"
73,73,"Global warming is a phenomenon that occurs when there is a lot of carbon dioxide. To reduce the amount of carbon dioxide, invent new energy to reduce the use of fossil fuels and use the currently developed solar panels to make buildings available to use eco-friendly energy can be used.",73.0,"75,0,0"
74,74,"It seems that global warming is caused by carbon dioxide that is produced when burned. In order to reduce carbon dioxide generation, we hope to prevent global warming as much as possible by using renewable energy or electricity.",74.0,"76,0,0"
75,75,Use electric transportation and purchase of carbon-traded goods,75.0,"77,0,0"
76,76,"It doesn't burn cars, oil, coal, etc. (It prevents carbon dioxide from occurring.))",76.0,"78,0,0"
77,77,"Reduce the number of cars used and do not burn oil, coal, etc.",77.0,"79,1,0"
78,78,Use electric transportation and purchase of carbon offset products,78.0,"80,0,0"
79,79,save water,79.0,"81,1,0"
80,80,without saving electricity,80.0,"82,1,0"
81,81,Making Air Purifiers Floating in the Sky,81.0,"83,0,1"
82,82,Make a job that recycles garbage,82.0,"84,0,0"
83,83,"It creates a machine for warming to inform the dangers of warming and to put information related to warming in the machine. The machine informs many people that it is warming and tells them how to solve it.(In conclusion, make a machine related to warming.)",83.0,"85,0,0"
84,84,I think it's good to walk or ride a bicycle for a short distance because I think the melons from cars cause global warming,84.0,"86,0,1"
85,85,I don't know.,85.0,"87,0,0"
86,86,Use electric transportation instead of riding a car.,86.0,"88,0,189,0,1"
87,87,Scientific development to save energy,87.0,"90,0,1"
88,88,"Reduce disposable products, plant trees, and protect Ji-kyu",88.0,"91,0,0"
89,89,reduce disposable products,89.0,"92,1,0"
90,90,Reduce garbage,90.0,"93,0,0"
91,91,Reduce the use of disposable products and plant trees,91.0,"94,1,0"
92,92,Develop green growth using nature,92.0,"95,0,0"
93,93,Reduce disposable products and plant trees to create a clean natural environment,93.0,"96,1,1"
94,94,Reduce disposable products.Plant a lot of trees.Prepare for green growth.,94.0,"97,0,0"
95,95,Reduce carbon dioxide emissions by reducing disposable products,95.0,"98,1,1"
96,96,Let's grow green,96.0,"99,0,0"
97,97,Use natural resources instead of fossil fuels,97.0,"100,0,0"
98,98,"Reduce the use of disposable itemsDon't ride your own car. Use public transportation Because if each person uses their own car, they emit too much emissions",98.0,"101,0,0"
99,99,I'll plant a variety of plants that I like,99.0,"102,1,1"
100,100,I ride an electric car to reduce carbon dioxide,100.0,"103,1,0"
101,101,"Disposable products rot and destroy the natural environment, so disposable products are used and discarded well in the trash can without throwing them away anywhere.",101.0,"104,0,0"
102,102,We use public transportation to reduce carbon dioxide.,102.0,"105,0,0"
103,103,Reduce energy consumption,103.0,"106,0,0"
104,104,Reducing energy consumption.,104.0,"107,0,1"
105,105,The robot picks up the trash on the road and throws it into the trash can.,105.0,"108,0,0"
106,106,"Carbon dioxide comes out when you ride a car, so you ride hydrogen cars and electric cars.",106.0,"109,1,0"
107,107,Let's overcome global warming by saving energy by walking as close as possible to global warming caused by high energy consumption.,107.0,"110,0,0"
108,108,"This is because people use air conditioners a lot. Therefore, it reduces the use of air conditioners.",108.0,"111,0,1"
109,109,Because I turn on the air conditioner too much.,109.0,"112,0,1"
110,110,"Turn on the air conditioner, heater, etc., and turn on the air conditioner properly.",110.0,"113,1,0"
111,111,"When generating electricity, rather than turning a thermal generator that generates carbon dioxide, which is the main culprit of global warming, it turns a nature-friendly generator such as a wind generator and a hydroelectric generator.",111.0,"114,1,0"
112,112,The country sets the temperature of using the air conditioner.,112.0,"115,0,0"
113,113,"The cause of global warming is that people use a lot of electricity and car fumes are causing global warming, and the solution is to save electricity and reduce global warming by using electric cars.",113.0,"116,1,0"
114,114,"Global warming seems to occur because we use electricity often. To prevent global warming, we need to save electricity and use it.",114.0,"117,0,1"
115,115,"Since global warming occurs due to the use of things such as air conditioners that produce a lot of carbon dioxide, the use of electronic devices that generate carbon dioxide is reduced and trees are planted a lot.",115.0,"118,0,0119,0,0"
116,116,Reduce the amount of carbon dioxide,116.0,"120,0,0"
117,117,The reason for global warming is that it uses a lot of air conditioners and automobile fumes are causing global warming. The solution is to save electricity and walk close by.,117.0,"121,0,0"
118,118,Use eco-friendly fuel instead of fossil fuel,118.0,"122,0,0"
119,119,Reduce the use of air conditioners that emit carbon dioxide.,119.0,"123,0,1"
120,120,The earth heats up with carbon dioxide in the car market. So the solution is to use an electric car. Electric cars can reduce global warming a little by running on electricity without emitting plum blossoms.,120.0,"124,0,0"
121,121,save energy and reduce the use of environmentally problematic documents plant a lot of trees,121.0,"125,1,0"
122,122,Save energy and protect the environment,122.0,"126,1,0"
123,123,Save energy by removing unused cords.,123.0,"127,0,0"
124,124,Let's recycle well,124.0,"128,0,0"
125,125,The destruction of the ozone layer raises the temperature of the Earth,125.0,"129,0,0"
126,126,Plastic use Disposable item use,126.0,"130,0,0"
127,127,It develops components or machines that decompose carbon dioxide.,127.0,"131,0,0"
128,128,Research is done to reduce the causes of ozone depletion and to strengthen the ozone layer.,128.0,"132,1,0"
129,129,"To reduce greenhouse gases, renewable energy is used instead of fossil fuel use.",129.0,"133,1,0"
130,130,Develop new and renewable energy.,130.0,"134,0,0"
131,131,You are good.,131.0,"135,0,0"
132,132,It seems that the earth's temperature is getting hotter because the earth's temperature is getting higher and the water's temperature is getting higher,132.0,"136,0,0"
133,133,"Pull out the cord that you don't use, walk the one that's close to you, use a plastic cup instead of a paper cup",133.0,"137,0,1"
134,134,The increase in meat consumption has increased carbon dioxide.,134.0,"138,0,0"
135,135,greenhouse gases,135.0,"139,0,0"
136,136,"The cause of global warming is a vicious circle in society. The solution is now to stop renovating plant cars that emit harmful substances and gradually reduce them Or even from now on, it is a good way to make all products eco-friendly.",136.0,"140,1,0"
137,137,"Since greenhouse gas emissions are high, I think using renewable energy instead of fossil fuels to solve global warming emits less greenhouse gases.",137.0,"141,0,0"
138,138,Reduce greenhouse gas emissions,138.0,"142,0,1"
139,139,"Global warming is intensifying due to the increase in greenhouse gas emissions, and everyone's participation is needed to solve this problem. As advanced technology has developed, advanced technology to solve global warming should also be developed.",139.0,"143,1,0"
140,140,"""Causes: industrialization, reckless environmental destruction, human endless greed, etc",140.0,"144,1,0"
141,141,Workaround:...?,141.0,"145,0,0"
142,142,Eco-friendly products are used to reduce carbon dioxide emissions.,142.0,"146,0,0"
143,143,"Rubbish such as vinyl, plastic, paper, glass, etc. are made into edible things.",143.0,"147,0,0"
144,144,"As air is polluted by increased greenhouse gas emissions, factory installation is reduced and air purification facilities are increased.",144.0,"148,0,0149,1,1"
145,145,I think the cause of global warming is an increase in greenhouse gas emissions. I think the scientific method to solve this problem should develop new energy that can be used indefinitely without affecting nature.,145.0,"150,0,0"
146,146,"Waste, environmental destruction",146.0,"151,0,0"
147,147,"Carbon circulates and uses carbon from the ground to increase carbon dioxide in the air, thus reducing the use of underground resources to prevent further increases in carbon in the air.",147.0,"152,0,0"
148,148,"I think global warming, which has already occurred, becomes serious due to various pollutants such as carbon dioxide from using fossil fuels (coal, oil, and natural gas). Therefore, I think we can prevent global warming from becoming more serious by developing renewable energy that can replace these fossil fuels.",148.0,"153,0,0"
149,149,I think that the cause of global warming is that people drive a lot of their own cars and emit a lot of exhaust gas rather than using public transportation.,149.0,"154,0,1"
150,150,"Car exhaust, unauthorized dumping of garbage, no recycling",150.0,"155,0,1"
151,151,Use solar panels,151.0,"156,0,0"
152,152,"I think global warming is caused by the garbage we throw away, and human-harmful behavior takes up the biggest scope.",152.0,"157,0,0"
153,153,"The problem of solving this problem is that because the state educates it and the glaciers are melting in the Arctic and Antarctic, they use technology to make ice-freeze machines or preserve it using technology.""",153.0,"158,0,1"
154,154,We need to reduce environmental pollution,154.0,"159,0,0"
155,155,"Use of underground resources such as greenhouse gas, carbon dioxide, coal and oil, automobile exhaust gas, shampoo and detergent, etc",155.0,"160,0,0"
156,156,environmental pollution,156.0,"161,0,0"
157,157,"Degradation, extinction, leaving the universe and leaving the Earth as it is",157.0,"162,1,0"
158,158,It eliminates half the human race.,158.0,"163,1,0"
159,159,Reduce greenhouse gas emissions,159.0,"164,0,0"
160,160,"To address global warming, there are first personal and national (social) efforts. Personally, saving energy. There are resource conservation, and national efforts include regulations on energy use, fossil fuel use, Freon gas emission regulations, and carbon dioxide emission regulations. I think social groups should also campaign or campaign to change people's perceptions and make them realize the seriousness of global warming.",160.0,"165,0,0"
161,161,grow a lot of trees,161.0,"166,0,1"
162,162,You have to use gas in moderation,162.0,"167,0,1"
163,163,The animal dies,163.0,"168,0,1"
164,164,"Because of the carbon dioxide from cars and harmful gases from factories, the government should make a profit by making a car that does not emit carbon dioxide such as electric cars",164.0,"169,0,0"
165,165,"""",165.0,"170,0,0"
166,166,Get rid of the sun,166.0,"171,0,0"
167,167,"""He's good at recycling""",167.0,"172,0,1"
168,168,"""",168.0,"173,1,0"
169,169,We need to alert people,169.0,"174,0,0"
170,170,It seems that we can use a lot of scientific eco-friendly energy to solve global warming.,170.0,"175,1,0"
171,171,cut down on factories,171.0,"176,1,0"
172,172,Let's live well on our own,172.0,"177,1,0"
173,173,"Global warming is mainly caused by methane gas (C+O), which is combined with methane gas to develop materials that can sink into the ground.",173.0,"178,0,1179,1,0"
174,174,"The reason for global warming is co2, so let's reduce CO2",174.0,"180,0,0"
175,175,"Because there is a lot of carbon dioxide emissions, it is caused to reduce carbon dioxide emissions.",175.0,"181,0,0"
176,176,"The use of fossil fuels prevents carbon dioxide in the atmosphere from escaping Earth's radiation energy, which is causing temperatures to rise in the Earth. The solution to this is to plant trees. Depending on the number of people in the city, a certain number of trees must be planted unconditionally, and an international agreement to not damage forests or forests is signed to protect the Earth.",176.0,"182,0,0"
177,177,"Trees can solve global warming by absorbing carbon dioxide and generating oxygen.""",177.0,"183,1,0"
178,178,I think people are using too much plastic.,178.0,"184,1,0"
179,179,Upgrade to prevent greenhouse gases such as air conditioners and automobiles that emit a lot of greenhouse gases,179.0,"185,0,0"
180,180,People don't throw garbage on the street,180.0,"186,0,1"
181,181,"First, in order to prevent the emission of carbon dioxide that destroys the ozone layer, it is necessary to commercialize electricity or hydrogen vehicles, and to clean up carbon dioxide.",181.0,"187,0,0"
182,182,"Global warming is caused by greenhouse gas emissions such as carbon dioxide, so the use of fossil fuels should be reduced.",182.0,"188,0,0"
183,183,Change the way electricity is generated to be greener,183.0,"189,1,0"
184,184,"More renewable energy than nuclear fusion can solve global warming, which inevitably generates methane gas, which is at a disadvantage of hydrogen and carbon, so it would be good to think about using it elsewhere.",184.0,"190,0,0"
185,185,Reduce greenhouse gases and use eco-friendly energy,185.0,"191,1,0"
186,186,"In our society, there are many people who drive cars, so instead of cars that cause smoke and carbon dioxide, glaciers melt, scientifically make various energy such as hydrogen and electricity, and use natural things to prevent global warming.",186.0,"192,0,0"
187,187,It generates too much greenhouse gases. Develop technically adsorbing and removing carbon dioxide.,187.0,"193,1,0"
188,188,Reduce the use of fossil fuels.,188.0,"194,1,0"
189,189,"To reduce electricity consumption, such as removing greenhouse gases or reducing the use of air conditioners",189.0,"195,0,0"
190,190,It prevents greenhouse gas emissions.,190.0,"196,0,1"
191,191,Cut down on half the people by half.,191.0,"197,0,0"
192,192,Save energy resources and develop new alternative energy sources.,192.0,"198,0,0"
193,193,a low-car,193.0,"199,1,0"
194,194,an increase in greenhouse gases,194.0,"200,0,0"
195,195,There is a need for a way to reduce carbon dioxide emissions or to capture greenhouse gases distributed in the atmosphere.,195.0,"201,0,0"
196,196,Global warming occurs because greenhouse gases accumulate in the atmosphere and cannot release Earth's radiant energy and reflect it again. Minimize greenhouse gas emissions.,196.0,"202,0,0"
197,197,"Global warming is accelerating due to the increase in greenhouse gases, so energy saving methods to reduce greenhouse gases are practiced.Development of electric vehicles",197.0,"203,0,0"
198,198,People are the problem. Solve the population problem.,198.0,"204,1,0"
199,199,Reduce the use of fossil fuels.,199.0,"205,0,0"
200,200,It creates a huge plate of flatness that blocks the sun.,200.0,"206,0,0"
201,201,Reduce fossil fuels and develop alternative fuels.,201.0,"207,0,0"
202,202,"Global warming is caused by greenhouse gases, including carbon dioxide. This comes mainly from fossil fuels. Therefore, it looks for new energy with less greenhouse gas emissions.",202.0,"208,1,0209,1,0"
203,203,Develop alternative fuels.,203.0,"210,0,0"
204,204,Try to reduce carbon dioxide emissions.,204.0,"211,0,0"
205,205,Save energy.,205.0,"212,1,1"
206,206,Reduce emissions of greenhouse gases.,206.0,"213,1,0"
207,207,Reduce smoke from factories and smoke from cars,207.0,"214,1,0"
208,208,Don't know,208.0,"215,0,0"
209,209,"Wait. When men are destroyed, they will recover as they did at any time after time.",209.0,"216,1,0"
210,210,The aesthetics of waiting. Nature will restore itself,210.0,"217,1,0"
211,211,"Global warming seems to intensify quickly because it uses up unnecessary electricity. When I don't use it, I think it's a scientific method to unplugging the battery cord.",211.0,"218,0,1"
212,212,I ride a bicycle instead of a car,212.0,"219,1,0"
213,213,It creates a substitute for the ozone layer.,213.0,"220,0,1"
214,214,Car. No,214.0,"221,1,0"
215,215,I think we can recycle.,215.0,"222,0,0"
216,216,I think we can walk for a short distance.,216.0,"223,0,0"
217,217,"People waste energy, so turn off the heater and save energy to solve it",217.0,"224,1,0"
218,218,It saves energy,218.0,"225,0,0"
219,219,"""I don't think you have to be scientifically determined",219.0,"226,0,0"
220,220,"I think we can reduce waste, use less plastic, and reduce plastic",220.0,"227,1,1"
221,221,"""",221.0,"228,0,0"
222,222,Use bicycles or walk instead of cars to prevent carbon dioxide emissions,222.0,"229,0,0"
223,223,Using public transportation,223.0,"230,0,1"
224,224,"Don't ride a car, but ride a bicycle.",224.0,"231,0,0"
225,225,"I think the cause of global warming is the greenhouse effect due to the increase in warm gas emissions. Therefore, I think we should reduce greenhouse gases. In addition, if the concentration of seawater decreases as glaciers melt, the speed of ocean currents slows down and global warming accelerates, so it would be good to control the concentration of seawater.",225.0,"232,0,0"
226,226,"People are consuming too much oil resources and this is causing carbon dioxide, so I think we can increase the amount of renewable energy.",226.0,"233,0,0"
227,227,The carbon dioxide emitted from cars seems to be causing the greenhouse effect.,227.0,"234,1,0"
228,228,"The government should make efforts to supply electric cars instead of gasoline cars.""",228.0,"235,0,0"
229,229,"Since carbon dioxide is the main cause, it releases gases that can decompose carbon dioxide",229.0,"236,0,0"
230,230,"Global warming is caused by people's reckless use of fossil energy. Therefore, the use of fossil energy such as coal and oil is reduced and relatively less polluted energy is used compared to fossil energy such as solar power, wind power, tidal power, and geothermal heat.",230.0,"237,0,0"
231,231,"Global warming is caused by various greenhouse gases, typically water vapor, carbon dioxide, methane, and Freon gas. This is because the Earth's atmosphere absorbs the Earth's reflective energy and releases it. At this time, water vapor is a greenhouse gas that humans cannot do anything about, and it provides an essential greenhouse effect for mankind. However, in the case of carbon dioxide, the recent industrialization has increased the greenhouse effect. So we need to reduce CO2 emissions and methane emissions, so we need to reduce greenhouse effect in a way that reduces carbon footprint.",231.0,"238,0,0239,1,0"
232,232,"New legislation on cars' engines or emissions systems, or the kind of things that would cause warming (car, coal gas, etc.)",232.0,"240,1,0"
233,233,Global warming is caused by environmental pollution and excessive use of electricity,233.0,"241,0,0"
234,234,"This is why we need to use solar power charging.""",234.0,"242,0,1"
235,235,Reduce the heat energy generated by using air-conditioning appliances,235.0,"243,1,0"
236,236,to invent a technology that reduces the fumes of cars,236.0,"244,0,1"
237,237,use less shampoo,237.0,"245,0,1"
238,238,Let's halve the human population,238.0,"246,0,0"
239,239,"Since carbon dioxide is the main culprit of greenhouse gases, the use of fossil fuels is reduced to reduce carbon dioxide.",239.0,"247,0,1"
240,240,Reduce greenhouse gases.,240.0,"248,0,1"
241,241,Let's get rid of China.,241.0,"249,1,0"
242,242,"The cause of global warming is an increase in greenhouse gas emissions. We say that the amount of carbon dioxide in greenhouse gases is the highest except for water vapor, but in reality, the amount of water vapor is the highest. Therefore, I think the amount of water vapor in the atmosphere should be reduced by making rain through artificial rainfall.",242.0,"250,1,0"
243,243,Reduce greenhouse gases.,243.0,"251,1,0"
244,244,Don't throw away trash,244.0,"252,0,0"
245,245,Reduce the amount of plastic used,245.0,"253,0,1"
246,246,Increase the use of public transportation and reduce the use of private cars. Reduce the use of electronic devices such as air conditioners.,246.0,"254,1,0"
247,247,Reduce the use of disposable items,247.0,"255,1,0"
248,248,I don't know,248.0,"256,1,0"
249,249,Cause: Jjangkke/Method: Thanos' Fingersnap,249.0,"257,0,0"
250,250,Bring me Thanos! Thanos' Fingersnap,250.0,"258,1,1"
251,251,Riding a bike without a car,251.0,"259,0,0"
252,252,"One of the main causes of global warming is emissions from factories and cars. Therefore, you can reduce factories and cars to reduce emissions.",252.0,"260,0,0"
253,253,I live like a natural,253.0,"261,0,1"
254,254,Let's plant a tree,254.0,"262,0,0"
255,255,"Reduce nuclear, thermal power plants and raise the Earth's temperature by more than 1.5 degrees",255.0,"263,0,1"
256,256,"It uses less carbon dioxide-producing items and increases the number of cases where various eco-friendly energy is available, allowing it to conserve energy naturally",256.0,"264,0,1"
257,257,Plant trees and reduce air conditioning,257.0,"265,0,1"
258,258,Reason: Jjangkke/Method: Thanos' Fingersnap,258.0,"266,0,0"
259,259,"We need to reduce emissions of carbon dioxide, which is the main cause of ozone depletion",259.0,"267,0,0"
260,260,"Let's reduce carbon dioxide, the main culprit of global warming",260.0,"268,1,0269,0,0"
261,261,People use their cars too much and there are too many factories,261.0,"270,0,0"
262,262,Reduce nuclear power plants and install eco-friendly hydro and wind power plants in large quantities,262.0,"271,0,0"
263,263,I don't have a car,263.0,"272,0,0"
264,264,Gas from coal waste,264.0,"273,0,0"
265,265,"Global warming is literally global warming, and to solve this problem, we can plant trees to reduce the amount of carbon dioxide distributed in the atmosphere.",265.0,"274,1,0"
266,266,Remove all factories in China.,266.0,"275,0,0"
267,267,Walk close distance or save resources. Reduce unnecessary consumption.,267.0,"276,0,0"
268,268,cut down on factories,268.0,"277,1,0"
269,269,Do not use too much factory waste water or chemicals,269.0,"278,1,0"
270,270,"First, we should refrain from using fossil fuels. The main components of fossil fuels are hydrocarbons, and the combustion results of these materials include carbon monoxide, carbon dioxide, nitrogen oxides, and sulfur oxides. Carbon dioxide has less heat absorption and emission than water vapor, but carbon dioxide is not saturated compared to saturated water vapor, which causes an increase in the effect of global warming.",270.0,"279,0,0"
271,271,"Secondly, we need to reduce the use of vehicles. Oil, a fossil fuel, is also included, which intensifies the degree of global warming by emitting carbon dioxide and nitrogen oxides.",271.0,"280,0,0"
272,272,"Third, install a reflector. A reflector is installed to reflect the heat energy entering the ground as much as possible. In particular, the area of glaciers that shrink as they melt reduces the Earth's reflectance, which increases the Earth's temperature and melts faster. Therefore, reflectors should be installed to compensate for the decrease in reflectance due to melting glaciers so far, and to prevent further glaciers from melting. In addition, when all glaciers melt, rapid glaciers are also caused, so the importance of reflectors can be considered high.",272.0,"281,0,0"
273,273,"Fourth, increase the amount of trees. Trees use carbon dioxide, which causes global warming, in photosynthesis to release oxygen, so the total amount of carbon dioxide can be reduced. The amount of trees should be increased to offset the current increase in carbon dioxide and further reduce the amount of carbon dioxide.""",273.0,"282,0,0"
274,274,Laws should be enacted to solve specific problems such as electricity saving and garbage problems.,274.0,"283,1,0"
275,275,Reduce the use of disposable items,275.0,"284,0,0"
276,276,Reduce carbon dioxide,276.0,"285,1,1"
277,277,Neutralize the smoke from the factory.,277.0,"286,0,0"
278,278,It further reduces state-regulated carbon emissions,278.0,"287,1,0"
279,279,Global warming seems to be largely due to methane and carbon dioxide. Develop products that can reduce methane and carbon dioxide as much as possible,279.0,"288,0,0"
280,280,Plant trees.,280.0,"289,1,0"
281,281,All right.,281.0,"290,0,0"
282,282,Reduce greenhouse gases,282.0,"291,0,0"
283,283,to use renewable energy,283.0,"292,0,0"
284,284,Find the cause of greenhouse gases and make them naturally decomposed.,284.0,"293,0,0"
285,285,"To reduce greenhouse gases, a greenhouse gas regulation agreement is signed and regulatory policies are implemented.",285.0,"294,1,0"
286,286,.,286.0,"295,0,0"
287,287,Reduce the temperature difference between indoor and outdoor air conditioners and save electricity consumption by unplugging unused cords.,287.0,"296,0,0"
288,288,"It reduces the use of disposable items and develops eco-friendly items, food, and products.",288.0,"297,0,0"
289,289,We can prevent global warming by developing cars that emit carbon dioxide to make environmental cars,289.0,"298,0,0299,1,0"
290,290,I don't know,290.0,"300,0,0"
291,291,"The cause is to throw away trash, and the solution is not to throw away trash.",291.0,"301,0,0"
292,292,I think it's because of the car fumes,292.0,"302,0,0"
293,293,"We use electric cars, not cars that emit fumes, and electricity is used for solar energy",293.0,"303,1,0"
294,294,We will study how to use waste dumped in the sea to help the environment.,294.0,"304,0,0"
295,295,Don't throw away trash anywhere and watch out for earthquakes,295.0,"305,0,0"
296,296,".Glaciers melt in large amounts of electricity, so they install solar heat that can save electricity",296.0,"306,0,1"
297,297,"Global warming is caused by bad components from factories, cars, and various items made by Egan, which are eventually caused by human greed. In order to solve it accordingly, humans should try to reduce their greed and develop it eco-friendly, and an attitude of caring and loving the Earth is necessary.",297.0,"307,0,0"
298,298,Use electricity using solar heat without throwing away trash.,298.0,"308,0,0"
299,299,"""We don't use a lot of carbon dioxide, such as fossil fuels, to prevent carbon dioxide from occurring.",299.0,"309,1,0"
300,300,"2. Use eco-friendly energy.""",300.0,"310,1,0"
301,301,People are living together,301.0,"311,0,0"
302,302,"Fossil fuels produce carbon dioxide, which is the cause of global warming",302.0,"312,0,0"
303,303,That's why I study eco-friendly energy to avoid using fossil fuels,303.0,"313,1,0"
304,304,Don't throw away trash and recycle,304.0,"314,0,0"
305,305,We need to develop more eco-friendly energy to replace petroleum energy.,305.0,"315,1,0"
306,306,Classify garbage and avoid using disposable products as much as possible.,306.0,"316,1,0"
307,307,Cause: Throwing garbage recklessly / Method: Making AI robots that pick up garbage when they see it,307.0,"317,0,0"
308,308,Save electricity.,308.0,"318,0,1"
309,309,Do not use disposable products.,309.0,"319,0,0"
310,310,eco-friendly energy development,310.0,"320,0,0"
