,Unnamed: 0,"20. Abnormal kidney function can lead to various diseases and, in severe cases, death. What does the kidney do in our body, so if something goes wrong, will it cause disease? Let's explain it in detail using knowledge of kidney function. ",Unnamed: 0,",q20_Ozoom,q20_Hormone,q20_Hormone,q20_Waste,q20_Reabsorption,q20_Waste.1,q20_Hormone.1,q20_Hormone.1,q20_Waste.1,q20_Waste.1"
34,34.0,"Hormones are released, wastes are discharged abnormally",34,"35,0,0,0,1,0... It filters out the waste carried through the blood and sends it out of the body"
35,35.0,This is because the kidneys play an important role in our bodies.,35,"36,0,0,0,1,0... the job of filtering out waste carried through the blood,"
36,36.0,The kidneys are essential because they filter out the wastes in our bodies,36,"37,0,0,0,1,0... It filters out the waste that is transported through the blood"
37,37.0,I can't pee,37,"38,0,0,0,0,0,0... It filters out the waste that is transported through the blood"
38,38.0,"If there is something wrong with the kidneys, it causes problems in the excretory system and affects our entire body",38,"39,0,0,0,1,0... It filters out the waste carried through the blood and releases it out of the body"
39,39.0,"The kidneys are the digestive system and are responsible for various aspects such as the breakdown of nutrients in the body, and when abnormalities occur, problems such as nutrient deficiency in the body occur.",39,"40,0,0,0,1,0... It filters out the waste carried through the blood and releases it out of the body"
40,40.0,"The kidneys are responsible for our excretion, so there will be abnormal excretion.",40,"41,0,0,0,1,0... It filters out the waste carried through the blood and sends it out of the body"
41,41.0,The excretory organ discharges wastes out of the body.,41,"42,0,0,0,1,1,,,, the work of filtering waste transported through the blood,"
42,42.0,The kidneys are responsible for filtering out urine.,42,"43,0,0,0,1,0... It filters out the waste carried through the blood"
43,43.0,The filtration will be eliminated and waste will not escape into the blood.,43,"44,0,0,0,1,0... it filters out the waste that is transported through the blood"
44,44.0,It will not allow waste to be removed. That's why there's something wrong with the body.,44,"45,0,0,1,0... the work of filtering out waste carried through the blood,"
45,45.0,It releases wastes,45,"46,0,0,0,1,0... It filters out the waste carried through the blood and releases it"
46,46.0,It releases wastes.,46,"47,1,0,0,0,0... It filters out and releases waste that is transported through the blood"
47,47.0,The kidneys are responsible for filtering out wastes from our bodies.,47,"48,0,0,0,1,0... to filter out the waste carried through the blood and send it out of the body,"
48,48.0,Kidneys are kidneys and work related to urine.,48,"49,0,0,0,1,1,,,, it filters out the waste carried through the blood and releases it out of the body"
49,49.0,"It plays a role in allowing waste and substances that the body does not need to be discharged from the body, and if this function is abnormal, it causes diseases because it cannot properly discharge waste.",49,"50,0,0,1,0... It filters out the waste that is transported through the blood and sends it out of the body"
50,50.0,"The kidneys filter waste from blood vessels and reabsorb essential ingredients in our bodies, such as amino acids and glucose. Diabetes and proteinuria can occur when kidney problems occur, and amino acids and glucose are released through urine.",50,"51,0,0,0,1,0... the job of filtering out waste carried through the blood,"
51,51.0,It excrete wastes from the body.,51,"52,0,0,0,1,0... It filters out and releases waste transported through the blood"
52,52.0,"If my kidneys, which filter wastes from the blood, fail to function, the release of wastes is not smooth, causing diseases.",52,"53,0,0,0,1,0... It filters out and releases waste that is transported through the blood"
53,53.0,I couldn't pee,53,"54,0,0,0,1,0... It filters out the waste carried through the blood and releases it out of the body"
54,54.0,"This is because it plays a role in filtering out waste, so if there is an abnormality in the kidneys, waste accumulates in the body, causing an abnormality",54,"55,0,0,0,0,0... It filters out the waste carried through the blood and releases it out of the body"
55,55.0,"The kidneys filter out the elements in our bodies from the blood and release them out of our bodies However, if it does not work properly, it does not remove the elements in the body properly, which causes problems in the body.",55,"56,0,0,0,1,0... It filters out the waste that is transported through the blood and sends it out of the body"
56,56.0,I don't know,56,"57,0,0,0,1,0... the job of filtering out waste carried through the blood,"
57,57.0,"Since the kidney is an organ that discharges waste accumulated in our body through digestion and circulation, various diseases can appear in the body if kidney abnormalities occur.",57,"58,0,0,1,1,0... It is responsible for filtering out waste carried through the blood59,0,0,0,0,0... It filters out the waste that is transported through the blood"
58,58.0,a buildup of waste in the body,58,"60,0,0,0,0,0... to filter out the waste carried through the blood and send it out of the body,"
59,59.0,"The kidneys can absorb water to control osmotic pressure, and they can filter out carbohydrates or proteins needed in our bodies. Therefore, abnormal kidneys can cause abnormalities in the body.",59,"61,0,0,0,0,0... It filters out the waste carried through the blood and releases it out of the body"
60,60.0,I don't know.,60,"62,0,0,0,0,0... It filters out the waste that is transported through the blood and releases it out of the body"
61,61.0,I don't know,61,"63,0,0,0,0,0... to filter out the wastes in the body,"
62,62.0,I don't know,62,"64,0,0,0,0,0... It filters out the wastes in the body"
63,63.0,"Yes, yes",63,"65,0,0,0,0,0... It filters out the wastes in the body"
64,64.0,I don't know.,64,"66,0,0,0,0,0... It filters out the wastes in the body and releases them"
65,65.0,I don't know.,65,"67,0,0,0,0,0... It filters out the wastes in the body and releases them"
66,66.0,.....................................,66,"68,0,0,0,0,0... It filters out the wastes in the body and releases them"
67,67.0,I don't know,67,"69,0, 0, 0, 0, 0, 0... to filter out the waste from the body and send it out of the body,"
68,68.0,I don't know,68,"70,0,0,0,0,0... It filters out the wastes in the body and releases them out of the body"
69,69.0,I don't know,69,"71,0,0,0,0,0... It filters out the wastes in the body and releases them out of the body"
70,70.0,purify the blood,70,"72,0, 0, 0, 0, 0, 0... to filter out the waste from the body,"
71,71.0,in a roundabout way,71,"73,0,0,0,1,0... It filters out the wastes in the body and releases them"
72,72.0,I don't know the human body :>,72,"74,0,0,0,0,0,0... It filters out the wastes in the body and releases them"
73,73.0,a dying disease,73,"75,0, 0, 0, 0, 0, 0... to filter out the waste from the body and send it out of the body,"
74,74.0,"Our organs prevent harmful cells from entering our bodies, and if something goes wrong with our organs, we cannot filter out all harmful cells, and some enter our bodies and reproduce, causing disease",74,"76,1,0,0,1,0... It filters out the wastes in the body and releases them out of the body"
75,75.0,66 88 - 혀ㅜTongue66 ㅑ,75,"77,0,0,0,1,0... It filters out the wastes in the body and releases them out of the body"
76,76.0,Disease 1 diabetes 2 peam 3 drugs,76,"78,0,0,0,1,0... the job of filtering out the wastes in the body,"
77,77.0,The kidneys let the bad ingredients out of the pee and poop.,77,"79,0,0,0,1,0... It filters out the waste from the body"
78,78.0,We collect toxic or unhealthy things in our kidneys,78,"80,0,0,0,1,0... It filters out the waste from the body"
79,79.0,"When you eat food and dispose of scraps,",79,"81, 0, 0, 0, 1, 0... to filter out the waste from the body and send it out of the body"
80,80.0,"The kidneys filter out the waste accumulated in our body's blood. If there is an abnormality in the kidney, it cannot filter out the waste in the blood, which increases the risk of getting sick.",80,"82,0,0,0,1,0... It filters out the wastes in the body and releases them out of the body"
81,81.0,The kidneys filter out waste because they don't know that.,81,"83,0,0,0,1,0... It filters out the waste from the body and releases it out of the body"
82,82.0,"The kidneys play a role in discharging waste from the human body, and if something goes wrong, it is impossible to discharge waste, which poses a health risk.",82,"84,0,0,0,0,0... to filter out the waste in the blood,"
83,83.0,This is because kidneys manage waste from our bodies and turn dirty blood into clean blood.,83,"85,0,0,0,0,0... It filters out the waste in the blood"
84,84.0,The kidneys cleanse the blood of our bodies,84,"86,0,0,0,1,0... It filters out the waste in the blood"
85,85.0,It's because it causes disease,85,"87,0,0,0,0,0... the job of filtering out the waste in the blood,"
86,86.0,"FG/LK;FD,GL,GL;",86,"88,0,0,0,0,0... It filters out the waste in the blood and releases it89,0,0,0,1,0... It filters out the waste from the blood and releases it"
87,87.0,The kidneys filter out toxins and bad substances in our blood.,87,"90,1,0,1,0... to filter out the waste from the blood and send it out of the body"
88,88.0,I do not remember.,88,"91,0,0,1,0... It filters out the waste in the blood and releases it out of the body"
89,89.0,There's a foreign substance stuck in the bean pop,89,"92,0,0,0,0,0... It filters out the waste in the blood and sends it out of the body"
90,90.0,I don't know exactly. I don't think I can pee well,90,"93,0,0,0,0,0... to filter out the waste from the blood,"
91,91.0,"Since wastes accumulated in our bodies are sent outside with urine, if this function is abnormal, nasal wastes accumulate in our bodies, causing problems in most of our bodies.",91,"94,0,0,0,1,0... It filters out the waste from the blood and releases it"
92,92.0,The kidney is responsible for filtering out bad substances in our bodies.,92,"95,0,0,0,1,0... It filters out the waste in the blood and releases it"
93,93.0,An abnormality in the kidney causes indigestion,93,"96,0,0,0,0,0... to filter out the waste from the blood and send it out of the body"
94,94.0,I don't know.,94,"97,0,0,1,0... It filters out the waste in the blood and releases it out of the body"
95,95.0,filter out the no-fee water in the blood,95,"98,0,0,0,1,0... It filters out the waste in the blood and sends it out of the body"
96,96.0,"No-fe water filter. If you don't, it will pile up, so your face will look bad, and you will have a rock engraved inside",96,"99,0,0,0,0,0... to filter out the waste from the blood,"
97,97.0,I don't know,97,"100,0,0,1,0... It filters out the waste from the blood"
98,98.0,"To purify the poison? (I don't know)Blood takes oxygen and sends the remaining residue to the kidneys to discharge it, but it fails to discharge the residue and is wrapped in the body, causing a disease.",98,"101,0,0,0,1,0... It filters out the waste from the blood"
99,99.0,"There are two kidneys, so even if there is something wrong with one, you can take it out from the kidneys, but there is only one heart, lungs, intestines, etc., so you can die because there is a risk to the kidneys.",99,"102,0,0,0,0,0... to filter out the waste from the blood and send it out of the body"
100,100.0,"The kidneys play a role in converting dirty blood, that is, blood accumulated with waste, into clean blood.It serves to filter waste from the blood.Therefore, if there is an abnormality in this, the blood vessels may be blocked and collapse because waste is not filtered from accumulating in the blood.",100,"103,0,0,0,1,0... It filters out the waste from the blood and releases it out of the body"
101,101.0,"The kidneys do the job of filtering blood clean. Therefore, if there is an abnormality in the kidney, blood is not clean and waste accumulates, resulting in diabetes.",101,"104,0,0,0,0,0... It filters out the waste from the blood and releases it out of the body"
102,102.0,"""The kidneys cleanse our body's waste, and they cleanse it",102,"105,0,0,0,0,0... filter out the waste and maintain clean blood,"
103,103.0,"Diabetes occurs if the kidneys are not properly filtered out.""",103,"106,1,0,0,0... filter out the waste and maintain clean blood"
104,104.0,"""Because the kidneys work to get rid of wastes,",104,"107,0,0,1,0... filter out the waste and maintain clean blood"
105,105.0,"If the kidneys don't get rid of the waste, it's going to build up in your body",105,"108,0,0,0,1,0... It filters out the waste and maintains clean blood"
106,106.0,"It causes a disease.""",106,"109,1,0,1,0... filter out the waste and maintain clean blood,"
107,107.0,A person's body can be destroyed at any time So it can cause abnormalities,107,"110,1,0,1,0,1,0... filter out the waste and maintain clean blood,"
108,108.0,It makes me live,108,"111,0,0,0,0,0... filter out the waste and maintain clean blood"
109,109.0,Makes our pee.,109,"112,0,0,0,1,0... It filters out the waste and maintains clean blood"
110,110.0,You have to keep your blood clean,110,"113,0,0,0,1,0... filter out the waste and keep the blood clean"
111,111.0,The function of the kidneys is necessary to deliver nutrients from our bodies and to filter out the residue to make urine,111,"114,0,0,0,1,0... filter out the waste and keep the blood clean"
112,112.0,"The kidneys filter out waste carried through the blood and make urine. Blood from which waste has been removed is sent back into the body, and urine is released out of the body through the bladder. The process of releasing waste products from the blood out of the body is called excretion, and kidneys are involved in excretion. It filters out waste from the body and sends it outside to keep the blood clean.",112,"115,1,0,1,0... filter out the waste and keep the blood clean"
113,113.0,"If there's something wrong with the kidneys that filters out the nope and releases it out of the body through urine, the wastes will build up in our bodies and cause disease",113,"116,0,0,0,0,0,0... It filters out the waste and keeps the blood clean"
114,114.0,"When I eat food, I digest and come out as poop.",114,"117,0,0,0,0,0... filter out the waste and keep the blood clean"
115,115.0,filter out the waste and keep the blood clean,115,"118,0,0,0,0,0... filter out the waste and keep the blood clean1190,0,0,0,0,0... filter out the waste and keep the blood clean"
116,116.0,The body generates waste in the process of making and using energy necessary for the body by utilizing nutrients. It is harmful if waste remains in our bodies. The process of releasing waste from the blood out of the body is called excretion. It filters out waste from the body and sends it outside to keep the blood clean.This allows us to live a healthy life.,116,"120,0,0,0,0,0,0... It filters out the waste and keeps the blood clean"
117,117.0,"Kidneys purify the blood, but if the kidney gets worse, it becomes a disease because the blood is not purified well and is not purified",117,"121,0,0,0,1,0... filter out the waste and keep the blood clean"
118,118.0,"The kidneys filter out waste carried through the blood to make urine. Blood from which waste has been removed is sent back into the body, and urine is released out of the body through the bladder. In this way, waste from the body is filtered out and sent to the outside to keep the blood clean.",118,"122,0,0,0,0,0... filter out the waste and keep the blood clean"
119,119.0,M and D,119,"123,0,0,0,1,0... filter out the waste and keep the blood clean"
120,120.0,I don't understand.,120,"124,0,0,0,0,0,0... It filters out the waste and keeps the blood clean"
121,121.0,"If there is no function in the kidney, the body's function is lost, so there is a problem.",121,"125,0,0,0,0,0... filter out the waste and maintain clean blood,"
122,122.0,Because it keeps us from getting sick?,122,"126,0,0,0,0,0... filter out the waste and maintain clean blood"
123,123.0,I don't understand.,123,"127,0,0,0,0,0... filter out the waste and maintain clean blood"
124,124.0,The kidneys filter out the waste from our dreams,124,"128,0,0,0,0,0,0... It filters out the waste and maintains clean blood"
125,125.0,I don't know,125,"129,0,0,0,1,0... filter out the waste carried through the blood to maintain clean blood,"
126,126.0,Blood gets dirty because it cannot filter out foreign substances in the blood,126,"130,0,0,0,0,0... filter out the waste carried through the blood to maintain clean blood,"
127,127.0,I don't know.,127,"131,0,0,0,0,0,0... filter out the waste carried through the blood to maintain clean blood"
128,128.0,I don't know. I don't know,128,"132,0,0,0,0,0,0... Filter waste transported through the blood to maintain clean blood"
129,129.0,I don't know,129,"133,0,0,0,0,0... filter out the waste carried through the blood to maintain clean blood,"
130,130.0,"Kidney. So, what do we do in our bodies? I need to find out",130,"134,0,0,0,0,0... filter out the waste carried through the blood to maintain clean blood,"
131,131.0,You have to trust the doctor,131,"135,0,0,0,0,0... filter out the waste carried through the blood to maintain clean blood"
132,132.0,"Because kidneys filter out blood that is bad for our body, our body can live healthy, but if we don't have kidneys, harmful substances accumulate.",132,"136,0,0,0,1,0... filter out the waste carried through the blood to maintain clean blood"
133,133.0,I don't know,133,"137,0,0,0,0,0... filter out the waste that is transported through the blood and keep the blood clean"
134,134.0,I don't know.,134,"138,0,0,0,0,0... filter out the waste carried through the blood and keep the blood clean"
135,135.0,Cancer develops,135,"139,1,0,1,0,1,0... filter out the waste that is transported through the blood and keep the blood clean"
136,136.0,Cigarettes or non-smokers develop diseases,136,"140,0,0,0,0,0,0... Filter waste transported through the blood to keep the blood clean"
137,137.0,I don't know.,137,"141,0,0,0,0,0... filter out the waste that is transported through the blood and keep the blood clean"
138,138.0,Kidney is important to our body,138,"142,0,0,0,0,0... filter out the waste carried through the blood and keep the blood clean"
139,139.0,The kidneys have the function of separating the scraps in our bodies,139,"143,0,0,0,1,0... filter out the waste that is transported through the blood and keep the blood clean"
140,140.0,"When we eat and live in our lives, we filter out bad substances such as instant and harmful substances.",140,"144,0,0,0,0,0,0... filter out the waste that is transported through the blood and keep the blood clean"
141,141.0,Kongji and Patji,141,"145,0,0,0,1,0... filter out the waste carried through the blood and keep the blood clean"
142,142.0,"Urine is the place where it is made, and if there is an abnormality, it cannot discharge waste and causes an abnormality",142,"146,0,0,0,0,0... filter out the waste carried through the blood and keep the blood clean"
143,143.0,It covers up the excrement,143,"147,0,0,0,0,0,0... Strain waste from the blood and keep the blood clean"
144,144.0,You get sick because we don't do hygiene thoroughly,144,"148,0,0,0,1,0... Filter the waste carried through the blood and keep the blood clean149,0,0,0,1,0... filter out the waste carried through the blood to maintain clean blood,"
145,145.0,Because all the elements in the body are important.,145,"150,0,0,0,1,0... It filters out the waste transported through the blood and maintains clean blood"
146,146.0,I'm going to take out the pee out,146,"151,0,0,0,1,0... filter out the waste carried through the blood to maintain clean blood"
147,147.0,"When you eat the wrong food,",147,"152,0,0,0,1,0... It filters out the waste transported through the blood to maintain clean blood"
148,148.0,It's dangerous to have kidney problems because it filters out wastes,148,"153,0,0,0,1,0... filter out the waste carried through the blood to maintain clean blood,"
149,149.0,Kidneys can make us move and grow taller.,149,"154,0,0,0,1,0... filter out the waste carried through the blood to maintain clean blood,"
150,150.0,I don't know.,150,"155,0,0,0,0,0... filter out the waste carried through the blood to maintain clean blood"
151,151.0,We haven't been able to filter out the waste that's been created in our bodies,151,"156,0,0,0,1,0... filter out the waste carried through the blood to maintain clean blood"
152,152.0,"If you can't filter out the waste, your stomach will get damaged",152,"157,0,0,1,0... filter out the waste carried through the blood to maintain clean blood,"
153,153.0,This is because it filters out the body's waste and discharges it into urine.,153,"158,0,0,0,0,0... filter out the waste carried through the blood to maintain clean blood,"
154,154.0,My stomach hurts because I can't filter out the no-fefe water in my blood,154,"159,0,0,0,1,0... filter out the waste carried through the blood to maintain clean blood"
155,155.0,"The kidney filters out the body's no-feather, because it becomes unable to function.",155,"1600,0,0,0,0,0... It filters out the waste that is transported through the blood and maintains clean blood"
156,156.0,The kidneys take away the old vandalism in the blood,156,"161,0,0,0,0,0... Strain waste from the blood and keep it clean"
157,157.0,This is because the kidneys filter out the no-fefe water in the blood.,157,"162,0,0,0,0,0... filter out the waste carried through the blood to keep the blood clean"
158,158.0,I don't know.,158,"163,0,0,0,0,0... filter out the waste that is transported through the blood and keep the blood clean"
159,159.0,This is because the kidneys play a role in filtering out waste in the blood.,159,"164,0,0,0,0,0,0... Filter the waste carried through the blood to keep the blood clean"
160,160.0,The kidneys are responsible for filtering out the wastes,160,"165,0,0,0,0,0... filter out the waste that is transported through the blood and keep it clean"
161,161.0,It causes inflammation and damages other organs.,161,"166,0,0,0,1,0... filter out the waste that is transported through the blood and keep the blood clean"
162,162.0,"If the kidneys have abnormal functions, they may die because they cannot clean the blood, and if they do not have a liver, they cannot break down alcohol.",162,"167,0,0,1,0... filter out the waste that is transported through the blood and keep the blood clean"
163,163.0,I don't know.,163,"168,0,0,0,1,0... filter out the waste that is transported through the blood and keep the blood clean"
164,164.0,I don't know,164,"169,0,0,0,1,0... Strain waste from the blood and keep it clean"
165,165.0,"No Minseung, scissors",165,"1700,0,0,0,0,0... filter out the waste carried through the blood and keep the blood clean"
166,166.0,"Yes, kidneys are very important",166,"171,0,0,0,0,0... It filters out the waste that is transported through the blood and keeps it clean"
167,167.0,Kidney is important,167,"172,1,0,1,0,1,0... It filters out the waste that is transported through the blood and keeps the blood clean"
168,168.0,I don't know.,168,"173,0,0,0,1,0... filter out the waste carried through the blood to maintain clean blood,"
169,169.0,It has the function of relieving poison.,169,"174,0,0,0,1,0... It filters out the waste carried through the blood and maintains clean blood"
170,170.0,"""Because the kidneys filter waste from the blood circulation, blood that has passed through the kidneys becomes clear, so abnormal kidney conditions can lead to poor health.",170,"175,0,0,0,0,0... It filters out the waste that is transported through the blood and keeps the clean blood"
171,171.0,"""",171,"176,0,0,0,1,0... It filters out the waste carried through the blood to maintain clean blood"
172,172.0,It removes impurities.,172,"177,0,0,1,0,0... filter out the waste from the body to maintain clean blood,"
173,173.0,filter out waste matter,173,"178,0,0,0,0,0... filter out the waste from the body to maintain clean blood179,0,0,0,1,1,, filter out the waste from the body and maintain clean blood"
174,174.0,have a kidney disease,174,"180,0,0,0,0,0,0... It filters out the waste in your body to maintain clean blood"
175,175.0,maintain proper body temperature and blood pressure,175,"181,0,0,0,1,0... filter out the waste from the body to maintain clean blood,"
176,176.0,Filtrate waste and make a pee.,176,"182,1,0,1,0,1,0... filter out the waste from the body to maintain clean blood,"
177,177.0,"The kidney is a place to filter waste to the bladder, and if there is a problem with the kidney, the nutrients necessary for the body to go out of the waste through the bladder will also escape.",177,"183,0,0,0,0,0... filter out the waste from the body to maintain clean blood"
178,178.0,It's dangerous if there's something wrong with cleaning up the waste,178,"184,0,0,0,1,1,,,, filter out the waste from your body to maintain clean blood"
179,179.0,I don't know.,179,"185,0,0,0,1,0... filter out the waste from your body and keep your blood clean"
180,180.0,It filters out the wastes in the urine,180,"186,0,0,0,0,0... to filter out the waste from the body and keep the blood clean"
181,181.0,Maintain proper body temperature and blood pressure,181,"1870,0,0,1,0... filter out the waste from the body and keep the blood clean"
182,182.0,I don't know.,182,"188,0,1,1,1,0,,, it filters out the waste in your body and keeps your blood clean"
183,183.0,"The kidney filters out the body's waste and reabsorbs nutrients that cannot be absorbed by the body, so when teeth break down, waste accumulates in the body and energy efficiency decreases",183,"1890,0,0,0,1,1,,,, filter out the waste from your body and keep your blood clean,"
184,184.0,I don't know.,184,"190,1,0,0,1,0... It filters out the waste from the body and keeps the blood clean"
185,185.0,It filters out the wastes.,185,"191,0,0,0,1,0... filter out the waste from the body and keep the blood clean"
186,186.0,"""It's about taking elements and water out of the blood to make a pee",186,"192,0,0,0,0,0... It filters out the waste from the body and keeps the blood clean"
187,187.0,"This is because abnormalities in the kidneys cause problems in urine discharge.""",187,"1933,0,0,0,1,1,,,, filter out the waste from your body and keep your blood clean,"
188,188.0,"Since the kidneys filter out the wastes in our bodies, if the kidneys fail, they can be dangerous due to the accumulation of wastes in the body.",188,"194,0,0,0,1,1,,,, filter out the waste from the body and keep the blood clean,"
189,189.0,"The function of the kidney is to filter waste and absorb water, but life will be uncomfortable if this function is lost",189,"1955,0,0,0,0,1,,,, filter out the waste from the body and keep the blood clean"
190,190.0,Remove and discharge wastes,190,"196,0,0,1,1,0... It filters out the waste from the body and keeps the blood clean"
191,191.0,.,191,"197,0,0,0,0,0... It filters out the wastes in the body to maintain clean blood"
192,192.0,The toxins that are harmful to the body increase and break down every corner of the body.,192,"198,0,0,0,0,0,0... It filters out the wastes in the body to maintain clean blood"
193,193.0,"This is because it affects plasma osmotic pressure as a target organ of anti-diuretic hormones, and as a representative excretory organ of our body, it plays a role in releasing unhealthy substances out of the body.",193,"199,0,0,0,0,0,0... It filters out the waste from the body and maintains clean blood"
194,194.0,"The filtration function is not working properly, so the waste in the blood cannot be filtered",194,"200,0,0,1,1,0... It filters out the waste from the body and maintains clean blood"
195,195.0,"Since the kidneys filter wastes from our bodies and create urine, wastes accumulate in the body if there is an abnormality in the kidneys.",195,"201,0,0,1,0,0... Filter out the waste in the blood to maintain clean blood,"
196,196.0,"Kidney removes the toxin called urea from our body, but if it can't play a role in kidney, it will die.",196,"202,0,0,0,0,0... filter out the waste in the blood to maintain clean blood"
197,197.0,"I don't know.The kidneys are an organ of the excretory system, and the nephrons that make up the kidneys play a role in filtering waste through filtration, reabsorption, and secretion processes. However, if there is an abnormality in the kidney, these excretory activities cannot be carried out properly, resulting in an abnormality in the body.",197,"203,0,0,0,0,0,0... filter out the waste in the blood to maintain clean blood"
198,198.0,"If it is unable to filter out waste from urine and absorb nutrients, the waste is also absorbed into the body, resulting in a disease.",198,"204,0,0,0,0,0,0... It filters out the waste in the blood to maintain clean blood"
199,199.0,Filter functionality of filtration,199,"205,0,0,0,0,0... filter out the waste in the blood to maintain clean blood,"
200,200.0,"Since the kidneys excrete waste products in the blood and maintain water content and acidity in the body, various diseases occur when kidney abnormalities occur.",200,"206,0,0,0,1,0... filter out the waste in the blood to maintain clean blood"
201,201.0,...,201,"207,0,0,0,1,0... filter out the waste in the blood to maintain clean blood"
202,202.0,I don't know.,202,"208,0,0,0,0,0,0... It filters out the waste in the blood to maintain clean blood209,0,0,0,1,0... filter out the waste from the blood and keep it clean"
203,203.0,organ trading,203,"210,0,0,0,1,0... filter out the waste from the blood and keep it clean"
204,204.0,"The kidneys are responsible for metabolizing waste matter and maintaining body balance along with the surrounding ureter, bladder, and urethra. These kidneys not only have the main function of excreting waste, but they also maintain the balance of acid bases and control blood pressure by maintaining the appropriate amount of body fluid with the balance of water and electrolytes.",204,"211,0,0,0,1,0... filter out the waste from the blood and keep it clean"
205,205.0,Maintaining body fluids and controlling blood pressure,205,"212,0,0,0,1,0... It filters out the waste in the blood and keeps the blood clean"
206,206.0,"Even if you don't have a kidney, you can die if something goes wrong with your body",206,"213,0,0,0,1,0... filter out the waste from the blood and keep it clean"
207,207.0,"I have two kidneys, so I don't need one",207,"214,0,1,0,1,0... filter out the waste from the blood and keep it clean"
208,208.0,I know that kidneys do important things for the body,208,"215,0,0,0,1,0... filter out the waste from the blood and keep it clean"
209,209.0,I don't know.,209,"216,0,0,0,1,0... It filters out the waste in the blood and keeps the blood clean"
