,Unnamed: 0,"2) Let's gather the data that we observed and measured during the experiment, and then explain the process of exploration in the next order",Unnamed: 0,",q28_Data Interpretation, q28_Data Interpretation and Exploration Process"
98,98,I have to make a presentation.L.,98.0,"101,1,0"
99,99,I don't know.,99.0,"102,0,0"
100,100,Organize data,100.0,"103,0,1"
101,101,Organize the measured data,101.0,"104,0,1"
102,102,inquiry theorem,102.0,"105,0,0"
103,103,I don't know,103.0,"106,1,0"
104,104,Prove it.,104.0,"107,0,0"
105,105,draw a conclusion,105.0,"108,0,0"
106,106,I'm setting up a hypothesis,106.0,"109,0,0"
107,107,draw a conclusion by comparing it with the hypothesis,107.0,"110,0,0"
108,108,a double-crossing,108.0,"111,0,1"
109,109,Don't know,109.0,"112,1,0"
110,110,What?,110.0,"113,1,0"
111,111,Collect and synthesize the observed and measured data.,111.0,"114,0,0"
112,112,Experiment,112.0,"115,0,0"
113,113,I need to organize the data.,113.0,"116,0,1"
114,114,to gather and organize data,114.0,"117,0,0"
115,115,Haha,115.0,"118,0,0119,0,1"
116,116,I'll blow it out,116.0,"120,1,0"
117,117,write an inquiry report,117.0,"121,0,0"
118,118,I don't know.,118.0,"122,0,1"
119,119,I don't know.,119.0,"123,0,0"
120,120,I think I'll do a lot of research with my colleagues,120.0,"124,0,1"
121,121,Organizing the results of the inquiry,121.0,"125,0,1"
122,122,I don't know.,122.0,"126,0,0"
123,123,"I'm going to announce this, too",123.0,"127,0,1"
124,124,I don't know because I'm so cute.,124.0,"128,0,0"
125,125,Announcement,125.0,"129,0,0"
126,126,Create Results-Submit (or Present),126.0,"130,0,0"
127,127,.,127.0,"131,0,1"
128,128,Write an inquiry report,128.0,"132,0,0"
129,129,.,129.0,"133,0,1"
130,130,write in that order,130.0,"134,1,0"
131,131,I don't know.,131.0,"135,0,0"
132,132,Creating a report,132.0,"136,0,1"
133,133,All right.,133.0,"137,0,1"
134,134,They're actually doing an experiment,134.0,"138,1,0"
135,135,Organize data,135.0,"139,0,1"
136,136,"Find answers, put them in textbooks, and give more test questions to students.",136.0,"140,1,0"
137,137,I'm going to experiment,137.0,"141,0,1"
138,138,Let's do an experiment,138.0,"142,1,0"
139,139,Analyze the results or organize the results.,139.0,"143,0,0"
140,140,Announcement,140.0,"144,0,0"
141,141,Organizing,141.0,"145,1,1"
142,142,I'm exploring,142.0,"146,1,0"
143,143,Organizing,143.0,"147,1,0"
144,144,............?,144.0,"148,1,0149,1,0"
145,145,Make a graph or table.,145.0,"150,1,0"
146,146,Let's do the experiment again with the theorem,146.0,"151,1,0"
147,147,Interpreting,147.0,"152,0,1"
148,148,Table and analyze.,148.0,"153,0,0"
149,149,Interpret and fit into a hypothesis,149.0,"154,1,0"
150,150,Interpreting,150.0,"155,1,0"
151,151,Analyze and compare.,151.0,"156,1,0"
152,152,interpretation of the meaning of data,152.0,"157,0,1"
153,153,"Gather accurate data, present accurate conclusions",153.0,"158,0,0"
154,154,Finish,154.0,"159,0,1"
155,155,Analyze the meaning of a table or graph,155.0,"160,0,1"
156,156,Analyzing data,156.0,"161,0,0"
157,157,"Analyze with tables, graphs, etc.",157.0,"162,0,1"
158,158,I'll announce it,158.0,"163,1,0"
159,159,?,159.0,"164,0,0"
160,160,"Present research or present data in a chart, etc. for easy viewing",160.0,"165,0,0"
161,161,Let people know,161.0,"166,0,0"
162,162,be inexplicably great,162.0,"167,0,1"
163,163,I'll announce it,163.0,"168,0,0"
164,164,Summarize the results of the inquiry.,164.0,"169,0,0"
165,165,ㅐ,165.0,"170,1,0"
166,166,I doubt it.,166.0,"171,0,0"
167,167,I don't know.,167.0,"172,0,1"
168,168,Creating a report,168.0,"173,0,1"
169,169,I don't know,169.0,"174,0,0"
170,170,All right.,170.0,"175,0,1"
171,171,organize the contents of one's inquiry,171.0,"176,1,0"
172,172,Yes.,172.0,"177,0,1"
173,173,Preparation of inquiry report,173.0,"178,0,0179,1,0"
174,174,Find out the results through experiments if you have any questions from the survey,174.0,"180,1,0"
175,175,find a way to explain,175.0,"181,0,1"
176,176,Announcement,176.0,"182,0,0"
177,177,Let's clean it up.,177.0,"183,0,0"
178,178,Make a report based on the measured data and let people know about it.,178.0,"184,0,1"
179,179,I don't know,179.0,"185,0,0"
180,180,Let's see if the data has specific rules.,180.0,"186,0,1"
181,181,Organize data and experimental results.,181.0,"187,1,0"
182,182,a record of inquiry,182.0,"188,0,0"
183,183,Write it down on a memo or computer and show it to me.,183.0,"189,0,0"
184,184,find a solid basis,184.0,"190,0,0"
185,185,Find data that may be related to the question of inquiry.,185.0,"191,0,0"
186,186,I don't know,186.0,"192,0,0"
187,187,Investigate.,187.0,"193,1,0"
188,188,organize the data,188.0,"194,0,0"
189,189,I don't know.,189.0,"195,0,0"
190,190,I don't know.,190.0,"196,0,1"
191,191,Review.,191.0,"197,1,0"
192,192,I don't know.,192.0,"198,0,1"
193,193,Exploring,193.0,"199,0,0"
194,194,"""Organizing""",194.0,"200,1,1"
195,195,"""",195.0,"201,0,0"
196,196,Make sure the data are correct,196.0,"202,0,0"
197,197,?It presents people with an inquiry process and a reason for starting an inquiry.,197.0,"203,1,0"
198,198,Check again that the logic is not clear.,198.0,"204,0,0"
199,199,We investigate the problem based on the data,199.0,"205,0,0"
200,200,I don't know this either...,200.0,"206,1,0"
201,201,"Organizing results, presenting",201.0,"207,1,1"
202,202,"You go to the Korean Intellectual Property Office using transportation facilities, apply for a patent, and you shouldn't be denied a patent, and if you get a patent, you should issue a patent",202.0,"208,1,1209,0,0"
203,203,I don't know.,203.0,"210,1,0"
204,204,Let's clean it up.,204.0,"211,0,0"
205,205,I don't know.,205.0,"212,0,0"
206,206,?,206.0,"213,1,0"
207,207,Organize the observed and measured data for easy viewing.,207.0,"214,0,0"
208,208,Organize presentation materials,208.0,"215,0,0"
209,209,"After that, you have to organize your inquiry. It is necessary to conclude the inquiry investigation and organize the inquiry data once again.",209.0,"216,0,0"
210,210,Find the materials you need.,210.0,"217,1,1"
211,211,Let's clean it up.,211.0,"218,0,0"
212,212,.,212.0,"219,0,1"
213,213,I don't know,213.0,"220,0,0"
214,214,Organize the contents with the collected data,214.0,"221,0,1"
215,215,I'll take it,215.0,"222,0,1"
216,216,All right.,216.0,"223,0,0"
217,217,I don't know.,217.0,"224,0,0"
218,218,"After collecting them, they organize their thoughts and make a presentation.",218.0,"225,1,0"
219,219,I don't know.,219.0,"226,0,0"
220,220,betting on experimental results,220.0,"227,1,0"
221,221,It's,221.0,"228,1,0"
222,222,Writing a report,222.0,"229,1,0"
223,223,Drawing a conclusion,223.0,"230,0,1"
224,224,Collection,224.0,"231,1,0"
225,225,I don't know,225.0,"232,0,0"
226,226,Data review,226.0,"233,0,0"
227,227,Feedback,227.0,"234,1,0"
228,228,arrangement,228.0,"235,0,0"
229,229,organize the data,229.0,"236,0,0"
230,230,Organize results,230.0,"237,0,0"
231,231,Generalization,231.0,"238,0,0239,1,0"
232,232,Analyze the data,232.0,"240,1,0"
233,233,I don't know,233.0,"241,0,0"
234,234,I don't know.,234.0,"242,0,0"
235,235,Organize the data for easy viewing,235.0,"243,1,0"
236,236,I don't know,236.0,"244,1,0"
237,237,I guess,237.0,"245,0,0"
238,238,I'm going to make a promise,238.0,"246,0,1"
239,239,I don't know.,239.0,"247,0,1"
240,240,Put the data together,240.0,"248,0,0"
241,241,Organize the contents and results of the experiment,241.0,"249,1,1"
242,242,in order to make life better,242.0,"250,0,0"
243,243,I don't know...,243.0,"251,0,1"
244,244,Let's clean up.,244.0,"252,1,0"
245,245,Organize the contents of the materials,245.0,"253,1,0"
246,246,Find the logic that fits the problem to make people believe.,246.0,"254,1,0"
247,247,Experiment.,247.0,"255,1,0"
248,248,make an investigation,248.0,"256,0,0"
249,249,I don't know.,249.0,"257,0,1"
250,250,I'm going to summarize and present it,250.0,"258,0,0"
251,251,I forgot...,251.0,"259,0,0"
252,252,An experiment?,252.0,"260,1,0"
253,253,Analyze the measured data,253.0,"261,1,0"
254,254,Organize your collection sequentially,254.0,"262,0,1"
255,255,Organize the results of the experiment,255.0,"263,0,1"
256,256,Organize the process,256.0,"264,0,0"
257,257,I don't know 💘,257.0,"265,0,0"
258,258,Experimental design,258.0,"266,0,0"
259,259,Preparation of data,259.0,"267,0,0"
260,260,I don't know,260.0,"268,1,0269,1,0"
261,261,Organize the results of the experiment,261.0,"270,0,0"
262,262,Organize data,262.0,"271,0,0"
263,263,produce results,263.0,"272,0,1"
264,264,to show the results through measured data,264.0,"273,0,0"
265,265,I don't know,265.0,"274,1,0"
266,266,Set up the experimental group and the control group.,266.0,"275,0,1"
267,267,I don't know.,267.0,"276,0,0"
268,268,Judging hypotheses from the results,268.0,"277,0,1"
269,269,Compare it with the hypothesis.,269.0,"278,1,0"
270,270,Let's clean it up.,270.0,"279,0,1"
271,271,I don't know.,271.0,"280,1,0"
272,272,Thinking,272.0,"281,0,0"
273,273,Representation of results,273.0,"282,0,0"
274,274,?,274.0,"283,0,0"
275,275,Statistics,275.0,"284,0,0"
276,276,Let's draw a conclusion.,276.0,"285,0,1"
277,277,I don't know,277.0,"286,0,1"
278,278,Empirically verify the specific results derived through deductive reasoning,278.0,"287,0,0"
279,279,The process of interpreting the materials explored is necessary,279.0,"288,0,0"
280,280,Derive results,280.0,"289,0,1"
281,281,Interpret the observations.,281.0,"290,0,0"
282,282,It's an observation,282.0,"291,0,0"
283,283,I don't know,283.0,"292,0,0"
284,284,Hypothesis judgment,284.0,"293,0,0"
285,285,Proof,285.0,"294,1,0"
286,286,Confirm consistency with hypotheses and announce conclusions,286.0,"295,0,0"
287,287,Experiment,287.0,"296,0,1"
288,288,observe a common phenomenon,288.0,"297,0,1"
289,289,All right.,289.0,"298,0,0299,0,1"
290,290,Experiment,290.0,"300,0,1"
291,291,Execute,291.0,"301,1,0"
292,292,I don't know.,292.0,"302,0,0"
293,293,I don't understand.,293.0,"303,1,0"
294,294,Hypothesis setting,294.0,"304,0,0"
295,295,Statistics,295.0,"305,1,0"
296,296,"I don't know""I'm experimenting",296.0,"306,0,1"
297,297,"""",297.0,"307,0,1"
298,298,an inductive method of inquiry,298.0,"308,1,1"
299,299,See if the hypothesis is correct.,299.0,"309,0,0"
300,300,Drawing conclusions,300.0,"310,0,0"
301,301,experiment,301.0,"311,0,0"
302,302,Analysis of results,302.0,"312,0,1"
303,303,Hypothesis setting,303.0,"313,1,1"
304,304,Compare with a pre-established hypothesis.,304.0,"314,1,0"
305,305,I don't know.,305.0,"315,0,0"
306,306,organize the data,306.0,"316,1,0"
307,307,judge the facts on the basis of the data,307.0,"317,1,0"
308,308,Experiment,308.0,"318,0,1"
309,309,Draw conclusions and analyze the results,309.0,"319,0,0"
310,310,I don't know.,310.0,"320,1,1"
311,311,.,311.0,"321,0,1"
312,312,I don't know.,312.0,"322,1,0"
313,313,The results for the next experiment are.,313.0,"323,0,1"
314,314,Prepare a report and organize all the contents.,314.0,"324,0,1"
315,315,Analyze the data.,315.0,"325,0,1"
316,316,Haha,316.0,"326,0,1"
317,317,Organize the results of the experiment,317.0,"327,0,1"
318,318,Analysis,318.0,"328,0,1329,0,1"
319,319,"Experiment and observe, gather data, and gather evidence to prove it",319.0,"330,1,0"
320,320,Hypothesis setting,320.0,"331,1,0"
321,321,"Compare with your own hypothesis, and if the hypothesis is wrong, make a hypothesis again and experiment.",321.0,"332,1,0"
322,322,draw a conclusion,322.0,"333,1,0"
323,323,Analysis of test results,323.0,"334,0,0"
324,324,Draw a conclusion,324.0,"335,0,0"
325,325,Exploring and conducting,325.0,"336,0,1"
326,326,Draw a conclusion,326.0,"337,0,0"
327,327,Verification,327.0,"338,0,0"
328,328,"Observation, Experience - Validation",328.0,"339,0,0"
329,329,"If the result is the same as the hypothesis, generalization is made through the derivation of conclusions, and if it is not correct, the hypothesis is re-established through the feedback process.",329.0,"340,0,0"
330,330,"With the measured data, an experimental plan suitable for the pre-established hypothesis is established and explored accordingly.",330.0,"341,0,0"
331,331,Organize the observed and measured data.,331.0,"342,0,1"
332,332,arrangement,332.0,"343,0,0"
333,333,statistics on the data,333.0,"344,0,0"
334,334,Data analysis,334.0,"345,0,1"
335,335,르It's going to be hard,335.0,"346,0,1"
336,336,"Yes, yes",336.0,"347,0,0"
337,337,Announcement,337.0,"348,0,0"
338,338,I don't know,338.0,"349,0,0"
339,339,I don't know,339.0,"350,0,0"
340,340,I don't know,340.0,"351,0,0"
341,341,I don't know.,341.0,"352,0,0"
342,342,Kim Doyoon is a fool,342.0,"353,1,0"
343,343,Let's investigate why this happens.,343.0,"354,0,0"
344,344,ㅈ,344.0,"355,1,1"
345,345,QUESTION,345.0,"356,0,0"
346,346,Announcement,346.0,"357,0,0"
347,347,Present to people based on the phenomena and data they have studied,347.0,"358,0,0359,0,1"
348,348,..,348.0,"360,0,1"
349,349,Explain why this phenomenon occurs.,349.0,"361,0,0"
350,350,You'd better collect the tools first before you write them when you want to tag.,350.0,"362,0,0"
351,351,I don't know,351.0,"363,0,0"
352,352,I don't know,352.0,"364,1,0"
353,353,Explain the data.,353.0,"365,1,0"
354,354,I'm organizing,354.0,"366,1,0"
355,355,"You have to write an article that tells your opinion, grounds, and supports it",355.0,"367,0,0"
356,356,Organize materials and create reports,356.0,"368,0,0"
357,357,I don't know.,357.0,"369,0,0"
358,358,Proof,358.0,"370,0,0"
359,359,Variable control,359.0,"371,0,1"
360,360,Create Results,360.0,"372,1,0"
361,361,Let's do an experiment,361.0,"373,0,0"
362,362,1.well 2.well 3.well,362.0,"374,0,0"
363,363,Verification,363.0,"375,0,0"
364,364,I'm sorry,364.0,"376,0,1"
365,365,Let's organize it,365.0,"377,1,0"
366,366,I'm organizing it,366.0,"378,0,0"
367,367,arrangement,367.0,"379,1,0"
368,368,''''''''''''',368.0,"380,0,0"
369,369,I don't know.,369.0,"381,0,1"
370,370,h,370.0,"382,0,0"
371,371,We control variables.,371.0,"383,1,1"
372,372,Write a report.,372.0,"384,1,0"
373,373,to write a compilation of inquiry materials,373.0,"385,0,1"
374,374,Regret 2,374.0,"386,0,0"
375,375,h,375.0,"387,0,0"
376,376,h,376.0,"388,0,1389,1,0"
377,377,I'lllllllllllllllly,377.0,"390,0,0"
378,378,Organize data,378.0,"391,0,0"
379,379,I don't know.,379.0,"392,0,0"
380,380,Organize data,380.0,"393,0,0"
381,381,Write it down,381.0,"394,0,0"
382,382,Write a report,382.0,"395,0,1"
383,383,Let's do it,383.0,"396,0,0"
384,384,"Data interpretation, conclusion drawing",384.0,"397,0,1"
385,385,Organize research materials,385.0,"398,0,0"
386,386,drawing a conclusion,386.0,"399,1,0"
387,387,I don't know,387.0,"400,0,0"
388,388,I give it to my boss,388.0,"401,0,1"
389,389,concluding,389.0,"402,0,1"
390,390,Organize the measured data,390.0,"403,1,0"
391,391,It's perfect.,391.0,"404,0,1"
392,392,I don't know.,392.0,"405,0,1"
393,393,Variable control,393.0,"406,1,0"
394,394,I don't know,394.0,"407,0,0"
395,395,Variable controlCreate Exploration Materials,395.0,"408,0,1"
396,396,Variable control,396.0,"409,1,0"
397,397,I'll announce it.,397.0,"410,0,0"
398,398,Experimental process,398.0,"411,1,0"
399,399,Organize data (experimental results),399.0,"412,1,0"
400,400,Variable control,400.0,"413,0,0"
401,401,Make a conclusion and present the results to people.,401.0,"414,0,0"
402,402,I'm,402.0,"415,0,1"
403,403,Organize the results of the experiment,403.0,"416,0,1"
404,404,Know the results,404.0,"417,0,1"
405,405,Write a survey.,405.0,"418,1,0419,0,1"
406,406,Organizing things,406.0,"420,1,0"
407,407,discussion,407.0,"421,1,1"
408,408,research and recording,408.0,"422,1,0"
409,409,Organize the process of inquiry.,409.0,"423,0,1"
410,410,I don't know.,410.0,"424,1,0"
411,411,Let's clean it up.,411.0,"425,1,0"
412,412,Organize the observed data.,412.0,"426,0,1"
413,413,the process of solving,413.0,"427,1,0"
414,414,It's a meeting.,414.0,"428,1,0"
415,415,Write a report.,415.0,"429,0,1"
416,416,Research is conducted using the data.,416.0,"430,0,0"
417,417,Write the results.,417.0,"431,0,1"
418,418,Organize data,418.0,"432,0,1"
419,419,Execute the measured data.,419.0,"433,0,0"
420,420,Organize what you've explored,420.0,"434,1,1"
421,421,"Summary, presentation.",421.0,"435,0,1"
422,422,Let's clean it up.,422.0,"436,0,1"
423,423,Let others know.,423.0,"437,0,0"
424,424,Organizing materials,424.0,"438,1,0"
425,425,Analyze the data.,425.0,"439,1,0"
426,426,Let people know,426.0,"440,1,0"
427,427,Analyze the data,427.0,"441,0,1"
428,428,Analyze the data.,428.0,"442,1,0"
429,429,They make speeches using data and present the contents of the simulation to other scientists for evaluation.,429.0,"443,1,0"
430,430,Check the measured data,430.0,"444,0,1"
431,431,draw a conclusion,431.0,"445,0,1"
432,432,make an inquiry based on,432.0,"446,1,0"
433,433,hypothesis setting,433.0,"447,0,1"
434,434,Organize the data to produce results.,434.0,"448,1,1449,0,1"
435,435,Check that the observed results are accurate.,435.0,"450,0,0"
436,436,Draw a conclusion,436.0,"451,0,0"
437,437,Make sure that the hypothesis is correct.,437.0,"452,1,0"
438,438,We need to organize the results,438.0,"453,1,0"
439,439,arrangement,439.0,"454,0,0"
440,440,organizing a collection of measured data,440.0,"455,0,0"
441,441,draw a conclusion,441.0,"456,0,0"
442,442,Analyze the collected data to find the connection,442.0,"457,1,0"
443,443,Organize measurement data,443.0,"458,0,1"
444,444,Drawing conclusions,444.0,"459,0,0"
445,445,Check the results of the experiment.,445.0,"460,0,1"
446,446,I'm organizing it,446.0,"461,0,1"
447,447,"After collecting the data, the search begins based on the data.",447.0,"462,1,0"
448,448,It is to organize the data and then write a report.,448.0,"463,1,0"
449,449,an experiment based on the data,449.0,"464,0,0"
450,450,I don't know,450.0,"465,0,1"
451,451,Confirm that it fits the hypothesis and feedback.,451.0,"466,0,0"
452,452,Organize the contents,452.0,"467,0,1"
453,453,Organize data,453.0,"468,0,1"
454,454,Clean up the observed data.,454.0,"469,0,0"
455,455,I don't know,455.0,"470,0,0"
456,456,I don't know.,456.0,"471,1,0"
457,457,organizing the records of the inquiry process,457.0,"472,0,0"
458,458,Write things about experiments,458.0,"473,1,0"
459,459,I don't know,459.0,"474,1,0"
460,460,Announcement,460.0,"475,0,1"
461,461,an inquiry presentation,461.0,"476,1,0"
462,462,Write the results of the experiment by organizing them based on the contents of the inquiry.,462.0,"477,0,1"
463,463,Organize the contents,463.0,"478,1,0479,0,0"
464,464,Record,464.0,"480,0,0"
465,465,I'm exploring?,465.0,"481,0,0"
466,466,Write it down.,466.0,"482,0,1"
467,467,presentation,467.0,"483,1,0"
468,468,Determine the outcome.,468.0,"484,0,1"
469,469,Record it after completing the observation.,469.0,"485,0,0"
470,470,Make a hypothesis.,470.0,"486,1,0"
471,471,I think I'll organize the contents.,471.0,"487,1,0"
472,472,I don't know.,472.0,"488,1,0"
473,473,Organize data and compare hypotheses and experimental results,473.0,"489,0,0"
474,474,Organize data,474.0,"490,0,1"
475,475,"Then, the sequential theory announces the reason for the phenomenon that it has experimented with.",475.0,"491,1,0"
476,476,Organize the contents of the experiment.,476.0,"492,0,0"
477,477,Let the world know,477.0,"493,0,0"
478,478,Organize the results of the experiment,478.0,"494,1,1"
479,479,explain by reference to the data,479.0,"495,0,0"
480,480,I'll check again to see if it's right and submit it,480.0,"496,0,0"
481,481,Record,481.0,"497,0,1"
482,482,Write the results.,482.0,"498,0,0"
483,483,Summarize the results of the inquiry.,483.0,"499,0,0"
484,484,I'm announcing.,484.0,"500,0,1"
485,485,Write it down.,485.0,"501,0,0"
486,486,Compare with hypothesis.,486.0,"502,0,0"
487,487,Organize the observed and measured data.,487.0,"503,0,0"
488,488,Organize the data in a table or graph.,488.0,"504,0,0"
489,489,Make a hypothesis based on the experimental plan.,489.0,"505,0,0"
490,490,Make the results of the measured data.,490.0,"506,0,0"
491,491,Organize the results.,491.0,"507,0,0"
492,492,Check the contents of the measured data.,492.0,"508,0,0509,0,0"
493,493,I don't know,493.0,"510,0,1"
494,494,Organize the contents of the experiment in a report.I don't understand...,494.0,"511,0,0"
495,495,I don't know.,495.0,"512,0,0"
496,496,I'm announcing.,496.0,"513,0,0"
497,497,I'm not doing anything.,497.0,"514,0,0"
498,498,I don't know,498.0,"515,0,0"
499,499,Submit a report,499.0,"516,1,0"
500,500,I don't know,500.0,"517,0,0"
501,501,I don't know,501.0,"518,0,1"
502,502,"""I don't know",502.0,"519,0,0"
503,503,"""",503.0,"520,1,0"
504,504,I don't know.,504.0,"521,0,0"
505,505,I don't know...,505.0,"522,0,0"
506,506,I want to stop,506.0,"523,0,0"
507,507,It was fun.,507.0,"524,1,0"
508,508,M and D,508.0,"525,0,0"
509,509,The reason why that happens...? Maybe...?,509.0,"526,0,0"
510,510,Experiment.,510.0,"527,1,0"
511,511,I don't know,511.0,"528,1,0"
512,512,"""?????????????????????????????????????",512.0,"529,0,0"
513,513,"""",513.0,"530,0,0"
514,514,Observe the surroundings.,514.0,"531,1,1"
515,515,I don't know.,515.0,"532,1,0"
516,516,I'm going to you,516.0,"533,0,1"
517,517,Organize the data.,517.0,"534,0,1"
518,518,I don't know.,518.0,"535,1,1"
519,519,Present in public.,519.0,"536,0,1"
520,520,I don't know,520.0,"537,1,0"
521,521,Let's gather up and organize,521.0,"538,0,1539,0,1"
522,522,Sums up,522.0,"540,1,0"
523,523,I don't know.,523.0,"541,0,0"
524,524,Then you have to let the world know.,524.0,"542,0,0"
525,525,Organize the measured data,525.0,"543,0,1"
526,526,save a person,526.0,"544,1,1"
527,527,I don't know,527.0,"545,0,1"
528,528,Organizing,528.0,"546,1,0"
529,529,Let's clean it up.,529.0,"547,0,1"
530,530,I don't understand.,530.0,"548,0,1"
531,531,What?,531.0,"549,0,1"
532,532,Data will be analyzed through inductive inquiry methods and valid conclusions will be drawn.,532.0,"550,0,1"
533,533,It summarizes the facts that can be confirmed in common through the data.,533.0,"551,1,0"
534,534,"Based on the measured data, determine whether the hypothesis is correct or not, and draw conclusions.",534.0,"552,0,1"
535,535,The obtained data are collected and generalized to conclude universal facts.,535.0,"553,1,1"
536,536,"Classify the data according to any criteria. The data are then converted to a table or graph format, used according to the experimental criteria, or designated as the basis for generalization of the hypothesis.",536.0,"554,1,1"
537,537,Derive results from observations and measured data and apply the results to other similar situations,537.0,"555,1,0"
