,Unnamed: 0,"7. The roots of plants are underground, so they are hard to see, but they have many functions. What do plant roots do? Let's explain in detail using knowledge of plant structure and function. ",Unnamed: 0,q7_storage,q7_support,q7_carry,q7_storage.1,q7_support.1,q7_Transport.1
29,29,"Plant roots, along with moisture, serve to absorb nutrients, support plants, and store nutrients.",29,,,,,,
30,30,It makes plants live,30,,,,,,
31,31,Drink water,31,,,,,,
32,32,Plants grow,32,,,,,,
33,33,I don't know,33,,,,,,
34,34,Unknowingness,34,,,,,,
35,35,Unknowingness,35,,,,,,
36,36,Unknowingness,36,,,,,,
37,37,"In order for animal insects in the ground to live better,",37,,,,,,
38,38,Unknowingness,38,,,,,,
39,39,Unknowingness,39,,,,,,
40,40,It feeds on plants and nourishes them,40,,,,,,
41,41,Eat nourishment.,41,,,,,,
42,42,The roots distribute nutrients evenly throughout the plant and help the plant grow well.,42,,,,,,
43,43,I don't know.,43,,,,,,
44,44,The roots of the plant are in the ground and absorb soil nutrients and moisture from the soil.,44,,,,,,
45,45,It makes it clear,45,,,,,,
46,46,It makes the air dry,46,,,,,,
47,47,Roots nourish the ground.,47,,,,,,
48,48,Unknowingness,48,,,,,,
49,49,It nourishes the roots,49,,,,,,
50,50,It provides nutrients to the food,50,,,,,,
51,51,Nutrient and water absorption,51,,,,,,
52,52,It absorbs water,52,,,,,,
53,53,It supports the plant.,53,,,,,,
54,54,It supports the plant.,54,,,,,,
55,55,It provides nutrients to the food,55,,,,,,
56,56,Don't let the wind blow you away. I absorb water. I don't know I love you,56,,,,,,
57,57,Roots absorb water and nutrients,57,,,,,,
58,58,The roots of a plant support the plant or absorb water,58,,,,,,
59,59,Plant roots function to absorb water from the ground and send it to plants,59,,,,,,
60,60,"absorption, storage",60,,,,,,
61,61,Storage Capability Support Capability,61,,,,,,
62,62,The roots of plants have a large surface area because of their root hairs.,62,,,,,,
63,63,"With this root hair, nutrients in the soil are absorbed by osmosis and supplied to the whole body.""",63,,,,,,
64,64,Storage Capability Support Capability,64,,,,,,
65,65,"Plants water the ground so that the roots absorb water, nourish it, release strange things, and do many different functions",65,,,,,,
66,66,the action of osmotic pressure to suck water in,66,,,,,,
67,67,Moisture from the ground is sent to the roots of the stem leaves for photosynthesis,67,,,,,,
68,68,be a stranger to,68,,,,,,
69,69,To absorb water from the ground,69,,,,,,
70,70,It absorbs water and nutrients,70,,,,,,
71,71,It absorbs water and helps plants stand properly.,71,,,,,,
72,72,get nourishment from the roots,72,,,,,,
73,73,It absorbs nutrients and helps plants grow well,73,,,,,,
74,74,It provides nutrients in the soil,74,,,,,,
75,75,It absorbs moisture,75,,,,,,
76,76,It delivers moisture.,76,,,,,,
77,77,"Roots are helpful to plants in their lives. For example, it can be said to be an important organ in charge of the foundation of plants, such as pulling the water needed for plants to live by the roots or supporting the plant's",77,,,,,,
78,78,It also acts as a support to absorb water or to prevent it from falling off the soil,78,,,,,,
79,79,Don't pull it out,79,,,,,,
80,80,It absorbs water.,80,,,,,,
81,81,draw in water,81,,,,,,
82,82,It absorbs nutrients from the roots and supports the plant from the wind,82,,,,,,
83,83,Roots are the pillars of plants,83,,,,,,
84,84,absorb nutrients,84,,,,,,
85,85,Plants let them drink water.,85,,,,,,
86,86,The roots absorb the nutrients in the ground,86,,,,,,
87,87,It absorbs soil nutrients and supports the top of the plant (jitang).,87,,,,,,
88,88,absorption and support of nutrients,88,,,,,,
89,89,Water storage,89,,,,,,
90,90,It absorbs plants' needs such as nutrients and water and supports plants not to fall down.,90,,,,,,
91,91,Helps plants grow well,91,,,,,,
92,92,The plant's roots absorb water from the ground so that it can live.,92,,,,,,
93,93,"Support, moisture absorption, and nutrient storage",93,,,,,,
94,94,It obtains nutrients through its roots and distributes them to plants.,94,,,,,,
95,95,"Suck water, gather nutrients and transfer nutrients to the leaves by stem",95,,,,,,
96,96,It absorbs water from the ground and helps plants grow well.,96,,,,,,
97,97,"""The roots of plants are similar to tree branches, and the roots look like small whiskers",97,,,,,,
98,98,"It absorbs moisture and keeps it in the ground.""1: Support plants to prevent them from being blown away by the wind",98,,,,,,
99,99,"2 : The roots allow water to be absorbed and photosynthesized""",99,,,,,,
100,100,Roots provide nutrients from the soil so that plants can breathe or take in nutrients.,100,,,,,,
101,101,Plant roots support plants and help them absorb nutrients.,101,,,,,,
102,102,It absorbs moisture from the soil and is embedded deep in the ground to help plants not fall,102,,,,,,
103,103,"Plant roots first inhale water absorbed in the ground to bloom leaves and provide important ""water"" for photosynthesis so that they can make nutrients, and if a landslide occurs, deep roots hold with the surrounding soil, so landslides rarely occur in places with many plants or trees.",103,,,,,,
104,104,I don't know.,104,,,,,,
105,105,It absorbs water,105,,,,,,
106,106,Roots gather nutrients.,106,,,,,,
107,107,Unknowingness,107,,,,,,
108,108,I don?ôt know well.,108,,,,,,
109,109,Support function,109,,,,,,
110,110,drinking water from the soil and sucking in nutrients,110,,,,,,
111,111,It absorbs water.,111,,,,,,
112,112,"Roots, stems, leaves",112,,,,,,
113,113,Suck the water in.,113,,,,,,
114,114,"""Sucking in the nutrients",114,,,,,,
115,115,"""",115,,,,,,
116,116,absorption of water in the ground,116,,,,,,
117,117,get nourishment or moisture,117,,,,,,
118,118,support the soil,118,,,,,,
119,119,Roots absorb water,119,,,,,,
120,120,It supports plants and absorbs nutrients,120,,,,,,
121,121,sucking up nutrients,121,,,,,,
122,122,support,122,,,,,,
123,123,Suck water and nutrients and keep plants from falling,123,,,,,,
124,124,"First, the function of supporting and drinking water. The function of producing fruit",124,,,,,,
125,125,It absorbs water. It supports plants,125,,,,,,
126,126,absorption of water,126,,,,,,
127,127,"""1. Dip water in the water.",127,,,,,,
128,128,"2. Support the plant""",128,,,,,,
129,129,have good roots,129,,,,,,
130,130,"Roots absorb nutrients from the ground, supporting plants.",130,,,,,,
131,131,??131.0,"133,1,1,0, plants store nutrients made from leaves in their roots",,,,,,
132,132,The roots,132,,,,,,
133,133,"Support function, absorption function, etc",133,,,,,,
134,134,"The root of the plant has an absorption function that absorbs water, supports the plant, and supports the plant",134,,,,,,
135,135,It acts as a support for plants and delivers moisture and nutrients to plants.,135,,,,,,
136,136,You have to have roots to catch plants,136,,,,,,
137,137,It stores nutrients and acts as a support,137,,,,,,
138,138,It acts as a support for plants and delivers moisture and nutrients to plants,138,,,,,,
139,139,It acts as a support plants.,139,,,,,,
140,140,"Support function, absorption function, etc...",140,,,,,,
141,141,It absorbs water from the soil and supplies nutrients (including water) to the stems and leaves.,141,,,,,,
142,142,The roots have a supporting function and absorb water,142,,,,,,
143,143,Roots have supporting functions and absorb water from the ground.,143,,,,,,
144,144,The roots function as support and absorb water from the ground.,144,,,,,,
145,145,Moisten leaves and stems by absorbing water,145,,,,,,
146,146,Plant roots function to absorb water,146,,,,,,
147,147,"It absorbs water, supports plants.",147,,,,,,
148,148,The roots absorb water to keep the plants alive,148,,,,,,
149,149,Roots store nutrients and absorb water or nutrients,149,,,,,,
150,150,It absorbs moisture in the ground.,150,,,,,,
151,151,Support function It supports plants so that they can't be pulled out easily,151,,,,,,
152,152,It's supported by the roots,152,,,,,,
153,153,Roots allow plants to live,153,,,,,,
154,154,absorption action,154,,,,,,
155,155,I drink water,155,,,,,,
156,156,Plant roots absorb nutrients and water from the ground.,156,,,,,,
157,157,"""The roots support and support the plants because they extend their roots deep into the ground. Plants such as radishes, carrots, and sweet potatoes store nutrients made from leaves in their roots. The roots absorb water. The small, thin root hairs at the end of the root help absorb water.",157,,,,,,
158,158,"""",158,,,,,,
159,159,"Plants extend their roots deep into the ground, so the roots support and support them. Plants such as radishes, carrots, and sweet potatoes store nutrients made from leaves in their roots. The roots absorb water. The small, thin root hairs at the end of the root help absorb water.",159,,,,,,
160,160,It absorbs water and supports plants not to fall down.,160,,,,,,
161,161,It absorbs water by osmosis,161,,,,,,
162,162,"Plants extend their roots deep into the ground, so the roots support and support them. Plants such as radishes, carrots, and sweet potatoes store nutrients made from leaves in their roots. The roots absorb water. The small, thin root hairs at the end of the root help absorb water.",162,,,,,,
163,163,Roots carry water and have nutrients,163,,,,,,
164,164,It absorbs water and produces glucose,164,,,,,,
165,165,It grows in length as it transports and stores water and prepares for oxygenation.,165,,,,,,
166,166,c??166.0,"169,0,0,1,,,",,,,,,
167,167,It replenishes moisture through the roots.,167,,,,,,
168,168,The roots of the plant serve to support and support the plant and store the nutrients made by the leaves in the roots,168,,,,,,
169,169,It's to absorb nutrients in the ground,169,,,,,,
170,170,absorb nutrients,170,,,,,,
171,171,"The roots absorb water. The small, thin root hairs at the end of the root help absorb water.",171,,,,,,
172,172,nutrients in the ground,172,,,,,,
173,173,I suck water,173,,,,,,
174,174,The roots absorb the various nutrients and moisture that the soil has and deliver the elements that plants can live through the stem.,174,,,,,,
175,175,"The roots of the plant are in the ground, so on rainy days, rainwater seeps into the ground, and the roots absorb moisture.",175,,,,,,
176,176,Plant roots support the plant and absorb nutrients and moisture.,176,,,,,,
177,177,"Because plants extend their roots deeply into the ground, the roots play a role in supporting and supporting the plants. And the roots are responsible for absorbing water. Also, the small, thin root hairs at the end of the root help absorb water.",177,,,,,,
178,178,It survives by absorbing moisture from the ground.,178,,,,,,
179,179,It is the role of supporting and supporting plants.,179,,,,,,
180,180,Roots are responsible for absorbing water.,180,,,,,,
181,181,"The plant extends its roots deep into the ground, and the roots support and support the plant. It helps to absorb water.",181,,,,,,
182,182,It supports plants and absorbs water in the soil.,182,,,,,,
183,183,It is essential because water or nutrients absorbed into the ground enter the roots and are transmitted to all parts of the plant like blood vessels in the body.,183,,,,,,
184,184,It survives by fixing it to the floor and absorbing water.,184,,,,,,
185,185,It absorbs moisture and moves along the water tube to the leaves to photosynthesize,185,,,,,,
186,186,"soil fixation, nutrient and water absorption",186,,,,,,
187,187,It absorbs water and supplies water to the leaves.,187,,,,,,
188,188,The role of fixing it so that it doesn't move,188,,,,,,
189,189,It helps you grow,189,,,,,,
190,190,It absorbs nutrients from the soil,190,,,,,,
191,191,I drink water,191,,,,,,
192,192,It supports plants and delivers water and nutrients,192,,,,,,
193,193,The roots of the plant serve as a support for the plant to withstand strong winds and collect nutrients.,193,,,,,,
194,194,Drink water,194,,,,,,
195,195,It protects plants from dying.,195,,,,,,
196,196,I don't know.,196,,,,,,
197,197,"It absorbs water to hydrate it, and helps it withstand the wind well.The roots of plants absorb nutrients and catch the soil so that they don't fall down",197,,,,,,
198,198,Roots are like air that allows plants to live,198,,,,,,
199,199,Drink water,199,,,,,,
200,200,The roots absorb water from the ground,200,,,,,,
201,201,"Roots eat various plants and animals in the ground, such as water in the ground",201,,,,,,
202,202,"Well, I don't know",202,,,,,,
203,203,There are various roots,203,,,,,,
204,204,suck water from the ground,204,,,,,,
205,205,It nourishes,205,,,,,,
206,206,It makes plants grow.,206,,,,,,
207,207,The roots of plants seem to be working to make and supply nutrients.,207,,,,,,
208,208,"This is because roots act as a support for plants, and they also absorb water to help them grow well.",208,,,,,,
209,209,The roots of plants absorb water and vitamins.,209,,,,,,
210,210,The roots of plants absorb moisture from the ground,210,,,,,,
211,211,It lifts the soil's food and moisture,211,,,,,,
212,212,The soil nutrients that are sprayed on plants are sucked in.,212,,,,,,
213,213,Absorb water and send it to the plant on the leaves,213,,,,,,
214,214,absorb water to absorb nutrients,214,,,,,,
215,215,It helps plants by sucking water from the ground.,215,,,,,,
216,216,"The roots of the plant absorb water from the ground and place it on top of the stem so that it can live, and support the plant stem to stand upright.",216,,,,,,
217,217,It can absorb water and supports plants not to fly away,217,,,,,,
218,218,"Absorb water, take a seat and keep plants from falling down",218,,,,,,
219,219,The roots of the plant get the nutrients and energy needed by the plant and get rid of unnecessary nutrients and weeds.,219,,,,,,
220,220,It grows by eating water from the ground with its roots,220,,,,,,
221,221,"""The root acts to suck water when it seeps through the soil",221,,,,,,
222,222,"""",222,,,,,,
223,223,sow the seeds of a flower,223,,,,,,
224,224,Roots are when water seeps through the soil.It's responsible for sucking,224,,,,,,
225,225,Plant roots absorb water and nutrients.,225,,,,,,
226,226,It sends moisture from the ground to the plant stem.,226,,,,,,
227,227,The root of the plant is the water in the ground because it is called bread lumber :),227,,,,,,
228,228,Plant roots suck water and nutrients from the ground.,228,,,,,,
229,229,making plants grow well,229,,,,,,
230,230,It helps plants grow well.,230,,,,,,
231,231,It takes in the nutrients of the land.,231,,,,,,
232,232,.,232,,,,,,
233,233,Water is drained.,233,,,,,,
234,234,absorption of water,234,,,,,,
235,235,Water absorption support light,235,,,,,,
236,236,It helps plants to grow well by drinking water,236,,,,,,
237,237,Roots suck water from the ground,237,,,,,,
238,238,It supports and receives nutrients,238,,,,,,
239,239,Hold the plant and lock the ground to prevent the landslide,239,,,,,,
240,240,Wash the water and support the tree,240,,,,,,
241,241,Absorbing water and sucking in nutrients,241,,,,,,
242,242,Fill it with moisture. back,242,,,,,,
243,243,It's because it gives off the nutrients that the plants have in the ground,243,,,,,,
244,244,"The roots of the plant wash water so that the plant can grow, and it helps the ground become moist and steam.",244,,,,,,
245,245,Root hairs suck water and support the specimen.,245,,,,,,
246,246,drain water from the ground,246,,,,,,
247,247,"I figured this out, but I couldn't write it here because I didn't have enough space",247,,,,,,
248,248,Plant roots make the nutrients necessary for plants to live and suck water.,248,,,,,,
249,249,I'm going to wash them with water and nutrients,249,,,,,,
250,250,absorption of water under the ground,250,,,,,,
251,251,"Water absorption, healthy wild ginseng or ginseng is good for the body.",251,,,,,,
252,252,It absorbs water and nutrients from the ground to help plants grow well.,252,,,,,,
253,253,absorption of water and nutrients in the ground,253,,,,,,
254,254,Roots are like the mother of plants!,254,,,,,,
255,255,Roots suck water and nutrients to help them grow well,255,,,,,,
256,256,Because it's the root,256,,,,,,
257,257,Roots play a role in attracting moisture from the ground and helping plants grow upward.,257,,,,,,
258,258,Water and nourishing to buy plants,258,,,,,,
259,259,"It plays the most important role in growing plants by sucking nutrients and water from the ground, and also supports them not to be shaken or pulled out by various factors such as wind.",259,,,,,,
260,260,"The roots of the plant support the plant and absorb soil moisture and nutrients from the soil. Sprinkle sweet potatoes and say it's good. Oh, I also store nutrients",260,,,,,,
261,261,It's about saving lives and fruits,261,,,,,,
262,262,Unknowingness,262,,,,,,
263,263,Unknowingness,263,,,,,,
264,264,water-absorbing plant chain,264,,,,,,
265,265,I don't know.,265,,,,,,
266,266,Plants have a multiplication effect.,266,,,,,,
267,267,It supplies nutrients.,267,,,,,,
268,268,absorption of nutrients,268,,,,,,
269,269,"It filters water and nutrients through osmosis, absorbs water and nutrients, and delivers them to the stems and leaves.",269,,,,,,
270,270,It absorbs nutrients and water from the ground,270,,,,,,
271,271,a nourishing,271,,,,,,
272,272,It absorbs moisture from the ground and helps plants grow and supports them,272,,,,,,
273,273,Plant roots have a lot of influence on plant growth.,273,,,,,,
274,274,It absorbs water and supports plants,274,,,,,,
275,275,I'm going to collect them,275,,,,,,
276,276,It absorbs nutrients in the ground.,276,,,,,,
277,277,It absorbs nutrients from the ground and helps plants grow.,277,,,,,,
278,278,make a splash.,278,,,,,,
279,279,I don't know.,279,,,,,,
280,280,"Water absorption, nutrients absorption, and support for the organism",280,,,,,,
281,281,"The roots of the plant have growth points, which get nutrients and water deep in the soil and go deep into the ground and support them to prevent them from collapsing easily.",281,,,,,,
282,282,"absorption of nutrients, moisture, and minerals",282,,,,,,
283,283,Absorb water with root hair. It absorbs nutrients.,283,,,,,,
284,284,"It has the function of supporting plants, nutrient absorption, and water absorption.",284,,,,,,
285,285,Roots absorb nutrients and water in the soil.,285,,,,,,
286,286,"It functions as nutrient absorption from the soil, moisture absorption function, support function, and material transportation to the stem.",286,,,,,,
287,287,"Plant support, nutrient absorption",287,,,,,,
288,288,"Plant roots play various roles, such as absorbing moisture and nutrients from the ground, supporting plants, and storing nutrients.",288,,,,,,
289,289,It absorbs water and minerals and supports plants.,289,,,,,,
290,290,It supports plants and absorbs and supplies ions or water from them.,290,,,,,,
291,291,Water and inorganic nutrients are absorbed through the root hairs and transported to the water pipe. Some also coexist with bacteria to obtain organic nutrients. It also supports plants and some store nutrients with storage roots.,291,,,,,,
292,292,It extends to the ground and absorbs water.,292,,,,,,
293,293,It absorbs water and gives plants the nutrients they need.,293,,,,,,
294,294,It absorbs water and nutrients.,294,,,,,,
295,295,supporting and absorbing action,295,,,,,,
296,296,absorption of water and mineralsIt supports plants and absorbs various nutrients.,296,,,,,,
297,297,It absorbs water.,297,,,,,,
298,298,It absorbs water. It supports plants,298,,,,,,
299,299,It absorbs nutrients,299,,,,,,
300,300,absorb nutrients,300,,,,,,
301,301,water down to nourish the plants,301,,,,,,
302,302,It absorbs water and nutrients.,302,,,,,,
303,303,It absorbs nutrients,303,,,,,,
304,304,Sucking water and sending it to the stem,304,,,,,,
305,305,It seems to play a role in supplying moisture in the soil to plants.,305,,,,,,
306,306,It seems to play a role in supplying moisture in the soil to plants.,306,,,,,,
307,307,"The roots of the plant absorb moisture from the ground so that it can live, and the deeper the roots, the more moisture it absorbs and is not easily pulled out.",307,,,,,,
308,308,"As the roots grow, they fix it on the ground and take in nutrients through the roots",308,,,,,,
309,309,The roots of plants absorb nutrients and moisture from the ground and make plants grow,309,,,,,,
310,310,"Roots absorb all the nutrients in the ground, and they need roots to survive",310,,,,,,
311,311,It helps plants grow well,311,,,,,,
312,312,"""The roots absorb water by osmotic pressure and support plants, and carrots are used to store nutrients",312,,,,,,
313,313,,313,,,,,,
314,314,"It's being used.Roots have support, storage, and absorption.",314,,,,,,
315,315,"""",315,,,,,,
316,316,It absorbs water and supports the soil to fix the ground.,316,,,,,,
317,317,"The roots absorb water and nutrients, allowing plants to live long.",317,,,,,,
318,318,"It supports, absorbs, stores, etc",318,,,,,,
319,319,"The roots of plants dig deep into the ground and take nutrients from the soil and supply them to plants, and things like big trees make the ground hard by intertwining roots.",319,,,,,,
320,320,Support the plant so that it does not fall over,320,,,,,,
321,321,"The roots of the plant support the stems, leaves, and flowers of the plant so that they do not fly away in the wind, and produce flowers and fruits through the stems of moisture on the ground.",321,,,,,,
322,322,It absorbs moisture from the ground and supplies nutrients.,322,,,,,,
323,323,Plant roots absorb nutrients and moisture from the ground and make plants grow.,323,,,,,,
324,324,The nutrients in the ground go into the plants,324,,,,,,
325,325,Roots support plants.,325,,,,,,
326,326,Plant roots help to grow by absorbing nutrients in the soil to grow well.,326,,,,,,
327,327,"It supports and supports plants, stores nutrients made from leaves, and absorbs water from the ground",327,,,,,,
328,328,The roots of the plant absorb water and support the plant from falling,328,,,,,,
329,329,The roots of plants help the buds grow by absorbing nutrients in the soil to grow well.,329,,,,,,
330,330,This is because the plant grows by absorbing nutrients.,330,,,,,,
331,331,"water transport, nourishment",331,,,,,,
332,332,"""The roots hold the plant firmly to support the body",332,,,,,,
333,333,"The root acts as an absorption of water from the ground into the plant's body.""",333,,,,,,
334,334,Plant roots support stems and store water and various nutrients from the ground as metabolites.,334,,,,,,
335,335,It supports plants and absorbs and stores nutrients,335,,,,,,
336,336,"It absorbs moisture and nutrients from the ground, allowing plants to photosynthesize, and firmly fixing them to the ground to prevent them from flying away when the wind blows hard.",336,,,,,,
337,337,I don't know.,337,,,,,,
338,338,"Yes, yes, yes, yes, yes, yes, yes",338,,,,,,
339,339,Unknowingness,339,,,,,,
340,340,I don't understand.,340,,,,,,
341,341,I don't know.,341,,,,,,
342,342,I don't understand.,342,,,,,,
343,343,I don't understand.,343,,,,,,
344,344,Unknowingness,344,,,,,,
345,345,nutrient intake,345,,,,,,
346,346,I don't understand.,346,,,,,,
347,347,I don't understand.,347,,,,,,
348,348,Recharge with water,348,,,,,,
349,349,Unknowingness,349,,,,,,
350,350,I don't know.,350,,,,,,
351,351,The ecology of plants is unknown,351,,,,,,
352,352,To soak up nutrients and moisture in the ground,352,,,,,,
353,353,It absorbs moisture,353,,,,,,
354,354,The roots of plants provide moisture in the ground,354,,,,,,
355,355,I don't understand.,355,,,,,,
356,356,I don't know.,356,,,,,,
357,357,Unknowingness,357,,,,,,
358,358,"It absorbs moisture, nutrients, etc",358,,,,,,
359,359,absorption of nutrients,359,,,,,,
360,360,It delivers nutrients to plants from the soil.,360,,,,,,
361,361,It absorbs nutrients from the ground,361,,,,,,
362,362,The roots absorb the water in the soil and distribute it to the flowers.,362,,,,,,
363,363,I don't know,363,,,,,,
364,364,Get nutrients and moisture from the soil and support plants,364,,,,,,
365,365,It absorbs water from the ground and eats nutrients from the soil,365,,,,,,
366,366,"Nutritional intake, spitting out unnecessary water",366,,,,,,
367,367,"It transports moisture and nutrients from the ground to stems, leaves, etc",367,,,,,,
368,368,Plant roots take in water,368,,,,,,
369,369,Support plants safely on the ground. It absorbs water.,369,,,,,,
370,370,It absorbs moisture and various nutrients in the soil and acts as a support to prevent plants from collapsing.,370,,,,,,
371,371,"Storage of nutrients, absorption of nutrients from soil, nitrogen fixation",371,,,,,,
372,372,It gives people food. Like a carrot or a radish,372,,,,,,
373,373,"It absorbs water from the ground so that plants can live, and in some plants, roots store nutrients, and support plants from falling down in the ground.",373,,,,,,
374,374,Suck the water in.,374,,,,,,
375,375,"There is a storage function for storing water, a support function that does not collapse due to the surrounding environment, and an absorption function that absorbs moisture from the soil.",375,,,,,,
376,376,"Roots absorb water from the ground. In that case, the roots use their own osmotic pressure to absorb only water because they should not absorb soil or foreign substances. Osmotic pressure refers to filtering large substances and sucking only small substances. In addition, the roots also play a role in supporting plants, and because they are embedded in the ground, they may not fall in the dry wind. And it also has a storage effect. Glucose can be converted into starch and stored in the roots, such as sweet potatoes and taro.",376,,,,,,
377,377,"The roots absorb nutrients and moisture in the soil and deliver them to various organs such as stems, leaves, and flowers, and serve as a support for plants to withstand the external environment.",377,,,,,,
378,378,"Roots support plants, nutrients in the soil, and absorption to obtain moisture.",378,,,,,,
379,379,"The basic and ultimate goal of plant roots is to absorb nutrients. Therefore, it absorbs nutrients contained in the soil and absorbs water so that plants can grow.",379,,,,,,
380,380,"The thick roots of the plant mainly support the body part of the plant, and the fine roots mainly absorb moisture and nutrients.",380,,,,,,
381,381,Plants absorb water from the soil through their roots. It also serves to support the plant because its roots are deeply embedded in the ground.,381,,,,,,
382,382,Plant roots absorb water from the ground. It is also embedded deep in the ground to support the plant.,382,,,,,,
383,383,It absorbs nutrients,383,,,,,,
384,384,collect moisture,384,,,,,,
385,385,I don't know. I collect moisture,385,,,,,,
386,386,a root-stemmed leaf,386,,,,,,
387,387,"""I absorb water and deliver the leaves",387,,,,,,
388,388,"""",388,,,,,,
389,389,"""Plant roots are like human growth plates. The more humans eat, the more water the plant roots have",389,,,,,,
390,390,"""If you keep spraying it, plants will grow.""",390,,,,,,
391,391,It absorbs nutrients from the ground and connects them to the body,391,,,,,,
392,392,It absorbs water,392,,,,,,
393,393,"Oh, my",393,,,,,,
394,394,The roots of the plant support the plant so that it can grow well,394,,,,,,
395,395,The root role of the plant also supports the plantIt absorbs water,395,,,,,,
396,396,I don't know.,396,,,,,,
397,397,It absorbs water,397,,,,,,
398,398,It is responsible for absorbing water and nutrients in the ground,398,,,,,,
399,399,"The roots of the plant absorb nutrients and moisture from the ground, allowing it to grow and support the plant",399,,,,,,
400,400,Drink water,400,,,,,,
401,401,Plants have roots,401,,,,,,
402,402,gather nourishment,402,,,,,,
403,403,I don't know,403,,,,,,
404,404,I don't know.,404,,,,,,
405,405,Roots get nutrients in the ground,405,,,,,,
406,406,a raw crabbed,406,,,,,,
407,407,I don't know.,407,,,,,,
408,408,Bringing water from underground,408,,,,,,
409,409,Collect water percentage of the land and support plants to keep them from flying in the wind,409,,,,,,
410,410,"The plant's roots absorb water, supply water to the plant, and support the plant from falling.",410,,,,,,
411,411,The roots of the plant absorb moisture and give nutrients to the stems and leaves. It also absorbs nutrients from the ground to help plants grow.,411,,,,,,
412,412,It absorbs water under the ground,412,,,,,,
413,413,"I absorb water. Yes, I do",413,,,,,,
414,414,Suck in water and nourish the stems.,414,,,,,,
415,415,It absorbs water and nutrients.,415,,,,,,
416,416,gather nutrients,416,,,,,,
417,417,It absorbs water,417,,,,,,
418,418,It creates air on the earth,418,,,,,,
419,419,....,419,,,,,,
420,420,Root,420,,,,,,
421,421,Plant roots collect water and grow flowers,421,,,,,,
422,422,Eat water with the roots. Fix the ground,422,,,,,,
423,423,It has various functions to support nutrition,423,,,,,,
424,424,to absorb and support water,424,,,,,,
425,425,"""It supports plants, it absorbs nutrients",425,,,,,,
426,426,"""",426,,,,,,
427,427,nourish the plants and support the plants,427,,,,,,
428,428,It's responsible for absorbing water,428,,,,,,
429,429,It stores nutrients and absorbs water.,429,,,,,,
430,430,Supply water Supply nutrients,430,,,,,,
431,431,It draws nutrients from the plant's roots and allows the plant to live.,431,,,,,,
432,432,supply air and water,432,,,,,,
433,433,a supporting task,433,,,,,,
434,434,"""It absorbs water and distributes it everywhere, which allows plants to live.",434,,,,,,
435,435,"And it supports the plants so that they don't fly away.""",435,,,,,,
436,436,The roots of plants eat water and nutrients in the ground,436,,,,,,
437,437,"Support the plant, absorb water, and send water to all parts of the plant.",437,,,,,,
438,438,"Water, nutrients, etc",438,,,,,,
439,439,It absorbs moisture from the ground and stores moisture,439,,,,,,
440,440,Because it's the root,440,,,,,,
441,441,Yum yum yum,441,,,,,,
442,442,.,442,,,,,,
443,443,It is responsible for nutrient absorption.,443,,,,,,
444,444,It absorbs water,444,,,,,,
445,445,Absorption of water using osmotic pressure. Absorption of ions dissolved in water,445,,,,,,
446,446,I don't understand.,446,,,,,,
447,447,It absorbs nutrients and fixes them so that they don's not blown away by the wind,447,,,,,,
448,448,absorption of nutrients from the roots,448,,,,,,
449,449,Absorb water and...  Growing up... I'll let you stick it in the ground.,449,,,,,,
450,450,I don't know,450,,,,,,
451,451,sucking up water from the soil,451,,,,,,
452,452,I can't really remember.,452,,,,,,
