,Unnamed: 0,1) Let's talk about the exploration process that the scientist who discovered the unexplained phenomenon decides on the inquiry problem and then goes on to the next step,Unnamed: 0,",q27_hypothesis,q27_Other exploration"
43,43,"When you're done exploring, organize and let many people know.",43.0,"44,1,1"
44,44,I think I'll be ready to explore.,44.0,"45,0,0"
45,45,Hypothesis Setting -> Experimental Design -> Experimental -> Conclusion Drawing,45.0,"46,1,0"
46,46,.,46.0,"47,0,0"
47,47,a hypothetical,47.0,"48,0,0"
48,48,"Research, fighting!",48.0,"49,1,0"
49,49,I don't know,49.0,"50,0,1"
50,50,hypothesis setting,50.0,"51,0,1"
51,51,I'm observing,51.0,"52,0,1"
52,52,I'm going to explore again,52.0,"53,0,0"
53,53,an exploratory investigation,53.0,"54,1,0"
54,54,"Choose a topic, explore a topic,",54.0,"55,1,0"
55,55,establish a hypothesis,55.0,"56,0,0"
56,56,Establish a hypothesis.,56.0,"57,0,0"
57,57,I don't like it.,57.0,"58,1,059,0,1"
58,58,All right.,58.0,"60,0,1"
59,59,Establish a hypothesis.,59.0,"61,0,0"
60,60,to investigate the problem,60.0,"62,1,0"
61,61,Observation,61.0,"63,1,1"
62,62,I have no idea.,62.0,"64,0,0"
63,63,establish a hypothesis,63.0,"65,1,0"
64,64,make a hypothesis to predict the outcome,64.0,"66,1,1"
65,65,I don't know,65.0,"67,1,0"
66,66,Hypothesis setting,66.0,"68,1,1"
67,67,Establish a hypothesis and conduct an experiment to verify the hypothesis.,67.0,"69,0,1"
68,68,Establish a hypothesis that is a tentative answer.,68.0,"70,1,0"
69,69,"Establish hypotheses, design experiments, conduct experiments, derive results, generalize",69.0,"71,1,1"
70,70,Planning for Exploration,70.0,"72,1,0"
71,71,establish a hypothesis,71.0,"73,0,1"
72,72,to re-estimate and explore phenomena,72.0,"74,1,0"
73,73,hypothesis setting,73.0,"75,0,1"
74,74,I'll look into the data on the problem,74.0,"76,0,1"
75,75,hypothesis setting,75.0,"77,1,0"
76,76,"Observation, data collection",76.0,"78,1,0"
77,77,Observation of the phenomenon of inquiry,77.0,"79,0,0"
78,78,Establish a hypothesis.,78.0,"80,0,1"
79,79,Establish a hypothesis.,79.0,"81,1,0"
80,80,I don't know.,80.0,"82,1,1"
81,81,look for relevant data,81.0,"83,0,1"
82,82,hypothesis setting,82.0,"84,1,1"
83,83,Establish a hypothesis for the question of inquiry. Then do the experiment.,83.0,"85,1,1"
84,84,Experimental Design - Experimental Results - Results Derived - Generalization,84.0,"86,0,1"
85,85,"Hypothesis. It is to anticipate the outcome of this quest. However, if the hypothesis and the experimental results are different, the hypothesis must be re-established.",85.0,"87,0,1"
86,86,Problem Awareness- Hypothesis Setting- Variable Control- Data Transformation- Results- Generalization,86.0,"88,0,089,0,0"
87,87,observe the phenomenon,87.0,"90,1,0"
88,88,"Do research or experiment, or use various methods.",88.0,"91,0,1"
89,89,Yes,89.0,"92,1,0"
90,90,B and B?,90.0,"93,1,1"
91,91,Make a hypothesis.,91.0,"94,1,0"
92,92,Investigate the question of inquiry,92.0,"95,1,1"
93,93,make a hypothesis,93.0,"96,1,0"
94,94,"Establishing a hypothesis, defining a problem, exploring, comparing it to a hypothesis",94.0,"97,0,0"
95,95,Hypothesis setting,95.0,"98,0,0"
96,96,"After deciding on the question of inquiry (the subject), we set up a hypothesis, and conduct an experiment according to that hypothesis.",96.0,"99,0,1"
97,97,"Here, the road is divided into two branches, and first, if the hypothesis is correct, the experiment is completed and the report is written.(Organizing Theory)",97.0,"100,0,0"
98,98,"Second, if the hypothesis is not correct, it is hypothesized again.Experiment with the hypothesis and write a report when it is correct.(Summary of Theory)""",98.0,"101,0,1"
99,99,Hypothesis setting,99.0,"102,1,0"
100,100,L.,100.0,"103,0,0"
101,101,I don't know.,101.0,"104,1,1"
102,102,Setting a topic for inquiry Organizing the results of an investigation,102.0,"105,1,0"
103,103,Organize what you know and look for what you don't know,103.0,"106,1,0"
104,104,a subject of inquiry,104.0,"107,0,0"
105,105,Establishing a hypothesis,105.0,"108,0,0"
106,106,Decide on the subject.,106.0,"109,0,0"
107,107,Establish a hypothesis and set up an experiment accordingly,107.0,"110,0,1"
108,108,Hypothesis is established based on the results from the phenomenon,108.0,"111,0,1"
109,109,make a hypothesis,109.0,"112,1,0"
110,110,I don't know.,110.0,"113,0,1"
111,111,Don't know,111.0,"114,0,0"
112,112,What...?,112.0,"115,0,0"
113,113,Identify and compare scientific situations similar to the phenomenon and explore phenomena that cannot be explained.,113.0,"116,0,1"
114,114,presentation of data research theory,114.0,"117,0,0"
115,115,A hypothesis must be established.,115.0,"118,0,0119,0,0"
116,116,find a way to solve the question of inquiry,116.0,"120,0,1"
117,117,hs and hs,117.0,"121,0,0"
118,118,"Yes, 3 lines",118.0,"122,0,0"
119,119,make an inquiry plan,119.0,"123,0,0"
120,120,I don't know.,120.0,"124,0,0"
121,121,I don't know.,121.0,"125,0,1"
122,122,It's amazing,122.0,"126,0,0"
123,123,Start of inquiry,123.0,"127,0,0"
124,124,I don't know.,124.0,"128,0,0"
125,125,I'm just going to announce it,125.0,"129,0,0"
126,126,I'm so cute.,126.0,"130,0,0"
127,127,Well,127.0,"131,0,0"
128,128,Observation-Creating Results-Submission (or presentation),128.0,"132,0,0"
129,129,.,129.0,"133,0,1"
130,130,I'm inventing it,130.0,"134,0,1"
131,131,.,131.0,"135,0,1"
132,132,careful consideration of the process of explanation,132.0,"136,0,1"
133,133,I don't know.,133.0,"137,0,1"
134,134,Planning,134.0,"138,1,1"
135,135,All right.,135.0,"139,0,0"
136,136,do research,136.0,"140,1,1"
137,137,"Planning an inquiry, conducting an inquiry, organizing an experiment",137.0,"141,0,1"
138,138,"After exploring the question of inquiry and finding the correct answer, make a presentation, put it in a textbook, and give more test questions to students.",138.0,"142,1,1"
139,139,I'm exploring,139.0,"143,0,0"
140,140,Collect data from observations and measurements during the experiment,140.0,"144,0,0"
141,141,Make a hypothesis with thoughts or inquiry results.,141.0,"145,0,1"
142,142,ㄴ ㄴ ㄴ ㄹ ㄹ ㅇ,142.0,"146,1,0"
143,143,"""Making a Hypothesis""",143.0,"147,1,0"
144,144,Planning,144.0,"148,1,0149,1,0"
145,145,Observing,145.0,"150,1,0"
146,146,"""Organizing""",146.0,"151,1,0"
147,147,I'm exploring,147.0,"152,1,0"
148,148,"Hypothesis-making, planning, observing, organizing",148.0,"153,0,0"
149,149,..............,149.0,"154,1,1"
150,150,"theory, knowledge",150.0,"155,0,1"
151,151,Let's find out and experiment with the phenomenon,151.0,"156,0,1"
152,152,Make a hypothesis.,152.0,"157,0,0"
153,153,make a hypothesis,153.0,"158,0,0"
154,154,Creating a Hypothesis,154.0,"159,0,1"
155,155,Make a hypothesis,155.0,"160,0,1"
156,156,Making a hypothesis.,156.0,"161,0,0"
157,157,hypothesizing,157.0,"162,0,1"
158,158,"Establishing a hypothesis, giving examples, and giving accurate conclusions",158.0,"163,0,1"
159,159,I'm measuring it,159.0,"164,0,0"
160,160,Scientists set a problem and explore it or make a hypothesis,160.0,"165,0,1"
161,161,"After creating a scientific research paper, it organizes theories, knowledge, and thoughts.",161.0,"166,0,0"
162,162,Use knowledge of the process of inquiry.,162.0,"167,1,0"
163,163,solve it,163.0,"168,0,0"
164,164,?,164.0,"169,0,0"
165,165,make an inquiry plan,165.0,"170,0,1"
166,166,"Collect data from experiments, observations, and measurements",166.0,"171,0,0"
167,167,Scientists are essential for future life,167.0,"172,0,1"
168,168,Let's begin our quest,168.0,"173,0,1"
169,169,Make an inquiry plan with prior research.,169.0,"174,0,1"
170,170,ㅐ,170.0,"175,0,0"
171,171,planning an inquiry,171.0,"176,0,1"
172,172,I don't know.,172.0,"177,0,1"
173,173,a hypothetical,173.0,"178,0,1179,0,1"
174,174,I don't know,174.0,"180,1,0"
175,175,All right.,175.0,"181,0,1"
176,176,Investigate in order,176.0,"182,0,1"
177,177,Yes.,177.0,"183,0,0"
178,178,make an inquiry plan,178.0,"184,0,1"
179,179,Determine the question of inquiry and investigate the problem.,179.0,"185,0,1"
180,180,Let's do an experiment,180.0,"186,0,1"
181,181,I don't like it.,181.0,"187,0,1"
182,182,Investigate the subject of inquiry.,182.0,"188,0,0"
183,183,Investigate the accuracy of whether the problem can be safe or appropriate and debatable.,183.0,"189,0,0"
184,184,an exploratory plan,184.0,"190,0,1"
185,185,Find and experiment with data related to the phenomenon and observe it.,185.0,"191,0,0"
186,186,"1. Make a hypothesis. 2. Test the hypothesis (if wrong, make a different hypothesis).",186.0,"192,0,1"
187,187,exploratory observation,187.0,"193,0,1"
188,188,I think I'll check it again and make an announcement.,188.0,"194,0,0"
189,189,I look for phenomena related to it,189.0,"195,0,0"
190,190,examine the subject of inquiry in detail,190.0,"196,0,1"
191,191,"Uh, collecting evidence?",191.0,"197,0,1"
192,192,data collection,192.0,"198,0,1"
193,193,to investigate the question of inquiry,193.0,"199,0,0"
194,194,I don't know.,194.0,"200,0,1"
195,195,I forgot.,195.0,"201,0,1"
196,196,Exploring,196.0,"202,0,0"
197,197,I don't know.collecting research materials,197.0,"203,0,1"
198,198,"""To investigate",198.0,"204,0,0"
199,199,"""",199.0,"205,0,0"
200,200,determine the cause of,200.0,"206,0,1"
201,201,?,201.0,"207,0,1"
202,202,Start exploring and put into knowledge.,202.0,"208,0,1209,0,1"
203,203,Let's do an experiment.,203.0,"210,0,1"
204,204,To think of ways to solve an inquiry problem/collect its related materials,204.0,"211,0,0"
205,205,I don't know...,205.0,"212,0,0"
206,206,To set a topic for exploration,206.0,"213,0,1"
207,207,"If you prepare materials for inquiry, do experiments, submit reports, and find out something special, patent(?) I don't know much about it",207.0,"214,0,0"
208,208,I don't know.,208.0,"215,0,0"
209,209,Study hard.,209.0,"216,0,0"
210,210,Forgot.,210.0,"217,0,1"
211,211,?,211.0,"218,0,0"
212,212,Think about the object of inquiry.,212.0,"219,0,1"
213,213,Investigating and collecting data on inquiry problems,213.0,"220,0,0"
214,214,"After that, think more about the inquiry problem and pre-investigate and record what is necessary for the inquiry problem. We need to investigate.",214.0,"221,0,0"
215,215,Find out about the problems you're going to explore,215.0,"222,0,1"
216,216,Obtain the necessary supplies for exploration.,216.0,"223,0,0"
217,217,.,217.0,"224,0,0"
218,218,I don't know,218.0,"225,1,0"
219,219,Exploring,219.0,"226,0,1"
220,220,I'm going to ask NAVER's,220.0,"227,1,0"
221,221,It's a must-have question,221.0,"228,0,0"
222,222,I don't know.,222.0,"229,1,0"
223,223,Then I explore it.,223.0,"230,1,0"
224,224,I don't know.,224.0,"231,1,0"
225,225,planning an inquiry,225.0,"232,0,0"
226,226,Haha,226.0,"233,0,0"
227,227,"Uh, um, I don't know",227.0,"234,0,1"
228,228,planning an inquiry,228.0,"235,0,1"
229,229,I don't know,229.0,"236,0,1"
230,230,I don't know,230.0,"237,0,1"
231,231,Hypothesis setting,231.0,"238,0,0239,0,1"
232,232,To gather evidence to prove the phenomenon,232.0,"240,0,1"
233,233,Hypothesis setting,233.0,"241,0,0"
234,234,I think about the way I thought of it,234.0,"242,0,1"
235,235,Hypothesis setting,235.0,"243,0,1"
236,236,hypothesis setting,236.0,"244,0,1"
237,237,make a hypothesis,237.0,"245,0,1"
238,238,I don't know,238.0,"246,0,1"
239,239,I don't know.,239.0,"247,0,0"
240,240,Research knowledge or books related to the phenomenon.,240.0,"248,0,0"
241,241,"First, I research with a computer, and secondly, I ask scientist HANTAE",241.0,"249,0,1"
242,242,I'm investigating,242.0,"250,0,0"
243,243,Observe and measure,243.0,"251,0,0"
244,244,I don't know.,244.0,"252,1,0"
245,245,Find the data on what to explore in places such as the Internet.,245.0,"253,0,1"
246,246,"Find the data or go to the site to prepare for the experiment, and when it is ready, officially start",246.0,"254,0,1"
247,247,I don't know.,247.0,"255,0,1"
248,248,"First, decide the subject to be explored, then find out the subject to be investigated, and write the contents to question the exploration.",248.0,"256,0,0"
249,249,I ponder why I cannot explain why. And they collect data from observations.,249.0,"257,1,0"
250,250,Let's explore if we can explain it,250.0,"258,1,0"
251,251,keep an eye on the problem,251.0,"259,0,0"
252,252,I observe...,252.0,"260,0,1"
253,253,I don't know.,253.0,"261,1,0"
254,254,I don't know.,254.0,"262,1,0"
255,255,collect data,255.0,"263,0,1"
256,256,I forgot...,256.0,"264,0,0"
257,257,? Do not understand the problem,257.0,"265,1,1"
258,258,establish a hypothesis about the phenomenon,258.0,"266,1,0"
259,259,Let's observe,259.0,"267,1,1"
260,260,I'm going to do an experiment,260.0,"268,1,0269,1,1"
261,261,Expected experimental results,261.0,"270,0,1"
262,262,Hmm? I don't know,262.0,"271,0,1"
263,263,Establish a hypothesis,263.0,"272,0,1"
264,264,Hypothesis setting,264.0,"273,0,0"
265,265,I don't know,265.0,"274,1,1"
266,266,We expect the results of the experiment,266.0,"275,1,0"
267,267,hypothesis setting,267.0,"276,0,1"
268,268,establish a hypothesis,268.0,"277,0,1"
269,269,conduct an experiment to solve a problem,269.0,"278,0,1"
270,270,a liberal arts major,270.0,"279,0,1"
271,271,Establish a hypothesis and then conduct an experiment.,271.0,"280,0,1"
272,272,hypothesis setting,272.0,"281,0,1"
273,273,"Establishes a hypothesis about why, obtains results through experiments and inquiry, and determines the hypothesis through the results",273.0,"282,0,0"
274,274,Make a hypothesis.,274.0,"283,1,0"
275,275,Establish a hypothesis and explore it.,275.0,"284,0,1"
276,276,a deductive inquiry process,276.0,"285,1,1"
277,277,Observation,277.0,"286,1,0"
278,278,Development of a plan of inquiry activities,278.0,"287,0,0"
279,279,I don't know.,279.0,"288,0,0"
280,280,Hypothesis Deductive Exploration Method,280.0,"289,0,1"
281,281,Make a hypothesis.,281.0,"290,0,1"
282,282,Assume the phenomenon and predict the results of the inquiry.,282.0,"291,0,0"
283,283,"To modify a theory by generating principles through observation or intuition, and then empirically verifying specific results derived through deductive reasoning",283.0,"292,0,0"
284,284,devise a way to explore,284.0,"293,0,1"
285,285,Development of a plan of inquiry activities,285.0,"294,1,0"
286,286,"Design observation methods and procedures, make actual observations, and interpret observation results.",286.0,"295,0,0"
287,287,It is the design of the observation method and procedures.,287.0,"296,1,0"
288,288,I don't know,288.0,"297,0,1"
289,289,Hypothesis setting,289.0,"298,0,1299,1,0"
290,290,Find a formula or experiment that can explain this phenomenon,290.0,"300,1,1"
291,291,"After considering the hypothesis, research related data.",291.0,"301,1,0"
292,292,hypothesis setting,292.0,"302,1,0"
293,293,Sorry,293.0,"303,1,0"
294,294,All right.,294.0,"304,0,0"
295,295,Collection of data,295.0,"305,1,0"
296,296,Designing an ExplorationI don't know.,296.0,"306,1,1"
297,297,I don't understand.,297.0,"307,0,0"
298,298,deductive inquiry method,298.0,"308,1,1"
299,299,Hypothesis setting,299.0,"309,0,0"
300,300,I don't know,300.0,"310,0,0"
301,301,Hypothesis setting,301.0,"311,0,0"
302,302,deductive methods of inquiry,302.0,"312,0,0"
303,303,Planning an inquiry,303.0,"313,1,1"
304,304,Hypothesis setting,304.0,"314,1,0"
305,305,Hypothesis Setting-Experiment-Conclusion Drawing,305.0,"315,1,0"
306,306,hypothesis setting,306.0,"316,0,1"
307,307,Hypothesis setting,307.0,"317,1,0"
308,308,establish a hypothesis,308.0,"318,0,1"
309,309,I don't know.,309.0,"319,0,1"
310,310,establish a hypothesis,310.0,"320,1,0"
311,311,Establish a hypothesis and proceed with the experiment.,311.0,"321,1,0"
312,312,M and D,312.0,"322,1,1"
313,313,"Make observations. Recognize problems. Establish a hypothesis. Design an exploratory experiment. Conduct an exploratory experiment. Analyze the results. Draw a conclusion. Check with the hypothesis and generalize if it is correct, reset the hypothesis if it is wrong",313.0,"323,1,0"
314,314,I don't know.,314.0,"324,1,0"
315,315,.,315.0,"325,1,0"
316,316,I don't know.,316.0,"326,0,0"
317,317,It's going to be far.,317.0,"327,1,1"
318,318,Estimate the associated phenomena by setting a hypothesis.,318.0,"328,1,0329,1,1"
319,319,Make a hypothesis.,319.0,"330,1,0"
320,320,Establishing a hypothesis,320.0,"331,1,0"
321,321,find a way to prove the question of inquiry,321.0,"332,0,1"
322,322,hypothesis setting,322.0,"333,0,1"
323,323,I want to experiment more on the problem and know it in detail,323.0,"334,0,0"
324,324,Data collection,324.0,"335,0,0"
325,325,hypothesis setting,325.0,"336,0,0"
326,326,establish a hypothesis,326.0,"337,0,0"
327,327,Observation > Hypothesis > Experimental Design > Experiment > Results Analysis > Conclusions > Generalization,327.0,"338,0,0"
328,328,tentative conclusion setting,328.0,"339,0,0"
329,329,Hypothesis setting,329.0,"340,0,0"
330,330,hypothesis setting,330.0,"341,0,0"
331,331,Identifying the Problem,331.0,"342,0,1"
332,332,Hypothesis Setting - Manipulation - Observation Experience - Verification,332.0,"343,0,0"
333,333,Establish a hypothesis that is a tentative answer.,333.0,"344,0,0"
334,334,1)Hypothesis Setting Experimental Planning Experimental Exploration Conclusion,334.0,"345,0,1"
335,335,"Write down your thoughts in advance, such as hypotheses.",335.0,"346,0,1"
336,336,Establish a hypothesis,336.0,"347,0,0"
337,337,I'm going to do an experiment,337.0,"348,0,1"
338,338,Research preparation,338.0,"349,0,0"
339,339,I don't know.,339.0,"350,0,1"
340,340,ㅇ,340.0,"351,0,0"
341,341,very well,341.0,"352,0,1"
342,342,I don't know,342.0,"353,0,1"
343,343,I don't know,343.0,"354,0,1"
344,344,I don't know,344.0,"355,0,1"
345,345,I don't know.,345.0,"356,0,0"
346,346,in a very pretty way,346.0,"357,1,1"
347,347,"Make observations, gather data to measure.",347.0,"358,0,1359,1,0"
348,348,"""I don't know",348.0,"360,0,1"
349,349,"""",349.0,"361,0,0"
350,350,QUESTION,350.0,"362,0,1"
351,351,I'm experiment,351.0,"363,0,0"
352,352,It explores and observes the process of inquiry and collects data.,352.0,"364,0,0"
353,353,....,353.0,"365,0,1"
354,354,Collect ancient data from experiments.,354.0,"366,0,0"
355,355,I think scientists will do their best even if they fail.,355.0,"367,0,0"
356,356,Explore.,356.0,"368,0,0"
357,357,I don't know,357.0,"369,0,0"
358,358,explore the phenomenon,358.0,"370,0,1"
359,359,make observations,359.0,"371,1,0"
360,360,Observation and data on the problem.I think I need to collect pictures,360.0,"372,0,0"
361,361,"After the investigation, we start by exploring the suspicious areas",361.0,"373,0,0"
362,362,I don't know.,362.0,"374,0,0"
363,363,Continue to study the hypothesis outside of tax,363.0,"375,0,0"
364,364,Collecting data,364.0,"376,0,0"
365,365,Hypothesis setting,365.0,"377,0,1"
366,366,explored,366.0,"378,0,0"
367,367,1.a week 3.well,367.0,"379,0,0"
368,368,Observation,368.0,"380,0,1"
369,369,I don't know,369.0,"381,0,1"
370,370,See how it changes,370.0,"382,0,0"
371,371,I'm observing,371.0,"383,1,1"
372,372,I don't know,372.0,"384,0,1"
373,373,''',373.0,"385,0,0"
374,374,I don't know.,374.0,"386,0,0"
375,375,look up the phenomenon,375.0,"387,0,1"
376,376,"Observe it, gather data.",376.0,"388,0,1389,0,0"
377,377,Make a hypothesis.,377.0,"390,0,1"
378,378,I don't know.,378.0,"391,0,0"
379,379,Regret 1,379.0,"392,0,0"
380,380,ㅇ,380.0,"393,0,0"
381,381,ㅇ,381.0,"394,0,1"
382,382,Collect and select various information.,382.0,"395,0,1"
383,383,I'm experiment,383.0,"396,0,1"
384,384,I don't know.,384.0,"397,0,1"
385,385,I'm planning.,385.0,"398,0,1"
386,386,Data analysis,386.0,"399,0,1"
387,387,"To learn, experiment and explore the phenomenon",387.0,"400,0,1"
388,388,Yeah.,388.0,"401,0,1"
389,389,"Hypothesis setting, inquiry design, inquiry performance, data collection and interpretation, conclusion drawing, generalization",389.0,"402,0,1"
390,390,conducting an inquiry,390.0,"403,0,1"
391,391,planning,391.0,"404,0,0"
392,392,I don't know,392.0,"405,0,1"
393,393,to study unexplained phenomena,393.0,"406,0,0"
394,394,Resting eye control,394.0,"407,0,1"
395,395,decide on a topicI'm just exploring.,395.0,"408,0,1"
396,396,I don't know.,396.0,"409,0,1"
397,397,I don't know.,397.0,"410,0,0"
398,398,I don't know,398.0,"411,0,1"
399,399,Observation,399.0,"412,0,1"
400,400,Establishing an inquiry,400.0,"413,0,1"
401,401,Plan and prepare for the experiment,401.0,"414,0,1"
402,402,I'm exploring that's all,402.0,"415,0,1"
403,403,Variable control,403.0,"416,0,1"
404,404,make an inquiry plan,404.0,"417,0,1"
405,405,Determining an inquiry plan,405.0,"418,0,1419,0,1"
406,406,make observations and conduct experiments,406.0,"420,0,1"
407,407,make observations,407.0,"421,0,1"
408,408,I'm exploring,408.0,"422,0,1"
409,409,We keep looking at the phenomenon,409.0,"423,0,1"
410,410,Collect data.,410.0,"424,0,1"
411,411,Troubleshooting,411.0,"425,0,1"
412,412,Do an investigation.,412.0,"426,0,1"
413,413,investigation,413.0,"427,0,1"
414,414,an investigation into the matter,414.0,"428,0,1"
415,415,I don't know.,415.0,"429,0,1"
416,416,Decide on the question of inquiry and write down what to explore,416.0,"430,1,0"
417,417,conduct experiments in person,417.0,"431,1,0"
418,418,We look at the data measured during the experiment and learn the opinions of various scientists.,418.0,"432,1,0"
419,419,"It is to observe, measure, and investigate.",419.0,"433,1,0"
420,420,Prepare for exploration.,420.0,"434,1,1"
421,421,Collect data on the subject.,421.0,"435,0,1"
422,422,I'm studying why it happens,422.0,"436,1,0"
423,423,collecting data,423.0,"437,1,0"
424,424,study the phenomenon,424.0,"438,0,0"
425,425,I'm exploring,425.0,"439,0,1"
426,426,Observe and record.,426.0,"440,0,1"
427,427,Study hard.,427.0,"441,0,1"
428,428,Do an investigation.,428.0,"442,1,1"
429,429,Experiment. - So that you know the question of exploration,429.0,"443,0,0"
430,430,Create an exploration plan.,430.0,"444,1,0"
431,431,I'm going to do my research in detail and organize what I've explored things,431.0,"445,1,0"
432,432,Scientists begin to explore the question of inquiry,432.0,"446,1,0"
433,433,make a plan of inquiry,433.0,"447,1,1"
434,434,It seems that it is to continue to observe phenomena that cannot be explained and find characteristics.,434.0,"448,0,1449,1,1"
435,435,hypothesis setting,435.0,"450,0,1"
436,436,Establish a hypothesis.,436.0,"451,1,0"
437,437,Hypothesis setting,437.0,"452,0,1"
438,438,Establish a hypothesis.,438.0,"453,1,0"
439,439,Prepare for exploration by establishing a hypothesis.,439.0,"454,0,0"
440,440,Analyze the determined inquiry problem.,440.0,"455,0,1"
441,441,establish a hypothesis,441.0,"456,0,1"
442,442,establish a hypothesis,442.0,"457,0,1"
443,443,We need to find evidence,443.0,"458,0,1"
444,444,Survey,444.0,"459,0,0"
445,445,I'm experiment,445.0,"460,0,1"
446,446,Analyze the question of inquiry,446.0,"461,0,1"
447,447,We establish a hypothesis that predicts the results that can be derived by obtaining an inquiry.,447.0,"462,0,1"
448,448,Why did this happen?,448.0,"463,0,1"
449,449,Setting up a hypothesis,449.0,"464,0,1"
450,450,Make a hypothesis.,450.0,"465,0,1"
451,451,Hypothesis setting,451.0,"466,0,1"
452,452,We will set up a hypothesis to predict the results in advance.,452.0,"467,0,1"
453,453,It is a summary of the contents to be explored on the question of inquiry.,453.0,"468,0,1"
454,454,"For the first time, a hypothesis is established based on the phenomenon. Next, I do various experiments to see if my hypothesis is correct. It would be nice if the experiment succeeded at once, but if not, we continue this process until we can explain the phenomenon by establishing another hypothesis.",454.0,"469,0,1"
455,455,I don't know the process of inquiry,455.0,"470,0,1"
456,456,Make a hypothesis.,456.0,"471,0,1"
457,457,Experimental preparation,457.0,"472,0,0"
458,458,Let's make a hypothesis,458.0,"473,1,0"
459,459,Decide whether it is right or not.,459.0,"474,1,0"
460,460,deductive inquiry experiment,460.0,"475,1,1"
461,461,Collect data from observations and measurements during the experiment,461.0,"476,1,0"
462,462,Execution of the inquiry process,462.0,"477,0,1"
463,463,Find evidence on the question of inquiry,463.0,"478,0,1479,0,1"
464,464,I don't know,464.0,"480,0,1"
465,465,Evidence data,465.0,"481,0,1"
466,466,Exploration activities,466.0,"482,0,1"
467,467,Write the action and experimental conditions on the plan to be explored.,467.0,"483,0,1"
468,468,experiment,468.0,"484,0,1"
469,469,Observation,469.0,"485,0,1"
470,470,I'm exploring?,470.0,"486,1,0"
471,471,collect data,471.0,"487,0,1"
472,472,explore in more detail,472.0,"488,0,1"
473,473,Collect measured data.,473.0,"489,0,1"
474,474,Collect measured data.,474.0,"490,0,1"
475,475,Collect data observed and measured during the experiment.,475.0,"491,0,1"
476,476,likely to explore,476.0,"492,0,1"
477,477,I don't know.,477.0,"493,0,0"
478,478,make a hypothesis,478.0,"494,0,1"
479,479,write a hypothesis,479.0,"495,0,0"
480,480,가설을 먼저 세우고 그 가설을 기준으로 이게 가설에 맞는지 생각하고 그현상을 관찰한다. If them one by one and assumptions and assumptions and other points after writing the reasons for why that happens with different.,480.0,"496,0,0"
481,481,Make a hypothesis.,481.0,"497,0,1"
482,482,A Study on the experiment and observe.,482.0,"498,0,1"
483,483,Pass the plan inquiry,483.0,"499,0,0"
484,484,그 현상에 대해 관찰한다.,484.0,"500,0,1"
485,485,Observation and experiment.,485.0,"501,0,0"
486,486,Experiment,486.0,"502,0,0"
487,487,탐구계획을 짜고 변인통제도 한다음 실험을한다.,487.0,"503,0,0"
488,488,Exploration plans.,488.0,"504,0,0"
