,Unnamed: 0,2) What would be good for a bakery if they compete?,Unnamed: 0,", q52_power generation, q52_power generation1"
117,117,Your ability to make bread gets better,117.0,"121,0,"
118,118,Our country will win,118.0,"122,1,"
119,119,Ore-muk-sam (rice cake),119.0,"123,0,"
120,120,You can see the problem in your shop,120.0,"124,0,"
121,121,I don't know.,121.0,"125,0,"
122,122,More delicious bread,122.0,"126,0,"
123,123,I look cute.,123.0,"127,0,"
124,124,ㅇㄻㄴ,124.0,"128,0,"
125,125,The number of customers increases. The number of customers increases,125.0,"129,0,"
126,126,.,126.0,"130,0,"
127,127,There are a lot. It'sold,127.0,"131,0,"
128,128,.,128.0,"132,0,"
129,129,be pleased with one's victory,129.0,"133,0,"
130,130,ㅓ Haha,130.0,"134,0,"
131,131,You can make a profit even if you sell it cheaply.,131.0,"135,0,"
132,132,I can make more money,132.0,"136,1,"
133,133,I don't know,133.0,"137,1,"
134,134,Competition increases opportunities to promote.,134.0,"138,1,"
135,135,The bakery can atrract many customers,135.0,"139,0,"
136,136,to be able to work harder,136.0,"140,0,"
137,137,We try hard to make a lot of money,137.0,"141,0,"
138,138,I'm trying to do better.,138.0,"142,0,"
139,139,ㄴㅇㄹ ㅇㄹㄻㅇ,139.0,"143,0,"
140,140,It makes me proud,140.0,"144,1,"
141,141,gain a greater profit,141.0,"145,0,"
142,142,There are more customers,142.0,"146,1,"
143,143,..............,143.0,"147,1,"
144,144,Taste and quality,144.0,"148,0,149,1,"
145,145,I get pride. Competition is burning,145.0,"150,1,"
146,146,You can develop.,146.0,"151,0,"
147,147,I can make better snacks and develop them,147.0,"152,1,"
148,148,We can get more support from the headquarters,148.0,"153,0,"
149,149,Trying to make it delicious,149.0,"154,0,"
150,150,It improves taste and quality.,150.0,"155,1,"
151,151,People make a lot of money because they go and buy it,151.0,"156,1,"
152,152,Competition can help develop confectionery.,152.0,"157,1,"
153,153,Bakery B,153.0,"158,0,"
154,154,We have more customers,154.0,"159,0,"
155,155,It makes progress.,155.0,"160,0,"
156,156,It makes progress.,156.0,"161,0,"
157,157,I try harder,157.0,"162,1,"
158,158,It's selling a lot.,158.0,"163,1,"
159,159,I don't know...,159.0,"164,0,"
160,160,take turns making regular money with,160.0,"165,1,"
161,161,be even more delicious,161.0,"166,0,"
162,162,Work harder.,162.0,"167,0,"
163,163,You can pursue novelty and find problems.,163.0,"168,0,"
164,164,ㅐ,164.0,"169,0,"
165,165,We can develop each other.,165.0,"170,0,"
166,166,I don't think there's anything particularly good about it.,166.0,"171,0,"
167,167,There are a lot of customers coming.,167.0,"172,1,"
168,168,You can get money.,168.0,"173,0,"
169,169,I'm going to let you know more,169.0,"174,0,"
170,170,He is quick to spin and makes a lot of money,170.0,"175,0,"
171,171,various points,171.0,"176,0,"
172,172,What needs to be improved can be corrected,172.0,"177,1,"
173,173,"When the price goes down due to competition, many customers come.",173.0,"178,1,179,0,"
174,174,to be able to sell more goods,174.0,"180,1,"
175,175,"Because if a bakery wins the competition, a lot of people come",175.0,"181,0,"
176,176,People buy things.,176.0,"182,1,"
177,177,We will make more bread and improve our skills.,177.0,"183,1,"
178,178,We can make better products,178.0,"184,0,"
179,179,"If you compete on better terms, more people will come.",179.0,"185,1,"
180,180,Bakery stores can compete and supply better consumer goods.,180.0,"186,1,"
181,181,"The bread will be cheaper, and it will taste better. Also, the attitude of the clerks will be kind.",181.0,"187,0,"
182,182,The store gets better.,182.0,"188,1,"
183,183,Better things can be developed.,183.0,"189,0,"
184,184,"By making it more profitable for consumers to come more often, the bakery sells a lot of goods",184.0,"190,0,"
185,185,"Because of competition, confectionery technology grows more to make more delicious bread?",185.0,"191,0,"
186,186,be given a chance to improve,186.0,"192,0,"
187,187,to be able to sell more to customers,187.0,"193,1,"
188,188,You can grow and develop by identifying problems or creating more advantages,188.0,"194,1,"
189,189,You can become more perfect because you have a rival,189.0,"195,0,"
190,190,I'm making more,190.0,"196,0,"
191,191,I don't know.,191.0,"197,0,"
192,192,Profits will increase.,192.0,"198,1,"
193,193,It's improving,193.0,"199,0,"
194,194,I can make a better product,194.0,"200,1,"
195,195,?,195.0,"201,0,"
196,196,A lot of customers come in.,196.0,"202,0,"
197,197,"Buy consumer confidence at a cheaper price.""By competing, I was able to work harder to win the other company",197.0,"203,0,"
198,198,"It makes you more efficient.""",198.0,"204,0,"
199,199,The winner of the competition can earn more money.,199.0,"205,0,"
200,200,A good change will occur,200.0,"206,1,"
201,201,I don't think there'll be any good for the bakery,201.0,"207,1,"
202,202,I don't know.,202.0,"208,1,209,1,"
203,203,be good at making money,203.0,"210,0,"
204,204,I don't know.,204.0,"211,0,"
205,205,Popularity,205.0,"212,1,"
206,206,"Competition can sell better products to consumers, and if competition prevails, more consumers can come to the bakery.",206.0,"213,1,"
207,207,It improves the taste.,207.0,"214,1,"
208,208,"Because the bakery feels competitive with each other, they will be able to eat more bread and make a lot of bread. And there's going to be more income.",208.0,"215,0,"
209,209,You can grow the store more.,209.0,"216,0,"
210,210,I get passionate,210.0,"217,1,"
211,211,.,211.0,"218,0,"
212,212,New bread is coming out,212.0,"219,1,"
213,213,I can improve my skills because I try to win.,213.0,"220,0,"
214,214,Development,214.0,"221,1,"
215,215,I get acquainted with other bakeries,215.0,"222,1,"
216,216,I don't know.,216.0,"223,0,"
217,217,You can make a profit and develop a menu.,217.0,"224,0,"
218,218,I don't know.,218.0,"225,1,"
219,219,"Due to competitive spirit, we can make more efforts to sell and generate sales.",219.0,"226,1,"
220,220,make money,220.0,"227,1,"
221,221,"Because we try to be better at each other, we can make a brilliant bread in the process.",221.0,"228,1,"
222,222,We can increase sales by improving the service.,222.0,"229,1,"
223,223,I don't know,223.0,"230,1,"
224,224,It's getting cheaper when different bakeries compete with each other,224.0,"231,1,"
225,225,You can make better quality products.,225.0,"232,0,"
226,226,I'm working hard for better service,226.0,"233,0,"
227,227,provide better service,227.0,"234,1,"
228,228,Bread improves in quality,228.0,"235,0,"
229,229,Better service delivery,229.0,"236,0,"
230,230,I try to make the product better,230.0,"237,0,"
231,231,"Because I try to be better than my competitor, my ability is improved",231.0,"238,1,239,1,"
232,232,A lot of people come when I buy it,232.0,"240,1,"
233,233,There are more people coming.,233.0,"241,0,"
234,234,We can compete and develop further.,234.0,"242,0,"
235,235,"If I have a better point, I only make money",235.0,"243,0,"
236,236,The winner will benefit from the competition,236.0,"244,0,"
237,237,I can gather people,237.0,"245,0,"
238,238,Developing and developing new places.,238.0,"246,0,"
239,239,You can learn more technology and discover new technology,239.0,"247,0,"
240,240,to be able to work diligently,240.0,"248,0,"
241,241,be no good,241.0,"249,1,"
242,242,"If the two bakeries compete, both become popular and many consumers can come to the bakery.",242.0,"250,0,"
243,243,"If I become popular in competition, I think I can make a lot of money because many people come.",243.0,"251,0,"
244,244,"If you compete and win, you don't need much.",244.0,"252,1,"
245,245,There are more people coming.,245.0,"253,0,"
246,246,I don't know,246.0,"254,1,"
247,247,I don't know.,247.0,"255,0,"
248,248,I don't know.,248.0,"256,0,"
249,249,I improve my skills by trying to make good bread,249.0,"257,1,"
250,250,a heightened sense of competition,250.0,"258,1,"
251,251,Do you have any good points?,251.0,"259,0,"
252,252,to be able to improve the quality,252.0,"260,1,"
253,253,...I don't know,253.0,"261,1,"
254,254,to show better quality,254.0,"262,1,"
255,255,I will buy more products,255.0,"263,0,"
256,256,become more competitive,256.0,"264,0,"
257,257,You can get better skills,257.0,"265,0,"
258,258,More advanced,258.0,"266,0,"
259,259,You two can get close by fighting,259.0,"267,1,"
260,260,can provide better quality,260.0,"268,0,269,1,"
261,261,Bakery stores develop,261.0,"270,0,"
262,262,It grows to a new level.,262.0,"271,0,"
263,263,I can sell more things because I'm competitive,263.0,"272,1,"
264,264,You get more consumers,264.0,"273,0,"
265,265,We can benefit from each other.,265.0,"274,1,"
266,266,You can make more money if you win the competition.,266.0,"275,0,"
267,267,It can continue to develop and improve qualitatively.,267.0,"276,1,"
268,268,People who usually go to other bakeries can turn to better bakeries.,268.0,"277,1,"
269,269,Bakery stores can be conscious and participate in economic activities more diligently.,269.0,"278,0,"
270,270,Don't know,270.0,"279,0,"
271,271,"If you win the competition, you can monopolize it",271.0,"280,1,"
272,272,"Through experience, you can produce better products and sell good products to consumers.",272.0,"281,1,"
273,273,?,273.0,"282,0,"
274,274,"The more you compete and develop, the more customers you have",274.0,"283,1,"
275,275,It can attract attention to consumers and induce more sales.,275.0,"284,0,"
276,276,They work harder by competing with each other because they are motivated.,276.0,"285,0,"
277,277,The bakery will also work harder,277.0,"286,0,"
278,278,"You will lose money when you compete, but after winning the competition, you can monopolize the sales revenue",278.0,"287,0,"
279,279,Profits may increase.,279.0,"288,0,"
280,280,"If you compete, you can improve your confectionery skills to win, and if you win the competition, you can make a big profit.",280.0,"289,0,"
281,281,Each other's skills improve.,281.0,"290,0,"
282,282,It's,282.0,"291,0,"
283,283,improve in quality,283.0,"292,0,"
284,284,None.,284.0,"293,0,"
285,285,I don't understand.,285.0,"294,0,"
286,286,profit generation,286.0,"295,1,"
287,287,None.,287.0,"296,0,"
288,288,I don't have it's,288.0,"297,1,"
289,289,?,289.0,"298,0,299,1,"
290,290,Monopoly seems more efficient than competition,290.0,"300,1,"
291,291,I don't know.,291.0,"301,0,"
292,292,I don't understand.,292.0,"302,1,"
293,293,The bakery class is different.,293.0,"303,0,"
294,294,There is nothing much.,294.0,"304,0,"
295,295,product quality improvement,295.0,"305,0,"
296,296,"You'll get more profitDeveloping creative, new menus, differentiating themselves",296.0,"306,1,"
297,297,You can do business better by knowing what more consumers want.,297.0,"307,0,"
298,298,A lot of good ideas will come to mind.,298.0,"308,0,"
299,299,"If you compete, the store will make more progress to sell more",299.0,"309,0,"
300,300,I don't think it's going to be good. I think it's much more profitable to sell it exclusively and sell it at a higher price than to compete.,300.0,"310,1,"
301,301,I feel proud when bakeries compete with each other and grow.,301.0,"311,1,"
302,302,I don't know because I haven't tried it.,302.0,"312,0,"
303,303,I don't understand.,303.0,"313,0,"
304,304,Your skills will improve,304.0,"314,0,"
305,305,"We can find each other's strengths and weaknesses, and if we have a chance, we can agree with each other to make greater economic gains.",305.0,"315,1,"
306,306,You become passionate about your store.,306.0,"316,0,"
307,307,The competition diversifies consumers,307.0,"317,0,"
308,308,I don't know.,308.0,"318,1,"
309,309,an effort to compete,309.0,"319,0,"
310,310,The quality of each other's products improves and sales increase.,310.0,"320,0,"
311,311,It's going to be far.,311.0,"321,1,"
312,312,You can get a bigger profit economically.,312.0,"322,1,"
313,313,You can compete with each other and make more profit.,313.0,"323,0,"
314,314,It makes me work harder,314.0,"324,0,"
315,315,We can provide better service to future businesses,315.0,"325,1,"
316,316,Sales increase when consumers use it a lot,316.0,"326,1,"
317,317,We compete with each other and work harder,317.0,"327,0,"
318,318,You can make a profit from good service,318.0,"328,1,329,0,"
319,319,a guest,319.0,"330,1,"
320,320,You can sell a higher level of goods because you want to provide better benefits and better services,320.0,"331,0,"
321,321,The bakery itself can grow further.,321.0,"332,1,"
322,322,You can have a monopoly when you win the competition.,322.0,"333,1,"
323,323,h,323.0,"334,1,"
324,324,You can get technical skills by producing better quality products.,324.0,"335,0,"
325,325,compete and develop further,325.0,"336,0,"
326,326,to increase one's income,326.0,"337,1,"
327,327,You can generate sales by creating more ideas.,327.0,"338,0,"
328,328,the joy of competition,328.0,"339,0,"
329,329,It will be better than before.,329.0,"340,0,"
330,330,"""The news would say it's good, but in fact, what comes from bakery Paris Baguette or something like that would be a competition for individual bakeries. If it's not a good restaurant, I can't compete with you, so what should I do?",330.0,"341,0,"
331,331,"""",331.0,"342,0,"
332,332,People gather by making more delicious bread.,332.0,"343,0,"
333,333,development,333.0,"344,0,"
334,334,It's improving,334.0,"345,1,"
335,335,You can make more money,335.0,"346,0,"
336,336,It's fun,336.0,"347,0,"
337,337,It's good to sell a better girl,337.0,"348,0,"
338,338,It will make more money,338.0,"349,0,"
339,339,The bakery's items will sell well,339.0,"350,1,"
340,340,Business will be better.,340.0,"351,0,"
341,341,Only the bakery can be run by yourself,341.0,"352,0,"
342,342,I don't know.,342.0,"353,1,"
343,343,ㅈ,343.0,"354,1,"
344,344,Thing,344.0,"355,0,"
345,345,Only more will sell better quality and more goods.,345.0,"356,0,"
346,346,Consumers can make more money because they buy bread from their bakery.,346.0,"357,0,"
347,347,I don't know,347.0,"358,1,359,1,"
348,348,There are a lot of people coming.,348.0,"360,1,"
349,349,"If we continue to compete, our country will develop a lot.",349.0,"361,0,"
350,350,"If you work hard to make more delicious confectionery, you can achieve better results.",350.0,"362,0,"
351,351,I don't know,351.0,"363,0,"
352,352,I don't know,352.0,"364,0,"
353,353,"Change, cheaper, tastier, say good bread",353.0,"365,1,"
354,354,Because a lot of people come and work hard.Because you end up doing what you want to do,354.0,"366,0,"
355,355,I don't know,355.0,"367,0,"
356,356,I don't know.,356.0,"368,0,"
357,357,I'm glad to win,357.0,"369,0,"
358,358,More research will be conducted on the goods to be given to consumers.,358.0,"370,0,"
359,359,"The quality of one's products is improved, so more customers can come.",359.0,"371,1,"
360,360,The bread was delicious,360.0,"372,0,"
361,361,"If you win, you make a lot of money",361.0,"373,0,"
362,362,The number of consumers,362.0,"374,0,"
363,363,S5757,363.0,"375,0,"
364,364,"If you do well, your sales may go up",364.0,"376,1,"
365,365,I can come up with a better idea,365.0,"377,0,"
366,366,3225253,366.0,"378,0,"
367,367,"As the price becomes expensive, people can buy it at a high price.",367.0,"379,0,"
368,368,I don't know.,368.0,"380,0,"
369,369,h,369.0,"381,0,"
370,370,h,370.0,"382,0,"
371,371,You can increase your profits by selling new products.,371.0,"383,1,"
372,372,I don't know.,372.0,"384,0,"
373,373,to be able to make a profit,373.0,"385,1,"
374,374,h,374.0,"386,0,"
375,375,h,375.0,"387,0,"
376,376,The bakery owner can work harderAhhhhhhhhhhhhhhhhhhhhhhhhhhh,376.0,"388,0,389,1,"
377,377,Many consumers can come,377.0,"390,0,"
378,378,Earn money................................................................................................................................................................................................................................................,378.0,"391,0,"
379,379,Several guests may come.,379.0,"392,1,"
380,380,There are shops that will benefit and they may be praised by customers,380.0,"393,0,"
381,381,People are gathering,381.0,"394,0,"
382,382,I'm making money haha,382.0,"395,0,"
383,383,Increase the possibility of development. Consumers come to think of what they want.,383.0,"396,0,"
384,384,Business is booming because there are a lot of people coming,384.0,"397,0,"
385,385,You can grow by looking at other bakeries.,385.0,"398,0,"
386,386,The product will become cheaper because consumers buy cheaper products.,386.0,"399,1,"
387,387,"If bakeries compete with each other, people will post delicious food on SNS, and those who see it will visit there",387.0,"400,0,"
388,388,.,388.0,"401,1,"
389,389,to be able to fill in the gaps by looking at other stores,389.0,"402,0,"
390,390,People can see who's coming a lot.,390.0,"403,0,"
391,391,I can buy more bread,391.0,"404,0,"
392,392,We can sell delicious snacks to customers and increase profits,392.0,"405,1,"
393,393,I think a lot of bread will be sold.,393.0,"406,1,"
394,394,You can sell a lot of goods by lowering the price.,394.0,"407,0,"
395,395,There can be a lot of customers.It's fun to compete,395.0,"408,0,"
396,396,It sells more.,396.0,"409,1,"
397,397,The number of customers is increasing,397.0,"410,0,"
398,398,"While competing, they create better ideas than other bakeries, attracting consumers to generate higher profits or patenting ingenious technologies created by competing.",398.0,"411,0,"
399,399,You can sell a lot of bread by lowering the price by competing.,399.0,"412,0,"
400,400,"You can learn from each other, try to be better than your competitors, and become a better bakery.",400.0,"413,0,"
401,401,I think we can make a lot of money if we compete with each other,401.0,"414,0,"
402,402,Bakery B,402.0,"415,0,"
403,403,Bakery profits increase.,403.0,"416,0,"
404,404,You can study many things and make good bread to become a better bakery.,404.0,"417,1,"
405,405,You can make better quality products.,405.0,"418,1,419,0,"
406,406,"If you win the competition, customers will gather.",406.0,"420,1,"
407,407,The potential that you didn't know comes out,407.0,"421,1,"
408,408,"Problems can be improved, and more customers can visit.",408.0,"422,0,"
409,409,There's a fire,409.0,"423,0,"
410,410,"If it works out, it can work out very well.",410.0,"424,0,"
411,411,"Since customers compete with what they are satisfied with, if they compete with each other, more customers will come.",411.0,"425,1,"
412,412,Sales increase as more people come.,412.0,"426,0,"
413,413,There are a lot of people living.,413.0,"427,1,"
414,414,"The bakery, which won the competition, benefits a lot from having many customers.",414.0,"428,0,"
415,415,"It would be nice to compete and attract consumers to the better side, so bakeries can also make money.",415.0,"429,1,"
416,416,Consumers can make better things by taking advantage of their favorite characteristics.,416.0,"430,0,"
417,417,You can win the hearts of consumers by making better products.,417.0,"431,1,"
418,418,"If you win the competition, more people will come to the store.",418.0,"432,0,"
419,419,"As we compete with each other, we try to make a better bakery",419.0,"433,1,"
420,420,The bakery itself can develop.,420.0,"434,0,"
421,421,Gain experience.,421.0,"435,1,"
422,422,"Some places work well, some places can't work well, so I think a place that works well will be good.",422.0,"436,1,"
423,423,There are a lot of customers coming.,423.0,"437,1,"
424,424,"If we compete with each other, it will be a little better bakery.",424.0,"438,0,"
425,425,"By lowering the price, people can buy a lot and make a lot of money",425.0,"439,1,"
426,426,"""",426.0,"440,1,"
427,427,I think we can develop further by competing with each other.,427.0,"441,1,"
428,428,"It may sell better than other stores. (Lower prices, more customers)",428.0,"442,1,"
429,429,"As written above, it will be a better bakery than before by managing store facilities and menus harder, and if it is evaluated as a better bakery than other bakeries, people who came to other bakeries can lead to their own bakery, which will increase consumers.",429.0,"443,1,"
430,430,Sales increase with the attention of consumers,430.0,"444,1,"
431,431,I can develop a bakery.,431.0,"445,1,"
432,432,It'll be competitive and focus on making a profit,432.0,"446,1,"
433,433,Bakery stores try to sell better products to consumers and promote them well.,433.0,"447,0,"
434,434,"As consumers compete and make bread that consumers want, the number of consumer sites will increase, and profits will increase in bakeries.",434.0,"448,1,449,0,"
435,435,You can develop further and reflect on what's wrong.,435.0,"450,0,"
436,436,We can develop something better because of our competitive spirit,436.0,"451,0,"
437,437,Bakery has the advantage of increasing the likelihood of having more customers as they try to develop better products,437.0,"452,0,"
438,438,They will try to do more in the direction that consumers want So the consumer will try to exploit more,438.0,"453,1,"
439,439,You can secure what you've been doing wrong so far.,439.0,"454,1,"
440,440,I will try to improve more,440.0,"455,1,"
441,441,Bakery stores can compare and compete with other bakery products to handle higher quality products and create a better environment,441.0,"456,0,"
442,442,"As we hear good products from each other in the process of economizing, we can make products in consideration of various processes and methods and attract more consumers by improving quality.",442.0,"457,1,"
443,443,They compete with each other and develop further,443.0,"458,1,"
444,444,The bakery will make more delicious bread,444.0,"459,0,"
445,445,You will be more diligent in operating the bakery.,445.0,"460,1,"
446,446,"It seems that you can get feedback on the food you make, and as you compete, you can gain knowledge about consumers.",446.0,"461,0,"
447,447,Profits will rise.,447.0,"462,0,"
448,448,"As they compete with each other, they can notice their store's shortcomings, so the store can be developed.",448.0,"463,1,"
449,449,Will the profits increase unexpectedly?,449.0,"464,1,"
450,450,I can see where it's much better,450.0,"465,1,"
451,451,It can be sold by measuring the appropriate amount of supply.,451.0,"466,0,"
452,452,facility,452.0,"467,0,"
453,453,I will pay more attention to the quality of the bakery,453.0,"468,1,"
454,454,I can work harder and fix the wrong things.,454.0,"469,0,"
455,455,"Competition with each other can lower profits or increase quality, leading to a large number of consumers coming",455.0,"470,1,"
456,456,The profit is likely to increase before the competition,456.0,"471,0,"
457,457,You can study new confectionery due to competition among bakery stores and make profits in the store by introducing new confectionery to consumers.,457.0,"472,0,"
458,458,Bakery can develop a lot,458.0,"473,0,"
459,459,"Near the bakery,",459.0,"474,1,"
460,460,Making more delicious bread and making more customers come,460.0,"475,0,"
461,461,I like only one person,461.0,"476,0,"
462,462,They can make a lot of money by attracting customers while competing.,462.0,"477,0,"
463,463,I can make better bread,463.0,"478,1,479,1,"
464,464,"The quality has improved and it has become famous, so a lot of people come",464.0,"480,0,"
465,465,Bread is getting better,465.0,"481,0,"
466,466,Business may turn out better.,466.0,"482,1,"
467,467,"Some places are more ruined, and many places are doing well",467.0,"483,1,"
468,468,"Promoting to people, I think about how to make more delicious food",468.0,"484,1,"
469,469,There is a bakery that benefits.,469.0,"485,1,"
470,470,Competition will reduce the store's weaknesses because it will secure more of each other's bad points.,470.0,"486,1,"
471,471,You can make a lot of money by letting consumers come to your bakery.,471.0,"487,1,"
472,472,Business is doing well,472.0,"488,1,"
473,473,"""",473.0,"489,1,"
474,474,"""Many people come because it's rumored to be cheaper, better ingredients, and good service.""",474.0,"490,1,"
475,475,The bakery can do better by selling it better and cheaper.,475.0,"491,1,"
476,476,"If they compete with each other, the bakery can do business honestly because they have to use better ingredients.",476.0,"492,0,"
477,477,You can buy things cheaper and better.,477.0,"493,0,"
478,478,I don't have it's,478.0,"494,0,"
479,479,Bakery can be further developed,479.0,"495,0,"
