,Unnamed: 0,"2) How can I compare the richness of salt water in A, B, and C beakers other than a taste?",Unnamed: 0,", q36_weight, q36_deposition, q36_measurement, q36_color, q36_taste, q36_weight 1, q36_deposition.1,q36_Measurement.1,q36_color.1,q36_Taste.1"
71,71,"By evaporating salt water, it is distinguished as having a lot of salt lumps.",71.0,"73,0,1,0,0,0, the thickness of the salt water can be compared with a specific gravity meter, and can be compared with a concentration"
72,72,Add eggs to compare the richness of salt,72.0,"74,0,1,0,0,0, the thickness of the salt water is compared with a hydrometer, and can be compared with concentration"
73,73,Add the same amount of salt at a constant rate and check the order in which it does not dissolve.,73.0,"75,1,0,0,0,0, the thickness of the salt water is compared with a hydrometer, which can be compared with concentration"
74,74,I'll look at the amount of salt left,74.0,"76,0,0,0,0,0, the thickness of the salt water is compared with the hydrometer, which can be compared with the concentration"
75,75,Boil until the water is gone,75.0,"77,0,0,1,0, the thickness of salt water can be compared with a hydrometer, and it can be compared with concentration"
76,76,float an object,76.0,"78,0,1,1,0,0 The thickness of the salt water can be compared with the hydrometer, it can be compared with the concentration"
77,77,I don't know.,77.0,"79,0,1,0,0,0, the thickness of the salt water can be compared with the hydrometer, which can be compared with the concentration"
78,78,Use a concentration meter.,78.0,"80,0,0,1,0, the thickness of salt water is comparable with a hydrometer, and the thickness of salt water is comparable with concentration"
79,79,Compare the amount of salt by evaporating all the water. Compare and measure using a machine.,79.0,"81,0,1,0,0,0 , the thickness of salt water can be compared with the specific gravity meter , the thickness of salt water can be compared with the concentration"
80,80,"If you divide ABC separately and evaporate, the salt comes out. The beaker with a lot of salt has the most salty amount",80.0,"82,0,0,1,0,0, the thickness of salt water is comparable with a specific gravity meter, and the thickness of salt water is comparable with concentration"
81,81,Use tools to measure salt,81.0,"83,0,1,0,0,0, the thickness of salt water can be compared with a specific gravity meter, and the thickness of salt water can be compared with concentration"
82,82,Boil the salt water of each beaker until the water evaporates and compare the amount of salt remaining to compare the thickness.,82.0,"84,0,1,0,0,0. The thickness of the salt water is comparable with the specific gravity meter. The thickness of the salt water is comparable with the concentration of the thickness of the salt water is comparable with the concentration"
83,83,Measure the thickness with a machine. There must be a machine that can be measured.,83.0,"85,0,1,0,0, the thickness of salt water is comparable with a hydrometer, and the thickness of salt water is comparable with concentration"
84,84,Take a certain amount and let the water evaporate in the sunlight,84.0,"86,0,1,0,0,0. The thickness of the salt water is comparable with the specific gravity meter, and the thickness of the salt water is comparable with the concentration"
85,85,"Abc is heated and evaporated with water vapor. If you evaporate them all, there are salt crystals left. Depending on the amount of salt crystals, the richness of salt water can be compared.",85.0,"87,1,1,1,0, to compare the depth of salt water, use a hydrometer, compare the degree of floating objects in the water,"
86,86,Find beakers that evaporate faster because they are hot.,86.0,"88,0,0,0,1, To compare the depth of salt water, use a hydrometer, compare the degree of floating by putting objects in the water89,0,1,0,0,0 Use a hydrometer to compare the depth of salt water, compare the degree of floating in the water"
87,87,"After making all other conditions the same, keep lowering the temperature at the temperature at which all salts can be dissolved, and record the temperature at which unmelted salts come out. The higher this temperature, the stronger the salt water is.",87.0,"90,0,0,1,0,0 Use a hydrometer to compare the depth of salt water, compare the degree of floating by putting objects in the water"
88,88,"""Since the same amount of water has been added, check the weight.",88.0,"91,0,1,0,0,0 Use a hydrometer to compare the intensity of salt water, compare the degree of floating by putting objects in the water"
89,89,Compare densities.,89.0,"92,0,0,1,0,0 You can use a hydrometer to compare the intensities of salt water, you can compare the degree of floating by putting objects in the water"
90,90,Compare the concentrations.,90.0,"93,0,0,0,1,0, you can use a hydrometer to compare the intensity of salt water, you can compare the degree of floating by putting objects in the water"
91,91,Compare the mass ratios.,91.0,"94,0,0,1,1,0, the depth of the salt water can be compared using a hydrometer, the degree to which floating objects are put in the water and float"
92,92,Compare the crystallinity of the salt while evaporating the same amount of water.,92.0,"95,1,1,0,0, the thickness of salt water is compared using a hydrometer, and the thickness of salt water is compared to the degree to which floating objects are placed water"
93,93,"Compare the crystallinity while lowering the temperature.""",93.0,"96,0,0,0,1,0, the depth of salt water is compared using a hydrometer, and the depth of salt water is compared to the degree to which floating objects are placed in the water"
94,94,I'm going to try it,94.0,"97,0,0,0,1,0, salt water's thickness is compared using a hydrometer, and salt water's thickness is compared to the degree to which floating objects are placed in the water"
95,95,It evaporates in the sun,95.0,"98,0,0,0,0,0 , salt water's thickness is compared using a hydrometer, and salt water's thickness is compared to the degree to which floating objects are placed in the water"
96,96,Find the ratio of salt water to the amount of salt.(When the amount of salt water is the same),96.0,"99,0,0,0,1,0, the depth of salt water can be compared using a hydrometer; the depth of salt water can be compared by putting objects floating in the water"
97,97,Heat water to evaporate,97.0,"100, 1, 0, 0, 0, 0, 0, the depth of salt water can be compared using a hydrometer, and the depth of salt water can be compared to the degree to which floating objects are placed in the water"
98,98,Concentrationthe color of a solution,98.0,"101,0,0,0,1,0 , the richness of salt water can be compared with the degree to which floating objects are placed in the water"
99,99,the color and concentration of a solution,99.0,"102,0,0,1,0,0 , the richness of salt water can compare the degree of floating by putting objects in the water"
100,100,"""+ Compare the amount of salt left after evaporating.",100.0,"103,0,0,0,1,0,,, If you compare the degree of floating objects in the water, you can see the richness of the salt water"
101,101,+ Compare the densities (put other substances and float them).),101.0,"104,0,0,1,0,0,,, if you compare the degree of floating objects in the water, you can see the richness of the salt water"
102,102,"+ Compare the viscosity.""",102.0,"105,0,1,0,0,,, if you compare the degree of floating objects in the water, you can see the richness of the salt water"
103,103,"The color of the solution,",103.0,"106,0,1,0,0,0... If you compare the degree of floating objects in the water, you can check the depth of the salt water"
104,104,"Whether the salt is melted or not,",104.0,"107,0,0,1,0,0,,, If you compare the degree of floating objects in the water, you can check the richness of the salt water"
105,105,I don't know.,105.0,"108,0,0,1,0,0,,, if you compare the degree of floating objects in the water, you can see the richness of the salt water"
106,106,transparency of water,106.0,"109,0,0,0,0,1,,,,,"
107,107,I'm going to put in a small kernel,107.0,"110,1,0,0,0,0,,,,,"
108,108,the extent to which the remaining salt has subsided,108.0,"111,1,0,0,0,0,,,,,"
109,109,salinity measurement,109.0,"112,0,0,1,0,0,,,,,"
110,110,Compare the transparency of water.,110.0,"113,0,0,0,1,0,,,,,"
111,111,to calculate the amount of salt/water,111.0,"114,0,0,0,0,0,,,,,"
112,112,It evaporates water,112.0,"115,0,0,1,0,0,,,,,"
113,113,Let's heat it up,113.0,"116,0,0,0,0,0,,,,,"
114,114,Measure the concentration,114.0,"117,0,0,1,0,0,,,,,"
115,115,Use a salinity meter,115.0,"118,0,0,1,0,0,,,,,119,0,0,1,0,0,,,,,"
116,116,Taste it. Use a spoon to eat it Try the salt in the salt water All I can do is try it,116.0,"120,1,0,0,0,0,,,,,"
117,117,Check the degree of floating of an object by floating it in salt water.,117.0,"121,0,0,0,0,0,,,,,"
118,118,Add pigment to each beaker and layer,118.0,"122,0,0,0,0,0,,,,,"
119,119,Measure the concentration of salt water in each beaker.,119.0,"123,0,0,0,0,1,,,,,"
120,120,Observe the color of the water,120.0,"124,0,0,0,0,0,,,,,"
121,121,Yeah.,121.0,"125,0,1,0,0,0,,,,,"
122,122,Measure the amount of salt,122.0,"126,0,0,0,0,0,,,,,"
123,123,filter through a filter paper,123.0,"127,0,0,0,0,0,,,,,"
124,124,Use a machine that shows that salt is strong,124.0,"128,0,0,0,0,0,,,,,"
125,125,Concentration,125.0,"129,0,0,0,0,0,,,,,"
126,126,Need to use the necessary tools,126.0,"130,0,0,0,0,1,,,,,"
127,127,Add tomatoes,127.0,"131,0,0,0,1,0,,,,,"
128,128,c,128.0,"132,0,0,0,1,0,,,,,"
129,129,Put it in the same food,129.0,"133,0,0,0,0,0,,,,,"
130,130,Don't taste it and eat it.,130.0,"134,0,1,0,0,1,,,,,"
131,131,"Sar, I believe you",131.0,"135,0,0,0,1,0,,,,,"
132,132,Compare the amount of salt left by evaporating water,132.0,"136,0,0,0,0,0,,,,,"
133,133,I don't know.,133.0,"137,0,0,0,1,0,,,,,"
134,134,It changes the time,134.0,"138,1,0,1,0,0,,,,,"
135,135,"Smell it, but look at it",135.0,"139,0,0,0,0,0,,,,,"
136,136,Height comparison,136.0,"140,1,0,0,0,0,,,,,"
137,137,Don't taste it and eat it.,137.0,"141,0,0,0,1,0,,,,,"
138,138,Compare colors.,138.0,"142,1,0,0,0,0,,,,,"
139,139,colored hair,139.0,"143,0,0,0,1,0,,,,,"
140,140,Taste it,140.0,"144,1,0,0,1,0,,,,,"
141,141,Boil water over the fire to see how much salt is left.,141.0,"145,1,0,0,0,0,,,,,"
142,142,Look at the color.,142.0,"146,1,0,0,0,0,,,,,"
143,143,Adjust the amount of water,143.0,"147,1,0,0,0,0,,,,,"
144,144,Look at the amount of muscle that sinks,144.0,"148,1,0,1,0,0,,,,,149,1,0,0,0,0,,,,,"
145,145,Add eggs and check the concentration.,145.0,"150,1,0,0,0,0,,,,,"
146,146,I'm taking care of you,146.0,"151,0,0,0,1,0,,,,,"
147,147,floating eggs,147.0,"152,1,0,0,1,0,,,,,"
148,148,You can compare how much salt sinks.,148.0,"153,0,0,0,1,0,,,,,"
149,149,float a coin,149.0,"154,1,0,0,0,0,,,,,"
150,150,"If you look at the color of the salt water, the dark color means that the salt concentration is high",150.0,"155,0,0,0,1,0,,,,,"
151,151,Check by color. Use a floating object.,151.0,"156,1,0,0,0,0,,,,,"
152,152,Spare the eggs in the salt water,152.0,"157,1,0,0,0,0,,,,,"
153,153,I'm going to add eggs,153.0,"158,0,0,0,1,0,,,,,"
154,154,Float the eggs.,154.0,"159,1,0,0,0,0,,,,,"
155,155,"""Weighing. Weighing increases by the amount of salt",155.0,"160,1,0,0,0,0,,,,,"
156,156,"I'm going to scoop the egg. If the salt concentration increases, the buoyancy increases",156.0,"161,0,0,1,0,0,,,,,"
157,157,You can see the salt concentration is strong,157.0,"162,0,0,0,1,0,,,,,"
158,158,Float the eggs.,158.0,"163,1,0,0,0,0,,,,,"
159,159,Place the eggs on top.,159.0,"164,0,0,1,0,0,,,,,"
160,160,See which color is darker,160.0,"165,0,0,1,0,0,,,,,"
161,161,"Observe with your eyes, \ Compare the amount of salt water",161.0,"166,0,0,0,1,0,,,,,"
162,162,Look at the color,162.0,"167,0,1,0,0,0,,,,,"
163,163,Raise an object with the same weight,163.0,"168,0,0,1,0,0,,,,,"
164,164,the thickening of muddy water,164.0,"169,1,0,0,0,0,,,,,"
165,165,There is also a way to jump on a floating object.,165.0,"170,0,0,0,0,0,,,,,"
166,166,Weighing,166.0,"171,1,0,0,0,0,,,,,"
167,167,Look at the color. Look at the turbidity of the water.,167.0,"172,1,0,0,0,0,,,,,"
168,168,I'm going to scoop up the eggs,168.0,"173,1,0,0,0,0,,,,,"
169,169,Add eggs,169.0,"174,1,0,0,0,0,,,,,"
170,170,Saving the Thickness of Water,170.0,"175,0,0,0,1,0,,,,,"
171,171,Look at the color,171.0,"176,0,0,0,0,0,,,,,"
172,172,The water with the egg that floats the most is the darkest water.,172.0,"177,0,1,0,0,0,,,,,"
173,173,Calculate the concentration.,173.0,"178,1,0,0,0,0,,,,,179,0,0,0,1,0,,,,,"
174,174,Compare the richness of the salt using the amount of salt and water added.,174.0,"180,1,0,0,0,0,,,,,"
175,175,Look at the color of the water.,175.0,"181,1,0,0,0,0,,,,,"
176,176,Heat to determine the amount of salt (if the amount of water is the same),176.0,"182,0,0,0,0,0,,,,,"
177,177,Find the amount of salt and the amount of salt water.,177.0,"183,1,0,0,0,0,,,,,"
178,178,I'm going to put in an object,178.0,"184,0,0,1,0,0,,,,,"
179,179,I don't know,179.0,"185,1,0,0,0,0,,,,,"
180,180,Let's see if he's crossing an object,180.0,"186,0,1,1,0,0,,,,,"
181,181,Check by floating objects such as cherry tomatoes,181.0,"187,0,0,0,0,0,,,,,"
182,182,You can compare the thickness of an object by adding an egg or other object,182.0,"188,0,1,0,0,0,,,,,"
183,183,Compare the amount of water,183.0,"189,0,0,0,1,0,,,,,"
184,184,a dark color,184.0,"190,0,0,0,0,0,,,,,"
185,185,Smell it.,185.0,"191,0,0,0,1,0,,,,,"
186,186,"When the water evaporates by heating it in an alcohol lamp, compare the amount of salt.",186.0,"192,0,0,0,1,0,,,,,"
187,187,Add cherry tomatoes,187.0,"193,0,0,0,0,1,,,,,"
188,188,Look at the color's thickening.,188.0,"194,1,0,0,0,0,,,,,"
189,189,"1. Add cherry tomatoes. This is because the stronger the salt concentration, the more buoyant the object receives. It is the same reason that a boat floats well in the sea.",189.0,"195,0,0,0,1,0,,,,,"
190,190,"You add eggs to compare how much they float, and what you float more is the concentration.",190.0,"196,0,0,1,0,0,,,,,"
191,191,Smell-making,191.0,"197,1,0,0,0,0,,,,,"
192,192,"If the amount of water is the same, the heaviest one is the darkest one",192.0,"198,0,1,0,0,0,,,,,"
193,193,Divide the weight of the solute by the weight of the solute to obtain the thickening of the solute.,193.0,"199,0,0,1,0,0,,,,,"
194,194,Let's float the object,194.0,"200,0,0,0,0,1,,,,,"
195,195,boiling salinity meter,195.0,"201,0,0,1,0,0,,,,,"
196,196,"Smell, etc",196.0,"202,0,0,0,0,0,,,,,"
197,197,Evaporate to see the amount of saltO colors,197.0,"203,0,0,0,0,1,,,,,"
198,198,Use a spoon,198.0,"204,1,0,0,0,0,,,,,"
199,199,look at the level of turbidity,199.0,"205,0,0,0,0,0,,,,,"
200,200,"Looking at the colors, smelling, touching.",200.0,"206,1,0,0,0,0,,,,,"
201,201,I'm going to drink salt water,201.0,"207,0,1,0,0,0,,,,,"
202,202,Add cherry tomatoes or quails,202.0,"208,0,0,1,0,0,,,,,209,0,1,0,0,0,,,,,"
203,203,the degree of turbidity of water,203.0,"210,1,0,0,0,0,,,,,"
204,204,It can be classified as concentration.,204.0,"211,0,1,1,1,0,,,,,"
205,205,Add different colors to each of the three salt water and mix it.,205.0,"212,0,0,0,0,0,,,,,"
206,206,Compare the amount of salt left by evaporating water into the sunlight on a scale,206.0,"213,0,1,0,0,0,,,,,"
207,207,You can see that the solute division solution is thick.,207.0,"214,0,1,0,0,0,,,,,"
208,208,I'm going to drink it,208.0,"215,0,0,0,0,0,,,,,"
209,209,Measure the concentration of salt,209.0,"216,0,1,0,0,0,,,,,"
210,210,use a variety of spoons,210.0,"217,0,1,0,0,0,,,,,"
211,211,Try the salt water.,211.0,"218,0,1,0,0,0,,,,,"
212,212,"""I'm going to float a cherry tomato.""",212.0,"219,0,1,0,0,0,,,,,"
213,213,"If cherry tomatoes float well above the surface, the concentration is strong, and if they do not float, the concentration is not strong.""",213.0,"220,0,0,0,0,0,,,,,"
214,214,I don't have it's,214.0,"221,1,0,0,0,0,,,,,"
215,215,Try putting another object in salt water.,215.0,"222,1,0,0,0,0,,,,,"
216,216,Heat the salt water and compare it to the amount of salt/weight/,216.0,"223,0,0,0,0,0,,,,,"
217,217,"The richness of salt water is the amount of salt divided by the amount of salt water. Therefore, if you know the amount of salt and the amount of salt water, you will know the exact richness of salt water.",217.0,"224,0,0,0,0,0,,,,,"
218,218,"Heat all beakers to evaporate water, then compare the amount of salt remaining.",218.0,"225,1,0,0,0,0,,,,,"
219,219,floating cherry tomatoes,219.0,"226,1,0,0,0,0,,,,,"
220,220,"""1. See color - there is a high probability that there is a blurry color.""]",220.0,"227,1,0,0,0,0,,,,,"
221,221,"2. Add substances that act as indicators - To measure the salinity of salt water, you can add a salt meter or a specific drug. Like detergent and purple cabbage.",221.0,"228,0,1,1,0,0,,,,,"
222,222,3. Let's dry it. Easy and slow.,222.0,"229,0,0,0,0,0,,,,,"
223,223,4. I just remember how much I put in,223.0,"230,1,1,0,0,0,,,,,"
224,224,I don't know,224.0,"231,1,0,0,0,0,,,,,"
225,225,It is made of salt again and distinguished by comparing the amount of salt.,225.0,"232,0,0,0,0,0,,,,,"
226,226,It evaporates water,226.0,"233,1,0,0,0,0,,,,,"
227,227,That's what I think,227.0,"234,0,0,0,0,0,,,,,"
228,228,It evaporates water,228.0,"235,0,0,0,0,0,,,,,"
229,229,Compare the amount of salt by evaporating water.,229.0,"236,1,0,0,0,0,,,,,"
230,230,Evaporate the salt water.,230.0,"237,0,0,0,1,0,,,,,"
231,231,You can look at the evaporation of water.,231.0,"238,1,0,0,0,0,,,,,239,0,1,0,0,0,,,,,"
232,232,La,232.0,"240,0,0,0,1,0,,,,,"
233,233,Put an object of the same weight and see how much it floats.,233.0,"241,0,0,0,0,0,,,,,"
234,234,"If you dissolve different color pigments in each beaker and solve them in one place, the solution with the highest concentration will be layered on the bottom, the middle, and the lowest solution on the top...?",234.0,"242,0,0,0,0,0,,,,,"
235,235,I'm going to stir it,235.0,"243,0,0,0,1,0,,,,,"
236,236,I don't know...,236.0,"244,0,0,0,0,0,,,,,"
237,237,Add a substance with a semipermeable membrane,237.0,"245,1,0,0,0,0,,,,,"
238,238,space out an item,238.0,"246,0,1,0,0,0,,,,,"
239,239,Try to float the same object on salt water,239.0,"247,0,0,0,0,0,,,,,"
240,240,"""Vaporate the water and look at the amount of salt generated",240.0,"248,0,0,0,0,0,,,,,"
241,241,"Measure electrical conductivity""",241.0,"249,0,0,0,0,0,,,,,"
242,242,Use of properties such as electrical conductivity,242.0,"250,1,0,0,0,0,,,,,"
243,243,"Add eggs, evaporate them",243.0,"251,0,0,0,0,0,,,,,"
244,244,try to float a substance,244.0,"252,0,0,0,1,0,,,,,"
245,245,I don't know,245.0,"253,0,0,1,0,0,,,,,"
246,246,I'm going to scoop the eggs.,246.0,"254,1,0,0,0,0,,,,,"
247,247,Smell it using your sense of smell.,247.0,"255,0,0,1,0,0,,,,,"
248,248,I don't know,248.0,"256,0,0,1,0,0,,,,,"
249,249,Compare the size,249.0,"257,0,0,1,0,0,,,,,"
250,250,Look at the color of the salt water,250.0,"258,0,0,1,0,0,,,,,"
251,251,You can compare the size with an electronic scale.,251.0,"259,1,0,0,0,0,,,,,"
252,252,"Heat the A, B, and C beakers with an alcohol lamp and when the water is all gone, either side compares the salt.",252.0,"260,1,0,0,0,0,,,,,"
253,253,"Color, amount of salt",253.0,"261,0,0,1,0,0,,,,,"
254,254,I'm going to drop a drop of paper,254.0,"262,0,1,0,0,0,,,,,"
255,255,Take the smell and look for a strong salt smell.,255.0,"263,0,0,1,0,0,,,,,"
256,256,I think it would be okay to look at the color to see the richness of the salt.,256.0,"264,0,1,0,0,0,,,,,"
257,257,Which one melts faster?,257.0,"265,0,0,1,0,0,,,,,"
258,258,Put the stuff in the beaker and compare it with a more open one.,258.0,"266,0,0,1,0,0,,,,,"
259,259,a salt sheep,259.0,"267,0,1,0,0,0,,,,,"
260,260,when farming,260.0,"268,0,1,0,0,0,,,,,269,0,0,1,0,0,,,,,"
261,261,Put a lot of salt in some beakers and a little in some beakers.,261.0,"270,0,1,0,0,0,,,,,"
262,262,Use a table to attach it,262.0,"271,0,0,1,0,0,,,,,"
263,263,"""Add eggs.",263.0,"272,0,0,1,0,0,,,,,"
