,Unnamed: 0,"4. Hyunjin went to the swimming pool with his friends on a hot summer day. When I came out for a while after swimming excitedly with my friends, my body suddenly trembled and felt cold. Why did Hyunjin feel nervous and cold when he came out of the water even though it was a hot summer day? Let's talk about changes in the state of matter.",Unnamed: 0,", q59_evaporation, q59_heat, q59_vaporization, q59_cold"
90,90,It vaporizes and takes the heat from your body,90.0,"93,0,0,0,0"
91,91,The water absorbs the heat around it to evaporate,91.0,"94,0,1,0,0"
92,92,Water absorbs heat from the surroundings to vaporize,92.0,"95,0,0,0,0"
93,93,"When liquid water vaporizes, it absorbs the heat around it and feels cold",93.0,"96,0,0,0,1"
94,94,I don't know,94.0,"97,0,0,1,0"
95,95,"In order for water (liquid) to turn into a gas, it has to absorb heat, because the water on the body absorbed the heat in its body temperature",95.0,"98,0,0,0,0"
96,96,The water on the body is absorbed by the air and at the same time it feels cold,96.0,"99,0,0,0,0"
97,97,It's because I couldn't adapt quickly to the sudden temperature change,97.0,"100,0,0,0,0"
98,98,"When you come out of the park while swimming, it gets colder because your body dries in the waterIt's because it's windy to be in the liquid water and then suddenly meet the gas and dry it",98.0,"101,0,0,0,0"
99,99,"My body temperature, which was set in the water, does not match the temperature outside the water.",99.0,"102,0,0,1,0"
100,100,Because the body temperature of the water and the body temperature outside the water change significantly,100.0,"103,1,0,0,0"
101,101,"This is because the temperature in the water is low, but if you suddenly go to a place with a high temperature, your body gets cold",101.0,"104,0,0,0,1"
102,102,This is because matter absorbs or releases heat and energy when conditions change.,102.0,"105,0,0,0,0"
103,103,I felt cold because the water was on my body and dried.,103.0,"106,0,0,0,0"
104,104,"Because the water temperature of the swimming pool and the temperature outside are different, I feel cold outside because I can't adapt when I come out.",104.0,"107,0,0,0,0"
105,105,This is because there is a difference between the temperature of the water and the temperature outside.,105.0,"108,1,0,0,0"
106,106,It is because water on the body permeates the body coldly.,106.0,"109,0,0,0,0"
107,107,This is because the body could not adapt as the temperature suddenly increased.,107.0,"110,1,0,0,0"
108,108,It is cold because the body temperature adjusted to water comes out after being in water and the water changes into gas and evaporates,108.0,"111,0,0,0,0"
109,109,"This is because when you come out with water on your face, your body temperature rises.",109.0,"112,1,0,0,0"
110,110,It gets cold because the water is about to evaporate into the gas.,110.0,"113,0,0,0,1"
111,111,feel cold with one's hands and feet blowing,111.0,"114,0,0,0,0"
112,112,The water evaporates and gets cold,112.0,"115,1,0,0,0"
113,113,The temperature of the water in the pool and the temperature of the air outside are different. It gets cold because it gets watery when you go outside,113.0,"116,1,0,0,0"
114,114,Because the temperature difference is severe,114.0,"117,0,0,0,0"
115,115,This is because water evaporates when it meets warm air.,115.0,"118,0,0,0,0119,0,0,0,0"
116,116,"The body is suddenly cold because the water evaporates into the sky, so the body shakes and is cold.",116.0,"120,0,0,0,0"
117,117,It's because the body temperature drops when you're in the water,117.0,"121,0,0,0,0"
118,118,"When you're in the water, your body temperature drops",118.0,"122,0,0,0,0"
119,119,This is because the body temperature has decreased.,119.0,"123,0,0,0,0"
120,120,"Because the body temperature inside and outside the water is different,",120.0,"124,1,0,0,0"
121,121,Because the body temperature dropped from the water is still low,121.0,"125,0,0,0,0"
122,122,I went into the cold water and came out,122.0,"126,0,1,0,0"
123,123,This is because body temperature is used when the water dries,123.0,"127,0,0,0,0"
124,124,"Because water evaporates into the air as it dries, the temperature decreases as the water that surrounds the body evaporates.",124.0,"128,0,0,0,0"
125,125,"Hyunjin's condition changed from the swimming pool to the air, so such a change occurs.",125.0,"129,0,0,0,0"
126,126,This is because the water cools down and takes away the body's,126.0,"130,0,0,0,0"
127,127,"When you enter the water, heat moves from the human body to the water, and when it comes out of the water,",127.0,"131,0,0,0,1"
128,128,It goes from solvent to solute,128.0,"132,0,0,0,0"
129,129,My body's heat is gone,129.0,"133,1,0,0,0"
130,130,"It's been in the water for a long time, so the temperature goes down",130.0,"134,1,0,0,0"
131,131,It was because I was in a cold zone and suddenly I was exposed to a place where the temperature difference was severe,131.0,"135,1,0,0,0"
132,132,"This is because there is no air in the water, and when the body set to the water temperature came out, it met cold air.",132.0,"136,0,1,0,0"
133,133,"While in the pool, the temperature becomes similar to that of the water, so when you leave the pool, you feel cold when the water in the body evaporates because the temperature outside and the body temperature are different.",133.0,"137,0,0,1,0"
134,134,The water is dry,134.0,"138,0,0,0,0"
135,135,"This is because when we go out of the pool, the water in our bodies evaporates and heat is released.",135.0,"139,0,0,0,0"
136,136,"Water is lower in temperature than a person's body, so the person's body temperature is taken away by water",136.0,"140,0,0,1,0"
137,137,"I need heat to dry the water, but it is cold when the water dries because of the heat in my body.",137.0,"141,0,0,0,0"
138,138,"When the water dries, it gets dry",138.0,"142,0,0,0,0"
139,139,It's because my body is cold,139.0,"143,1,0,0,0"
140,140,"The body heat is needed to dry the water in the body, because the body heat is lost to dry the water.",140.0,"144,0,0,0,0"
141,141,.,141.0,"145,0,0,0,0"
142,142,"Because water evaporates with heat as it dries, it feels cold when it comes out of the water.",142.0,"146,0,0,0,1"
143,143,"When it comes out of water, it dries up and becomes a gaseous upper body in a liquid state. Therefore, you feel cold as the object that was originally attached to the body and heat transferred disappears.",143.0,"147,0,0,0,0"
144,144,"This is because the body was only adapted to water, but suddenly came out of the water and the body did not adapt quickly.",144.0,"148,0,0,0,1149,1,1,0,0"
145,145,This is because the heat in the body moved to water.,145.0,"150,0,0,0,0"
146,146,"Because the temperature of the water is different from the temperature outside,",146.0,"151,0,0,0,0"
147,147,"Since water has a lower temperature than our body, entering the swimming pool, which is lower than our own temperature, will lower the body temperature. Even though it's a hot summer day, I think it's colder when the water dries because it comes out in a cold state again.",147.0,"152,0,0,0,0"
148,148,"Because of the temperature difference,",148.0,"153,0,0,0,0"
149,149,"When the water dries, it takes away your body's temperature",149.0,"154,0,1,0,0"
150,150,I'm already used to the temperature of my body in the pool,150.0,"155,0,0,0,1"
151,151,"When I came outside, the temperature was lower than the temperature in the water",151.0,"156,0,0,0,0"
152,152,The temperature is different,152.0,"157,0,0,0,0"
153,153,Because water absorbs body temperature,153.0,"158,0,1,1,0"
154,154,This is because water (moisture) evaporates into the air and takes away body temperature (heat).,154.0,"159,0,1,0,0"
155,155,The temperature of the water and the temperature outside the water are different,155.0,"160,0,0,0,0"
156,156,Because I came out of the cold water,156.0,"161,0,0,0,0"
157,157,"There's water, but there's a cold wind",157.0,"162,0,0,0,0"
158,158,"""Because of the heat of vaporization, the water evaporates and takes away the heat together",158.0,"163,0,0,0,0"
159,159,"""",159.0,"164,0,0,0,0"
160,160,"As the entropy increases as it vaporizes, the temperature drops because it absorbs energy from our bodies",160.0,"165,1,1,0,0"
161,161,I don't understand.,161.0,"166,1,0,0,0"
162,162,Don't know,162.0,"167,0,1,1,0"
163,163,I don't know.,163.0,"168,0,0,1,0"
164,164,"When you first enter the water, the temperature of the water is lower because when you enter the water, the temperature outside becomes lower",164.0,"169,0,0,0,0"
165,165,HYUNJIN feels weird,165.0,"170,0,0,0,1"
166,166,This is because the water dries up and takes away heat.,166.0,"171,0,0,0,0"
167,167,"When the water dries, it is cold because the water is blown away",167.0,"172,0,0,0,0"
168,168,"The water evaporated and drained the heat around, because the water on Hyunjin's body drained Hyunjin's heat.",168.0,"173,0,0,1,0"
169,169,This is because water absorbs the surrounding temperature in the process of becoming water vapor.,169.0,"174,0,1,0,0"
170,170,"When you go into the water, the temperature in your body decreases, so it's cold even when you go outside",170.0,"175,1,0,0,0"
171,171,The temperature suddenly changed,171.0,"176,0,1,0,0"
172,172,The wind blows while the water dries,172.0,"177,0,0,0,0"
173,173,"""My body has already adjusted to cold water, but when I come out of the water again, the adjusted water cannot adapt to the outside, so my body trembles.",173.0,"178,0,0,1,0179,0,0,1,0"
174,174,"""",174.0,"180,0,0,1,0"
175,175,"This is because when water changes state to water vapor, it absorbs heat from our bodies.",175.0,"181,0,0,0,0"
176,176,It's because the water evaporates and takes away the heat,176.0,"182,0,0,1,0"
177,177,"This is because as water evaporates, it absorbs heat from the body together and evaporates.",177.0,"183,0,0,1,0"
178,178,This is because the water attached to the body evaporates and takes heat from our bodies.,178.0,"184,0,1,0,0"
179,179,"This is because the temperature of water is low, so our body temperature drops, and when we suddenly come out, the temperature gradually increases, and the body temperature changes rapidly.",179.0,"185,0,0,1,0"
180,180,Evaporation is an endothermic reaction,180.0,"186,0,1,1,0"
181,181,"When the water on the body vaporizes, it absorbs the heat around it, so the body temperature is absorbed and the body temperature is lowered, making it cold.",181.0,"187,0,0,1,0"
182,182,This is because water vaporizes and absorbs heat of vaporization.,182.0,"188,1,1,0,0"
183,183,The water evaporates and takes away the heat from the surrounding area,183.0,"189,0,0,1,0"
184,184,Water vaporizes and absorbs heat from vaporization,184.0,"190,0,0,0,0"
185,185,Liquid water turned into a gaseous state and absorbed heat of vaporization in the process. This is because the body temperature has dropped accordingly.,185.0,"191,0,0,0,0"
186,186,"As you come out, the water on your body evaporates, thereby wiping out the heat of evaporation and lowering your body temperature.",186.0,"192,0,0,0,0"
187,187,"Because water needs heat to vaporize, Hyunjin absorbs heat of vaporization as the water on the body evaporates.",187.0,"193,0,0,0,0"
188,188,"When water dries, a liquid becomes a gas, which takes heat away from the surroundings because it is an endothermic reaction. Therefore, the body's heat escapes and feels cold.",188.0,"194,0,1,1,0"
189,189,"When water vaporizes from liquid to gas, it feels cold because it absorbs heat from the surroundings.",189.0,"195,0,0,1,0"
190,190,This is because liquid water on the skin evaporated and took away heat.,190.0,"196,0,0,0,0"
191,191,absorption of heat of vaporization,191.0,"197,0,1,1,0"
192,192,"This is because the skin is covered with water and water evaporates in all skin surface areas. At this time, mukbang is cold because it is an endothermic reaction.",192.0,"198,0,0,1,0"
193,193,due to the heat of vaporization,193.0,"199,0,0,0,0"
194,194,Water evaporates and absorbs heat equivalent to the enthalpy of evaporation,194.0,"200,0,0,0,0"
195,195,"Water phase changes from liquid to gas and absorbs heat from vaporization. Therefore, if you think of Gye as water, Gye takes away heat energy from the surroundings, and Hyunjin feels cold.",195.0,"201,0,0,0,0"
196,196,"The evaporation process of water is an endothermic process. Therefore, when water evaporates, Hyunjin takes away the heat from Hyunjin's body, and Hyunjin feels cold.",196.0,"202,0,0,0,0"
197,197,"The water on the body vaporizes and absorbs heatAs the water evaporates, a change in state occurs, and the surrounding temperature decreases by absorbing heat. Therefore, it feels cold.",197.0,"203,0,0,0,0"
198,198,Body temperature is lowered due to heat absorption,198.0,"204,0,0,0,0"
199,199,"When the phase changes from a liquid to a gas, the heat of vaporization is absorbed",199.0,"205,0,0,0,0"
200,200,I'm not sure about this,200.0,"206,0,0,0,0"
201,201,Your body temperature drops so fast,201.0,"207,0,0,1,0"
202,202,"When it evaporates, the air around it cools, so it's cold",202.0,"208,0,0,0,0209,0,0,0,0"
203,203,Because HYUNJIN is not a manly man yet,203.0,"210,0,0,0,0"
204,204,..,204.0,"211,0,0,0,0"
205,205,I know,205.0,"212,0,0,0,0"
206,206,"It's cold, but it's still cold",206.0,"213,0,0,0,0"
207,207,"As the water dries, the moisture in the body escapes",207.0,"214,1,1,0,0"
208,208,"Water evaporates and takes heat, which seems to be why our bodies are cold",208.0,"215,1,0,1,0"
209,209,Because it is cold in the water.,209.0,"216,0,0,0,0"
210,210,Because the temperature dropped,210.0,"217,0,1,0,0"
211,211,Water changes temperature easily,211.0,"218,0,0,0,0"
212,212,"""I don't know.""",212.0,"219,0,1,0,0"
213,213,"""",213.0,"220,0,0,1,0"
214,214,"The temperature of the water is higher than that of the outdoor air, so it feels cold at the moment.",214.0,"221,0,0,0,0"
215,215,The moisture in your body is gone too,215.0,"222,0,1,0,0"
216,216,This is because water vaporizes and takes away body temperature.,216.0,"223,0,0,0,0"
217,217,"This is because when water evaporates, it absorbs the temperature around it.",217.0,"224,0,0,0,0"
218,218,It feels cold because the moisture-containing warmth is instantly taken away.,218.0,"225,0,0,0,0"
219,219,This is because the water on the body evaporates and takes away our Mong's body temperature.,219.0,"226,0,0,1,0"
220,220,"Because the heat in our body escapes,",220.0,"227,1,0,0,0"
221,221,"This is because when water evaporates, it takes out body temperature.",221.0,"228,0,0,1,0"
222,222,"When the water dries, it absorbs the heat of evaporation. This is the same principle that sweat cools down when it evaporates. This is how we feel cold because water absorbs heat from the skin and vaporizes the water.",222.0,"229,0,0,0,0"
223,223,It's because your body loses heat,223.0,"230,1,0,1,0"
224,224,It's because the water takes away the body heat while the body is wet,224.0,"231,1,1,0,0"
225,225,"As the water evaporated, the heat dissipated into the air",225.0,"232,0,0,0,0"
226,226,I don't know,226.0,"233,0,1,0,0"
227,227,a change in body temperature,227.0,"234,0,0,0,0"
228,228,"When water changes and evaporates, it absorbs the heat of caution, so the body feels cold.",228.0,"235,0,0,0,0"
229,229,This is because the vaporization of the liquid into a gas causes heat to be released.,229.0,"236,0,0,0,0"
230,230,"As the water evaporates, the body's heat disappears",230.0,"237,0,0,0,0"
231,231,"Because the temperature in the water and outside the atmosphere are different, the body needs to maintain the temperature",231.0,"238,0,0,0,0239,0,0,0,0"
232,232,"Energy is needed to evaporate water from the body into water vapor, and the body temperature drops because water evaporates using the heat energy of our body.",232.0,"240,0,1,0,0"
233,233,"As the water evaporates, the body's heat disappears",233.0,"241,0,0,0,0"
234,234,It's cold because of the wind,234.0,"242,0,0,1,0"
235,235,Water evaporates and takes away body temperature,235.0,"243,0,0,0,0"
236,236,"Since the temperature of your body changes according to the temperature in the water in the water, when you come out, the temperature decreases further as the water dries, so you feel cold.",236.0,"244,0,1,0,0"
237,237,Because the water dries up and takes away the heat from your body,237.0,"245,0,0,0,1"
238,238,He took my temperature away,238.0,"246,0,0,0,0"
239,239,HYUNJIN was a sick friend with a rare disease with low body temperature,239.0,"247,1,1,0,0"
240,240,It's because you live in Yotunheim,240.0,"248,0,0,0,0"
241,241,My body temperature went down,241.0,"249,0,0,0,0"
242,242,"It evaporates as the water dries, but the body is cold because it takes away the heat around it while evaporating.",242.0,"250,0,0,0,0"
243,243,I'm weak,243.0,"251,0,0,0,0"
244,244,"Due to the absorption of heat from vaporization,",244.0,"252,0,0,0,0"
245,245,I think it's because the body temperature is low and then suddenly high,245.0,"253,1,1,0,0"
246,246,"Because when water meets hot heat and evaporates, it goes up with the body's",246.0,"254,0,0,0,1"
247,247,Because the temperature inside the water is different from the temperature outside,247.0,"255,0,0,0,0"
248,248,It's hypothermia,248.0,"256,0,0,0,0"
249,249,It's because the heat from the body evaporates,249.0,"257,0,0,0,0"
250,250,Because my body temperature is low in the water and my body is cold.,250.0,"258,1,0,1,0"
251,251,I also feel cold when I go to the swimming pool and go outside,251.0,"259,0,0,0,0"
252,252,Your body temperature goes down with water,252.0,"260,1,0,0,0"
253,253,"When I go to the swimming pool and come outside, I do it too",253.0,"261,1,0,1,0"
254,254,"""When a person's body temperature falls and the temperature outside meets the temperature, he or she becomes cold",254.0,"262,0,1,0,0"
255,255,"""I'm going to wear it""",255.0,"263,0,0,0,0"
256,256,Water takes away body temperature because it has the property of evaporating.,256.0,"264,1,0,0,0"
257,257,This is because it is relatively cold outside the water than inside the water.,257.0,"265,0,0,0,1"
258,258,"The temperature is high because it is hot summer, so it gets cold by taking away the heat of vaporization.",258.0,"266,0,0,0,0"
259,259,"This is because water heats up faster than the ground, making it warmer",259.0,"267,0,0,0,0"
260,260,It is cold because the water in the body evaporates momentarily after coming out of the swimming pool.,260.0,"268,0,0,0,0269,0,0,1,0"
261,261,"When you come out in a wet state, evaporation occurs, and the ambient temperature is lowered due to the absorption of the vaporization heat of the water. In addition, it is a summer with more sunlight, so the evaporation rate is also fast (of course, it can be less affected because of the high humidity), so the temperature drops more easily. Therefore, the body becomes cold due to evaporation of water.",261.0,"270,0,1,0,0"
262,262,?Change in the state of matter?,262.0,"271,0,0,0,0"
263,263,It's cold as the water dries,263.0,"272,0,0,0,0"
264,264,This is because the body's heat is released when water evaporates,264.0,"273,0,0,0,0"
265,265,It's because it takes away your body's temperature,265.0,"274,0,0,0,0"
266,266,The water on HYUNJIN's body vaporizes with the heat and his body temperature,266.0,"275,0,0,0,0"
267,267,Cold as moisture dries,267.0,"276,0,0,0,0"
268,268,Because I was in cold water and suddenly came out into the hot air.,268.0,"277,0,0,0,0"
269,269,All right.,269.0,"278,0,1,0,0"
270,270,The water gets cold by exertion,270.0,"279,1,1,0,0"
271,271,I don't know,271.0,"280,0,1,0,0"
272,272,This is because water vaporizes and absorbs heat.,272.0,"281,0,1,0,0"
273,273,This is because Hyunjin took away the heat from his body as the water evaporated.,273.0,"282,0,1,0,0"
274,274,.,274.0,"283,1,1,0,0"
275,275,"This is because Hyun-jin's body is adapted to the swimming pool water and the temperature drops, but as he goes outside, the lowered body temperature comes into contact with the warm outside air to convey the feeling.",275.0,"284,1,1,1,0"
276,276,The body feels cold because it is adapted to the temperature in the water and is exposed to a very different temperature.,276.0,"285,1,1,0,0"
277,277,I was in the water and came out,277.0,"286,1,0,0,0"
278,278,by the wind,278.0,"287,1,1,0,0"
279,279,The temperature feels cold because it is difficult to adjust to the temperature of the outside because I have adjusted to the temperature of the water.,279.0,"288,0,0,0,0"
280,280,"Because the water is cold and when it comes out, it's wide",280.0,"289,1,1,0,0"
281,281,This is because the heat in my body evaporates and escapes together.,281.0,"290,0,1,0,0"
282,282,"Water (water droplets) dried in the air, so the body was wet, and the body was cold and trembling because the temperature of the body dropped as the water dried by the air.",282.0,"291,1,1,0,0"
283,283,My body's heat is taken away from me,283.0,"292,0,1,0,0"
284,284,This is because the heat in the body is taken away after playing in the water.,284.0,"293,0,0,0,0"
285,285,It's because water on your body takes away the temperature,285.0,"294,1,1,0,0"
286,286,"The water cools and cools when it meets the air, and because of this, when the water in the body dries, the body temperature decreases and the body becomes cold.",286.0,"295,0,1,0,0"
287,287,"When you come out of the water, the water in the body evaporates, depriving the body of vaporization heat and lowering the body's heat.",287.0,"296,0,0,0,0"
288,288,This is because the body's heat escapes as the water evaporates.,288.0,"297,1,0,0,0"
289,289,The body is cold because the water evaporates.,289.0,"298,1,0,0,0299,1,1,0,0"
290,290,Because water evaporates and takes away the body's heat,290.0,"300,0,1,0,0"
291,291,"The water is cool and cold, so when you play in the water, it feels colder when the temperature is adjusted to the water and comes out of the water.",291.0,"301,0,0,0,1"
292,292,This is because water takes away heat when it evaporates.,292.0,"302,0,0,0,0"
293,293,It feels cold because it takes away the heat from your body.,293.0,"303,1,0,0,0"
294,294,The water evaporates and takes away the heat from your body,294.0,"304,1,1,0,0"
295,295,in the heat of the water,295.0,"305,0,0,0,0"
296,296,"This is because the body is swollen with moisture.As the water evaporates, a change in state occurs, and the surrounding temperature decreases by absorbing heat. Therefore, it feels cold.",296.0,"306,0,0,0,0"
297,297,Body temperature is lowered due to heat absorption,297.0,"307,0,0,0,0"
298,298,"When the phase changes from a liquid to a gas, the heat of vaporization is absorbed",298.0,"308,1,0,0,0"
299,299,I'm not sure about this,299.0,"309,0,0,0,0"
300,300,Your body temperature drops so fast,300.0,"310,0,0,0,1"
301,301,"When it evaporates, the air around it cools, so it's cold",301.0,"311,0,0,0,0"
302,302,Because HYUNJIN is not a manly man yet,302.0,"312,1,1,0,0"
303,303,..,303.0,"313,0,0,0,0"
304,304,I know,304.0,"314,0,0,0,0"
305,305,"It's cold, but it's still cold",305.0,"315,0,0,0,0"
306,306,"As the water dries, the moisture in the body escapes",306.0,"316,1,1,0,0"
307,307,"Water evaporates and takes heat, which seems to be why our bodies are cold",307.0,"317,0,0,1,0"
308,308,Because it is cold in the water.,308.0,"318,0,0,1,0"
309,309,Because the temperature dropped,309.0,"319,0,0,0,1"
310,310,Water changes temperature easily,310.0,"320,1,0,0,0"
311,311,"""I don't know.""",311.0,"321,0,0,0,0"
312,312,"""",312.0,"322,0,0,0,0"
313,313,"The temperature of the water is higher than that of the outdoor air, so it feels cold at the moment.",313.0,"323,0,0,0,1"
314,314,The moisture in your body is gone too,314.0,"324,0,0,0,0"
