,Unnamed: 0,1) Explain the different ways you can do to dissolve all the salt that has not been dissolved in the C beaker. ,Unnamed: 0,", q35_temperature, q35_amount of water, q35_stirting, q35_temperature.1,q35_amount of water. 1,q35_stirring.1"
29,29,Observe the same amount of hot or cold water,29.0,"Melt the salt with 30,0,1,0, high temperature water, keep pouring water"
30,30,Stir in more water.,30.0,"31,1,1,1 Dissolve salt with high temperature water, add water"
31,31,Put in hot water and heat it up,31.0,"32,0,0,1, Add hot water, add water"
32,32,Add more water.,32.0,"Add 33,0,1,1 high-temperature water, add more water.,"
33,33,"You can increase the amount of water or dissolve all the salt with hot water, and if you stir more continuously, you will be able to dissolve all the salt.",33.0,"34,1,1,1, Add hot water, add more water"
34,34,Stir more and wait.,34.0,"35,1,1,0, pour hot water, add more water"
35,35,"""Mix with a glass rod, etc",35.0,"36,1,0,1, Add heated water at high temperature, add more water"
36,36,"""Add a little more water""",36.0,"Add heated water at 37,0,1,0, high temperature. Add more water"
37,37,"""1. Add hot water.",37.0,"38,0,0,1, Add heated water at high temperature, add more water,"
38,38,"2. Increase the stirring speed.""",38.0,"39,1,1,0, Add heated water to high temperature, add more water"
39,39,Add hot water to add salt.,39.0,"40,1,1,0, pour heated water to high temperature, add more water,"
40,40,Dissolve in warm water. Stir a lot faster.,40.0,"41,1,1,0, pour heated water to high temperature, add more water"
41,41,Add salt just enough and place in beaker enough.,41.0,"42,1,0,1, Pour heated water to high temperature, pour more water,"
42,42,"Stir with a glass bar until it melts, wait until it melts.",42.0,"43,1,1,1, Pour heated water to high temperature. Pour more water"
43,43,"""Pour hot water.",43.0,"44,1,1,0, heat water to high temperature, pour more water,"
44,44,"Because salt melts faster when you pour hot water.""",44.0,"45,0,0,0, heat the water to a higher temperature, add more water"
45,45,Add hot water and stir with a spoon or stick,45.0,"Heat water to 46,1,0,0 high temperature, add more water.,"
46,46,Dissolve salt in warm water.      Add water according to the amount of salt.and so on,46.0,"Heat water to 47,0,1,0, high temperature, add water.,"
47,47,"Dissolve in hot water, mix well, do not mix slowly, speed up a little and stir in the microwave",47.0,"48,1,0,0 heat to high temperature, add a lot of water,"
48,48,"Stir more, increase the amount of water, or use hot water.",48.0,"49,1,0,0 heat to high temperature, add a lot of water"
49,49,Increase the temperature. Add more water.,49.0,"50,1,0,1, heat at high temperature, add a lot of water"
50,50,.,50.0,"51,1,0,0 heat to high temperature, add a lot of water"
51,51,Reduce the salt particles. Increase the temperature of the water.,51.0,"Add 52,1,0,0 high temperature water and dissolve it. Add a lot of water"
52,52,Add more water,52.0,"Add 53,0,1,0, high temperature water and dissolve it. Add a lot of water"
53,53,hot water,53.0,"Add 54,1,0,0 hot water and dissolve it. Add a lot of water"
54,54,apply heat,54.0,"55,1,1,0, heat up, add a lot of water"
55,55,It's boiling. Stir it more,55.0,"56,1,1,0, heat up, add a lot of water"
56,56,Heat up,56.0,"Add 57, 0, 1, 0, warm. Add a lot of water"
57,57,Row 열,57.0,"58,1,1,0, dissolve with hot water, add a lot of water,59,0,1,0, dissolve in hot water, pour in a lot of water"
58,58,Add more water,58.0,"60,1,0,0 add hot water, add lots of water"
59,59,Heat the beaker with an alcohol lamp,59.0,"61,1,0,1, add hot water, pour water,"
60,60,Pour hot water and melt it little by little.,60.0,"62,0,1,0, add hot water. Pour water"
61,61,Add more water. Turn up the heat,61.0,"63,0,1,1 Pour more hot water, pour water,"
62,62,Add more water,62.0,"64,1,0, add more hot water, add as much water as possible"
63,63,Add more water. Heat it up. and so on,63.0,"65,1,1,0, add more hot water, add as much water as you can"
64,64,Add more water to the C beaker,64.0,"66,1,1,0, add more hot water, add as much water as possible"
65,65,boil,65.0,"67,1,1,0, add more hot water, add as much water as you can"
66,66,"Stir the water, raise the temperature of the water",66.0,"68,1,1,0, add more hot water. Pour as much water as possible"
67,67,Add more water.,67.0,"69,1,0,1 Pour hot water and melt it. Pour as much water as possible"
68,68,Add more water. Stir harder,68.0,"70,1,0, pour hot water to dissolve. Pour as much water as possible"
69,69,Heat the fire.,69.0,"71,1,0, pour hot water to dissolve salt. Pour as much water as possible"
70,70,"Increase the amount of water, grind salt more finely to increase the surface area to make the reaction work well, heat the water, and use a regular catalyst.",70.0,"72,1,1,0, add hot water to dissolve salt, increase the amount of water,"
71,71,"Increase the temperature of the water, add more water. and so on",71.0,"73,1,1,0, heat the hot water to make it hot.Increase the amount of water"
72,72,"""Add more water.",72.0,"74,1,1,0, pour hot water, increase the amount of water"
73,73,"Increase the temperature of the water.""",73.0,"75,1,0, pour hot water, increase the amount of water"
74,74,There is a way to add more water or raise the temperature of the water,74.0,"76,0,0,1, Pour hot water, increase the amount of water"
75,75,Increase the temperature or stir more.,75.0,"It makes 77,1,0,0 hot.Increase the amount of water and add it"
76,76,Heat beaker to warm water and dissolve salt.,76.0,"78, 1, 1, 0, heat it up.It increases the amount of water"
77,77,Make a mixture and heat it,77.0,"79,1,1,0, heat water to high temperature, increase the amount of water"
78,78,Increase the temperature or add more water.,78.0,"80,0,0,1,0, heat the water to a high temperature, increase the amount of water"
79,79,Pour hot water,79.0,"81,0,1,0, heat the water to a high temperature, increase the amount of water"
80,80,Boil water and add more water,80.0,"82,1,0,1 Heat the water to a higher temperature, increase the amount of water"
81,81,Increase the temperature,81.0,"83,1,1,0, heat water to high temperature, increase the amount of water.,"
82,82,Mix it or empty,82.0,"84,1,0, warm water to high temperature, increase the amount of water"
83,83,Lower the temperature of the water.,83.0,"85,1,0, warm water to a high temperature, increase the amount of water"
84,84,Add the amount of water in the beaker. Heat the water until it does not boil.,84.0,"86,1,1,1 warm water to high temperature. Do a lot of water.,"
85,85,"Add more water. Add hot water. If there is a lot of salt, add another beaker to melt it",85.0,"87,1,1,0, heat the water, gradually increase the amount of water"
86,86,Add more water and mix,86.0,"88,0,1,0, heat the water, gradually increase the amount of water,89,0,0,1, heat the water, increase the amount of water"
87,87,"Add more water to the beaker. By increasing the size of the bottom of the beaker, the salt spreads widely, reducing the gap between the salts, and melting the salt quickly, thereby increasing the size of the bottom of the beaker.",87.0,"90,1,1,0, heat up the water, increase the amount of water"
88,88,Stir well. Boil it until the salt melts.,88.0,"91,1,0, increase the temperature of the water, increase the amount of water as much as possible"
89,89,Add more water. Boil the water in the beaker,89.0,"92,0,0,1, increase the temperature of the water, add more water"
90,90,"Heat the beaker of C to raise the temperature.  Since a liquid such as water increases solubility when the temperature is applied, the heating method can dissolve all the insoluble root.",90.0,"93,1,0, increase the temperature of the water, increase the amount of water poured"
91,91,Increase the temperature and heat to dissolve the remaining salt.,91.0,"94,0,0,1, increase the temperature of the water, increase the amount of water you pour"
92,92,"""1. Heat the C beaker.""",92.0,"95,1,1,0, increase the temperature of the water, and pour"
93,93,2. Add more water.,93.0,"96,0,1,0, increase the temperature of the water, add water to the beaker"
94,94,"3. Stir with a glass rod, etc.""",94.0,"97,0,1,0, increase the temperature of the water, add water to the beaker,"
95,95,Increase the temperature so that the solubility of salt water increases enough to dissolve the salt.,95.0,"Heat over 98,1,1,0 and heat.Put water in the beaker"
96,96,Add more water to the salt water.,96.0,"99,1,1,0, increase the temperature of the water in the beaker, add more water to the beaker"
97,97,"If you break down sodium chloride in salt water, the salt in salt water disappears and the salt melts.""",97.0,"100,1,0, increase the temperature of the water in the beaker, add more water to the beaker,"
98,98,Add waterI'll work harder to mix it,98.0,"101,0,1,0, increase the temperature of the water in the beaker, add more water to the beaker"
99,99,Add a hot solution.,99.0,"102,1,1,0, increase the temperature of the liquid in the beaker, add more water to the beaker,"
100,100,"""Heat the fire",100.0,"103,1,1,0, increase the temperature of the liquid in the beaker, pour more water into the beaker"
101,101,"""",101.0,"104,1,1,0, increase the temperature of the liquid in the beaker, pour more water into the beaker"
102,102,"""Stir it longer with a glass rod.",102.0,"105,0,1,0, heat the beaker, pour water into the beaker,"
103,103,"""",103.0,"106,0,0,1, heat the beaker, pour water into the beaker"
104,104,Heat it up. Heat it up,104.0,"107,1,1,0, heat the beaker, pour water into the beaker"
105,105,Mix it with a glass rod,105.0,"108,0,1,0, heat beaker, add more water to dissolve salt,"
106,106,"""+ Add more water and mix.",106.0,"109,1,1,1 warm beaker, add more water to dissolve salt,"
107,107,"+ Increase the temperature to the melting point.""",107.0,"Heat 110,1,1,0, beaker, add more water to dissolve salt"
108,108,Add more water,108.0,"111,1,1,1, add hot water to beaker, pour water to dissolve salt,"
109,109,Pour in more water.,109.0,"112,1,1,0, add hot water to beaker, pour water to dissolve salt,"
110,110,"Bring to a boil, add hot water and melt.",110.0,"113,0,0,1, Add hot water to beaker, pour water to dissolve salt,"
111,111,Increase the amount of water. Boil water,111.0,"Add more hot water to the beaker, 114,1,0, to dissolve the salt, and add water to the beaker"
112,112,Heat it a little over the heat it up,112.0,"115,0,0,0 add hot water to the beaker, add water to the beaker to dissolve the salt,"
113,113,Add more water.,113.0,"Add more hot water to the 116,1,1,0, beaker, add water to the beaker to dissolve the salt"
114,114,Add hot water,114.0,"117,1,1,0, pour hot water into beaker, add more water into beaker to dissolve salt,"
115,115,Boil water or increase the amount of water.,115.0,"118,1,1,0, pour hot water into beaker, add more water into beaker to dissolve salt,119,0,0,0, pour hot water into beaker, add more water into beaker to dissolve salt,"
116,116,Increase the temperature of the water or add more water.,116.0,"120,1,0, increase the temperature of the beaker, add more water to the beaker to dissolve the salt,"
117,117,Add more water,117.0,"121,0,0,0 increase the temperature of the beaker, pour more water into the beaker to dissolve the salt"
118,118,Stir for longer,118.0,"122,0,1,1 Increase the temperature of the beaker, pour more water into the beaker to dissolve the salt"
119,119,"Add more water, increase the temperature",119.0,"123,1,1,0, add hot water to salt water, pour water into beaker to dissolve salt,"
120,120,"""Add more water",120.0,"124,0,1,0, add hot water to salt water, pour water into beaker to dissolve salt,"
121,121,"""",121.0,"125,1,0,1 Add hot water to salt water, pour water into beaker to dissolve salt,"
122,122,Pour hot water. Mix it Shake it. Stir it. Melt it with fire,122.0,"126,0,0,1, Add hot water to salt water, add water until salt dissolves"
123,123,Keep the water warm. Pour in more water.,123.0,"127,0,0,1, Pour hot water into salt water, add water until salt melts"
124,124,Increase the temperature of the water. Increase the amount of water. Stir to increase the hand.,124.0,"128,1,1,1 Pour hot water into salt water. Add water until salt melts"
125,125,Heat. Add more water.,125.0,"129,0,0,1, Heat the salt water, add the water until it melts"
126,126,Mix the water,126.0,"130,0,0,1, heat salt water, add water until salt melts"
127,127,"Heat, add more water.",127.0,"131,0,0,1, Heat salt water, add water until salt dissolves"
128,128,I don't know either,128.0,"132,1,0,0 heat the salt water, add the water until the salt melts"
129,129,"Add warm water, add more water, etc",129.0,"133,1,0,0 heat the salt water to a high temperature, pour the water continuously until the salt dissolves"
130,130,"""Add more water to the c beaker",130.0,"134,0,1,1 Heat the salt water to a high temperature, pour the water continuously until the salt dissolves"
131,131,"""Heat the beaker""",131.0,"135,0,0,1, Heat the salt water to a high temperature, add the water continuously until the salt dissolves"
132,132,"Add hot water, heat",132.0,"Heat the salt water to a high temperature of 136,0,1,0, and add the water continuously until the salt dissolves"
133,133,"Water, fire extinguishers, etc",133.0,"137,1,0, heat salt water to high temperature, add water continuously until salt dissolves"
134,134,Heat the water,134.0,"Heat the salt water to a high temperature of 138,0,1,0, and add the water continuously until the salt dissolves"
135,135,I don't know.,135.0,"139,0,1,0, heat the salt water, add the water until the salt melts"
136,136,Stir a lot of water,136.0,"140,1,1,1 Heat salt water, add water until salt melts"
137,137,Add hot water.Microwave it in a microwave.,137.0,"Heat 141,0,1,0, water with salt, until the salt is dissolved"
138,138,"Add more water, drain salt, and do not experiment",138.0,"Heat 142,1,0, water with salt, until the salt is completely dissolved"
139,139,"Dissolve in water with heat, stirring constantly",139.0,"Heat 143,1,0, water with salt, add water until salt is dissolved"
140,140,Stir with a glass rod.,140.0,"Heat water with 144,0,1,0, salt, and add water until the salt is dissolved"
141,141,Keep stirring,141.0,"Heat 145,1,0, water containing salt, and pour water until salt is dissolved"
142,142,Keep stirring with a glass bar. Add hot water,142.0,"146,1,1,1, Keep heating the salt water, pour the water until the salt is completely dissolved"
143,143,Stir it with a stick,143.0,"Heat 147,1,0,1 water containing salt continuously, pour water until salt is dissolved"
144,144,Stir it.,144.0,"148,1,0,1 Continue to heat the salt water, pour the water until the salt is completely dissolved149,1,1,1, Continue to heat the water with salt, add water until the salt is completely dissolved"
145,145,Keep stirring with a glass rod.,145.0,"150,1,0,1 Keep heating the water with salt, keep adding the water until the salt is completely dissolved"
146,146,Dissolve salt by heating the water,146.0,"151,1,0,1 Heat to dissolve salt, add water until salt is completely dissolved"
147,147,Heat the beaker over heat to dissolve the salt,147.0,"152,0,1,0, heat to dissolve salt, continue pouring water until the salt is completely dissolved"
148,148,1. Add more water and mix. 2. Keep stirring.,148.0,"153,1,1,0, heat to dissolve the salt, continue to pour water until the salt is completely dissolved"
149,149,"Stir with a stick, etc.",149.0,"154,1,1,0, heat salt to dissolve, add water until salt is completely dissolved"
150,150,Water and salt are used to melt it,150.0,"155,0,0,0, to dissolve the salt, heat it up, add water until the salt is completely dissolved"
151,151,Boil water and melt it with a dryer,151.0,"156,0,0,0, heat to dissolve salt, hydrate,"
152,152,Add more water,152.0,"157,1,0, add hot water to dissolve salt, add a substance that dissolves certain substances.,"
153,153,add more water,153.0,"158,0,1,0, add more hot water to dissolve salt, and increase the solvent.,"
154,154,"Add more water, hot water, get wet like meringue",154.0,"159,1,0,1, Add hot water to dissolve salt, add solvent.,"
155,155,Because the amount of salt was too much to dissolve all the salt.,155.0,"160,0,0,1, Pour more hot water to dissolve salt, add more solvent.,"
156,156,"Add more cold water, add more hot water, and mix with hot water with a beaker.",156.0,"161,1,0,0, pour more hot water to dissolve salt, solvent amount,"
157,157,Heat with an alcohol lamp until melted,157.0,"162,0,0,1, Pour more hot water to dissolve salt, add more solvent.,"
158,158,Add more water.,158.0,"163,1,1,1, Add more hot water to dissolve salt and increase the amount of solvent.,"
159,159,It heats up high heat,159.0,"164,1,0,1, Pour more hot water to dissolve salt, and increase the amount of solvent.,"
160,160,"Add the water, hot water, stirring harder.",160.0,"165,1,1,0, add more hot water to dissolve salt, add more water to increase solubility"
161,161,"Mix until it melts in hot water, salt is dissolved, etc.",161.0,"166,1,1,0, pour hot water to dissolve salt, add more water to increase solubility"
162,162,"Shake it, mix, or hot water dissolves.",162.0,"167,1,0,1 Pour hot water to dissolve salt, add more water to increase solubility"
163,163,"""",163.0,"168,1,1,1, Pour hot water to dissolve salt, pour water to increase solubility,"
164,164,"Put hot water, stir very hard. """,164.0,"169,1,0,0 increase the temperature of water to dissolve salt, add water to increase solubility,"
165,165,"저어준다,뜨거운 물을 는다.",165.0,"170,0,0,0, to dissolve the salt, increase the temperature of the water, add the water to increase the solubility"
166,166,Put hot water. Stirring constantly.,166.0,"171,0,0,1, Increase the temperature of the water to dissolve the salt, and add the water to the beaker to increase the solubility"
167,167,Add the water melts the salt. \,167.0,"172,1,1,0, increase the temperature of the water in the beaker to dissolve the salt, add water to the beaker to increase solubility,"
168,168,Add warm water.,168.0,"173,0,1,0, to dissolve the salt, add water to the beaker to increase the temperature and solubility of the water"
169,169,Add the water or hot water.,169.0,"174,0,0,1, Increase the temperature of the water in the beaker to dissolve the salt, and add more water to the beaker to increase solubility"
170,170,C the amount of salt in a beaker 60 other a lot of the amount of salt compared to a beaker was g,170.0,"175,0,1,0, increase the temperature of the liquid in the beaker to dissolve the salt, add more water to the beaker to increase solubility,"
171,171,C the amount of salt in a beaker was 60 g other original Cheoncheon because of melting in the water and salt is the amount of salt compared to a beaker which seems to be.,171.0,"176,0,1,0, to dissolve the salt, increase the temperature of the liquid in the beaker, add more water to the beaker to increase its solubility"
172,172,Heat.,172.0,"177,0,0,1, Increase the temperature of the liquid in the beaker to dissolve the salt, Pour more water into the beaker to increase solubility,"
173,173,Add the water.,173.0,"178,1,0,1 Heat beaker to dissolve salt, pour more water into beaker to increase solubility,179,1,1,0, heat beaker to dissolve salt, pour more water into beaker to increase solubility"
174,174,Stir with a glass rod quickly into wja (That's reflux is good.).Heat.,174.0,"180,1,0,1, heat beaker to dissolve salt, pour water into beaker to increase solubility,"
175,175,Stir it more,175.0,"181,0,1,0, heat beaker to dissolve salt, pour water into beaker to increase solubility,"
176,176,Turn up the water,176.0,"182,1,1,0, warm beaker to dissolve salt, pour water into beaker to increase solubility"
177,177,Stir it more.,177.0,"183,1,0,1, heat the beaker to dissolve the salt, add more water than the original amount and it melts"
178,178,Keep stirring the glass bar.  Add a little bit of hot water.,178.0,"184,1,1,1, Add hot water to beaker to dissolve salt"
179,179,Mix quickly with a stick. Increase the temperature of the solvent.,179.0,"185,0,1, add hot water to beaker to dissolve salt"
180,180,Add more water or heat.,180.0,"186,0,0,1, Add hot water to beaker to dissolve salt"
181,181,Pour in more hot water.,181.0,"187,0,0,1, add more hot water to the beaker to dissolve the salt"
182,182,Heat in an alcohol lamp. Stir without a break.,182.0,"188,1,1,0, add more hot water to the beaker to dissolve the salt"
183,183,1. Mix. 2. Add hot water.,183.0,"189,1,0, add more hot water to the beaker to dissolve the salt"
184,184,Heat it with fire,184.0,"190,0,0,1,0, pour hot water into beaker to dissolve salt,"
185,185,Answer 1. Pour sparkling water like coke,185.0,"191,0,1,0, pour hot water into beaker to dissolve salt"
186,186,It's rotting easily,186.0,"192,0,1, Pour hot water into beaker to dissolve salt"
187,187,Pour hot water. Add more water to melt it,187.0,"193,0,1,0, add more water to the beaker to dissolve the salt"
188,188,There is a way to dissolve salt by adding more water to the beaker,188.0,"194,1,0,1 Pour more water into beaker to dissolve salt"
189,189,Mix more with a glass bar,189.0,"195,0,1,0, raise the temperature of the beaker to dissolve the salt"
190,190,Add more water,190.0,"196,1,1,1 Increase the temperature of beaker to dissolve salt,"
191,191,Add more water.,191.0,"197,1,1,0, raise the temperature of the beaker to dissolve the salt"
192,192,Continue mixing with a glass bar.,192.0,"198,0,0,1, Increase the temperature of the liquid to dissolve the salt"
193,193,"Increase the temperature of the water, stirring faster",193.0,"199,1,0,1, Increase the temperature of the liquid to dissolve the salt,"
194,194,Increase the amount of water. Raise the temperature of the water.,194.0,"200,1,1,1, Increase the temperature of the liquid to dissolve the salt"
195,195,1. Heat the water 2. Stir the water with chopsticks.,195.0,"201, 0, 1, 0, cooling warms the water"
196,196,Add more water,196.0,"Heat the beaker with an alcohol lamp, 202, 0, 1, 0"
197,197,Add hot water or stir in less salt to dissolve the salt.Heat or dissolve the solution or stir faster with a glass rod.,197.0,"203,0,0,1, use an alcohol lamp"
198,198,"""Stir quickly with a glass rod of glass.",198.0,"204,1,0,1, Increase the temperature of the liquid"
199,199,"Pour in hot water.""",199.0,"205,0,1,0, increase the temperature of the liquid"
200,200,Let's add more water and mix it,200.0,"206,1,1,0, increase the temperature of the liquid"
201,201,Stir the water with a stick.,201.0,"207,0,1, heat up"
202,202,Mix it,202.0,"Heat 208,0,1,1 to warm the water209,0,1,1 You can heat it up"
203,203,"""Add more water",203.0,"Add 210,1,0,1, heat"
204,204,"""It heats up the water""",204.0,"211,1,1,1, heat to increase solubility"
205,205,boil,205.0,"212, 0, 0, 0, heated to increase solubility,"
206,206,Add more water,206.0,"213,1,0,0 heat to increase solubility"
207,207,Add more water,207.0,"214,0,0,0, heated to increase solubility,"
208,208,Add more water or mix more.,208.0,"215,0,0,0, add more hot water to increase solubility"
209,209,1. Pour more water 2. Reduce the amount of salt,209.0,"216,0,1,0, add more hot water to increase solubility"
210,210,Stir faster or raise the temperature of the water,210.0,"217,1,0,1, Pour more hot water to increase solubility"
211,211,Add more water,211.0,"218,0,1,0, add more hot water to increase solubility"
212,212,"Add more water, dissolve in hot water, stir for a long time.",212.0,"219,1,0, add more hot water to increase solubility"
213,213,"Drain the water, add the hot water again, and add the same amount of salt again.",213.0,"220, 0, 0, 0, add more hot water to increase solubility"
214,214,Stir with a glass rod or shake the beaker,214.0,"221,1,0, pour hot water to increase solubility"
215,215,1.Brush. 2.Apply a little heat,215.0,"222,0,1,0, pour hot water to increase solubility"
216,216,Mix with a glass bar. Add hot water and so on,216.0,"223,1,0, increase the temperature of the water to increase the solubility"
217,217,"Add more water and stir, add a little salt to the C beaker, etc",217.0,"224,1,0, increase the temperature of the water to increase the solubility"
218,218,Add more water,218.0,"225,1,1,0, increase the temperature of the water in the beaker to increase the solubility"
219,219,He loses hard.,219.0,"226,1,1,0, increase the temperature of water in beaker to increase solubility,"
220,220,Heat up the water. Stir quickly.,220.0,"227,1,0, increase the temperature of the liquid in the beaker to increase the solubility"
221,221,Pour more water,221.0,"228,0,1,0, increase the temperature of the liquid in the beaker to increase solubility,"
222,222,Add more water to the c beaker or heat the beaker. Or put warm water in the beaker.,222.0,"229,1,0, heat beaker to increase solubility"
223,223,Add more water/mix with a glass rod/,223.0,"230,1,1,0, heat beaker to increase solubility,"
224,224,"You'll just need to add more water. Since the amount of salt is not directly proportional to the amount of water, if you add more water and stir a little more with a glass rod, the beaker salt with a lot of salt will disappear.",224.0,"231,0,1,1 Heat beaker to increase solubility"
225,225,1.Add more water. 2.Stir more with a glass rod,225.0,"232,1,0, heated beaker to increase solubility,"
226,226,Microwave to heat or continue to stir to dissolve.,226.0,"233,0,0,1, Pour hot water into beaker to increase solubility"
227,227,"There are several ways to dissolve a solvent. The easiest of these is to add water to the solute. The second way is to heat up the water. Of course, the water will come back to normal when it cools down. The third way is to stir the water hard. with great enthusiasm The fourth way is to dry the water, separate the salt, and dissolve it again with the sheep thrown.",227.0,"234,1,0,1, Pour hot water into beaker to increase solubility"
228,228,I don't know.,228.0,"235,1,1,1,1 Increase the temperature of the beaker to increase the solubility"
229,229,Melt with the same heat.,229.0,"236,1,1,1, Increase the temperature of the beaker to increase the solubility,"
230,230,Wait.,230.0,"237,1,1,0, increase the temperature of the liquid to increase the solubility"
231,231,Salt that hasn't melted will never melt. Just give it up,231.0,"238,1,0, increase the temperature of the liquid to increase the solubility239,1,0,0,,,"
232,232,Add more water,232.0,"240,1,0,0,,,"
233,233,Bring the water to a boil and stir in the salt.,233.0,"241,0,0,0,,,"
234,234,Add the water.,234.0,"242,1,0,0,,,"
235,235,"""Put hot heat under the beaker.",235.0,"243,0,0,0,,,"
236,236,"It warms up the surroundings.""",236.0,"244,1,1,0,,,"
237,237,Mall,237.0,"245,1,0,0,,,"
238,238,1)Boil water.,238.0,"246,1,0,1,,,"
239,239,Add more water,239.0,"247,0,1,0,,,"
240,240,Transfer to hot water.,240.0,"248,1,0,0,,,"
241,241,You have to melt it with hot water,241.0,"249,0,1,0,,,"
242,242,Heat. Add more water,242.0,"250,1,0,0,,,"
243,243,Pour hot water,243.0,"251,1,0,0,,,"
244,244,Boil water,244.0,"252,0,0,0,,,"
245,245,"""Add more water""",245.0,"253,1,0,0,,,"
246,246,"""Mix with water from A beaker""",246.0,"254,1,1,1,,,"
247,247,Increase the water temperature,247.0,"255,0,1,0,,,"
248,248,Add more water or raise the temperature of the water,248.0,"256,0,0,0,,,"
249,249,Keep stirring or add more water,249.0,"257,0,0,0,,,"
250,250,Dissolve in hot water,250.0,"258,1,0,1,,,"
251,251,Stir it for a long time.,251.0,"259,0,0,0,,,"
252,252,Bring water to a boil or keep mixing.,252.0,"260,1,1,0,,,"
253,253,Pouring hot water makes me feel dizzy,253.0,"261,1,1,1,,,"
254,254,Stir in more water. Add warm water,254.0,"262,1,1,0,,,"
255,255,Add hot water,255.0,"263,0,1,0,,,"
256,256,Heat a little over hot heat.,256.0,"264,1,1,0,,,"
257,257,Heat the C beaker with an alcohol lamp ( ).,257.0,"265,0,1,0,,,"
258,258,apply heat,258.0,"266,1,0,0,,,"
259,259,It's melted by vinegar,259.0,"267,1,0,0,,,"
260,260,Heat the heat down and boil it in water to dissolve it,260.0,"268,1,1,0,,,269,1,0,1,,,"
261,261,"I don't think it's mixed well because there was too much salt, so I wonder if I add a little salt.",261.0,"270,1,1,0,,,"
262,262,"Add hot water, microwave it.",262.0,"271,1,0,1,,,"
263,263,Dissolve warm heat by transferring it to salt.,263.0,"272,1,1,0,,,"
264,264,Stir with a tool. Use hot water.,264.0,"273,1,0,0,,,"
265,265,Put in a different amount,265.0,"274,1,1,0,,,"
266,266,Hang out in hot water for a long time.,266.0,"275,1,1,1,,,"
267,267,Pour more water,267.0,"276,1,1,0,,,"
268,268,"""Raise the temperature of the water.",268.0,"277,1,1,1,,,"
269,269,"""",269.0,"278,1,1,0,,,"
270,270,Add hot water,270.0,"279,0,1,0,,,"
271,271,There is a limit to the amount of salt water can dissolve per unit weight,271.0,"280,1,1,0,,,"
272,272,Dissolve in hot water,272.0,"281,0,1,0,,,"
273,273,1. Add more water,273.0,"282,0,0,0,,,"
