,Unnamed: 0,1) What would be good for consumers if different bakeries compete with each other?,Unnamed: 0,", q51_price, q51_quality, q51_diversity, q51_benefit, q51_price.1,q51_Quality.1,q51_Diversity1.q51_Benefit.1"
39,39,You can buy things cheaper.,39.0,"40,1,0,0,0, the same product at a lower price, the consumer can buy a good product, the consumer can get a better service"
40,40,You can buy things cheaper.,40.0,"41,0,1,0, buy the same product at a lower price, the consumer can buy a good product, the consumer can get a better service"
41,41,"Maybe it will be cheaper to compete, and it will be good because it is cheap and people spend less money",41.0,"42,1,0,0,0, buy the same product at a lower price, the consumer gets a better product, the consumer gets a better service"
42,42,To be able to see better products and receive more services,42.0,"43,0,0,0,0, you can buy the same product at a lower price, the consumer buys a better product, the consumer gets a better service"
43,43,"If you have a competitor, you're more motivated to win, so to make it look better, you reduce the price or be nicer to your customers",43.0,"44,1,0,0,0 can buy the same product at a lower price, the consumer buys a better product, the consumer gets a better service"
44,44,I don't understand.,44.0,"45,0,0,0,0, you can buy the same product at a lower price, the consumer can buy a better product, get a good service"
45,45,The supply increases and the price becomes cheaper.,45.0,"46,1,0,1,0, the same product can be bought at a lower price, the consumer can buy a better product, get a good service"
46,46,.,46.0,"47,0,0,0,0, can buy the same product at a lower price, the consumer can buy a better product, get a good service"
47,47,"If it gets cheaper, or if the products become more diverse,",47.0,"48,0, 0, 0, 0, 0, the same product can be bought at a lower price, the consumer can take a better product, get a better service"
48,48,I love you,48.0,"49,1,0,0, the consumer is buying at a low price, the consumer is buying a better product, you can get a good service"
49,49,I don't know,49.0,"50,0,1,0, the consumer buys at a low price, the consumer buys a better product, can get a good service"
50,50,"If the price becomes cheaper while competing, you can go there.",50.0,"51,1,0,1,0, consumers buy at low prices, consumers can buy better products, get better service"
51,51,You can eat more delicious snacks,51.0,"52,0,0,0,1, the consumer can buy better products at a lower price, and the consumer can receive good service"
52,52,I can eat more and cheaper,52.0,"53,0,0,1,0, the consumer lives at a low price, the consumer can buy a better product, they get a good service"
53,53,gain from trying to give a better profit,53.0,"54,0,0,0,0, the consumer buys at a low price, makes good products, gets better service"
54,54,to be able to pick a better one,54.0,"55,1,0,0, the consumer can buy at a low price, make a good product, get a better service"
55,55,It can create a better consumption environment,55.0,"56,1,0,0, consumers can buy at low prices, make good products, get better service"
56,56,The price becomes cheaper or events can be held frequently.,56.0,"57,1,0,0, the consumer can buy at a low price, make better products, get better service"
57,57,It's cheap,57.0,"58,0,0,0,1, consumers can buy at a low price, make better goods, get better service59,1,0,1, consumers can buy at low prices, make better products, get better service"
58,58,The price is cheap.,58.0,"60,0,0,0, the consumer can buy at a low price, the seller makes a good product, gets a better service"
59,59,You can get better benefits.,59.0,"61,1,1,0, the consumer gets a lower price, the seller makes a good product, the better service"
60,60,Consumers gain when bakeries compete and have many events,60.0,"62,1,0,0, the consumer buys at a lower price, the seller makes a good product, gets a better service"
61,61,.,61.0,"63,0,0,1,0, the consumer buys at a lower price, the seller makes a better product, the consumer gets a good service"
62,62,Quality can go up and prices can go down,62.0,"64,1,0,0, the consumer gets a lower price, the seller makes a better product, the consumer gets a good service"
63,63,The price goes down.,63.0,"65,1,1,0,1, the consumer buys at a lower price, the seller makes a better product, the consumer gets a good service"
64,64,More diverse products can be presented to consumers.,64.0,"66,1,1,0, the consumer buys at a lower price, sells good products, the consumer can get good service"
65,65,The price goes down.,65.0,"67,1,0,0, the consumer can buy at a lower price, farm a good product, the consumer can get a good service"
66,66,"The lower the price, the better. Benefit from improving product quality.",66.0,"68,1,1,0, consumers can buy at a lower price, sell good products, consumers can get good service"
67,67,"In order to compete in price, consumers can buy products at a lower price by lowering each other's prices, and consumers' mouths can be pleasant because they strive to serve more delicious products with each other.",67.0,"69,0,0,0,1, consumers can buy at lower prices, sell better products, consumers get better service"
68,68,The price goes down.,68.0,"70,0,0,0,0, the consumer can buy at a lower price, farm a better product, the consumer gets a good service"
69,69,Consumers can get good products at a low price,69.0,"71,0,1,0, the consumer can buy at a lower price, sell a better product, the consumer gets a good service"
70,70,"As we strive to provide better services to each other, there are more benefits that consumers can receive.",70.0,"72,1,0,0, the consumer can buy at a lower price, the seller sells good products, the consumer gets better service"
71,71,Consumers can buy bread efficiently.,71.0,"73,0,0,0,0, the consumer uses the same product at a low price, the seller sells good goods, and the consumer receives better service"
72,72,provide a variety of products,72.0,"74,1,1,0, the consumer buys the same product at a low price, the seller sells good products, the consumer gets better service"
73,73,The price goes down.,73.0,"75,1,1,0, the consumer buys the same product at a lower price, the seller sells a better product, the consumer can get a better service"
74,74,You can experience various services,74.0,"76,0,0,1,0, consumers use the same product at a lower price, sellers sell better goods, consumers can get better service"
75,75,to get better goods and prices,75.0,"77,0,0,0,1, consumers buy the same product at a low price, sellers sell better products, consumers can get better service"
76,76,More quality and cheaper items to buyable,76.0,"78,0,0,0,0, the consumer buys the same product at a lower price, the consumer can buy a good product, the consumer gets a better service"
77,77,You can try bread from various bakeries to be able to taste a variety of breads,77.0,"79,1,1,0, the consumer can buy the same product at a low price, the consumer can buy a good product, the consumer gets a better service"
78,78,"Competition is overheated, and various benefits to attract consumers are increased",78.0,"80,1,0,0, the consumer can buy the same product at a low price, the consumer can buy a good product, the consumer gets a better service"
79,79,You can experience a better system than before.,79.0,"81,1,0,1,1, the consumer can buy the same product at a lower price, the consumer can buy a better product, it provides a good service"
80,80,You're working hard not to be so sorry that you get a good bread and you get a good bonus for the event sale,80.0,"82,0,1,0,1, the consumer can buy the same product at a lower price, the consumer can buy a better product, provide a good service"
81,81,We do a lot of marketing that can cut prices or attract consumers more,81.0,"83,1,0,0, the consumer can buy the same product at a lower price, the consumer can buy a better product, providing a good service"
82,82,It is good to be able to choose another bakery if there is an indirect benefit to consumers by trying to reduce the price of the product and you are not satisfied with one bakery.,82.0,"84,1,0,1, consumers can buy the same product at a low price, even if it is the same price, they can get a good product, they provide a better service"
83,83,You can get more benefits and eat more delicious bread.,83.0,"85,1,0,0, consumers take the same product at a lower price, ""more delicious, better bread, better snacks,"" and offer better service"
84,84,The quality of service increases or the price becomes cheaper,84.0,"86,1,1,1,0, consumers buy the same product at a lower price, ""It's possible to buy more delicious bread, snacks,"" and offer better services"
85,85,We can offer good terms to consumers to lower prices or sell more of each other.,85.0,"87,1,1,0, the consumer buys the same product at a lower price, can buy a better product, provides a good service to the consumer"
86,86,Consumers can buy products at cheaper prices.,86.0,"88,0,0,1,0, consumers can buy better products by using the same product at a lower price, providing good service to consumers89,0,1,0, the consumer buys the same product at a lower price, ""It is possible for the consumer to buy better bread, snacks,"" and provides good service to the consumer"
87,87,"If several bakeries compete with each other, we can expect the price of the bakery to go down to the extent that it can benefit unless the bakery unites to raise the price of the product.",87.0,"90,1,1,0, the consumer buys the same product at a lower price, the consumer can buy a better product, it provides a better service to the consumer"
88,88,"Bakery stores will devise various ways to improve the quality of products to induce consumers to buy them. Therefore, consumers can buy quality products. In addition, in order to induce consumers to purchase new products, lower the proportion of defective products, or become hygienic, they can purchase products that have an effort to ensure that the bakery's profits are superior to other bakeries.",88.0,"91,1,0,0, the consumer can buy the same product at a lower price, and as many bakeries compete with each other, the consumer can buy quality bread or snacks, etc., providing better service to the consumer"
89,89,"""",89.0,"92,0,0,1,0, the consumer can buy the same product at a lower price, get a good product, provide better service to the consumer"
90,90,Better mobility and services can be obtained cheaper.,90.0,"93,0,1,0, the consumer can buy the same product at a lower price, get a good quality product, the consumer gets a good service"
91,91,to be able to taste many confectionery,91.0,"94,0,0,0,0, the consumer can buy the same product at a lower price, get a good product for the price, the consumer can get a good service"
92,92,to be able to buy better products,92.0,"95,0,1,0, consumers can buy the same product at a lower price, buy good products through quality competition, consumers receive good service"
93,93,You can buy better things cheaper.,93.0,"96,0,1,0, the consumer can buy the same product at a lower price, can buy a good product, the consumer can get a good service"
94,94,eat cheaper and serve better,94.0,"97,0,0,1,0, we sell it at a low price, we can purchase high-quality products, consumers are provided with good service"
95,95,I think it would be better for consumers to be able to access various products,95.0,"98,0,1,1,0, low prices, bakery sells good products, consumers can receive good service"
96,96,This is because we can produce better quality products and will try to provide better products to consumers.,96.0,"99,0,0,1,0, sell at low prices, consumers can buy good products, consumers are offered better service"
97,97,"""Well,""",97.0,"100,1,0,0, we sell it at a lower price, we need to supply good products to survive bakery, consumers can get better service"
98,98,"""You can buy better quality products.",98.0,"101,1,0,0, sold at a lower price, bakery should supply good products, consumers get better service"
99,99,"By making better products, you can buy better products.",99.0,"It sells at a lower price of 102,1,0,0,0, the consumer can purchase high-quality products, the consumer can receive better service"
100,100,There is a wider range of choices.,100.0,"103,1,0,1,0, sell to consumers at low prices, consumers can purchase high-quality products, consumers receive better service"
101,101,Consumers can get more good products.,101.0,"104,0,1,0, sell to consumers at low prices, consumers can get better service"
102,102,You can live by comparing and the economic market becomes active,102.0,"105,1,1,0, sell to consumers at a low price, the seller provides good service"
103,103,You can buy it at a lower price,103.0,"106,0,0,0, sell to consumers at a lower price, seller provides good service"
104,104,be affordable at a lower price,104.0,"107,0,1,1,1 sell to consumers at a lower price, the seller provides good service"
105,105,You can buy products at a low price,105.0,"108,0,1,0, sell to the consumer at a lower price, the seller provides a better service"
106,106,You can compare the advantages and disadvantages of various bakeries and buy them cheaper.,106.0,"109,0,0,0, the seller sells at a low price,,, the seller provides better service"
107,107,You can buy better products because you try to provide better goods and services.,107.0,"110,0,1,0, the seller sells at a lower price, the seller provides better service"
108,108,to be able to use low prices or good quality,108.0,"111,1,1,0, the seller sells at a low price, the seller provides good service to the consumer"
109,109,You can find a better place.,109.0,"112,1,0,0, the seller sells at a lower price,,, the seller provides good service to the consumer"
110,110,There are more choices and you can buy many benefits and better products,110.0,"113,0,1,1,0, sold by the seller at a lower price, the seller provides a good service to the consumer"
111,111,I can offer you a better product,111.0,"114,1,1,0, the seller sells at a lower price, the seller provides better service to the consumer"
112,112,"They lose money, so they compete with each other",112.0,"115,0,0,0,0 , the seller sells to the consumer at a lower price,,, the seller provides better service to the consumer"
113,113,Better products can be purchased more reasonably.,113.0,"116,1,1,0, the seller sells to the consumer at a low price, the seller provides a better service to the consumer"
114,114,It happens that you try to sell better quality products to consumers at lower prices,114.0,"117,0,0,1,0, the seller sells to the consumer at a lower price, gets a better service"
115,115,You can buy products cheaper.,115.0,"118,0,0,0,0 , the seller sells to the consumer at a lower price,,, better service provided119,0,0,0,0 the seller sells to the consumer at a lower price, providing a better service"
116,116,You can buy many better products,116.0,"120,1,0,0, the seller sells to the consumer at a lower price, so that the consumer can receive better service."
117,117,to be able to eat cheap and high-quality bread,117.0,"121,0,0,0,0 , the price falls, providing better service to consumers"
118,118,It's too long,118.0,"122,0,0,0,0,0 , price drop , good service"
119,119,You can buy cheaper and better quality products,119.0,"123,0,0,0,0, the price goes down, you can get good service."
120,120,You can choose a better bakery and eat it,120.0,"You can buy cheap snacks and bread, 124,1,1,0, and get good service"
121,121,I don't know.,121.0,"125,1,0,0 ""you can buy snacks, bread cheaply"",,,,good service is provided"
122,122,live a long,122.0,"126,0,0,0,0 can buy snacks or bread cheaply, can be provided with high-quality service"
123,123,You can buy it cheap,123.0,"127,0,0,1,0 ""You can buy bread and snacks at a low price."",,,providing good service through competition"
124,124,I don't know.,124.0,"You can buy snacks and bread at a lower price than 128,0,0,0,0."",,,you can get good service at a similar price"
125,125,I feel good because there are two bakery in my neighborhood,125.0,"You can buy bread at a lower price than 129,0,1,0,0, and get good service at a similar price"
126,126,I look cute.,126.0,"You can buy bread at a low price of 130,0,0,0,0, and the service is better for the price"
127,127,Cheaper and better quality can be used,127.0,"131,1,0,0, the consumer can buy snacks at a low price. ,,,, good service at a similar price"
128,128,You can buy it cheaper and get a lot of service,128.0,"132,0,0,0,0 , you can buy snacks and bread at a low price , service is better"
129,129,.,129.0,"133,0,0,0,0 , you can eat snacks and bread at a small price . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ."
130,130,get a new taste,130.0,"You can buy bread at a low price of 134,0,0,1,0, and the consumer can get good service"
131,131,.,131.0,"You can buy bread at a low price through price competition, 135,1,0,0 , the bakery provides good service"
132,132,I can eat it more deliciously,132.0,"You can purchase bread at a low price of 136,0,0,0,0, and you can get good service from the ministry at a bakery."
133,133,I don't know.,133.0,"137,0,0,1,0, you can buy good bread at a low price"
134,134,Consumers can buy products cheaply.,134.0,"You can buy bread at a low price of 138,1,0,0,0"
135,135,"""",135.0,"139,1,0,0,0 the price of bread goes down,"
136,136,to be able to get more money,136.0,"140,0,0,1,0, the price of bread becomes lower than the quality"
137,137,I don't know,137.0,"141,1,0,0,0, the cost performance increases"
138,138,You can find a better bakery by comparing many things.,138.0,"142,1,1,0, the consumer can buy bread with good cost performance"
139,139,You can pack things at a lower price because you can give more discounts.,139.0,"143,0,0,0,0, the consumer can purchase bread with good cost performance"
140,140,to be able to work hard,140.0,"144,0,0,0,0,,,,"
141,141,There's more that consumers can buy,141.0,"145,1,0,0,0,,,,"
142,142,"It gives a lot of service, and the price goes down.",142.0,"146,0,0,0,0,,,,"
143,143,Cheap to buy,143.0,"147,0,1,0,0,,,,"
144,144,I can eat it deliciously,144.0,"148,1,0,0,0,,,,149,1,0,0,0,,,,"
145,145,You can buy things cheaper.,145.0,"150,0,0,0,0,,,,"
146,146,"You can buy it cheaper, make it more delicious, consumers can eat it more deliciously, and you can sample more",146.0,"151,1,1,0,0,,,,"
147,147,...............,147.0,"152,1,1,0,0,,,,"
148,148,good service,148.0,"153,0,0,0,0,,,,"
149,149,"The price goes down and you can buy bread at a low price, there are more services",149.0,"154,1,0,0,0,,,,"
150,150,Better service will come out.,150.0,"155,0,0,0,0,,,,"
151,151,You can buy better services and good items.,151.0,"156,0,0,0,0,,,,"
152,152,The price is discounted and there is an event,152.0,"157,1,0,0,0,,,,"
153,153,Can buy something lower,153.0,"158,0,1,1,0,,,,"
154,154,You can get better service.,154.0,"159,1,0,0,1,,,,"
155,155,Bakery can also buy better services and goods cheaply to win each other,155.0,"160,1,0,0,0,,,,"
156,156,"If you compete with each other, you can lower the price and eat a little more delicious and special food.",156.0,"161,0,0,0,0,,,,"
157,157,I'm curious which one tastes better,157.0,"162,1,0,0,0,,,,"
158,158,It's cheaper and more available,158.0,"163,1,0,0,0,,,,"
159,159,It gives more to consumers by providing services to sell more.,159.0,"164,0,0,0,0,,,,"
160,160,Helping by providing services,160.0,"165,1,0,0,0,,,,"
161,161,It's getting cheaper,161.0,"166,0,0,0,0,,,,"
162,162,"As we compete, it becomes delicious and new products are created.",162.0,"167,1,0,0,0,,,,"
163,163,"If you compete, you will hold events such as various events and have more benefits to attract consumers.become cheaper",163.0,"168,0,0,0,0,,,,"
164,164,Consumers can buy cheaper by cutting prices with each other,164.0,"169,0,0,0,0,,,,"
165,165,The service is getting higher,165.0,"170,0,0,0,0,,,,"
166,166,It's good because it's cheap.,166.0,"171,1,0,0,0,,,,"
167,167,"As they compete, prices are gradually lowered to capture consumers.",167.0,"172,0,1,0,0,,,,"
168,168,ㅐ,168.0,"173,1,0,0,0,,,,"
169,169,We can buy goods cheaply by lowering each other's prices.,169.0,"174,0,1,0,0,,,,"
170,170,It helps consumers to spend more wisely.,170.0,"175,1,0,0,0,,,,"
171,171,The price goes down.,171.0,"176,1,1,0,0,,,,"
172,172,I don't know.,172.0,"177,0,0,1,0,,,,"
173,173,a lot of things,173.0,"178,1,0,0,0,,,,179,1,0,0,0,,,,"
174,174,I don't know,174.0,"180,0,1,0,0,,,,"
175,175,You can buy it cheaper,175.0,"181,1,1,0,0,,,,"
176,176,It's easy to improve while making each other better,176.0,"182,0,0,0,0,,,,"
177,177,"It's good for consumers because if bakeries compete, prices will go down.",177.0,"183,0,1,1,0,,,,"
178,178,to be able to buy a better product,178.0,"184,1,0,0,1,,,,"
179,179,cheapness of price,179.0,"185,1,0,1,0,,,,"
180,180,The price goes down or tastes good.,180.0,"186,0,1,0,0,,,,"
181,181,You can taste several kinds of bread.,181.0,"187,1,0,0,0,,,,"
182,182,to be able to buy a product at a low price,182.0,"188,0,0,1,0,,,,"
183,183,Prices can go down as they compete with each other.,183.0,"189,1,0,0,0,,,,"
184,184,Consumers can eat better bread.,184.0,"190,0,0,1,0,,,,"
185,185,"You can buy things at a lower price, and you can buy better things.",185.0,"191,1,0,0,0,,,,"
186,186,Go somewhere comfortable.,186.0,"192,0,1,1,0,,,,"
187,187,There will be a wider range of choices for consumers to make for better ones.,187.0,"193,0,1,0,0,,,,"
188,188,"In order to attract more customers, it is beneficial to consumers by lowering services and prices",188.0,"194,0,0,1,0,,,,"
189,189,"There are more options, so you can go to cheaper places or choose the bread you want",189.0,"195,0,0,0,0,,,,"
190,190,to be able to buy good quality goods,190.0,"196,1,0,0,0,,,,"
191,191,The price can be reduced,191.0,"197,1,0,0,0,,,,"
192,192,to be able to compare different stores with each other,192.0,"198,1,1,0,0,,,,"
193,193,The price might be lower,193.0,"199,0,0,0,0,,,,"
194,194,You can taste many things,194.0,"200,0,1,0,0,,,,"
195,195,to lower the price further,195.0,"201,0,0,0,1,,,,"
196,196,"Consumers can eat more delicious, more diverse foods.",196.0,"202,0,0,0,0,,,,"
197,197,"""The Bakery's Food Becomes More Delicious""""",197.0,"203,0,1,0,0,,,,"
198,198,You can see more products,198.0,"204,1,0,0,0,,,,"
199,199,?,199.0,"205,0,0,0,0,,,,"
200,200,Consumers can buy at a low price.,200.0,"206,1,1,0,0,,,,"
201,201,Consumers can buy goods with more expensive knives.,201.0,"207,1,1,0,0,,,,"
202,202,"""By competing, companies need to sell better products at lower prices",202.0,"208,1,0,0,0,,,,209,0,0,0,1,,,,"
203,203,I know you can win the hearts of consumers,203.0,"210,1,0,0,0,,,,"
204,204,"Consumers will be able to buy better goods and cheaper prices.""",204.0,"211,0,0,0,0,,,,"
205,205,"The two bakeries are trying harder to get points from consumers, so I think they can get better treatment than usual",205.0,"212,0,0,0,0,,,,"
206,206,You can buy better products,206.0,"213,0,1,0,0,,,,"
207,207,Consumers can benefit from better bakery access.,207.0,"214,1,0,0,0,,,,"
208,208,I know I'm going to win,208.0,"215,1,0,0,0,,,,"
209,209,The food becomes more delicious.,209.0,"216,0,0,0,0,,,,"
210,210,You can get cheaper or better service.,210.0,"217,0,1,0,0,,,,"
211,211,Money,211.0,"218,1,1,0,0,,,,"
212,212,You can buy better prices and better quality products.,212.0,"219,0,1,0,0,,,,"
213,213,"It's good because bakeries compete, making bread and food more delicious and cheaper to sell.",213.0,"220,0,0,0,0,,,,"
214,214,"If several bakeries compete, they can buy it cheaper because consumer prices have fallen because they cut prices little by little.",214.0,"221,0,0,1,0,,,,"
215,215,You can spend more profitably.,215.0,"222,1,1,0,0,,,,"
216,216,They keep lowering the price to sell more things to each other.,216.0,"223,0,0,0,0,,,,"
217,217,.,217.0,"224,1,0,0,0,,,,"
218,218,I work harder,218.0,"225,0,1,0,0,,,,"
219,219,"There will be more delicious bread, so we can eat more delicious bread.",219.0,"226,1,0,0,0,,,,"
220,220,You can buy it cheap,220.0,"227,1,0,0,0,,,,"
221,221,The price goes down,221.0,"228,0,1,0,0,,,,"
222,222,I don't know.,222.0,"229,0,0,1,0,,,,"
223,223,We will develop something that is more delicious and has a pretty design for consumers.,223.0,"230,1,1,1,0,,,,"
224,224,You can buy cheaper and better products.,224.0,"231,1,0,0,0,,,,"
225,225,Companies may develop further because of their competition with each other.,225.0,"232,1,0,0,0,,,,"
226,226,I can't,226.0,"233,1,1,0,0,,,,"
227,227,Consumers can taste more diverse flavors of bread because they make more diverse breads.,227.0,"234,1,0,0,0,,,,"
228,228,The price gets cheaper and the quality of the product gets better.,228.0,"235,0,0,1,0,,,,"
229,229,I don't know,229.0,"236,1,0,0,0,,,,"
230,230,It's getting cheaper when different bakeries compete with each other,230.0,"237,1,0,0,0,,,,"
231,231,Better quality products can be consumed.,231.0,"238,1,0,0,0,,,,239,1,0,0,0,,,,"
232,232,You can buy things at a better price,232.0,"240,1,0,0,0,,,,"
233,233,The price goes down,233.0,"241,1,0,0,0,,,,"
234,234,to get better quality goods,234.0,"242,0,1,0,0,,,,"
235,235,You can get a variety of bread,235.0,"243,1,1,1,1,,,,"
236,236,The quality of the goods gets better and the price gets cheaper. And there's a lot of course,236.0,"244,0,0,0,0,,,,"
237,237,You can eat bread cheaper,237.0,"245,1,0,1,0,,,,"
238,238,"If you compete, you'll buy more and more",238.0,"246,0,0,0,0,,,,"
239,239,The price becomes cheaper and the quality of the product improves.,239.0,"247,0,0,0,0,,,,"
240,240,"This is because bakeries compete, prices are lowered, and facilities are even better.",240.0,"248,0,0,0,0,,,,"
241,241,I can go to a better store,241.0,"249,0,1,0,0,,,,"
242,242,Consumers can live in cheaper places,242.0,"250,1,0,0,0,,,,"
243,243,You can buy it cheaper,243.0,"251,1,0,0,0,,,,"
244,244,You can go to both bakeries. It's good to be cheaper if you don't know the price.,244.0,"252,1,1,0,0,,,,"
245,245,"If several bakeries compete with each other, they can lower their prices to attract customers, so consumers can buy them cheaper.",245.0,"253,1,1,0,0,,,,"
246,246,You can get a discount and buy it cheap,246.0,"254,0,0,1,0,,,,"
247,247,Cheaper ones can be bought,247.0,"255,1,0,0,0,,,,"
248,248,Consumers can eat more delicious bread because the two bakeries compete,248.0,"256,1,0,1,0,,,,"
249,249,"If we compete, it will be beneficial to consumers because they are trying to develop new things to win, and they are going to lower the price and make a lot of new things.",249.0,"257,0,1,0,0,,,,"
250,250,We're jealous of each other,250.0,"258,0,0,0,1,,,,"
251,251,The price goes down and a lot of new food comes out.,251.0,"259,1,0,0,0,,,,"
252,252,I don't know,252.0,"260,0,0,0,1,,,,"
253,253,I don't know.,253.0,"261,0,0,1,0,,,,"
254,254,I don't know.,254.0,"262,1,1,0,1,,,,"
255,255,to be able to eat better bread,255.0,"263,1,0,0,0,,,,"
256,256,Consumers can buy it cheaper because they compete in price to sell well to each other.,256.0,"264,0,1,0,0,,,,"
257,257,to be able to buy at a lower price,257.0,"265,0,0,0,0,,,,"
258,258,You can get a good product at a good price,258.0,"266,0,0,1,0,,,,"
259,259,to be able to choose cheaper and better products,259.0,"267,0,1,0,0,,,,"
260,260,to be able to spend more economically than,260.0,"268,1,0,0,0,,,,269,0,1,0,0,,,,"
261,261,You can buy products that are less expensive,261.0,"270,0,0,0,0,,,,"
262,262,Many breads are available and the price is reduced,262.0,"271,0,1,0,0,,,,"
263,263,You can get a better result,263.0,"272,1,0,0,0,,,,"
264,264,Consumer Benefits,264.0,"273,1,0,0,0,,,,"
265,265,become cheaper,265.0,"274,0,0,0,0,,,,"
266,266,The consumer benefits,266.0,"275,1,0,0,0,,,,"
267,267,You can get more products,267.0,"276,0,0,0,0,,,,"
268,268,Lower prices and better product quality are beneficial to consumers,268.0,"277,1,1,0,0,,,,"
269,269,"Bakery stores will lower prices to sell their products, and for this reason, consumers can buy them cheaper",269.0,"278,1,1,0,1,,,,"
270,270,Consumers get better quality products,270.0,"279,0,0,0,0,,,,"
271,271,Facilities and services improve.,271.0,"280,1,1,0,1,,,,"
272,272,The variety of choices increases.,272.0,"281,0,0,0,1,,,,"
273,273,We will be able to provide better products and better services through competition.,273.0,"282,0,0,0,0,,,,"
