,Unnamed: 0,"2) The wooden ladle wasn't hot, but why did the metal ladle get hot?",Unnamed: 0,", q40_column movement, q40_material, q40_column movement1, q40_material.1"
63,63,in a fit of anger,63.0,"65,1,1,1 Because metal has higher thermal conductivity than wood, metal material has better thermal conductivity"
64,64,"The wooden ladle does not move heat, but the metal ladle moves heat",64.0,"66,1,1, Metal has higher thermal conductivity than wood, Metal material has better thermal conductivity"
65,65,Metal heats up better,65.0,"67,1,1 This is because metals have higher thermal conductivity than wood, because metal materials conduct heat more easily"
66,66,Metal heats up better,66.0,"68,0,1, because metals have higher thermal conductivity than wood, metal materials conduct heat more easily"
67,67,Because iron is a material that reacts easily to heat.,67.0,"69,1,1 The metal has higher thermal conductivity than the wood, and the metal moves well when heated"
68,68,It's made of metal,68.0,"70,1,1 The metal has higher thermal conductivity than the wood, and the metal moves well when heated"
69,69,"Metal ladles have a small specific heat, so heat is transferred quickly",69.0,"71,1,1, metal has better heat conduction than wood because metal has higher heat conductivity"
70,70,This is because the thermal conductivity is different.(Metal has greater thermal conductivity than wood),70.0,"72,1,1, Metal has better heat conduction than Wood, because Metal has higher heat conductivity"
71,71,This is because the thermal conductivity of the metal ladle is greater.,71.0,"73,1,0, metal heats up better than wood because metal has high thermal conductivity"
72,72,"It's the same temperature, but the metal ladle is bigger in thermal conductivity, so it's hot.",72.0,"74,1,1 The metal heats up better than the wood because the metal has high thermal conductivity"
73,73,Because of the difference in specific heat,73.0,"75,1,0, metal absorbs heat better than wood, metal has high thermal conductivity"
74,74,"Metal has a lower specific heat than wood, so temperature changes are faster.",74.0,"76,1,0, metal absorbs heat better than wood, metal has high thermal conductivity"
75,75,"Because of the difference between the specific heat and the thermal conductivity,",75.0,"77,1,0, metal is more free to move heat than wood, because metal has high thermal conductivity"
76,76,Difference in thermal conductivity,76.0,"78,1,1, metal is more free to move heat than wood, because metal has high thermal conductivity"
77,77,It's because the thermal conductivity is different.,77.0,"79,1,1 The metal has a greater heat transfer than the wood because the metal has a higher thermal conductivity"
78,78,This is because wood molecules do not get hot easily and metal molecules get hot easily.,78.0,"80,1,1, metal has a greater heat shift than wood because metal has a higher thermal conductivity"
79,79,"The wooden ladle has a smaller thermal conductivity than the metal ladle, but the metal ladle has a large amount of heat because of its high thermal conductivity",79.0,"81,1,1,1 The metal is more heat conductive than the wood, the metal has higher thermal conductivity"
80,80,Wooden ladles have low heat conductivity and are not good at transferring heat.,80.0,"82,1,1, Metal conducts more heat than Wood, Metal has higher thermal conductivity"
81,81,"So the wooden ladle did not get hot. However, the metal ladle became hot because of its high thermal conductivity.""",81.0,"83,1,1 The metal moves heat faster than the wood, the metal is heated by heat"
82,82,"This is because the thermal conductivity of the wooden ladle was lower than that of the metal ladle, so that the heat was not transferred to the point where it became hot.",82.0,"84,1,1, metal moves faster than wood, metal heats up better by heat"
83,83,"Wooden ladles do not move heat well, while metal ladles do not move heat well compared to metal ladles because they move heat actively.",83.0,"85,0,1, metal has better heat transfer than wood, metal has better heat transfer"
84,84,"Because the temperature change is inversely proportional to the specific heat, the wooden ladle is hotter than the metal ladle",84.0,"86,1,1, Metal transfers heat better than Wood, Metal transfers heat better"
85,85,"Due to the different thermal conductivity of wooden ladle and metal ladle, wooden ladle did not get hot even when put in hot water due to low thermal conductivity, but metal ladle has high thermal conductivity and gets hot quickly when put in hot water.",85.0,"87,1,1, metal transfers heat better than wood, metal absorbs heat better"
86,86,"This is because the distance between molecules is closer than the wooden ladle, so the conduction speed is much faster.",86.0,"88,0,0, metal transfers heat better than wood, metal absorbs heat better89,1,1, metal has higher thermal conductivity than wood, because metal has faster heat transfer"
87,87,"The wooden ladle is a non-metal, and there is no medium capable of transferring heat between bonded atoms, but the metal ladle allows free electrons to move freely between the bonded atoms and thus allow free electrons to move freely.",87.0,"90,1,1 metal has greater thermal conductivity than wood, metal has faster heat transfer"
88,88,"This is because wooden ladles have low conductivity, but metal ladles have high conductivity.",88.0,"91,1,1,1 metal has higher thermal conductivity than wood, metal has a free movement of heat"
89,89,.,89.0,"92,0,0, metal has higher thermal conductivity than wood, metal has more freedom of heat movement"
90,90,"The wooden ladle had a larger specific heat than the metal ladle, so the metal ladle became hot, but the wooden ladle did not get hot.",90.0,"93,1,1 The metal has greater thermal conductivity than the wood, because the metal has greater heat transfer"
91,91,"In the heat applied from the outside, the wooden ladle was not hot because the molecular movement was not active, but on the contrary, the metal ladle became hotter because the molecular movement was active when heated.",91.0,"94,1,1 The metal has greater thermal conductivity than the wood, and the metal has greater heat transfer"
92,92,"Metals have high thermal transition properties, whereas trees do not.",92.0,"95,1,1 metal has a greater thermal conductivity than wood, and metal has a better heat transfer"
93,93,.,93.0,"96,1,1, Metal has greater thermal conductivity than wood, Metal has better heat transfer"
94,94,"This is because wooden ladles have a lower specific heat, or the degree to which the heat of an object changes when the same heat is given for the same time, than metal ladles. If you soak it in hot water for a very long time, the wooden ladle will also be very hot.",94.0,"97,1,1, the properties of the material. Metals transfer heat well"
95,95,"It can be seen that metals have less specific heat than trees because they have active heat movement and trees have less heat movement. Based on this, the metal ladle with a small specific heat becomes hot.",95.0,"98,1,1 because heat is transferred well to metals"
96,96,This is because metal ladles have higher thermal conductivity than wooden ladles.,96.0,"99,1,1, the unique nature of the material, metal is because heat is transferred well"
97,97,"Wood has low thermal conductivity, so the wooden ladle did not heat up because it did not move the heat of hot water well, but metal has high thermal conductivity, so the metal ladle moves the heat of hot water well.",97.0,"100,1,1, the properties of the material, metals transfer heat well"
98,98,"Because wood and metal have different specific heat, which is the calorific value that causes the same mass to rise by 1C, the wood ladle heats up slowly because the metal is relatively hot, while the metal ladle heats up quickly because the heat is low.A wooden ladle is a covalent bond, but a metal ladle is a metal bond. Since the metal binder generally has higher thermal conductivity than the covalent binder, the metal ladle heats up faster than the wooden ladle.",98.0,"101,1,0, the properties of the material, metals transfer heat well"
99,99,"Since wooden ladles have a high specific heat and metal ladles have a low specific heat, the smaller the specific heat, the faster the change in heat, the hotter the metal ladle becomes.",99.0,"The properties of the materials, metals have thermal conductivity"
100,100,"To know this, I think you should know the concept of specific heat. Specific heat means the amount of heat required to raise the temperature of a substance by one degree. For example, a large specific heat means that you need a lot of heat to raise the temperature, and a small specific heat means that you don't need a lot of heat to raise the temperature. This means that trees need more heat than metals to raise the temperature because they have a higher specific heat than metals. However, since heat was applied equally to both objects for the same time, the wooden ladle would not be hot, and the metal ladle would be hot.",100.0,"103,1,1, the properties of the material, the metal has thermal conductivity"
101,101,a specific heat difference,101.0,"The degree of heating varies depending on the material of 104,1,0, because metals have high thermal conductivity"
102,102,The metal ladle has higher thermal conductivity than the wooden ladle,102.0,"105,1,0, the degree of heating varies depending on the material, because metals have high thermal conductivity"
103,103,This is because the conductivity of the wooden ladle is lower than that of the metal ladle.,103.0,"106,1,1 The degree of heat transfer varies depending on the material, metal has high thermal conductivity"
104,104,It has better thermal conductivity,104.0,"107,0, the degree of heat transfer varies depending on the material. Metals have high thermal conductivity"
105,105,It's a different proportion,105.0,"Heat transfer rates vary depending on the materials 108,1,1, and metals have thermal conductivity"
106,106,"Wood does not conduct heat, but it becomes metal",106.0,"109,1,1 The rate of heat transfer varies depending on the material, metals have thermal conductivity"
107,107,It's a conductor,107.0,"The heat transfer varies depending on the material 110,1,1 because the metal has a high thermal conductivity"
108,108,"Because metal is easier to conduct heat than wood,",108.0,"Metal has high thermal conductivity because the heat transfer varies depending on the materials 111, 1, 1"
109,109,This is because the metal ladle is less heat conducting than the wooden ladle.,109.0,"Because the heat shift varies depending on the material 112,1,0, the metal heats up well"
110,110,"Wood has a low heat conduction, but metal has a high heat conduction, so the metal ladle is hot",110.0,"113,1,1 Because the heat transfer varies depending on the material, the metal heats up well"
111,111,"This is because wooden ladles do not transfer heat well, but metal ladles transfer heat well.",111.0,"Metal has high thermal conductivity because the rate of heat transfer varies depending on the materials 114,1,1"
112,112,a difference in conduction,112.0,"Metals have high thermal conductivity because the rate at which heat travels varies depending on the materials 115,1,1"
113,113,This is because the metal ladle absorbs heat better.,113.0,"Depending on the material of 116,1,1, the rate of heat transfer is different, and metals have high thermal conductivity"
114,114,Metal has high thermal conductivity,114.0,"117,1,1, the rate at which heat travels varies depending on the material, metals have high thermal conductivity"
115,115,This is because the conductivity of the wood is lower than that of the metal.,115.0,"The speed of heat transfer varies depending on the material of 118,1,1, and even if only one part of the metal is heated, the heat moves and all parts become hot119,1,1, the rate at which heat travels depends on the material, and even if only one part of the metal is heated, the heat moves and all parts become hot"
116,116,"Wood does not conduct heat well, but metal ladle has good heat conduction.",116.0,"120,1,1, the degree of heat transfer varies depending on the material, because wooden ladle is more difficult to move heat than metal ladle"
117,117,This is because metal ladles conduct heat better than wooden ladles.,117.0,"121,1,1, the degree of heat transfer varies depending on the material, because wooden ladle is harder to move heat than metal ladle"
118,118,This is because metal ladle has high thermal conductivity and wooden ladle has low thermal conductivity,118.0,"There is a difference in thermal conductivity depending on the material of 122,1,1, because wooden ladle is more difficult to move heat than metal ladle"
119,119,because metal has higher heat conductivity than wood,119.0,"The thermal conductivity varies depending on the material 123,1,1, because wooden ladles are more difficult to move heat than metal ladles"
120,120,"Trees are not hot because they don't have much heat, but metals have good heat because they react well to heat.",120.0,"The thermal conductivity varies depending on the material 124,1,0, because wooden ladles are slower in heat than metal ladles"
121,121,"Metal ladles transfer heat well, but wooden ladles don't transfer heat well",121.0,"125,1,1, the thermal conductivity varies depending on the material, because wooden ladles are slower in heat than metal ladles"
122,122,This is because a ladle made of metal conducts heat better than wood,122.0,"The thermal conductivity varies depending on the material 126,1,1, because the wooden ladle moves more slowly than the metal ladle"
123,123,"Wood has low thermal conductivity and metal has high thermal conductivity, so if you put it in hot water at the same temperature, the temperature of the wooden ladle hardly changes, but the metal ladle gets hot",123.0,"The thermal conductivity varies depending on the material 127,1,1, because the wooden ladle is slower in heat than the metal ladle"
124,124,This is because the conductivity is fast.,124.0,"128,1,1 The thermal conductivity varies depending on the material, because the heat conduction is slow in wooden ladle"
125,125,This is because wood does not conduct heat well and metals conduct heat well.,125.0,"129,1,1 The thermal conductivity varies depending on the material, because the heat conduction is slow in wooden ladle"
126,126,A metal ladle is easy to conduct heat. This is because of the movement of free electrons. The tree is,126.0,"130,1,1, difference in material, wooden ladle is slow in heat conduction"
127,127,"Wooden ladles have lower thermal conductivity than metal ladles, so they do not get hotter.",127.0,"131,0,0, because the material is different, the wooden ladle is slow to conduct heat"
128,128,"Because wood has low thermal conductivity and metal has high thermal conductivity, metal gets hot",128.0,"132,1,1 Because the material is different, the wooden ladle does not conduct heat well"
129,129,"Wood does not get hot easily because of its low thermal conductivity, but it gets hot quickly because of its high metallic thermal conductivity.",129.0,"133,1,1 Because of the difference in material, the wooden ladle does not conduct heat well,"
130,130,"Compared to the wooden ladle, the metal ladle conducts better",130.0,"134,1,1, type of conductive material, wooden ladle is because heat conduction is not good"
131,131,It's the same as my stomach,131.0,"135,1,1, because wooden ladle doesn't conduct heat well"
132,132,"Because metal ladle has higher thermal conductivity,",132.0,"136,1,0 because wooden ladle has poor thermal conductivity"
133,133,"Wood cannot move the temperature of water, but metal is easy to move heat",133.0,"137,1,1, the wooden ladle has poor thermal conductivity,"
134,134,Metal reacts easily to heat,134.0,"138,1,1, because wooden ladle has poor thermal conductivity"
135,135,This is because wooden ladles have low thermal conductivity and high metal,135.0,"139,1,1, because the wooden ladle has poor thermal conductivity"
136,136,Heat transfer is faster,136.0,"140,1,1, the wooden ladle has poor thermal conductivity, so the heat moves slowly"
137,137,This is because metal conducts better than wood.,137.0,"141,1,1, the wooden ladle has poor thermal conductivity, so the heat moves slowly"
138,138,This is because metal transfers heat well.,138.0,"142,1,1, because wooden ladle has poor thermal conductivity, heat moves slowly"
139,139,Metals receive heat well,139.0,"143,1,1, because the wooden ladle has poor thermal conductivity, the heat moves slowly"
140,140,"The wood doesn't get any hotter at any point, but the metal is constantly conducting heat at any point without stopping at any point",140.0,"144,1,1, the wooden ladle is because the heat moves slowly"
141,141,This is because metal conducts heat better than wood.,141.0,"145,1,1, the wooden ladle has a slow heat movement"
142,142,"Wooden ladle does not conduct heat well, but metal works well",142.0,"146,1,1, the wooden ladle is because the heat moves slowly"
143,143,"Wooden ladles have low conductivity and are not dense, so metal ladles have high conductivity and dense particles",143.0,"147,1,1, the wooden ladle is because the heat moves slowly"
144,144,This is because metal ladles have faster thermal conductivity than wooden ladles.,144.0,"148,1,1, the wooden ladle is because heat is transferred slowly149,1,1, the wooden ladle transfers heat slowly"
145,145,"Wood does not transfer heat, but metal transfers heat very well",145.0,"150, 1, 1, 1 because the heat is transferred slowly in the wooden ladle"
146,146,"The metal ladle heats up quickly because it is iron, and the wooden ladle heats up slowly",146.0,"151,1,1,1 because the heat is transferred slowly in wooden ladles"
147,147,Metal reacts easily to heat,147.0,"152,1,0... The wooden ladle is slow in heat movement"
148,148,I'll keep the heat of iron better,148.0,"153,1,1, the wooden ladle has a slow heat flow,"
149,149,"This is because trees do not react easily to heat, but metals react easily",149.0,"154,1,1, because wooden ladle is slow in heat transfer"
150,150,This is because metals react to heat.,150.0,"155,1,1,1 because the heat is moving slowly"
151,151,This is because trees are slow to move temperatures,151.0,"156,1,1, because the heat is transferred slowly to the wooden ladle,"
152,152,This is because the metal ladle transfers heat well.,152.0,"157,0,0...the wooden ladle transfers heat slowly"
153,153,This is because metal has a greater heat conduction than wood,153.0,"158,1,1, because the heat is transferred slowly to the wooden ladle"
154,154,"This is because wood does not heat well, and metal heat well.",154.0,"159,1,0 because the heat is transferred slowly in a wooden ladle"
155,155,"Wooden ladles do not transfer heat quickly and do not do well, but metal ladles transfer heat quickly and well.",155.0,"Because it has a high thermal conductivity of 160,1,1,"
156,156,"Metal is heat transferred well, so it's not wood",156.0,"It has a high thermal conductivity of 161,1,1"
157,157,The temperature has risen,157.0,"Because it has a high thermal conductivity of 162,1,1"
158,158,This is because wooden ladles do not transfer heat well.,158.0,"163,0,1, because it has high thermal conductivity"
159,159,Due to low thermal conductivity,159.0,"It has a high thermal conductivity of 164,0,1"
160,160,This is because metal absorbs heat better than wood.,160.0,"165,1,1, high thermal conductivity"
161,161,"The wooden ladle doesn't have heat, but the metal ladle has heat",161.0,"166,0,1, because it has a high thermal conductivity"
162,162,Metal works well,162.0,"It has a high thermal conductivity of 167,1,1"
163,163,"""The wooden ladle is made of wood, and the heat doesn't go to the handle,",163.0,"Because it has a high thermal conductivity of 168,1,1"
164,164,The metal ladle is made of iron and the heat goes to the handle.......................................,164.0,"169,1,1, because it has high thermal conductivity"
165,165,"""",165.0,"It has a high thermal conductivity of 170, 1, 1"
166,166,Because it's metal (Laughing),166.0,"171,0,1, it has high thermal conductivity"
167,167,Metal is good at heat.,167.0,"172, 1, 1, moving from hot to cold"
168,168,Trees are sensitive to temperature,168.0,"173,0,0... When you put the ladle in hot water, the metal ladle moves faster than the wooden ladle"
169,169,The metal ladle is heated up well,169.0,"174,0,1, when you put the ladle in hot water, the metal ladle moves faster than the wooden ladle"
170,170,This is because the thermal conductivity of the metal is greater than that of the wood.,170.0,"175,1,0 because metal ladle moves faster than wooden ladle when ladle is put in hot water"
171,171,This is because metal transfers heat better than trees.,171.0,"176,0,1, because when you put the ladle in hot water, the metal ladle moves faster than the wooden ladle"
172,172,Metal transfers heat better than wood,172.0,"177,1,1,1 because metal ladle moves heat more easily than wooden ladle when ladle is put in hot water"
173,173,"Because it's metal, there's a question mark",173.0,"178,1,1,1, When you put a ladle in hot water, the metal ladle moves heat more easily than the wooden ladle179,1,1,1 because metal ladles move more easily than wooden ladles when ladles are added to hot water"
174,174,"Because the heat conductivity of the metal object is higher than that of the non-metal object, which is a wooden ladle,",174.0,"180, 1, 1, 1 because metal ladles move more easily than wooden ladles when they are put in hot water"
175,175,I don't know.,175.0,"181,1,1,1, because metal ladle moves faster than wooden ladle when ladle is put in hot water"
176,176,It's metal,176.0,"182,0,0... When you put the ladle in hot water, the metal ladle moves faster than the wooden ladle,"
177,177,the difference in heat conduction,177.0,"183,1,1,1 This is because metal ladle moves faster than wooden ladle when ladle is put in hot water"
178,178,It's metal,178.0,"184,1,1,1 because metal ladles move faster than wooden ladles when they are put in hot water"
179,179,It is because metal conducts heat well.,179.0,"185,1,1,1, when you put the ladle in hot water, the metal ladle is made of iron and the heat moves quickly"
180,180,This is because metals get hot easily.,180.0,"186,1,1,1, when you put the ladle in hot water, the metal ladle is made of iron and the heat moves quickly"
181,181,Only the metal is conducting heat,181.0,"187, 1, 1, because when ladle is put in hot water, metal ladle is made of iron and heat moves quickly"
182,182,It is because metals are easily heated and trees are not easily heated.,182.0,"188,0,1, because when you put the ladle in hot water, the metal ladle is made of iron and the heat moves quickly"
183,183,"Wooden ladles have low thermal conductivity, so heat is not easily transferred, but metal ladles have high thermal conductivity, so heat is easily transferred, so they get hot quickly when put in a hot place.",183.0,"189, 1, 1, because metal ladle is easily heated when the ladle is put in hot water"
184,184,My temperature went up,184.0,"190,0,0,1, metal ladle is easily heated when you put it in hot water"
185,185,This is because metal ladles are more easily heated than wooden ladles.,185.0,"191,1,1,1 because the metal ladle is easily heated when the ladle is put in hot water"
186,186,Wood has less heat transfer power and metal has higher heat transfer power,186.0,"192, 1, 1, 1 because the metal ladle is easily heated when the ladle is put in hot water"
187,187,This is because trees do not transfer heat well.,187.0,"193, 1, 1, because the metal ladle gets hot easily when you put it in hot water"
188,188,The metal transferred heat well and the wood didn't transfer heat well,188.0,"194, 1, 1, 1. The metal ladle gets hot easily when you put it in hot water"
189,189,This is because wooden ladles do not conduct heat well.,189.0,"195, 1, 1, because metal ladle gets hot easily when you put ladle in hot water"
190,190,Metal has properties that trees do not have,190.0,"196,0,0 because the metal ladle gets hot easily when you put the ladle in hot water"
191,191,The metal gets heated up better,191.0,"197,0,1, When you put a ladle in hot water, the metal ladle has fast heat conduction"
192,192,Because wood and ladle are made differently,192.0,"198, 0, 1, When you put a ladle in hot water, the metal ladle has fast heat conduction"
193,193,The heat is transferred to the metal well,193.0,"199, 0, 1, because metal ladles conduct heat fast when they are put in hot water"
194,194,Because metal ladle changes temperature faster than wooden ladle,194.0,"200, 1, 1, 1 because metal ladles conduct heat fast when they are put in hot water"
195,195,This is because trees are not easily heated and metals are easily heated.,195.0,"201, 0, 1, because metal ladles conduct heat well when you put them in hot water"
196,196,Since the metal ladle has an element that makes it easier to move heat transfer.,196.0,"202, 1, 1, 1. If you put the ladle in hot water, the metal ladle conducts heat well"
197,197,This is because metal ladles are more easily heated.I don't know.,197.0,"203,1,1,1 because metal ladles conduct heat well when they are put in hot water"
198,198,Because the heat of the wooden ladle cools down quickly,198.0,"204,1,1,1 because metal ladles conduct heat well when you put them in hot water"
199,199,Trees don't easily heat up easily,199.0,"205,1,1,1 because metal ladle has good thermal conductivity when you put ladle in hot water"
