,Unnamed: 0,2) Why was it so hard to breathe after the first few breaths?,Unnamed: 0,", q42_oxygen, q42_carbon dioxide, q42_air, q42_oxygen.1"
58,58,This is because it is a limited space for inhaling and exhaling air.,58.0,"60,0,1,1,1 It's less oxygen than carbon dioxide"
59,59,Because it's hard,59.0,"61,1,1,0, it has more carbon dioxide"
60,60,"When you breathe in and out air, you breathe out carbon dioxide, so I think it's hard to breathe because of the lack of air.",60.0,"62,0, 0, 0, 0. It's low in oxygen"
61,61,"At first, there was a lot of oxygen in the fresh air, but it's getting harder and harder to breathe because of the carbon dioxide that we breathe out.",61.0,"63,0,0,0, because it's low in oxygen"
62,62,This is because the air in the bag is limited.,62.0,"64,0,1,0, you need less oxygen to breathe"
63,63,"Since the air has changed, it becomes difficult because there is only other air, not the air we have to inhale.",63.0,"65,0,0,0,0 I need less oxygen to breathe"
64,64,There's a lot of carbon dioxide,64.0,"66,0,0,0 less oxygen to breathe"
65,65,I drank all the air in the bag,65.0,"67,0,0,1, Less oxygen needed to breathe"
66,66,I drank all the air in the bag,66.0,"68,0,0,0, because it has less oxygen than carbon dioxide"
67,67,I think it was difficult because the air I inhale gradually disappeared as I repeatedly inhale and exhale.,67.0,"69,0,1,0,o2 shortage"
68,68,Because you can hear it a lot?,68.0,"Lack of 70,1,1,0, o2"
69,69,"If the proportion of carbon dioxide increases, carbon dioxide binds to hemoglobin instead of oxygen, damaging the purification system in the body",69.0,"I need 71,1,0,0 and o2 more"
70,70,"Breathing uses oxygen and releases carbon dioxide, which reduces the amount of oxygen in the air, making breathing difficult In addition, excessive humidity in the air due to water vapor generated during the breathing process also contributes to difficulty in breathing",70.0,"Because we lack 72,0,1,0, and o2"
71,71,This is because the amount of oxygen gas that can be absorbed during breathing has decreased.,71.0,"73,1,0,0... I don't have enough o2 to breathe"
72,72,"As the concentration of carbon dioxide gas increases, the difference in partial pressure of carbon dioxide in the alveoli decreases, making it difficult to exchange gases.",72.0,"74,1,1,0 and o2 needed to breathe are insufficient"
73,73,"Because the oxygen concentration of the incoming air is low,",73.0,"75,0,0,0 lack of o2 to breathe"
74,74,This is because the oxygen concentration decreases and the carbon dioxide concentration increases as you breathe.,74.0,"76,0,1,0, lack of o2 to breathe"
75,75,Reduced partial pressure difference reduces airflow into the lungs,75.0,"It lacks o2 compared to 77,0,0,0, and co2"
76,76,Because carbon dioxide gas increases,76.0,"78, 1, 0, and Co2 increased"
77,77,I'm exhausted,77.0,"79,1,0,0 and o2 are not enough"
78,78,"At first, there was oxygen in the plastic bag, but after a few breaths, oxygen decreased and only carbon dioxide remained, making it difficult to breathe.",78.0,"80, 0, 1, 1 and o2 are less"
79,79,This is because the oxygen in the bag was consumed repeatedly by inhaling and exhaling.,79.0,"81,1,0,0... There's less o2 for breathing"
80,80,"When inhaling, inhaling air, and when exhaling, exhaling carbon dioxide instead of inhaling air, the air becomes thinner and thinner, thus making it difficult to breathe.",80.0,"82,1,1,0 and o2 for breathing are less"
81,81,"The first few breaths had enough oxygen in the air, but after several breaths, the oxygen in the air gradually decreased and was not enough to breathe.",81.0,"83,1,1,0, o2 required for breathing less"
82,82,"Due to breathing, oxygen decreases and carbon dioxide increases, making it difficult to breathe due to lack of oxygen required for breathing.",82.0,"84,1,1,0, o2 required for breathing less"
83,83,"Breathing through oxygen in a plastic bag increases the amount of oxygen and carbon dioxide in the plastic bag, and after several times, the amount of oxygen decreases, making it difficult to breathe",83.0,"Because there is less o2 than 85, 1, 0, and co2"
84,84,It's hard to breathe with carbon dioxide because it absorbs oxygen and exhaled carbon dioxide while breathing.,84.0,"Lack of 86,1,0,0,O2"
85,85,This is because the concentration of oxygen required for breathing has decreased and the concentration of carbon dioxide has increased.,85.0,"Lack of 87,1,1,0, and O2"
86,86,This is because the amount of oxygen inside vinyl decreases as you inhale. It feels difficult to breathe because oxygen is not supplied to the alveoli.,86.0,"88,1,1,0, and O2 are not enough89,1,1,0, and O2 are not enough"
87,87,"The first plastic bag contained enough oxygen for us to breathe. Therefore, the first few times I breathed air, I could breathe. However, as we breathe using oxygen, we continue to exhale, and carbon dioxide is released. If we continue to breathe in this state, the amount of oxygen becomes insufficient for us to breathe. Therefore, it becomes difficult to breathe after inhaling air several times.",87.0,"90, 1, 1, 0. I don't have enough O2 to breathe"
88,88,"During the first few times, the relatively large amount of oxygen in a plastic bag was able to breathe smoothly, but over time, the amount of oxygen required for breathing is significantly reduced and difficult to breathe as it turns into air containing a small amount of oxygen and a large amount of carbon dioxide.",88.0,"91,1,1,0... I don't have enough O2 to breathe"
89,89,"At first, oxygen remained in the bag to some extent, but when humans inhale oxygen and exhale carbon dioxide in the process of exhaling, the amount of oxygen in the bag decreases and the amount of carbon dioxide increases. Since life needs oxygen to breathe, it becomes difficult to breathe if the amount of carbon dioxide in the bag is large and the amount of oxygen is small.",89.0,"92,1,0, lack of O2 to breathe"
90,90,"Human breathing needs oxygen, because through my breathing, the plastic bag is filled with carbon dioxide and there is no oxygen that humans need.",90.0,"93,1,0, lack of O2 to breathe"
91,91,The amount of oxygen in a plastic bag decreases and the amount of carbon dioxide increases as a person repeatedly inhales and exhales. People find it difficult to breathe because they cannot breathe with carbon dioxide.,91.0,"It lacks O2 compared to 94,1,0, and CO2"
92,92,"At first, there was enough oxygen in the plastic bag to breathe, but as you continue to breathe, the oxygen in the plastic bag decreases, making it difficult to breathe.",92.0,"95, 1, 0, and CO2 increased"
93,93,The lack of oxygen required for breathing makes it difficult to breathe.,93.0,"96,1,1,0, and O2 are less"
94,94,It is frustrating because the amount of carbon dioxide produced by exhalation increases in a bag filled with fresh air. This is also because the amount of oxygen decreases by inhaling oxygen through inhalation.,94.0,"97,1,0,0 and O2 are less"
95,95,"After several breaths, the air in the bag has less oxygen and relatively more carbon dioxide, so the amount of oxygen used to breathe in is reduced, making it difficult to breathe.",95.0,"98,1,0,0... There's less O2 for breathing"
96,96,"When humans breathe in oxygen and exhale carbon dioxide, the amount of oxygen in the bag decreases, making it difficult to breathe.",96.0,"99,1,1,0, O2 for breathing is less"
97,97,"Air contains 78% nitrogen, 21% oxygen, and 1% other gases. Human breathing requires only oxygen. Therefore, when exhaling, air enters and iron in hemoglobin in red blood cells binds to oxygen in the blood vessels of the alveoli from the lungs, and nitrogen and other gases except the rest of the oxygen escape by exhalation. If you breathe a lot in that enclosed space, the oxygen concentration becomes insufficient, making it difficult to breathe.",97.0,"100,1,1,0, O2 required to breathe less"
98,98,"At first, you can breathe because there is enough oxygen in the air, but you have difficulty breathing because the oxygen concentration in the air in the bag decreases while breathing.1)As shown in , the oxygen concentration inside the bag decreases and the carbon dioxide concentration increases, and we try to get oxygen when we breathe. Therefore, it becomes difficult to breathe as the oxygen concentration inside the bag decreases.",98.0,"101,0,1,0, O2 required to breathe less"
99,99,"We can breathe using oxygen. And when you exhale, you exhale carbon dioxide. Now the bag is sealed because it is tightly attached to the mouth. Therefore, as you breathe, the amount of carbon dioxide increases and the amount of oxygen decreases. Therefore, the amount of oxygen required for breathing decreases, making it difficult to breathe.",99.0,"102,1,0,0... There's not enough oxygen to breathe"
100,100,"As the concentration of carbon dioxide increases gradually,",100.0,"103,0,1,0, there's not enough oxygen to breathe"
101,101,"The amount of oxygen in the bag decreases, making it difficult to breathe",101.0,"104,1,0, lack of oxygen to breathe"
102,102,It must have been hard because the carbon dioxide concentration was high.,102.0,"105,0,1,0, lack of oxygen to breathe"
103,103,"You breathe oxygen every time you breathe, so the more you breathe, the less oxygen you get",103.0,"106,1,1,0, you need less oxygen to breathe"
104,104,The amount of carbon dioxide increases,104.0,"107,0,1,0, you need less oxygen to breathe"
105,105,"After inhaling oxygen, there's carbon dioxide",105.0,"108,1,1,0, less oxygen needed to breathe"
106,106,an increase in carbon dioxide,106.0,"109,0,1,0, less oxygen to breathe"
107,107,"When people breathe in and out, they breathe in oxygen, and when they breathe out carbon dioxide, but if they continue to breathe, it becomes difficult to breathe because there is more carbon dioxide",107.0,"110,0,1,0, I don't have enough o2 to breathe"
108,108,It will be difficult to breathe because there is only carbon dioxide in the bag.,108.0,"111,0,0,1, I don't have enough o2 to breathe"
109,109,"This is because carbon dioxide is released when exhaled and oxygen is consumed when inhaled, so the air in the plastic bag has changed to carbon dioxide",109.0,"112,0,1,0, lack of o2 to breathe"
110,110,There's less air in the bag,110.0,"113,0,1,0, lack of o2 needed to breathe"
111,111,Carbon dioxide comes out when you spit it out and it's hard to breathe,111.0,"114,1,0,0... I don't have enough O2 to breathe"
112,112,This is because it is difficult to breathe with carbon dioxide.,112.0,"115,1,1,0... I don't have enough O2 to breathe"
113,113,I'm running low on oxygen,113.0,"116,1,1,0, lack of O2 to breathe"
114,114,"As explained above, the air in the bag is limited, and the oxygen in it is also limited People breathe with oxygen and breathe out carbon dioxide, making it difficult to breathe.",114.0,"117,1,0, lack of O2 needed to breathe"
115,115,This is because carbon dioxide increases and oxygen decreases.,115.0,"118,1,1,0, not enough oxygen119,1,0,0, because there's not enough oxygen"
116,116,"If you continue to breathe, the oxygen in the bag is depleted, making it difficult to supply oxygen, making it difficult to breathe.",116.0,"120,1,0,0, I don't have enough oxygen to breathe"
117,117,It may be because there is more carbon dioxide in the bag by inhaling the oxygen in the bag and releasing carbon dioxide,117.0,"121,0,1,0, we don't have enough oxygen to breathe"
118,118,This is because the oxygen concentration required for breathing in the air decreased as you breathe.,118.0,"122,1,1,0, we don't have enough oxygen to breathe"
119,119,"Since the amount of oxygen decreases gradually, no matter how much you breathe, the amount of oxygen to the brain decreases and the body seems to be tired.",119.0,"123,1,1,0, we don't have enough oxygen to breathe"
120,120,There's a lot of carbon dioxide,120.0,"124,1,0,0, because you don't have enough oxygen to breathe"
121,121,Because oxygen decreases and carbon dioxide increases,121.0,"125,1,1,0, because you don't have enough oxygen to breathe"
122,122,It would have been difficult to breathe because of the reduced oxygen and increased carbon dioxide needed to breathe,122.0,"126,1,1,0, because you don't have enough oxygen to breathe"
123,123,"When we breathe, we need oxygen, but the first bag had enough oxygen, but after several trials, it became difficult to breathe due to lack of oxygen.",123.0,"127,1,1,0, because you don't have enough oxygen to breathe"
124,124,"At first, there was oxygen in the bag, but as he continued to breathe, the amount of oxygen decreased and the amount of carbon dioxide increased.",124.0,"128,1,1,0,o2 is not enough"
125,125,"At first, there was oxygen in the fresh air, but after breathing several times, it becomes difficult to breathe because there is carbon dioxide.",125.0,"Because 129,1,1,0,o2 is not enough"
126,126,"As the amount of oxygen in the bag decreases and carbon dioxide increases, the oxygen required for breathing decreases, making it increasingly difficult to breathe.",126.0,"130,0,0,1,0, I don't have enough o2 to breathe"
127,127,"At first, it was possible to breathe because there was a little oxygen in the bag, but as the outside oxygen could not enter the bag, only the exhaled carbon dioxide was filled in the bag, making it difficult to breathe",127.0,"131,0,0,0, there is not enough o2 to breathe"
128,128,"If you breathe out of an isolated space, you release carbon dioxide. And when you breathe in, you get the oxygen you need. This can be seen from the breathing process, and when breathing in, carbon dioxide circulating throughout the body diffuses from the alveoli to the atmosphere due to differences in concentration. Conversely, when breathing, oxygen in the atmosphere diffuses into the alveoli due to differences in concentration. So in an isolated bag, we can feel frustrated because we need less oxygen and more carbon dioxide that we don't need",128.0,"132,1,1,0, not enough o2 to breathe"
129,129,It's filled with carbon dioxide,129.0,"133,0,0,0,0 I don't have enough o2 to breathe"
130,130,Breathe in all the remaining air,130.0,"134,0,0,0,0 because you don't have enough o2 to breathe"
131,131,"What you need to breathe is oxygen, but it's gone and there's a lot of carbon dioxide that's produced",131.0,"135,1,0,0, because there is not enough o2 to breathe"
132,132,It's because it's getting stuffy,132.0,"136,0,0,0,0 because you don't have enough o2 to breathe"
133,133,It's because the air gets muddy,133.0,"137,1,1,0, because there is not enough o2 to breathe"
134,134,It's because we're running out of oxygen,134.0,"138,0,0,0 and O2 are not enough"
135,135,There's a lot of air in my body,135.0,"139,1,0,0 and O2 are not enough"
136,136,"Oxygen is gone, carbon dioxide is full",136.0,"140,1,0,0... I don't have enough O2 to breathe"
137,137,It's because I keep breathing.,137.0,"141,1,1,0, not enough O2 to breathe"
138,138,The oxygen inside is reduced,138.0,"142,0,0,1, I don't have enough O2 to breathe"
139,139,lack of oxygen,139.0,"143,1,0,0, I don't have enough O2 to breathe"
140,140,Because the breathing space is filled with carbon dioxide (you need oxygen when you breathe),140.0,"144,1,1,0, because you don't have enough O2 to breathe"
141,141,"Since there's less air,",141.0,"145,1,0,0, because you don't have enough O2 to breathe"
142,142,Because oxygen is getting less and less,142.0,"146,0,0,1, because you don't have enough O2 to breathe"
143,143,"Carbon dioxide comes out when you breathe out, and oxygen comes in when you inhale, so carbon dioxide has a higher ratio than oxygen, making it difficult to breathe.",143.0,"147,0,0,0, because you don't have enough O2 to breathe"
144,144,Because oxygen is gone,144.0,"148,0,1,0, oxygen depletion149,1,1,0, oxygen levels decrease"
145,145,air is gone,145.0,"The pressure of 150,1,0,1, oxygen is reduced"
146,146,The air is blocked,146.0,"151,1,1,0, decreasing oxygen concentration"
147,147,People can't drink carbon dioxide,147.0,"152,0,1,0, oxygen pressure reduction"
148,148,There's less oxygen and more carbon dioxide,148.0,"153,1,1,0, oxygen is gradually reduced"
149,149,This is because the air becomes thinner or oxygen is lost.,149.0,"154,0,1,0, oxygen is gradually reduced"
150,150,"This is because when we breathe in, oxygen decreases, and when we breathe out, carbon dioxide comes out!",150.0,"155,1,1,0, oxygen decreases gradually"
151,151,It will be hard to breathe because there is a lot of carbon dioxide coming out of your breath.,151.0,"156,0,1,0, oxygen is gradually reduced"
152,152,"We drink oxygen and it's filled with carbon dioxide, so it's going to be hard to rest.",152.0,"157,0,0,0, because I drank all the oxygen"
153,153,"It's full of carbon dioxide, and the clean air disappears",153.0,"158,1,1,0, because I ate the oxygen in the bag"
154,154,"At first, it is easier to breathe because there is more oxygen, but if you breathe several times, there is more carbon dioxide, making it difficult to breathe.",154.0,"159, 0, 1, 0. I drank a lot of oxygen in the bag"
155,155,"Because of the increase in carbon dioxide,",155.0,"160, 1, 1, 0. I took a lot of oxygen in the bag"
156,156,"When the air goes inside and spits out, the air seems to have gone bad.",156.0,"161,1,1,0, increasing partial pressure of carbon dioxide"
157,157,This is because the amount of carbon dioxide has become more than fresh air.,157.0,"It's 162,1,0,0, and oxygen is gone and it forms a lot of carbon dioxide"
158,158,This is because carbon dioxide accounts for most of the amount.,158.0,The concentration of oxygen decreased and the concentration of carbon dioxide increased
159,159,"Because you breathe in the oxygen in the bag and exhale carbon dioxide, it reduces oxygen and makes it difficult to breathe",159.0,"The concentration of carbon dioxide increased due to inhalation, 164,0,0"
160,160,"When breathing in, inhale oxygen and exhale carbon dioxide when exhaling, because the proportion of oxygen in the bag decreased and carbon dioxide increased as the process was repeated.",160.0,"165,1,0, I inhaled all the oxygen."
161,161,I'm running out of oxygen,161.0,"166,0,0,0, drank oxygen and exhaled carbon dioxide"
162,162,It's because the air disappears,162.0,"It consumed 167,0,1,0 oxygen and supplied carbon dioxide."
163,163,How would I know that?;,163.0,"It's because 168,1,1,0, and O2 are not enough."
164,164,It's because my head lacks oxygen.,164.0,"169,1,1,0,O2 is not enough"
165,165,My breathing is so fast,165.0,"170,1,1,0, oxygen in the air is needed to breathe, but the oxygen in the bag is reduced"
166,166,"At first, there was less carbon dioxide, but later, there was more carbon dioxide",166.0,"171,0,1,0, oxygen is reduced"
167,167,"When breathing, 21% of oxygen in the atmosphere and 0.03% of carbon dioxide are consumed, and 16% of oxygen and 4% of carbon dioxide are emitted, making it difficult to breathe because the amount of carbon dioxide in the bag increases.",167.0,"172,1,1,0, there's almost no oxygen"
168,168,This is because oxygen has decreased and carbon dioxide has increased.,168.0,"173,0,0,0,0 I'm short of oxygen"
169,169,"Due to breathing, the concentration of oxygen is lower and the concentration of carbon dioxide is higher than that of exhalation, so the more the air in the plastic bag breathes, the less oxygen concentration decreases, making it difficult to breathe",169.0,"174,0,1,0, lack of oxygen makes it difficult to breathe."
170,170,Breathe in with carbon dioxide,170.0,"175,1,1,0, lack of oxygen to breathe"
171,171,"This is because oxygen enters the body during inhalation, but carbon dioxide is released during exhalation.",171.0,"176,0,0,1, I need oxygen to breathe, but I don't have it"
172,172,I don't know.,172.0,"177,1,1,0, there is no oxygen because of carbon dioxide"
173,173,It's full of carbon dioxide,173.0,"178,1,1,0, low air179,0,1,0, there's not enough air"
174,174,"When you breathe out, there's only carbon dioxide left, not oxygen",174.0,"180,0,1,0, because of lack of air"
175,175,The air in the bag disappeared,175.0,"181,1,1,0, due to lack of air,"
176,176,"This is because as carbon dioxide increases in plastic bags, oxygen becomes scarce.",176.0,"182,0,1,0, it lacks oxygen"
177,177,"Oxygen is inhaled and emitted carbon dioxide, which makes it difficult to breathe due to increased carbon dioxide.",177.0,"183,0,0,0,0 because of the lack of oxygen,"
178,178,Because carbon can't breathe,178.0,"184,0,0,0,0 because of lack of oxygen"
179,179,I think it's because of carbon dioxide.,179.0,"Lack of 185,1,1,0,o2"
180,180,"Breathe in oxygen when inhaling, but breathe out carbon dioxide when exhaling, so if you breathe in and out several times, there is not much oxygen left, making it difficult to breathe.",180.0,"Lack of 186,0,1,0,o2"
181,181,The air turns into carbon dioxide,181.0,"187,1,0,0 and o2 are not enough"
182,182,The air outside is stuffy. Because the fine dust is severe these days.,182.0,"188,0,0,0 and o2 are not enough"
183,183,Because it was filled with the air of exhalation,183.0,"Because there is a shortage of 189,1,0,0 and o2"
184,184,This is because oxygen disappears and carbon dioxide is present.,184.0,"190,0,0,1,0,O2 shortage"
185,185,There's a lot of carbon dioxide,185.0,"Lack of 191,0,1,0,O2"
186,186,It is because oxygen is gone.,186.0,"192,0,0,1,O2 is not enough"
187,187,"When you breathe in, the air escapes",187.0,"193,1,1,0, and O2 are not enough"
188,188,The oxygen in the bag is gradually disappearing,188.0,"Because 194,0,0,1,O2 is not enough"
189,189,It's made of carbon dioxide,189.0,"195,0,0,1, oxygen gas is reduced"
190,190,I'm drinking carbon dioxide,190.0,"196,0,0,1, oxygen is reduced"
191,191,It's because the amount of air decreases when you inhale and exhale,191.0,"197, 1, 0, 0, oxygen decreased"
192,192,Because oxygen became carbon dioxide.,192.0,"198, 1, 1, 0, oxygen gas dwindling"
193,193,"Even if you breathe out and breathe again, there's less air in the bag,",193.0,"199, 0, 0, 0, 0. The oxygen has decreased"
194,194,This is because the air escapes by inhaling and exhaling the same air.,194.0,"200, 1, 1, 0, and oxygen gas have decreased"
195,195,"Because the air has decreased,",195.0,"201, 0, 1, 0, oxygen gas reduction"
196,196,It's because I drank oxygen and it decreased,196.0,"202,0,0,1, oxygen gas is reduced"
197,197,"""At first, there was only oxygen in the bag, but as I exhaled, carbon dioxide was in the bagIt's harder to breathe because it's more than oxygen """,197.0,"203,0,0,0, because oxygen gas has decreased,"
198,198,It is because there is less volume to breathe air,198.0,"204,0,0,1, oxygen reduction"
199,199,"The first air in the plastic bag was oxygen, so I could breathe, but after a few breaths, it would have been difficult to breathe because the air in the plastic bag turned into carbon dioxide.",199.0,"205,0,0,0,0 oxygen is reduced"
200,200,Because I exhaled carbon dioxide from my mouth and inhaled it as it was.,200.0,"206,1,1,0, because of the decrease in oxygen,"
201,201,Because the air in the bag is gradually disappearing,201.0,"207,0,1, it's because oxygen has decreased oxygen"
202,202,I can't breathe in and out a lot,202.0,"208,0,1,0, because oxygen gas has decreased209,1,1,0, oxygen particles are reduced"
203,203,It reduces the air,203.0,"It's a 210,0,0,0 oxygen molecule that's been reduced"
204,204,The air is limited,204.0,"211,1,1,0, oxygen particle reduction"
205,205,"When inhaling, inhaling oxygen, and when exhaling, carbon dioxide comes out, so oxygen disappears, and the bag is full of carbon dioxide, making it difficult to breathe",205.0,"212,1,0, decreasing oxygen particles"
206,206,It's because the air decreases every time you breathe,206.0,"213,0,1,0, oxygen particles reduced"
207,207,This is because the ratio of air has decreased and the ratio of carbon dioxide has increased.,207.0,"214,0,1,0, fewer oxygen particles"
208,208,"At first, there was enough oxygen, but carbon dioxide increased instead of oxygen while breathing.",208.0,"215,1,1,0, decreasing oxygen molecules"
209,209,This is because the air became warm while breathing in an enclosed place.,209.0,"216,1,1,0, oxygen molecule reduced"
210,210,Because there is no more oxygen to drink and only carbon dioxide exists,210.0,"217,1,0, decreasing oxygen molecules"
211,211,Because oxygen disappears in the plastic bag,211.0,"218,0,0,0, fewer oxygen molecules"
212,212,This is because the percentage of carbon dioxide increases because carbon dioxide comes out when you inhale and exhale,212.0,"219,0,0,0,"
213,213,There's not enough carbon dioxide,213.0,"220,1,0,0,"
214,214,"The carbon dioxide that you exhaled remains in the bag, so you drink carbon dioxide, and as a result, you run out of oxygen, making it difficult.",214.0,"221,1,0,0,"
215,215,"People breathe oxygen, but if they breathe many times, they breathe carbon dioxide.",215.0,"222,1,1,0,"
216,216,This is because the oxygen in the bag gradually disappears as it breathes several times.,216.0,"223,0,1,0,"
217,217,"Because of the increased lung capacity,",217.0,"224,0,0,1,"
218,218,"Because it is contained in a bag, new air enters and the air inside does not circulate well.",218.0,"225,0,1,0,"
219,219,I'm running out of oxygen in the air,219.0,"226,1,1,0,"
220,220,All the oxygen is gone,220.0,"227,1,1,0,"
221,221,Oxygen is converted into carbon dioxide,221.0,"228,0,1,0,"
222,222,The carbon dioxide fills the bag,222.0,"229,1,0,0,"
223,223,The amount of air has decreased,223.0,"230,0,1,0,"
224,224,"This is because carbon dioxide increases, turns into hot air, and kicks with dust from the nose.",224.0,"231,1,0,0,"
225,225,Because there's no oxygen and only carbon dioxide,225.0,"232,1,0,0,"
226,226,"Since there is only carbon dioxide left after inhaling all oxygen, it is difficult to breathe due to lack of oxygen.",226.0,"233,0,1,0,"
227,227,There's a lot of carbon dioxide,227.0,"234,0,1,0,"
228,228,"The more you breathe, the less oxygen in the air",228.0,"235,1,1,0,"
229,229,This is because carbon dioxide has increased.,229.0,"236,0,1,0,"
230,230,It's because there's not enough oxygen,230.0,"237,0,1,0,"
231,231,I'm running low on oxygen,231.0,"238,1,1,0,239,1,1,0,"
232,232,"Because of the increase in carbon dioxide,",232.0,"240,1,1,0,"
233,233,"Because I inhale it, I only have carbon dioxide left",233.0,"241,0,0,0,"
