,Unnamed: 0,"21. After climbing a high mountain or running 100 meters, there are various changes in our bodies. What changes will happen to our bodies after a sudden exercise? And what does that change do? Let's explain in detail using knowledge of body changes after exercise. ",Unnamed: 0,", q21_breathing, q21_oxygen deficiency, q21_sweat, q21_energy, q21_muscle, q21_nervous, q21_constancy, q21_waste, q21_heart, q21_breathing1, q21_oxygen deficiency.1,q21_Sweat.1,q21_energy.1,q21_muscle.1,q21_nervous.1,q21_constancy.1,q21_waste.1,q21_heart.1"
38,38,"Sweat and breathe faster. Exercise increases the amount of oxygen your body needs, so you breathe quickly to get more oxygen.",38.0,"39,1,0,0,0,0,0,0,1, breathe fast, the heart speeds up to quickly carry oxygen and nutrients needed for bone and muscle movement"
39,39,The body uses a lot of oxygen to speed up breathing to maintain improvement.,39.0,"40,1,0,0,0,1,0,1,0,1, breathe fast, the heart speeds up to transport oxygen and nutrients needed for bone and muscle movements"
40,40,"After exercising rapidly, the heart rate of our hearts rises and we are out of breath.",40.0,"41,0,1,0,0,0,0,0,1, breathe in a hurry, the heart speeds up to quickly carry the oxygen and nutrients needed for bone and muscle movement"
41,41,"Heart rate increase, respiratory rate increase, sympathetic nerve activation, etc",41.0,"42,0,0,0,0,0,0,0,0, breathe fast, my heart speeds up to remove the waste production"
42,42,"Because the heart needs oxygen, the blood that carries oxygen from our bodies circulates quickly.",42.0,"43,1,1,0,0,0,0,0,0, breathe fast, the heart speeds up to remove the produced waste"
43,43,I don't know.,43.0,"44,0,0,0,0,0,0,0,0,1, breaths fast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
44,44,"On high mountains, oxygen is aided, making breathing more difficult after running.",44.0,"45,0,0,0,0,0,0,0,1, breaths urgently,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
45,45,My heart beats fast and I try to make my heart beat slowly,45.0,"46,0,1,0,0,0,0,0,1, breath faster, heart faster to remove the waste produced"
46,46,one's heart beats fast,46.0,"47,1,0,0,0,0,0,0,0 my breath becomes short, my heart speeds up to remove the waste that has been produced"
47,47,My heart rate is going up. This is to replenish the oxygen consumed in our bodies faster.,47.0,"48,1,1,0,0,0,0,0, faster breathing, faster heart to carry oxygen faster"
48,48,Oxygen breathing is required in the brain.,48.0,"49,1,1,0,0,0,0,0,0 , the breathing speed up, the heart speed up to carry oxygen fast"
49,49,"Because you need more oxygen, you breathe faster and your heart beats faster.",49.0,"50, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 3, 4, 3, 4, 5, 6, 3, 4, 5, 6, 3, 4, 5, 6, 4, 5, 6, 4, 5, 6, 4, 5, 6, 4, 5, 6, 4, 5, 6, 4, 5, 6, 4, 5, 6, 4, 5, 6, 4, 5, 6, 4, 5, 6, 4, 5, 6, 4, 5, 6, 4, 5, 6, 4, 5, 6, 4,"
50,50,Breathing becomes short due to lack of oxygen after rapid exercise.,50.0,"51,0,1,0,0,0,0,0,0 , faster breathing to carry oxygen faster,,,,,,,,, faster heart to carry oxygen needed for bone and muscle movement"
51,51,I'm out of breath. I have a fever.,51.0,"52,1,0,0,0,0,0,0,0 to carry oxygen faster, faster breathing, faster heart faster to carry oxygen needed for bone and muscle movement"
52,52,The use of oxygen requires more oxygen,52.0,"53,0,0,1,0,0,0,0,1, Breathe faster to carry oxygen faster, the heart faster to carry oxygen needed for the movement of bones and muscles"
53,53,Breathing gets faster.,53.0,"54,1,1,1,0,0,0,0,1, faster breathing to transport oxygen and nutrients, faster heart faster to transport oxygen and nutrients needed for bone and muscle movement"
54,54,"When you exercise, your body temperature increases and your heart rate goes up",54.0,"55,0,0,0,0,0,0,0,0 , the heart speeds up in order to quickly transport oxygen and nutrients ,,,,,,,,,,,, the heart speeds up in order to quickly transport oxygen and nutrients to move bones and muscles"
55,55,"The heart rate and breathing become faster, which is a phenomenon that occurs to satisfy the amount of oxygen used to run, which is more than when you normally walk",55.0,"56,1,0,0,0,0,1,1, the heart speeds up to transport oxygen and nutrients to quickly transport the oxygen and nutrients needed for bone and muscle movements"
56,56,I don't know,56.0,"57,0, 0, 1, 0, 0, 0, 0, 0, 0, 0 Breathing faster to carry oxygen needed for bone and muscle movement increases heart rate"
57,57,"Breathless and heart rate increases. This is also to maintain the oxygen concentration reduced by exercise, so it plays a role in maintaining homeostasis.",57.0,"58,1,1,0,1,0,0,0,0 Breathe faster to carry the oxygen needed for the movement of bones and muscles59,0,0,0,0,0,0,0,0,0 Breathing increases to quickly carry the oxygen needed for bone and muscle movement"
58,58,Sweat is generated,58.0,"60,0,0,0,0,0,0,0,0,, the speed of the heartbeat increases to quickly transport oxygen and nutrients needed for bone and muscle movement"
59,59,"It consumes a lot of ATP during exercise, so you need to synthesize a lot of ATP. So, because you need a lot of oxygen and nutrients to synthesize ATP, you breathe more often and loudly to get a lot of oxygen.",59.0,"61,0,0,0,0,0,0,0,0 , the breathing speed increases to quickly transport oxygen and nutrients needed for bone and muscle movement"
60,60,I don't know.,60.0,"62,0,0,0,0,0,0,0,0,0 , your breathing speeds up to quickly carry the oxygen and nutrients needed for bone and muscle movement"
61,61,I don't know,61.0,"63,0,0,0,0,0,0,0,0,0 the heart rate increases to remove the produced waste"
62,62,I don't know,62.0,"64,1,0,0,0,0,0,0,0,0 the number of heartbeats increases to remove the produced waste"
63,63,I don't know,63.0,"65,0,0,0,0,0,0,0,0,0, your breathing speeds up to remove the generated waste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
64,64,I don't know.,64.0,"66,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 Breathing speed up to remove the generated waste matter, and the change after exercise is an increase in heart rate."
65,65,You'll be out of breath,65.0,"67,0,0,1,0,0,0,0,0,0 breath faster to remove the generated waste,,,,,,,,,,,,,,,,,,,,,,,,,,"
66,66,...............................,66.0,"68,0,0,1,0,0,0,0,0,0 , breath faster to remove the generated waste,,,,,,,,,"
67,67,Rnnnnnnnnnnnnnnnnl,67.0,"69,0,0,0,0,0,0,0,0,0 to quickly transport oxygen, breathe faster"
68,68,I'm sweating,68.0,"70,0,0,0,0,0,0,0,0,0,0 to carry oxygen fast, breathe fast, breathe fast, breathe fast, breathe fast"
69,69,I'm sweating and exhausted,69.0,"71, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0 Breathing faster to transport oxygen quickly,,,,,,,,,,,,,,,,,,"
70,70,difficulty in breathing,70.0,"72,0,0,1,0,0,0,0,0,0 breathe faster to quickly carry the oxygen needed for bone and muscle movement"
71,71,ㄹㄴㄴ온온 on,71.0,"73,0,0,0,1,0,0,0,0,0 breathe faster to quickly carry the oxygen needed for bone and muscle movement"
72,72,Sweat smell. I need to pee,72.0,"74,1,0,1,0,0,0,0,0,0 breathe faster to quickly carry the oxygen needed for the movement of bones and muscles"
73,73,Sweating. I want to pee. (Because of cup ramen),73.0,"75,0,0,0,0,0,0,0,0,0 , breathing faster to quickly transport oxygen and nutrients needed for bone and muscle movement,,,,,,,,,,,,,,,,,,,,,"
74,74,The body exhausts itself by consuming its functions.,74.0,"76,1,0,1,0,0,0,0,0 , breathing is accelerated to quickly transport oxygen and nutrients needed for bone and muscle movement"
75,75,I'm sweating and out of breath,75.0,"77,0,0,1,0,0,0,0,0,0 breathe faster to quickly transport the oxygen and nutrients needed for bone and muscle movement"
76,76,jhvfhklhfkljdhrfihdfkjhrfkjjkdjfkkjfhfkuif,76.0,"78,0,0,1,0,0,0,0,0,1, the number of breaths increases"
77,77,"After climbing a high mountain or running 100 meters, you feel out of breath, tired, lost weight, and hungry. And I'm sweating.",77.0,"79,1,1,0,0,0,0,0,0, I'm out of breath"
78,78,I'm sweating,78.0,"80,0,0,0,0,0,0,0,0,0, I'm out of breath"
79,79,My heart beats fast and I sweat.,79.0,"81,1,0,0,0,0,0,0,1, respiratory volume increases"
80,80,"The brain is running out of oxygen and you're out of breath. When climbing a mountain, the altitude becomes cold and oxygen decreases.",80.0,"82,1,1,0,0,0,0,0,0 , breathing increases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
81,81,I don't know.,81.0,"83,1,0,0,0,0,0,0,0,1, respiratory volume increases"
82,82,I'm out of breath and my heart is beating fast.,82.0,"84,0,0,0,0,0,0,0,0,0, the number of breaths increases"
83,83,"I'm out of breath because when we exercise, we need a lot of oxygen.",83.0,"85,0, 0, 0, 0, 0, 0, 0, 0, 0, the number of breaths increases"
84,84,My heart beats fast as I breathe faster,84.0,"86,1,0,0,0,0,0,0,0, breathe out"
85,85,The food in the body falls out,85.0,"87,0, 0, 0, 0, 0, 0, 0, 0, 0, breathe faster"
86,86,GFGMDFMKLFD,86.0,"88,0,0,1,0,0,0,0,0,0,,,,,,,,,89,0,1,0,0,0,0,0,0,0,,,,,,,,,"
87,87,"Exercise rapidly reduces abnormal carbon dioxide, so take a big breath.",87.0,"90,1,0,0,0,0,0,0,0,1,,,,,,,,,"
88,88,"Excessive exercise can cause adverse effects, but moderate exercise can reduce weight and help blood circulation",88.0,"91,1,0,0,0,0,0,0,0,0,,,,,,,,,"
89,89,"I sweat, my face is hot, and I have a feverAnd my stomach hurts",89.0,"92,1,0,1,0,0,0,0,0,0,,,,,,,,,"
90,90,You may need a lot of oxygen and a lot of moisture because your whole body is tired,90.0,"93,1,0,0,0,0,0,0,0,0,,,,,,,,,"
91,91,"Your heart and breathing speed up. These also help strengthen the muscles, such as accelerating blood circulation.",91.0,"94,1,0,0,0,0,0,0,0,0,,,,,,,,,"
92,92,Carbon dioxide is released.,92.0,"95,1,0,0,0,1,0,0,0,0,,,,,,,,,"
93,93,Breathless and sweaty. These changes help your body not to overdo it,93.0,"96,0,0,0,0,0,0,0,0,1,,,,,,,,,"
94,94,I'm out of breath,94.0,"97,0,0,0,0,0,0,0,0,0,,,,,,,,,"
95,95,be hard to breathe,95.0,"98,0,1,0,1,0,1,0,0,1,,,,,,,,,"
96,96,"Muscle development, performance, etc",96.0,"99,1,1,0,0,0,0,0,0,1,,,,,,,,,"
97,97,My heart is beating fast.,97.0,"100,0,0,1,0,0,0,0,0,1,,,,,,,,,"
98,98,"Exercise has advantages such as digestion, but it is a health important factor such as reducing waste due to bam and hormone secretion that suppresses appetite.It requires a lot of energy, so the heart beats fast, causing oxygen and energy to come quickly.",98.0,"101,1,0,0,0,0,0,0,0,1,,,,,,,,,"
99,99,"Exercise requires more oxygen, so breathe faster and your heart beats faster",99.0,"102,1,0,0,0,0,0,0,0,1,,,,,,,,,"
100,100,"My heart beats fast or I'm sweating.Sweat releases waste from our bodies, and the heart facilitates blood circulation.",100.0,"103,0,0,1,0,0,0,0,0,0,,,,,,,,,"
101,101,"Because you move your body badly, you lose your breath and your heart rate increases.",101.0,"104,1,0,1,0,0,0,0,0,0,,,,,,,,,"
102,102,"""My heart beats faster and I'm out of breath. Because when I work out,",102.0,"105,0,0,1,0,1,0,0,0,0,,,,,,,,,"
103,103,"Because I can't breathe properly.""",103.0,"106,0,0,0,0,0,0,0,0,1,,,,,,,,,"
104,104,It releases sweat.,104.0,"107,1,0,0,0,0,0,0,0,1,,,,,,,,,"
105,105,Your body gets hot and your breath gets faster The reason is that it is hardㅓ,105.0,"108,1,0,1,1,0,0,0,0,0,,,,,,,,,"
106,106,"Sweat develops, spouting no-feet water, and leg muscles develop",106.0,"109,1,1,1,1,0,0,0,0,1,,,,,,,,,"
107,107,Our hearts beat fast to supply blood quickly.,107.0,"110,1,1,0,0,1,0,0,0,0,,,,,,,,,"
108,108,Breathe faster and heart faster,108.0,"111,0,0,1,0,0,0,0,0,0,,,,,,,,,"
109,109,"It creates the air and energy needed for bones, muscles, and movement, and it creates waste, and the heart speeds up to remove the waste",109.0,"112,0,1,0,0,0,0,0,0,1,,,,,,,,,"
110,110,Breathing accelerates and the heart beats rapidly to quickly transport oxygen and nutrients needed for bone and muscle movement and to remove generated waste.,110.0,"113,1,0,0,0,0,0,0,1,1,,,,,,,,,"
111,111,"The body changes because bones and muscles move actively while running or climbing, and the body needs to inhale more oxygen",111.0,"114,0,0,0,0,1,0,0,0,0,,,,,,,,,"
112,112,Sweat comes out with waste because it's hard to exercise.,112.0,"115,0,1,0,1,0,0,0,1,1,,,,,,,,,"
113,113,It supplies oxygen and blood to bones and muscles quickly and the heart beats fast,113.0,"116,0,0,0,0,0,0,0,0,0,,,,,,,,,"
114,114,Breathing accelerates and the heart beats to quickly transport nutrients to bone and muscle movements and remove generated waste.,114.0,"117,0,0,0,0,0,0,0,0,0,,,,,,,,,"
115,115,"After exercise, the muscles are swollen",115.0,"118,0,0,0,0,0,0,0,0,1,,,,,,,,,119,1,0,1,0,0,0,0,0,0,,,,,,,,,"
116,116,Breathing accelerates and the heart beats fast to transport oxygen and nutrients needed for bone and muscle movements and to remove the waste produced.,116.0,"120,1,0,0,0,0,0,0,0,0,,,,,,,,,"
117,117,M and D,117.0,"121,0,1,0,0,0,0,0,0,0,,,,,,,,,"
118,118,I don't know.,118.0,"122,0,0,0,0,0,0,0,0,0,,,,,,,,,"
119,119,My heart beats fast when I do a lot of course.,119.0,"123,1,0,0,0,0,0,0,0,0,,,,,,,,,"
120,120,I'm out of breath and sweaty,120.0,"124,0,0,0,0,0,0,0,0,1,,,,,,,,,"
121,121,It requires more air.,121.0,"125,1,1,0,0,0,0,0,0,0,,,,,,,,,"
122,122,Need more oxygen,122.0,"126,1,1,0,0,0,0,0,0,1,,,,,,,,,"
123,123,You might get cramps in one part of your body,123.0,"127,0,0,0,0,0,0,0,0,0,,,,,,,,,"
124,124,be out of breath,124.0,"128,1,0,0,0,0,0,0,0,0,,,,,,,,,"
125,125,My heart beats fast after exercising (I don't know.),125.0,"129,0,0,0,0,0,0,0,0,0,,,,,,,,,"
126,126,"The lungs want oxygen, so they can barely breathe (ㅇㅅㅇ)",126.0,"130,1,0,1,0,0,0,0,0,0,,,,,,,,,"
127,127,"When you do intense exercise, the heart beats faster to supply oxygen and the circulation of the blood is accelerated, but it does not fit your body, so the heart is out of breath because it cannot keep pace.",127.0,"131,1,0,1,0,0,0,0,0,0,,,,,,,,,"
128,128,"If you overdo it, don't get sick",128.0,"132,0,0,0,0,0,0,0,0,1,,,,,,,,,"
129,129,I'm out of breath,129.0,"133,0,0,0,0,0,0,0,0,0,,,,,,,,,"
130,130,"Our body has physical strength, so if we do something too hard, our body changes to a state close to a state where we can die due to physical exhaustion and difficulty in breathing and digestion.",130.0,"134,1,0,1,0,0,0,0,0,0,,,,,,,,,"
131,131,Sweat makes me breathe faster.,131.0,"135,1,0,1,0,0,0,0,0,0,,,,,,,,,"
132,132,to be out of breath or sweaty,132.0,"136,1,0,0,0,1,0,0,0,0,,,,,,,,,"
133,133,My heart is beating fast,133.0,"137,1,0,0,0,0,0,0,0,1,,,,,,,,,"
134,134,I think I'll get hurt if I do an extreme exercise,134.0,"138,0,0,0,0,0,0,0,0,0,,,,,,,,,"
135,135,to be out of breath or sweaty,135.0,"139,1,0,0,0,0,0,0,0,0,,,,,,,,,"
136,136,Our bodies are sweating or out of breath.,136.0,"140,1,0,0,0,0,0,0,0,0,,,,,,,,,"
137,137,I feel that breathing is rapidly accelerating and the calf side of the leg is pulled,137.0,"141,0,0,0,0,0,0,0,0,1,,,,,,,,,"
138,138,Running fast or exercising a lot makes your heart faster and your breath faster. It seems that the body changes beyond the unfamiliar amount of exercise after not exercising a lot to strain the body at once.,138.0,"142,0,0,0,0,1,0,0,0,0,,,,,,,,,"
139,139,Hardness,139.0,"143,1,0,0,0,0,0,0,0,1,,,,,,,,,"
140,140,I feel out of breath and dizzy to breathe smoothly,140.0,"144,0,0,0,0,0,0,0,0,1,,,,,,,,,"
141,141,I'm out of breath,141.0,"145,1,1,0,0,0,0,0,0,0,,,,,,,,,"
142,142,My heart is beating fast,142.0,"146,0,0,1,0,0,0,1,0,0,,,,,,,,,"
143,143,be full of military discipline,143.0,"147,0,0,0,0,0,0,0,0,1,,,,,,,,,"
144,144,The heart beats fast and the breathing speeds up rapidly.,144.0,"148,0,1,0,0,0,0,0,0,1,,,,,,,,,149,0,0,0,0,0,0,0,0,1,,,,,,,,,"
145,145,My heart is beating,145.0,"150,0,0,0,0,0,0,0,0,1,,,,,,,,,"
146,146,"As more movement increases, more oxygen is consumed, so body changes occur to supply oxygen.",146.0,"151,0,1,0,0,0,0,0,0,1,,,,,,,,,"
147,147,"After sweating, the water drops rapidly in our bodies and we have to drink water.",147.0,"152,0,0,0,0,0,0,0,0,1,,,,,,,,,"
148,148,My heart is beating fast.,148.0,"153,0,0,0,0,0,0,0,0,1,,,,,,,,,"
149,149,"After climbing high mountains or running 100 meters, our bodies lack oxygen. Therefore, the heart beats faster and supplies the body with insufficient oxygen.",149.0,"154,0,0,0,0,0,0,0,0,1,,,,,,,,,"
150,150,Heart beating fast,150.0,"155,1,0,0,0,0,0,0,0,0,,,,,,,,,"
151,151,"My heart is beating fast.Because after exercise, the heart pumps quickly because the heart has to send blood and send it quickly to supply the body with imaging.",151.0,"156,1,0,0,0,0,0,0,0,1,,,,,,,,,"
152,152,Rapid oxygen supply because the heart pumps and sends blood quickly,152.0,"157,1,0,1,0,0,0,0,0,1,,,,,,,,,"
153,153,The heart beats faster.,153.0,"158,1,1,0,0,0,0,0,0,0,,,,,,,,,"
154,154,Your pulse is getting faster,154.0,"159,0,1,0,0,0,0,1,0,1,,,,,,,,,"
155,155,The pulse accelerates.,155.0,"160,0,0,1,0,0,0,0,0,1,,,,,,,,,"
156,156,My stomach hurts and I'm out of breath,156.0,"161,0,0,0,0,0,0,0,0,0,,,,,,,,,"
157,157,I'm out of breath and my pulse gets faster. This is because you need a lot of air in your body.,157.0,"162,0,0,0,0,1,0,0,0,0,,,,,,,,,"
158,158,"After exercising rapidly, your heart beats fast and your breathing gets faster. Also, I sweat because I have a fever in my body.",158.0,"163,0,0,0,0,0,0,0,0,0,,,,,,,,,"
159,159,Because I used oxygen,159.0,"164,0,0,1,0,0,0,0,0,0,,,,,,,,,"
160,160,"It moves the blood quickly, transports oxygen quickly, and increases the salt content in the throat to drink a lot of water.",160.0,"165,1,0,0,0,0,0,0,0,0,,,,,,,,,"
161,161,I sweat and my heart speeds up,161.0,"166,1,0,0,0,0,0,0,0,0,,,,,,,,,"
162,162,I don't know.,162.0,"167,0,0,1,0,1,0,0,0,1,,,,,,,,,"
163,163,build up muscles,163.0,"168,1,0,0,0,0,0,0,0,0,,,,,,,,,"
164,164,It's so hard,164.0,"169,0,0,0,0,0,0,0,0,0,,,,,,,,,"
165,165,"When I exercise, I sweat because it's hot",165.0,"170,0,0,1,0,0,0,0,0,0,,,,,,,,,"
166,166,I'm out of breath,166.0,"171,0,0,0,0,0,0,0,0,0,,,,,,,,,"
167,167,be breathless,167.0,"172,1,0,0,0,0,0,0,0,0,,,,,,,,,"
168,168,"Your heart beats fast, you sweat, and your muscles become tight.",168.0,"173,1,0,1,0,0,0,0,0,0,,,,,,,,,"
169,169,I'm out of breath.,169.0,"174,0,0,1,0,0,0,0,0,1,,,,,,,,,"
170,170,the blood pressure goes down,170.0,"175,1,0,0,0,0,0,0,0,0,,,,,,,,,"
171,171,I'm sweating,171.0,"176,1,0,0,0,0,0,0,0,0,,,,,,,,,"
172,172,I don't know.,172.0,"177,0,0,0,0,0,0,0,0,0,,,,,,,,,"
173,173,His face turns red and he breathes heavily. I don't know what role it plays.,173.0,"178,1,0,0,0,0,0,0,0,0,,,,,,,,,179,0,0,1,1,0,0,0,0,0,,,,,,,,,"
174,174,"I'm sweating and out of breath. I wonder how far Hani ran, whether she ran for revenge, or just for pleasure. You're gonna have to reconstruct each cell to make running fun for me",174.0,"180,1,0,0,0,0,0,0,0,1,,,,,,,,,"
175,175,My heart rate is getting faster and I'm sweating,175.0,"181,0,1,0,0,0,0,0,0,1,,,,,,,,,"
176,176,I'm out of breath. The cells in my body move actively,176.0,"182,1,1,0,0,0,0,0,0,0,,,,,,,,,"
177,177,I am out of breath and out of breath,177.0,"183,0,0,1,0,0,0,0,0,0,,,,,,,,,"
178,178,...,178.0,"184,1,1,0,0,0,0,0,0,0,,,,,,,,,"
179,179,I'm out of breath. The cells in my body move actively,179.0,"185,0,0,0,0,0,0,0,0,1,,,,,,,,,"
180,180,"At first, carbohydrate proteins burn to create energy, but when the intensity of exercise increases, fat starts to burn. Sweat is responsible for maintaining body temperature.",180.0,"186,0,0,0,0,0,0,0,0,0,,,,,,,,,"
181,181,"My heart rate goes up, my face turns red, and I'm out of breath",181.0,"187,0,0,0,0,0,0,0,0,0,,,,,,,,,"
182,182,The heartbeat speeds up and carries oxygen throughout the body quickly.,182.0,"188,1,1,0,0,1,0,0,0,0,,,,,,,,,"
183,183,"The more we exercise, the more carbon dioxide our bodies produce and the more oxygen we need. That's why I'm out of breath.",183.0,"189,0,0,0,0,1,0,0,0,0,,,,,,,,,"
184,184,It acts as a temperature control for our bodies.,184.0,"190,1,0,0,0,0,1,0,0,1,,,,,,,,,"
185,185,I'm out of breath. I need more oxygen to breathe violently,185.0,"191,1,0,0,0,0,0,0,0,0,,,,,,,,,"
186,186,My heart is beating fast,186.0,"192,0,0,0,0,0,0,0,0,0,,,,,,,,,"
187,187,"Because of the difference in air pressure in the body,",187.0,"193,1,0,0,0,0,1,0,0,1,,,,,,,,,"
188,188,Let's Get Healthy!,188.0,"194,1,0,0,0,0,0,0,0,1,,,,,,,,,"
189,189,"The use of a lot of oxygen accelerates breathing, which leads to active metabolism. Also, you may experience muscle pain by tearing your muscles apart after rapid exercise.",189.0,"195,0,0,0,0,0,0,0,0,1,,,,,,,,,"
190,190,Increased secretion of lactic acid in muscles causes muscle pain,190.0,"196,0,1,1,0,0,0,0,0,1,,,,,,,,,"
