,Unnamed: 0,"1. Using the air conditioner above the amount of power, the current was excessive and the air conditioner was turned off. At this time, other electronics such as TVs and refrigerators that were connected to the same outlet did not turn off. Let's explain in detail why the other electronics connected to the same code did not turn off even though the air conditioner was turned off, using our knowledge of how electricity works and how to connect the electronics. ",Unnamed: 0,q1_parallel,q1_current flow,q1_power amount,q1_fuse,q1_parallel flow.1,q1_current flow.1,q1_power amount.1,q1_fuse.1,,,,,,,,,,
74,74,"""It's connected in parallel",74,,,,,,,,,,,,,,,,,,
75,75,"""",75,,,,,,,,,,,,,,,,,,
76,76,Other electronics did not turn off even if the air conditioner was turned off by parallel connection.,76,,,,,,,,,,,,,,,,,,
77,77,The electrical cord is different,77,,,,,,,,,,,,,,,,,,
78,78,"Even if it's in the same code, it's connected in parallel",78,,,,,,,,,,,,,,,,,,
79,79,"If more than one electronic device is used, the electronic device's power is turned off. However, other electronic products such as TVs and refrigerators do not turn off by themselves because they have not used more than the amount of electricity.",79,,,,,,,,,,,,,,,,,,
80,80,"It's connected in parallel, so even if one is turned off, the rest is still alive",80,,,,,,,,,,,,,,,,,,
81,81,Because of the parallel connection,81,,,,,,,,,,,,,,,,,,
82,82,It's because the battery and the light bulb are connected differently.,82,,,,,,,,,,,,,,,,,,
83,83,The electricity seems to have been connected in parallel,83,,,,,,,,,,,,,,,,,,
84,84,The others were parallel connections,84,,,,,,,,,,,,,,,,,,
85,85,Because of the parallel connection to the battery,85,,,,,,,,,,,,,,,,,,
86,86,The current flows the most only in the AC,86,,,,,,,,,,,,,,,,,,
87,87,I think only the one connected to the air conditioner is broken,87,,,,,,,,,,,,,,,,,,
88,88,I don't understand.,88,,,,,,,,,,,,,,,,,,
89,89,"This is because the wires were connected in parallel, not in series.",89,,,,,,,,,,,,,,,,,,
90,90,Due to the parallel connection of electricity,90,,,,,,,,,,,,,,,,,,
91,91,Because it's a parallel connection,91,,,,,,,,,,,,,,,,,,
92,92,"I connected the wire with parallel connection, but there was only one wire, so the current was excessive and ruptured, and the rest had two wires, so the current kept flowing",92,,,,,,,,,,,,,,,,,,
93,93,Due to the parallel connection of electricity,93,,,,,,,,,,,,,,,,,,
94,94,I don't know.,94,,,,,,,,,,,,,,,,,,
95,95,Because it was connected in parallel.,95,,,,,,,,,,,,,,,,,,
96,96,You could use a series or parallel.,96,,,,,,,,,,,,,,,,,,
97,97,Other electronics do not seem to turn off because of the parallel connection,97,,,,,,,,,,,,,,,,,,
98,98,Parallel connection of batteries,98,,,,,,,,,,,,,,,,,,
99,99,Discharge due to excessive current flow from air conditioning machines unlike other electronic products,99,,,,,,,,,,,,,,,,,,
100,100,"The air conditioner was cut off because electricity was connected to the military, but the remaining home appliances did not turn off because electricity flows in the other way.",100,,,,,,,,,,,,,,,,,,
101,101,"Because it is connected by a parallel connection of the battery, even if one is turned off, all of them do not turn off.",101,,,,,,,,,,,,,,,,,,
102,102,This is because both TVs and refrigerators are connected in parallel.,102,,,,,,,,,,,,,,,,,,
103,103,The wires of other electronics and the air conditioner are not connected to each other,103,,,,,,,,,,,,,,,,,,
104,104,"It seems that TVs, refrigerators, and air conditioners were using different wires and different power sources. Also, I think the air conditioner may have a system that automatically stops when power is used too much.",104,,,,,,,,,,,,,,,,,,
105,105,I don't know.,105,,,,,,,,,,,,,,,,,,
106,106,??106.0,"109,0,0,1,0, home appliances are like resistance A problem with one of the parallel connected resistors does not affect the flow of current,",,,,,,,,,,,,,,,,,,
107,107,I used the air conditioner too much,107,,,,,,,,,,,,,,,,,,
108,108,It's a parallel connection of light bulbs,108,,,,,,,,,,,,,,,,,,
109,109,I see,109,,,,,,,,,,,,,,,,,,
110,110,The air conditioner's motor overheated.,110,,,,,,,,,,,,,,,,,,
111,111,Only the refrigerator is running too much with the current,111,,,,,,,,,,,,,,,,,,
112,112,I used too much electricity,112,,,,,,,,,,,,,,,,,,
113,113,The level of current flow is different,113,,,,,,,,,,,,,,,,,,
114,114,It's connected in parallel,114,,,,,,,,,,,,,,,,,,
115,115,Parallel connection,115,,,,,,,,,,,,,,,,,,
116,116,I don't know,116,,,,,,,,,,,,,,,,,,
117,117,Because we used parallel connections,117,,,,,,,,,,,,,,,,,,
118,118,I'm going to smash it,118,,,,,,,,,,,,,,,,,,
119,119,"Since I used the air conditioner more,",119,,,,,,,,,,,,,,,,,,
120,120,The air conditioner is not good,120,,,,,,,,,,,,,,,,,,
121,121,It's a parallel connection,121,,,,,,,,,,,,,,,,,,
122,122,The motor's overheating,122,,,,,,,,,,,,,,,,,,
123,123,The level of current flow is different,123,,,,,,,,,,,,,,,,,,
124,124,I don't know,124,,,,,,,,,,,,,,,,,,
125,125,"There is too much electricity going to the air conditioner, so the air conditioner turned off a lot",125,,,,,,,,,,,,,,,,,,
126,126,I don't know,126,,,,,,,,,,,,,,,,,,
127,127,Parallel connection,127,,,,,,,,,,,,,,,,,,
128,128,I don't know,128,,,,,,,,,,,,,,,,,,
129,129,a breakdown in the air conditioner,129,,,,,,,,,,,,,,,,,,
130,130,Just don't turn it on,130,,,,,,,,,,,,,,,,,,
131,131,Because I consume a lot of air conditioners,131,,,,,,,,,,,,,,,,,,
132,132,The air conditioner is out of order.,132,,,,,,,,,,,,,,,,,,
133,133,I don't know.,133,,,,,,,,,,,,,,,,,,
134,134,"The air conditioner was turned off by the parallel connection, but other electronics were not turned off.",134,,,,,,,,,,,,,,,,,,
135,135,I didn't play the chords,135,,,,,,,,,,,,,,,,,,
136,136,The air conditioner is out of order,136,,,,,,,,,,,,,,,,,,
137,137,"The air conditioner was turned off by the parallel connection, but other electronics were not turned off.",137,,,,,,,,,,,,,,,,,,
138,138,Put resistance in the air conditioner/ Turn the serial connection of the johnson into a parallel connection.,138,,,,,,,,,,,,,,,,,,
139,139,....i don't know........,139,,,,,,,,,,,,,,,,,,
140,140,Because the wires were connected in parallel.,140,,,,,,,,,,,,,,,,,,
141,141,I used too much electricity,141,,,,,,,,,,,,,,,,,,
142,142,I'll use the air conditioner as much as I can,142,,,,,,,,,,,,,,,,,,
143,143,I used the air conditioner above the power level and it broke down,143,,,,,,,,,,,,,,,,,,
144,144,The reason why electronic products such as TV and refrigerator didn't turn off is because they didn't use other electronic products,144,,,,,,,,,,,,,,,,,,
145,145,The air conditioner is broken,145,,,,,,,,,,,,,,,,,,
146,146,"Electricity continues to flow through the air conditioner, so there is no electricity in electronics such as TVs and refrigerators.",146,,,,,,,,,,,,,,,,,,
147,147,It is because the air conditioner is overused and overheated.,147,,,,,,,,,,,,,,,,,,
148,148,Don't know,148,,,,,,,,,,,,,,,,,,
149,149,to connect electricity to another cord,149,,,,,,,,,,,,,,,,,,
150,150,"I used more than the power of the air conditioner, but I didn't use more than the power of the air conditioner",150,,,,,,,,,,,,,,,,,,
151,151,.,151,,,,,,,,,,,,,,,,,,
152,152,"Electronics are connected in parallel, so even if one flow is cut off, the rest will work",152,,,,,,,,,,,,,,,,,,
153,153,Because the voltage is different,153,,,,,,,,,,,,,,,,,,
154,154,I didn't take out the outlet,154,,,,,,,,,,,,,,,,,,
155,155,Overheating phenomenon,155,,,,,,,,,,,,,,,,,,
156,156,"Because appliances are connected in parallel, blocking the flow of current in one place has no effect on the flow of current in the rest of the appliances.",156,,,,,,,,,,,,,,,,,,
157,157,"This is because home appliances are connected, so even if the current flow in one place is blocked, the current flow of the remaining home appliances does not affect the current flow.",157,,,,,,,,,,,,,,,,,,
158,158,"Home appliances are connected in parallel, so they do not damage other home appliances.",158,,,,,,,,,,,,,,,,,,
159,159,"Because the air conditioner, TV, and refrigerator are connected in parallel",159,,,,,,,,,,,,,,,,,,
160,160,"This is because home appliances are connected in parallel, so even if the current flow in one place is blocked, the current flow of the remaining home appliances does not affect the current flow.",160,,,,,,,,,,,,,,,,,,
161,161,Well.,161,,,,,,,,,,,,,,,,,,
162,162,Because the wires plugged into the outlet do not share electricity with each other,162,,,,,,,,,,,,,,,,,,
163,163,"Because electricity is supplied separately, it does not affect other electronics.",163,,,,,,,,,,,,,,,,,,
164,164,in parallel,164,,,,,,,,,,,,,,,,,,
165,165,Because the parallel and serial methods are different.,165,,,,,,,,,,,,,,,,,,
166,166,"Since appliances are connected in parallel, even if the current flow in one place is blocked, there is no effect on the current flow of the remaining appliances",166,,,,,,,,,,,,,,,,,,
167,167,be connected in parallel to,167,,,,,,,,,,,,,,,,,,
168,168,Because it's a parallel structure,168,,,,,,,,,,,,,,,,,,
169,169,"Since home appliances are connected, even if the current flow in one place is blocked, it does not affect the current flow of the remaining home appliances.",169,,,,,,,,,,,,,,,,,,
170,170,.,170,,,,,,,,,,,,,,,,,,
171,171,"This is because there is a problem with the wires of the air conditioner, but there is nothing wrong with the other wires.(parallel connection)",171,,,,,,,,,,,,,,,,,,
172,172,This is because there is no current connected.,172,,,,,,,,,,,,,,,,,,
173,173,"This is because home appliances are connected in parallel, so even if the current flow in one place is blocked, the current flow of the remaining home appliances does not affect the current flow.",173,,,,,,,,,,,,,,,,,,
174,174,"Other electronics did not turn off because air conditioners and other electronics were connected in parallel, not in direct current.",174,,,,,,,,,,,,,,,,,,
175,175,"Since most appliances are connected in parallel, even if there is no current flow, the current flow of the remaining appliances is not affected.",175,,,,,,,,,,,,,,,,,,
176,176,Because it is connected in parallel structure.,176,,,,,,,,,,,,,,,,,,
177,177,This is because home appliances are connected in parallel.,177,,,,,,,,,,,,,,,,,,
178,178,"Since home appliances are connected, even if one electricity flow is blocked, the electricity flow of the remaining home appliances has no effect.",178,,,,,,,,,,,,,,,,,,
179,179,"This is because home appliances are connected, so even if the electric flow in one place is blocked, it does not affect the electric flow of the remaining home appliances.",179,,,,,,,,,,,,,,,,,,
180,180,This is because the outlet is in parallel.,180,,,,,,,,,,,,,,,,,,
181,181,Because it is connected in parallel.,181,,,,,,,,,,,,,,,,,,
182,182,It's because the air conditioner is bad.,182,,,,,,,,,,,,,,,,,,
183,183,"The wires of the appliances are also connected in parallel, so they won't turn off even if one is turned off",183,,,,,,,,,,,,,,,,,,
184,184,"""Most electronics are connected in parallel, so even if one breaks off,",184,,,,,,,,,,,,,,,,,,
185,185,"Others will not cut off the current.""",185,,,,,,,,,,,,,,,,,,
186,186,Only the air conditioner turns off by connecting it in parallel.,186,,,,,,,,,,,,,,,,,,
187,187,"I have to do it in series, but I kept on doing it in a row",187,,,,,,,,,,,,,,,,,,
188,188,I used the air conditioner too much,188,,,,,,,,,,,,,,,,,,
189,189,The air conditioner switch is off,189,,,,,,,,,,,,,,,,,,
190,190,It's connected in parallel and connected to one road,190,,,,,,,,,,,,,,,,,,
191,191,This is because the connection to the electronics connected to the same code is parallel,191,,,,,,,,,,,,,,,,,,
192,192,"The code connected to the air conditioner is connected in series, so it turns off quickly, and the code connected to other electronic devices such as TVs and refrigerators is connected in parallel, so it can be used continuously.",192,,,,,,,,,,,,,,,,,,
193,193,Because the air conditioner is connected in parallel,193,,,,,,,,,,,,,,,,,,
194,194,The air conditioner has a large capacity.,194,,,,,,,,,,,,,,,,,,
195,195,I don't use too much TV and refrigerator electricity,195,,,,,,,,,,,,,,,,,,
196,196,"""Parallel connection: Even if one of the two is turned off, there is one left, so electricity",196,,,,,,,,,,,,,,,,,,
197,197,"Can keep going back""",197,,,,,,,,,,,,,,,,,,
198,198,The air conditioner is connected in series,198,,,,,,,,,,,,,,,,,,
199,199,I think the electricity in the air conditioner has been consumed so much that it turned off,199,,,,,,,,,,,,,,,,,,
200,200,Because the air conditioner is connected in parallel,200,,,,,,,,,,,,,,,,,,
201,201,The air conditioner is connected to the display and the other electronics are connected in parallel,201,,,,,,,,,,,,,,,,,,
202,202,Because the air conditioner is connected in parallel.,202,,,,,,,,,,,,,,,,,,
203,203,The connection is different,203,,,,,,,,,,,,,,,,,,
204,204,Because I wasn't using any other electronics,204,,,,,,,,,,,,,,,,,,
205,205,The air conditioner is connected in series,205,,,,,,,,,,,,,,,,,,
206,206,I don't understand.,206,,,,,,,,,,,,,,,,,,
207,207,"""I don't know.""",207,,,,,,,,,,,,,,,,,,
208,208,"""",208,,,,,,,,,,,,,,,,,,
209,209,"The air conditioner cord is only connected to each other, so the air conditioner is turned off, but other electronics are not turned off.",209,,,,,,,,,,,,,,,,,,
210,210,The air conditioner has exceeded the maximum amount of electricity,210,,,,,,,,,,,,,,,,,,
211,211,"Using more than the amount of electricity, things like home appliances in the same outlet are discharged, so there is no current flowing through the outlet.",211,,,,,,,,,,,,,,,,,,
212,212,The air conditioner's power consumption is overflowing,212,,,,,,,,,,,,,,,,,,
213,213,The air conditioner uses a lot of tremors,213,,,,,,,,,,,,,,,,,,
214,214,The air conditioner uses a lot of current,214,,,,,,,,,,,,,,,,,,
215,215,It does not affect other products because the current is too much only on the cord that was connected to the air conditioner,215,,,,,,,,,,,,,,,,,,
216,216,turn off the air conditioner,216,,,,,,,,,,,,,,,,,,
217,217,I don't know.,217,,,,,,,,,,,,,,,,,,
218,218,"Although it is connected to the same code, the reason why only the air conditioner is turned off seems to be because the line that delivers power with the air conditioner code is overloaded.",218,,,,,,,,,,,,,,,,,,
219,219,I don't know.,219,,,,,,,,,,,,,,,,,,
220,220,Turn off the air conditioner,220,,,,,,,,,,,,,,,,,,
221,221,"The electronics connected to the same code did not turn off because the air conditioner was used too much more than the amount of electricity, and only the air conditioner used more than the amount of electricity was turned off.",221,,,,,,,,,,,,,,,,,,
222,222,"Maybe it's because the air conditioner is old or because there's a lot of dust in the air conditioner, it might suddenly turn off",222,,,,,,,,,,,,,,,,,,
223,223,I don't know,223,,,,,,,,,,,,,,,,,,
224,224,I use the air conditioner a lot,224,,,,,,,,,,,,,,,,,,
225,225,running out of time,225,,,,,,,,,,,,,,,,,,
226,226,I think it suddenly turned off because I used the air conditioner too much,226,,,,,,,,,,,,,,,,,,
227,227,I don't know,227,,,,,,,,,,,,,,,,,,
228,228,It's because I only turn on the air conditioner a lot. :),228,,,,,,,,,,,,,,,,,,
229,229,I only turned on the AC too much,229,,,,,,,,,,,,,,,,,,
230,230,It depends on the type of air conditioner,230,,,,,,,,,,,,,,,,,,
231,231,Each type of air conditioner has a different model,231,,,,,,,,,,,,,,,,,,
232,232,"""Because air conditioners have more electricity than other electronics such as TVs",232,,,,,,,,,,,,,,,,,,
233,233,"""",233,,,,,,,,,,,,,,,,,,
234,234,I have no idea.,234,,,,,,,,,,,,,,,,,,
235,235,The air conditioner is very old,235,,,,,,,,,,,,,,,,,,
236,236,I used a lot of air conditioners,236,,,,,,,,,,,,,,,,,,
237,237,You should ask the person who made it. Why are you doing this to us?,237,,,,,,,,,,,,,,,,,,
238,238,Because the air conditioner sits down and the TV refrigerator plugs in the cord,238,,,,,,,,,,,,,,,,,,
239,239,"""Reason 1 The power to the air conditioner is cut off, but the power to the TV or refrigerator is different from the air conditioner",239,,,,,,,,,,,,,,,,,,
240,240,"""Because I turned off the TV and refrigerator""",240,,,,,,,,,,,,,,,,,,
241,241,I don't understand.,241,,,,,,,,,,,,,,,,,,
242,242,"The air conditioner was overheated, so I turned it off",242,,,,,,,,,,,,,,,,,,
243,243,"""The electricity goes to the air conditioner and heats up, but the rest of me can't",243,,,,,,,,,,,,,,,,,,
244,244,,244,,,,,,,,,,,,,,,,,,
245,245,,245,,,,,,,,,,,,,,,,,,
246,246,,246,,,,,,,,,,,,,,,,,,
247,247,,247,,,,,,,,,,,,,,,,,,
248,248,"""",248,,,,,,,,,,,,,,,,,,
249,249,I brought electricity to other things,249,,,,,,,,,,,,,,,,,,
250,250,"This is because the current of the air conditioner was used a lot, but the current of other goods was not used a lot.",250,,,,,,,,,,,,,,,,,,
251,251,"If you use a lot of electricity, other machines get hot, but the air conditioner gets hot quickly because it has a lot of electricity, and it is turned off because it is used more than electricity",251,,,,,,,,,,,,,,,,,,
252,252,"TV, refrigerator, etc. are not used above the amount of energy.Because the amount of electricity flows is different,",252,,,,,,,,,,,,,,,,,,
253,253,"The first seems to be because air conditioners have more electricity than TVs and refrigerators.   Second, I think it is because I use TV or internal computer more than air conditioner.",253,,,,,,,,,,,,,,,,,,
254,254,"""",254,,,,,,,,,,,,,,,,,,
255,255,I think it's a coincidence,255,,,,,,,,,,,,,,,,,,
256,256,It's in parallel,256,,,,,,,,,,,,,,,,,,
257,257,I think this is because air conditioners have more electricity than TVs and refrigerators.,257,,,,,,,,,,,,,,,,,,
258,258,"It seems to be because even if it is the same outlet, only the air conditioner was used more than the amount of electricity.""",258,,,,,,,,,,,,,,,,,,
259,259,I think the air conditioner is overloaded and only the air conditioner is turned off,259,,,,,,,,,,,,,,,,,,
260,260,Because the electricity in the cord is different,260,,,,,,,,,,,,,,,,,,
261,261,Because it's in parallel.,261,,,,,,,,,,,,,,,,,,
262,262,I don't understand.,262,,,,,,,,,,,,,,,,,,
263,263,Only the air conditioner is overloaded,263,,,,,,,,,,,,,,,,,,
264,264,I don't know.,264,,,,,,,,,,,,,,,,,,
265,265,There's a problem with the air conditioner,265,,,,,,,,,,,,,,,,,,
266,266,My knowledge is not up to there,266,,,,,,,,,,,,,,,,,,
267,267,There's a lot of electricity that the air conditioner eats? Didn't it turn off first?  Do TV and refrigerators eat less electricity than air conditioners? I think so.,267,,,,,,,,,,,,,,,,,,
268,268,"The AC used a lot of power, so the rest of the members had a lot of electricity",268,,,,,,,,,,,,,,,,,,
269,269,"Since electronic products used more than the amount of electricity were only air conditioners, even if they were connected to codes such as TVs and refrigerators, it seems that only the air conditioners, which are the cause of the problem, were turned off.",269,,,,,,,,,,,,,,,,,,
270,270,I turned it on and off one by one by one by one by one It's a power outlet. (Because it's connected in parallel?),270,,,,,,,,,,,,,,,,,,
271,271,I'm taking out the cord,271,,,,,,,,,,,,,,,,,,
272,272,I don't know,272,,,,,,,,,,,,,,,,,,
273,273,I don't know,273,,,,,,,,,,,,,,,,,,
274,274,It's in a parallel structure,274,,,,,,,,,,,,,,,,,,
275,275,I don't know,275,,,,,,,,,,,,,,,,,,
276,276,I don't know,276,,,,,,,,,,,,,,,,,,
277,277,connected in parallel,277,,,,,,,,,,,,,,,,,,
278,278,Only the air conditioner stopped working because of the electricity of the air conditioner,278,,,,,,,,,,,,,,,,,,
279,279,Because the electronics were connected in parallel,279,,,,,,,,,,,,,,,,,,
280,280,It's because it's connected in parallel,280,,,,,,,,,,,,,,,,,,
281,281,Don't know,281,,,,,,,,,,,,,,,,,,
282,282,I don't know,282,,,,,,,,,,,,,,,,,,
283,283,I don't know.,283,,,,,,,,,,,,,,,,,,
284,284,It is connected in parallel and does not turn off.,284,,,,,,,,,,,,,,,,,,
285,285,I don't know.,285,,,,,,,,,,,,,,,,,,
286,286,Because it was connected in parallel.,286,,,,,,,,,,,,,,,,,,
287,287,"It is connected in parallel, so even if one is turned off, the other is not turned off.",287,,,,,,,,,,,,,,,,,,
288,288,Parallel connection of circuits,288,,,,,,,,,,,,,,,,,,
289,289,I don't know.,289,,,,,,,,,,,,,,,,,,
290,290,Parallel connection,290,,,,,,,,,,,,,,,,,,
291,291,I don't know,291,,,,,,,,,,,,,,,,,,
292,292,"If one of the circuits is disconnected because it is connected in parallel, there is electricity flowing through the other",292,,,,,,,,,,,,,,,,,,
293,293,"Since the battery is connected in parallel, the battery may be disconnected independently.",293,,,,,,,,,,,,,,,,,,
294,294,"It's connected in parallel, so the current flows separately",294,,,,,,,,,,,,,,,,,,
295,295,Because other electronics are connected in parallel,295,,,,,,,,,,,,,,,,,,
296,296,This is because an outlet connects each electrical device in parallel.,296,,,,,,,,,,,,,,,,,,
297,297,It is because of the parallel connection.,297,,,,,,,,,,,,,,,,,,
298,298,"Because electronics are connected in parallel, other electronics are maintained even if one connection is lost.",298,,,,,,,,,,,,,,,,,,
299,299,Because electronics were connected in parallel.,299,,,,,,,,,,,,,,,,,,
300,300,Because it is connected in parallel.,300,,,,,,,,,,,,,,,,,,
301,301,"At home, electronics are connected by parallel connections, so one turns off does not turn off everything.",301,,,,,,,,,,,,,,,,,,
302,302,It's in parallel,302,,,,,,,,,,,,,,,,,,
303,303,Because it is connected by parallel connection.,303,,,,,,,,,,,,,,,,,,
304,304,"This is because it is connected in parallel, not in series.",304,,,,,,,,,,,,,,,,,,
305,305,Parallel connection,305,,,,,,,,,,,,,,,,,,
306,306,Parallel connection,306,,,,,,,,,,,,,,,,,,
307,307,Because it is connected in parallel.,307,,,,,,,,,,,,,,,,,,
308,308,It's easy to see the difference between series and parallel.,308,,,,,,,,,,,,,,,,,,
309,309,Because of the parallel connection,309,,,,,,,,,,,,,,,,,,
310,310,I don't know,310,,,,,,,,,,,,,,,,,,
311,311,the difference between parallel and series,311,,,,,,,,,,,,,,,,,,
312,312,This is because each outlet of the multi-tap is not simple to each other.,312,,,,,,,,,,,,,,,,,,
