,Unnamed: 0,"19. Many environmental groups have recently warned that a decline in biodiversity could pose a global risk. Recently, the number of species has been decreasing rapidly. Why is the number of endangered species increasing recently? Let's explain in detail using our knowledge of biodiversity. ",Unnamed: 0,",q19_climate change, q19_respect for life, q19_environmental destruction, q19_biological effects, q19_human activity, q19_climate change 1, q19_respect for life, 1, q19_environmental destruction.1,q19_Bioinfluence1.q19_Human activity.1"
18,18,"I eat foreign papers indiscriminately.""",18.0,"18,1,0,0,1, because the habitat was destroyed by climate change, because the habitat was destroyed by environmental pollution, because it was difficult to live due to alien life, the number of wild animals decreased by indiscriminate collection"
19,19,Because of environmental pollution and people killing animals.,19.0,"19,0,0,0,0, the habitat was destroyed by climate change, the habitat was destroyed by environmental pollution, it was difficult for native creatures to live in, and the wild animals were reduced by indiscriminate collection"
20,20,Global warming,20.0,"20,1,0,0,0 because the habitat was destroyed by climate change, because the habitat was destroyed by environmental pollution, because it was difficult for native creatures to live in, the number of wild animals decreased due to indiscriminate hunting"
21,21,Because many people hunt,21.0,"21,0,0,0,0,1, the habitat has changed due to climate change, the habitat has changed due to environmental pollution, it is difficult for native creatures to live, and the number of wild animals has decreased due to indiscriminate hunting"
22,22,environmental pollution,22.0,"22,0,0,0,0,1, because the habitat was changed due to climate change, because the habitat was changed due to environmental pollution, because it was difficult for native creatures to live, the number of wild animals was reduced due to indiscriminate hunting"
23,23,This is because people polluted the environment for industrial development.,23.0,"23,0,0,1,0, the habitat has changed due to climate change, the habitat has changed due to environmental pollution, it is difficult for native creatures to live, and the number of wild animals has decreased due to indiscriminate hunting or gathering"
24,24,People will catch you...,24.0,"24,0,0,1,0,1, the habitat has changed due to climate change, the habitat has changed due to environmental pollution, the number of wild animals has decreased due to indiscriminate hunting or collection of native creatures"
25,25,This is because the Earth's environment is polluted and creatures lose their place to live.,25.0,"25,0,0,1,0,1, habitat destruction due to climate change, habitat destruction due to environmental pollution, it is difficult for native creatures to live due to the introduction of exotic creatures, and the number of wild animals has decreased due to indiscriminate hunting or gathering"
26,26,Humans destroy the environment,26.0,"26,0,0,0,0,0 because the habitat was destroyed by climate change, because the habitat was destroyed by environmental pollution, because it was difficult for native creatures to live, and the number of wild animals decreased due to indiscriminate collection or hunting"
27,27,"This is because the natural environment has disappeared as research complexes and apartments increase, leaving no place for animals and plants to live.",27.0,"27,0,0,0,0,1, habitat destruction due to climate change, habitat destruction due to environmental pollution, alien life is difficult to live in, and the number of wild animals has decreased due to indiscriminate collection or hunting"
28,28,Gene is about mutation.,28.0,"28,1,0,0,0, because the habitat was destroyed by climate change, because the habitat was destroyed by environmental pollution, because it was difficult for native creatures to live, the number of wild animals decreased due to indiscriminate collection or hunting29,1,0,0,0 changed habitat due to climate change, changed habitat due to environmental pollution, it is difficult for native creatures to live, and the number of wild animals decreased due to indiscriminate overfishing"
29,29,Indiscriminate area of the human expansion.,29.0,"30,1,0,0,0 because of the change of habitat due to climate change, because of the change of habitat due to environmental pollution, because of the difficulty of native creatures, the number of wild animals decreased due to indiscriminate overfishing"
30,30,Global warming.,30.0,"31,0,0,0,1,0, habitat changes due to climate change, habitat changes due to environmental pollution, and the number of wild animals decreases due to indiscriminate overfishing"
31,31,"Earth's average temperature rise, the increase in CO2 greenhouse effect.",31.0,"32,0,0,0, because of the change in habitat due to climate change, because of the change in habitat due to environmental pollution, because of the creation of extraterrestrial life, the number of wild animals decreases due to indiscriminate collection"
32,32,"Global warming, air pollution due to climate change is happening.",32.0,"33,0,0,1,0,1, the habitat was destroyed by climate change, the habitat was destroyed by environmental pollution, and the number of wildlife was reduced by indiscriminate collection"
33,33,생태계는 먹이사슬을 통해 모든 생물들이 긴밀하게 연관되어 있는데 현재 인간의 자원낭비와 생물의 존엄성의 무시 때문에 생물을 막다루어서 생물이 멸종하게되면은 그에 따라 위에 상위계층의 생물들도 멸종위기상태에 놓일 수 있다.,33.0,"34,1,0,0,0, because of the destruction of the habitat due to climate change, the habitat was destroyed by environmental pollution, and exotic organisms were created in the habitat, so the number of wild animals was reduced by indiscriminate collection"
34,34,Moreuk ss seubini.,34.0,"35,0,0,0,1, because the habitat has changed due to climate change, the habitat has changed due to environmental pollution, and it is difficult for native creatures to live, so the number of wild animals has decreased due to indiscriminate hunting"
35,35,Indiscriminate area of the human expansion and environmental degradation.,35.0,"36,1,0,0,0 because of the change in habitat due to climate change, the change in habitat due to environmental pollution, the number of wild animals decreased due to indiscriminate hunting due to the difficulty of native creatures due to alien life"
36,36,Global warming is becoming worse.,36.0,"37,0,0,0,1,0, because the habitat was destroyed by climate change, because the habitat was destroyed by environmental pollution, because it was difficult to live native life due to the occurrence of exotic creatures, the number of wild animals decreased due to indiscriminate hunting"
37,37,"Men destroy the nature and indiscriminate use of, e.g. due to hunting and logging.",37.0,"38,1,1,1,0,1 because the habitat was destroyed by climate change, because the habitat was destroyed by environmental pollution, because it was difficult for native creatures to live, wild animals were reduced by indiscriminate hunting or gathering"
38,38,Global warming,38.0,"39,0,0,1,0,1 because the habitat has changed due to climate change, because the habitat has changed due to environmental pollution, because it is difficult to live native life due to the occurrence of foreign life, the number of wild animals has decreased due to indiscriminate hunting or gathering"
39,39,"One of the species become extinct, affects between the biological food chain that has destroyed life as an endangered species is increasing.",39.0,"40,0,0,0,0, because the habitat has changed due to climate change, the habitat has changed due to environmental pollution, because it is difficult to live due to alien life, the number of wild animals has decreased due to indiscriminate hunting or collection"
40,40,"지구 온난화로 인한 기후 변화로 북극의 빙하감소로 북극생물 감소 , 수렵 증가와 아마존 밀림 파괴 등으로 생태계가 파괴되어 동물들의 거처가 사라지고 있어서 이다.",40.0,"41,1,0,1,0, due to climate change, due to environmental pollution, it is difficult for native creatures to live, so the number of wild animals decreases due to indiscriminate collection or hunting"
41,41,"For wild animals in human beings took their livelihood, because the destruction of the environment.",41.0,"42,0,1,1,0, because of climate change, the number of wild animals decreased due to indiscriminate collection or hunting because of environmental pollution, it is difficult for native creatures to live"
42,42,Selection by natural selection. The survival of the fittest survival of the fittest.,42.0,"43,1,0,0,1, because of climate change, because of environmental pollution, it is difficult for native creatures to live, so the number of wild animals decreases due to indiscriminate collection or hunting"
43,43,"An endangered species is increasing because of global warming, which can see. Most representatively, polar bears and Arctic foxes live in the Arctic because of warming.",43.0,"44,0,0,0,1, because of climate change, because of environmental pollution, because of the introduction of foreign creatures, the number of wild animals decreased due to indiscriminate overfishing"
44,44,"Due to environmental pollution, nature changes and creatures die because they cannot adapt.",44.0,"45,1,0,0,0 because of climate change, because of environmental pollution, alien life was created, wild animals were reduced by indiscriminate overfishing"
45,45,Endangered species are increasing due to indiscriminate hunting by humans and the generation of greenhouse gases.,45.0,"46,0,0,1,0, because of climate change, because of environmental pollution, exotic creatures came into the habitat, and wild animals were reduced by indiscriminate overfishing"
46,46,It's because of poachers.,46.0,"47,1,0,0,0 because of climate change, because of environmental pollution, exotic organisms were created in habitats, wild animals were reduced by indiscriminate collection"
47,47,It is because of global warming.,47.0,"48,1,0,1,1 because of climate change, because of environmental pollution, because of the introduction of exotic creatures and the difficulty of native creatures, the number of wild animals decreased by indiscriminate collection"
48,48,This is because the destruction of the ecosystem due to environmental pollution eliminates the habitat for living things.,48.0,"49,1,0,1, due to climate change, due to environmental pollution, the number of wild animals has been reduced by indiscriminate collection because out-of-the-way creatures are difficult to live in"
49,49,It is because of global warming.,49.0,"Due to climate change 50,1,0,1, the number of wild animals has decreased due to indiscriminate hunting because of environmental pollution, which makes it difficult for native creatures to live"
50,50,"This is because animals living in clean areas lose their places to live due to environmental pollution, and the population gradually decreases, and many animals die due to reckless hunting activities. As a result, the food chain system collapses, affecting other species, and the population is gradually decreasing.",50.0,"51,1,0,1,0, due to climate change, the number of wild animals decreased due to indiscriminate hunting because of environmental pollution, it is difficult for foreign creatures to live"
51,51,Global warming can reduce the number of species living in the region as temperatures in the polar regions drop. Deforestation can also reduce species in forests and rainforests.,51.0,"52,0,0,1,0, due to climate change, due to environmental pollution, the number of wild animals decreased due to indiscriminate hunting because out-of-the-way life was difficult to live in"
52,52,"Global warming, hunting endangered species, reckless deforestation, etc",52.0,"53,1,0,1, the number of endangered species increased due to climate change, the number of wild animals decreased due to indiscriminate hunting or gathering because of the increase of endangered species due to environmental pollution"
53,53,The number of endangered species is increasing as the ecosystem is decimated by climate change caused by global warming,53.0,"54,0,0,1,1,0, endangered species increased due to climate change, endangered species increased due to environmental pollution, and the number of wild animals decreased due to indiscriminate hunting or collection because native creatures were difficult to live in"
54,54,The food chain is broken,54.0,"55,0,0,0,0, the number of endangered species increases due to climate change, the number of endangered species increases due to environmental pollution, and it is difficult for native creatures to live, so the number of wild animals has decreased due to indiscriminate hunting and gathering"
55,55,"This is because the development of humans and the use of fossil fuels have raised the temperature of the Earth and the climate has changed dramatically, reducing the survival of animals.",55.0,"56,0,0,1,0,1, endangered species increase due to climate change, endangered species increase due to environmental pollution, and the number of wild animals decreased due to indiscriminate collection or hunting because of the difficulty of native creatures"
56,56,"Marine pollution, air pollution and soil pollution have destroyed the habitat of living things",56.0,"57,0,0,0,1,0, increased endangered species due to climate change, increased endangered species due to environmental pollution, and introduced exotic animals, and the number of wild animals decreased due to indiscriminate collection and hunting"
57,57,"The problem with food webs reduces biodiversity.""",57.0,"58,1,0,1,1,1 because of climate change, the number of endangered species increased due to environmental pollution, the number of out-of-the-way animals was reduced by indiscriminate collection or hunting59,0,0,0,0, endangered species increase due to climate change, endangered species increase due to environmental pollution, because exotic creatures entered the habitat, due to indiscriminate overfishing,"
58,58,I don't know,58.0,"60,0,0,0,0, the number of endangered species increases due to climate change, the number of endangered species increases due to environmental pollution, because of the emergence of exotic organisms in habitats, because of indiscriminate overfishing"
59,59,This is due to habitat loss and environmental pollution caused by reckless hunting and development.,59.0,"61,0,0,0,0,0 because of climate change, endangered species increase due to environmental pollution, and it is difficult for native species to live due to the introduction of exotic organisms, because of indiscriminate overfishing"
60,60,Collapse of food chain relationships,60.0,"62,0,0,0,0,0 because of climate change, endangered species increase due to environmental pollution, and it is difficult for native species to live due to outlying organisms, because of indiscriminate overfishing"
61,61,"As the times change, as various new electronic products or transportation methods develop, the resulting fuel causes forest destruction or global warming, which changes the environment, reducing biodiversity.",61.0,"63,0,0,0,0,0 because climate change increases endangered species, environmental pollution increases endangered species, alien life forms, making it difficult for native creatures to live, because of reckless overfishing"
62,62,I don't know.,62.0,"64,0,0,0,0,0 because of climate change, endangered species increase due to environmental pollution, and it is difficult for native creatures to live due to the introduction of foreign organisms, indiscriminate overfishing, and endangered species increase"
63,63,I don't know,63.0,"65,0,0,0,0,0 endangered species increase due to climate change, endangered species increase due to environmental pollution, and it is difficult for native organisms to live due to outlying organisms, and endangered species increase due to reckless overfishing"
64,64,I don't know,64.0,"66,0,0,0,0, endangered species increase due to climate change, endangered species increase due to environmental pollution, and it is difficult for native species to live due to outlying organisms, and endangered species increase due to reckless overfishing"
65,65,Don't know,65.0,"67,0,0,0,0, climate change increases the number of endangered species, environmental pollution increases the number of endangered species, and it is difficult for native creatures to live due to the introduction of exotic creatures, and the indiscriminate overfishing increases the number of endangered species"
66,66,I don't know.,66.0,"68,0,0,0,0,0 , endangered species increase due to climate change , endangered species increase due to environmental pollution , it is difficult for native organisms to live due to outlying organisms , and endangered species increase due to indiscriminate overfishing"
67,67,I don't know.,67.0,"69,0,0,0,0, endangered species increase due to climate change, endangered species increase due to environmental pollution, because out-of-the-way life is difficult to live in, and endangered species increase due to indiscriminate overfishing"
68,68,I don't know,68.0,"70,0,0,0,0,0 endangered species increase due to climate change, endangered species increase due to environmental pollution, difficulty for native creatures to live in, and reckless overfishing"
69,69,I don't know,69.0,"71,0,0,0,0,0 , endangered species increase due to climate change, endangered species increase due to environmental pollution, difficulty for native species to live due to alienation, and indiscriminate overfishing"
70,70,I don't know,70.0,"72,0,0,0,0,0 endangered species increase due to climate change, endangered species increase due to environmental pollution, it is difficult for native species to live due to alien life, indiscriminate collection and hunting"
71,71,I don't know,71.0,"73,1,1,0,1, the number of endangered species increases due to climate change, the number of endangered species increases due to environmental pollution, the difficulty of native creatures due to the entry of foreign creatures, and indiscriminate collection and hunting"
72,72,As long as there's no human being,72.0,"74,1,0,0,1, the number of endangered species increases due to climate change, the number of endangered species increases due to environmental pollution, the difficulty of native organisms to live due to the occurrence of exotic organisms, and indiscriminate collection and hunting"
73,73,"""R,R,R,R,R""",73.0,"75,0,0,0,0, climate change increases endangered species, environmental pollution increases endangered species, it is difficult for native creatures to live, and indiscriminate collection and hunting"
74,74,I'm so sorry..,74.0,"76,0,0,0,0,1, the number of endangered species increases due to climate change, the number of endangered species increases due to environmental pollution, the difficulty of native organisms to live in, and indiscriminate collection and hunting"
75,75,People are so cruel.,75.0,"77,0,0,0,0, the number of wild animals and plants decreases due to climate change, the number of wild animals and plants decreases due to environmental pollution, the difficulty of native creatures, and the number of endangered species increases due to indiscriminate collection and hunting"
76,76,This is because people mercilessly kill animals that will bring their own benefits for their own benefit. Another reason is that some of the creatures die because of global climate change caused by global warming.,76.0,"78,0,0,1,0,1, the population of wild animals and plants decreases due to climate change, the population of wild animals and plants decreases due to environmental pollution, the difficulty of native creatures, and the number of endangered species increases due to indiscriminate collection and hunting"
77,77,It's either human killing or global warming,77.0,"79,0,0,1,0,1, the population of wild animals and plants decreases due to climate change, the population of wild animals and plants decreases due to environmental pollution, it is difficult for native creatures to live, and endangered species increase due to indiscriminate collection and hunting"
78,78,"jjkcjkljdkjkdjiojuidujiajdkjkdjfjriudohou58869ijkjjjfkksj,jkjkfjkjjjkdjkafjkfjkjkkjjkfjjfkdkjjkjkjkjkjkdrfjkjkfjkjk",78.0,"80,0,0,0,0, the population of wild animals and plants decreases due to climate change, the population of wild animals and plants decreases due to environmental pollution, alien life is difficult to live in, and endangered species increase due to indiscriminate collection and hunting"
79,79,"This is because people use animals' skins or flesh to get money, and people use them as they want in hunting.",79.0,"81,0,0,0,0,1, the population of wild animals and plants decreases due to climate change, the population of wild animals and plants decreases due to environmental pollution, alien life is difficult to live in, and endangered species increase due to indiscriminate collection and hunting"
80,80,I don't know.,80.0,"82,1,0,0,0, climate change reduces the population of wild animals and plants, environmental pollution reduces the population of wild animals and plants, makes it difficult for native creatures to live, and endangered species increase due to indiscriminate collection and hunting"
81,81,Because people are destroying the ecosystem,81.0,"83,0,0,1,0,1, the population of wild animals and plants decreases due to climate change, the population of wild animals and plants decreases due to environmental pollution, it is difficult for native creatures to live, and endangered species increase due to indiscriminate collection and hunting"
82,82,"More and more people are cutting mountains and damaging nature for the development of the human world. Even if a forest fire occurs due to carelessness in the mountains, there is less space for creatures to live in nature, resulting in endangered species.",82.0,"84,0,0,0,0,0 because of climate change, the population of wild animals and plants decreases rapidly due to environmental pollution, alien life forms, making it difficult for native species to live, and endangered species increase due to indiscriminate collection and hunting"
83,83,I don't know.,83.0,"85,0,0,0,0 , the population of wild animals and plants decreases sharply due to climate change , the population of wild animals and plants decreases rapidly due to environmental pollution , the introduction of foreign creatures makes it difficult for native creatures to live , indiscriminate overfishing , the population of wild animals and plants decreases"
84,84,It's just like slaughtering for human gain.,84.0,"86,0,0,1,0,1, the population of wild animals and plants decreases rapidly due to climate change, the population of wild animals and plants decreases rapidly due to environmental pollution, the presence of foreign creatures makes it difficult for native creatures to live, and the wild animals and plants decrease due to indiscriminate overfishing"
85,85,The reason is that global warming is getting worse due to carbon dioxide and the number of endangered species is increasing due to climate change.,85.0,"87,0,0,0,1, Due to climate change, the population of wild animals and plants decreases rapidly due to environmental pollution, the population of wild animals and plants decreases rapidly due to out-of-the-way overfishing, the number of wild animals and plants decreases due to reckless overfishing"
86,86,"Because the natural environment was ruined by humans running factories,",86.0,"88,0,0,1,0, the population of wild animals and plants decreases sharply due to climate change, the population of wild animals and plants decreases rapidly due to environmental pollution, and the indiscriminate overfishing89,0,0,0,1, Due to climate change, the population of wild animals and plants decreases dramatically due to environmental pollution, the population of wild animals and plants decreases due to indiscriminate overfishing"
87,87,I don't know.,87.0,"90,1,0,1,1 Due to climate change, the population of wild animals and plants decreases rapidly due to environmental pollution, because of the introduction of foreign animals, indiscriminate overfishing, the population of wild animals and plants decreases"
88,88,"G;;F,GLF,D'L;G,DF;'G.",88.0,"91,0,0,1,1 because of climate change, the population of wild animals and plants decreases, because of environmental pollution, and because of the introduction of foreign animals, random overfishing, the population of wild animals and plants decreases"
89,89,"People have ruthlessly destroyed the environment, so there is no environment where living things can live anymore.",89.0,"92, 1, 0, 1, 0, 1, the population of wild animals and plants decreases due to climate change, environmental pollution decreases the population of wild animals and plants, the number of endangered species increases due to the introduction of foreign animals, and indiscriminate overfishing decreases the population of wild animals and plants"
90,90,This is because the environment is being turned into a situation where endangered species are difficult to live by humans.,90.0,"93,1,0,0,0, the population of wild animals and plants decreases due to climate change, the population of wild animals and plants decreases due to environmental pollution, the number of endangered species increases due to the introduction of foreign animals, and wild animals and plants decreases due to indiscriminate collection and hunting"
91,91,The natural environment has changed,91.0,"94,0,0,1,0,1, the population of wild animals and plants decreases due to climate change, the population of wild animals and plants decreases due to environmental pollution, the number of endangered species increases due to introduction of foreign creatures, and the number of wild animals and plants decreases due to indiscriminate collection and hunting"
92,92,We are undermining nature to make it easier We need new resources that are new and do not harm nature,92.0,"95,1,0,0,1,0, the population of wild animals and plants decreases due to climate change, the population of wild animals and plants decreases due to environmental pollution, the number of endangered species increases due to introduction of foreign animals, random collection and hunting"
93,93,It is because of the destruction of the habitat of commodities and the reckless development and indiscriminate development of people. It's also because genetically modified organisms kill and disproportionate the ecological pyramid.,93.0,"96,1,0,0,0, climate change reduces the population of wild animals and plants, environmental pollution reduces the population of wild animals and plants, introduced by foreigners, and indiscriminate collection and hunting reduces the population of wild animals and plants"
94,94,"The environmental pollution is getting worse by throwing away trash, polluting water, and using a lot of disposable products.",94.0,"97,1,0,1,1 Climate change reduces wildlife population, environmental pollution reduces wildlife population, introduced wildlife population decreases, indiscriminate collection and hunting reduces wildlife population"
95,95,This is because people pollute the natural environment and global warming is getting worse,95.0,"98,0,1,1,0,1, the population of wild animals and plants drastically decreases due to environmental pollution, the population of wild animals and plants decreases due to introduction of foreign organisms, and indiscriminate collection and hunting reduces the population of wild animals and plants decreases"
96,96,"Because of global warming,",96.0,"99,0,1,1,1,1 , climate change causes wild animals and plants to decrease rapidly due to environmental pollution, introduced wildlife decreases, indiscriminate collection and hunting reduces the population of wild animals and plants decrease"
97,97,"Because humans are destroying the environment, the environment in which animals can live has decreased",97.0,"100,1,0,1,0,1, the population of wild animals and plants decreases rapidly due to climate change, the population of wild animals and plants decreases rapidly due to environmental pollution, the introduction of foreign animals decreases, and indiscriminate collection and hunting reduces the population of wild animals and plants"
98,98,"Global warming, when a species disappears, consumers eat less and lessGlobal warming",98.0,"101,0,0,1,0,1, the population of wild animals and plants decreases sharply due to climate change, the population of wild animals and plants decreases sharply due to environmental pollution, the introduction of foreign animals and plants decreases, and indiscriminate overfishing reduces the population of wild animals and plants"
99,99,"There are many reasons. The most famous global warming has caused global temperatures to rise by about 1 degree, causing glaciers to melt and reduce biodiversity, and the other is to become microplastics by decomposition by ocean currents, becoming food for living things or deteriorating health. Other than that, there are problems such as factories.",99.0,"102,0,0,0,0 , climate change drastically reduces the population of wild animals and plants, environmental pollution drastically reduces the population of wild animals and plants, introduced by foreigners, indiscriminate overfishing reduces the population of wild animals and plants"
100,100,"Humans make machines that emit carbon dioxide, such as automobiles, and the carbon dioxide pollutes the atmosphere, causing acid rain and water pollution. The water is flowing into the sea, causing fish to become extinct or endangered by algal blooms. This is because the vicious cycle is repeated as humans endangered the life of the tidal flat due to reclamation projects and torpedo forests for farming and livestock.",100.0,"103,1,0,0,0 because of climate change, the population of wild animals and plants decreases rapidly because of environmental pollution, the population of wild animals and plants decreases rapidly because of introduction of foreign animals, and indiscriminate overfishing"
101,101,"When the final predator's prey disappears, the final predator also disappears, so there are people cutting down factory trees, garbage, etc. Therefore, the environment is destroyed and it is difficult for animals to live, so the animals are gradually disappearing.",101.0,"104,0,0,0,0,0 because of climate change, the population of wild animals and plants decreases sharply because of environmental pollution, the population of wild animals and plants decreases rapidly because of introducing foreign creatures, and wild overfishing"
102,102,"Some animals have lost their homes because of global warming, and many are sacrificed to make fur coats or something.There is also a lot of damage to animals from trafficking by poachers.",102.0,"105,0,0,0,0,0 , the habitat environment changes due to climate change, environmental pollution changes the habitat environment, and the number of wild animals and plants decreases rapidly due to the introduction of foreign creatures, indiscriminate overfishing reduces the population of wild animals and plants"
103,103,"Environmental pollution occurs due to the use of disposable products, and the environment in which living organisms live is lost. For example, fish that live in the first grade lose their place to live as the water quality they live in decreases, and eventually become endangered.",103.0,"106,0,0,0,0, climate change, habitat environment change, environmental pollution, habitat environment change, wild animals and plants population decrease dramatically because of the introduction of extraterrestrial organisms, wild overfishing decreases the population of wild animals and plants"
104,104,I don't know.,104.0,"107,1,0,0,1,0, change habitat environment, change habitat environment due to environmental pollution, decrease wild animals and plants population rapidly due to introduction of foreign organisms, indiscriminate collection and hunting reduce wildlife population"
105,105,Global warming intensifies and endangered species increase.,105.0,"108,0,0,1,0,1, climate change, habitat environment change, environmental pollution, habitat environment change, wild animals and plants population decrease drastically because of introduction, wild animals and animals population decrease due to indiscriminate collection and hunting"
106,106,It is good to instill a sense of familiarity with animals in people because Korea kills them very gently and emotionlessly,106.0,"109,1,0,1,1,1 Climate change changes habitat environment, Environmental pollution changes habitat environment, Wild animals and plants population decreases rapidly because of introduction of foreign organisms, Wild animals and animals population decreases wildlife population"
107,107,The environmental pollution is getting worse,107.0,"110,0,0,1,0,1, change habitat environment, environmental pollution, change habitat environment, have difficulty living in the area due to introduction of foreign organisms, and the wild animals and plants population decrease due to indiscriminate collection and hunting"
108,108,This is because people indiscriminately kill and catch natural animals for their own benefit.,108.0,"111,0,0,1,0,1, the habitat environment changed due to climate change, environmental pollution changed the habitat environment, brought in foreign creatures, and it is difficult for native creatures to live in the area, and wild animals and plants are reduced due to indiscriminate collection and hunting"
109,109,Climate change reduces biodiversity,109.0,"112,1,0,1,1,1 Climate change changes the habitat environment, environmental pollution changes the habitat environment, bringing in foreign creatures makes it difficult for native creatures to live in the area, and the wild animals and plants population decreases due to indiscriminate collection and hunting"
110,110,"Endangered Species Increase The reason for the extinction of many living things is because of human activities, cutting down trees and removing forests to build factories destroyed wildlife habitats, and human collection and hunting also made wildlife extinct",110.0,"113,1,1,1,1,1, change habitat environment due to climate change, environmental pollution, change habitat environment, difficulty for native creatures living in the area due to introduction of foreign organisms, and wild animals and plants population decrease sharply due to indiscriminate overfishing"
111,111,"The main cause of the increase in endangered species and the extinction of many living things is closely related to human activity, the habitat of living things has been destroyed by cutting down forest trees or removing wetlands, and wild animals and plants have been rapidly reduced by indiscriminate collection and hunting. In addition, it is difficult to bring in foreign creatures and live in the area, and environmental pollution and climate change are occurring, changing the habitat environment. Due to such human activities, the biodiversity of the Earth is currently decreasing at a very rapid rate. Biodiversity is reduced due to habitat destruction, reckless overfishing, foreign life, and climate change.",111.0,"114,0,0,1,1,1 Climate change changes the habitat environment, environmental pollution changes the habitat environment, difficulties living in the area due to the introduction of foreign organisms, and the wild animal population rapidly decreases due to indiscriminate overfishing"
112,112,The number of extinct animals increases and disappears because humans take away and destroy their habitats and food,112.0,"115,0,0,0,1, climate change changes the habitat environment, environmental pollution changes the habitat environment, bringing in foreign organisms makes it difficult for native creatures to live in the area, and wild animals and plants population decreases rapidly due to indiscriminate overfishing"
