,Unnamed: 0,2) Why do plastic bottles that are left outside in the summer get crushed when they are put in the refrigerator?,Unnamed: 0,", q38_temperature, q38_pressure, q38_gas molecule, q38_temperature.1,q38_Pressure.1,q38_a gas molecule.1"
47,47,The plastic bottle was crushed because it was full of water,47.0,"48,0,0,0, the temperature is lowered, so the volume of the bottle is reduced"
48,48,I don't know,48.0,"49,1,0, the temperature is lowered, so the volume inside the bottle is reduced"
49,49,It suddenly got cold,49.0,"50,0,0,0 because the temperature decreases, the volume of the bottle decreases"
50,50,Don't know,50.0,"51,1,0, because the temperature decreases, the volume of air in the bottle decreases"
51,51,The difference between the temperature outside and the temperature inside the refrigerator seems to cause dents.,51.0,"52,1,0, the temperature drops, and the volume of air in the bottle decreases"
52,52,"When it's hot, the oxygen decomposes",52.0,"53,1,0,0 because the temperature drops, the volume of air in the bottle decreases"
53,53,The temperature difference is different,53.0,"54,1,0, it gets cold, so the volume of air in the bottle decreases"
54,54,Temperature difference,54.0,"55,0, 0, 0, cooling, because the volume of air in the bottle decreases"
55,55,I doubt it.,55.0,"56,1,1,0, because the volume of air in the bottle decreases"
56,56,"In the summer, the air pressure gets hot and dented",56.0,"57,0,0,0, the temperature goes down, because the volume of air in the bottle decreases"
57,57,I don't know.,57.0,"58,1,0,0 because the temperature goes down, the volume of air in the bottle decreases59,1,0,0 because the temperature goes down, the volume decreases"
58,58,It is a book because the temperature suddenly changed and the plastic was soft.,58.0,"Because the temperature goes down, 60,1,0,0, the volume goes down"
59,59,It is moved from hot to cold and crushed,59.0,"61,1,0, because the temperature goes down, the volume in the plastic bottle decreases"
60,60,"I know that plastic bottles are made of polyethylene (?), but polyethylene changes its shape when heated, so plastic bottles outside seem to be crushed in summer.",60.0,"62,1,0, because the temperature decreases, the volume decreases"
61,61,"In summer, the temperature outside is high, but the refrigerator is low, so it is due to sudden temperature changes.",61.0,"63,1,0,0 because the temperature decreases, the volume decreases"
62,62,"Since the temperature is high, the plastic bottle seems to have melted and been crushed.",62.0,"64,1,0,0 because the temperature drops, the volume decreases"
63,63,It may be because the temperature changes.,63.0,"65,0,0, because it gets cold, the volume in the plastic bottle decreases"
64,64,The temperature difference got worse,64.0,"66,0,0, because the refrigerator has a low temperature, the volume of the container is reduced"
65,65,I don't know,65.0,"67,1,1,0, the refrigerator has a low temperature, so the volume of the container decreases rapidly"
66,66,an elder brother,66.0,"68,0,0, the refrigerator has a low temperature, so the volume of the container decreases"
67,67,"The warm air was surrounding the surface, but when the cold air suddenly touches the surface, it seems to have been crushed under pressure",67.0,"69,1,0, because the refrigerator has a low temperature, volume ↓"
68,68,I didn't put it in the fridge,68.0,"70,1,0, the temperature of the refrigerator is lower than outside, so the bottle is crushed as the volume of the container decreases"
69,69,"This is because when the temperature of the gas inside the bottle decreases, it contracts",69.0,"71,1,0, because the temperature of the refrigerator is lower than outside, the volume decreases and the container shrinks"
70,70,"Due to the increase in temperature, the air temperature in the expanded plastic bottle increases, contracts, and scratches.",70.0,"72,1,1,0, the temperature of the refrigerator is lower than outside, so the volume decreases and the size of the plastic bottle decreases"
71,71,"The ambient temperature is low. Therefore, the temperature of the air inside the plastic is lowered, so that the air is contracted.",71.0,"73,1,0, because the temperature of the refrigerator is lower than outside, the volume decreases and the size of the plastic bottle decreases"
72,72,"It's because the temperature has gone down. When the pressure is constant, the temperature and volume are proportional.",72.0,"74,1,0, the temperature of the air in the bottle decreases, and the bottle dents as the volume of the container decreases"
73,73,"As the temperature goes down, the volume goes down",73.0,"75,0,0, the temperature of the air in the bottle decreases, so the volume decreases rapidly"
74,74,"By Charles' law, the temperature decreases and the volume of the cylinder gas decreases.",74.0,"76,0,0, the temperature of the air in the bottle decreases, so the volume in the plastic bottle decreases"
75,75,The thermal expansion of the gas contracts.,75.0,"77,0,1,0, the temperature of the air in the bottle decreases, because the volume in the plastic bottle decreases"
76,76,by decreasing volume,76.0,"78,1,1,0, the temperature of the air in the bottle decreases, because the volume in the plastic bottle decreases"
77,77,Because of the high atmospheric pressure,77.0,"79,1,0, the volume of the container decreases because the temperature of the air in the bottle decreases"
78,78,"As the temperature inside the bottle decreases, the pressure inside the bottle decreases and the plastic bottle is crushed.",78.0,"80,1,0, the temperature of the air in the bottle drops, and the volume of the container decreases rapidly"
79,79,"This is because the gas in the expanded plastic bottle is put in the refrigerator due to the hot temperature, and the temperature decreases rapidly, causing the gas in the plastic bottle to contract.",79.0,"81,1,1,0, because the temperature of the air in the bottle decreases, the volume of the container decreases"
80,80,"If the temperature is high, the volume of the gas expands, and if the temperature is lowered, the volume of the gas decreases, so if you put the plastic bottle outside in the refrigerator, the volume of the gas decreases, so the bottle is crushed.",80.0,"82,1,0, because the air in the bottle cools down, the volume of the container decreases"
81,81,"The reason why the plastic bottle outside is crushed when put in the refrigerator in summer is that the temperature of the air in the refrigerator is lower, which is larger than the density of the air inside the plastic bottle, so the pressure is higher.",81.0,"83,1,0, cooling of the air in the bottle, reducing the volume inside the container"
82,82,"Gas in a plastic bottle has a volume suitable for a certain temperature, and when placed in a refrigerator, the temperature of the gas decreases and the volume of the gas decreases and is crushed.",82.0,"84,1,0, as the air in the bottle cools, the volume inside the container decreases rapidly"
83,83,"The temperature of the plastic bottle decreases, reducing the volume of the gas in the bottle",83.0,"85, 1, 1, 0, the temperature of the air in the bottle decreases, because the volume inside the container decreases rapidly"
84,84,The ambient temperature has decreased,84.0,"86,1,1,1 The temperature of the air in the bottle decreases, the volume decreases, and the size of the plastic bottle decreases"
85,85,"As the temperature of the air in the plastic bottle decreased, the volume of the air decreased, and the pressure decreased, and it was crushed by the surrounding pressure.",85.0,"87,1,0,1 Because the temperature of the air in the bottle decreases, the volume decreases rapidly"
86,86,"If a sealed plastic container is left at a high temperature, gas particles inside the plastic container receive heat energy, which activates molecular movement. Accordingly, the number of air particles hitting the inner wall of the plastic cylinder increases. On the other hand, gas particles in the refrigerator are deprived of heat energy from the surroundings due to low ambient temperature, and molecular motion is also slowed, reducing the number of gas particles hitting objects. When a heated plastic container is placed inside the refrigerator, the pressure inside the container is relative to the refrigerator (outside)",86.0,"88,1,1,0, because the temperature of the air in the bottle decreases, the volume decreases and the size of the plastic bottle decreases89,1,0,1 Because the temperature of the air in the bottle decreases, the size of the plastic bottle decreases"
87,87,"In summer, atoms inside plastic move actively because of the high temperature. At this time, if you put the plastic bottle in the refrigerator, the temperature suddenly decreases, so the atoms inside the plastic suddenly slow down. Therefore, if you put plastic bottles outside in the refrigerator in the summer, they will be crushed.",87.0,"90,1,0, because the temperature of the air in the bottle decreases, the size of the plastic bottle decreases"
88,88,"According to the gas abnormality equation, the temperature is proportional to the pressure when the volume is constant, so the plastic bottle in the refrigerator is crushed because the temperature decreases, the internal pressure decreases, and the internal pressure is relatively lower than the external pressure.",88.0,"91,1,0, because the temperature of the air in the bottle decreases, the bottle is crushed as the volume inside the container decreases"
89,89,"The higher the temperature, the more active the motion of the gas becomes. That is, when the temperature of the gas in the enclosed space is changed, the degree of motion is changed, and thus the volume is also changes. The plastic bottle outside heats up, increasing the volume of gas in the plastic bottle. Putting the bottle in a cold refrigerator reduces temperature, reducing gas motion, and reducing volume. Therefore, the bottle is crushed.",89.0,"92,1,0,0 because the temperature of the air in the bottle drops"
90,90,"This is because the gas in the plastic bottle, which has increased in volume because it is warm, entered the refrigerator filled with cold air, and the air in the plastic bottle contracted, reducing the volume.",90.0,"93,1,1,0, because the air in the bottle gets cold"
91,91,Because of the temperature difference,91.0,"94,1,0, the temperature gets lower"
92,92,"Gas increases in volume when the temperature increases, and decreases in volume when the temperature decreases. If you put a plastic bottle in the refrigerator where the temperature is high, the temperature decreases, reducing the volume of the gas in the plastic bottle, which causes the plastic bottle to be crushed.",92.0,"95,1,1,0 because the temperature gets lower"
93,93,"The air in the plastic bottle is heated, so the mass, or density, of air per same volume decreases. In this state, when the lid is closed and put into the refrigerator, the low-density air inside is cooled and the volume is reduced, so it is crushed.",93.0,"96,1,0,1, temperature drop,"
94,94,"The volume of the gas is related to the temperature, and the air in the plastic bottle has a high temperature, which increases the volume of the gas. However, because the temperature of the refrigerator is lower than outside, the volume of the gas decreases and becomes crushed.",94.0,"97,1,1,1, the temperature goes down"
95,95,"In summer, if a plastic bottle that is heated outside and the internal pressure increases suddenly enters the refrigerator and the temperature decreases, the internal pressure decreases and the plastic bottle decreases.",95.0,"Because 98,1,1,1, the temperature goes down"
96,96,"In summer, the temperature is high and the air in the plastic bottle is active, so there are many collisions with the plastic bottle, but when placed in the refrigerator, the temperature decreases, and the air in the plastic bottle slows down, causing the plastic bottle to crush.",96.0,"99,1,1,0, because the temperature gets lower,"
97,97,"When plastic bottles are placed outside in summer, the air inside becomes active and the air pressure is lowered. As the temperature increases, the molecular motion of air increases, so the volume increases, and as the volume increases with air of the same mass, the internal air pressure increases. But when you put it in the refrigerator, the temperature drops rapidly. When the temperature decreases, the molecular motion slows down, so the volume decreases and the internal pressure decreases because of the same mass of air, so the external pressure is relatively high and the force to press the plastic bottle becomes strong and crushed.",97.0,"Because 100,1,0,0, the temperature goes down"
98,98,"The air in the plastic bottle decreases in molecular motion and volume as the temperature decreases. As the air volume of the plastic bottle decreases and the air pressure decreases, the air pressure of the outside air increases relatively, and the volume of the bottle decreases in order to make the air pressure equal.When you put a plastic bottle outside in the summer, the air inside becomes hot due to heat energy. The volume of air increases as the temperature increases, which also occurs in plastic bottles placed outside. It exists in a state in which the volume is relatively large and the pressure inside the bottle is increased. If you put a plastic bottle in this state in a refrigerator with a low temperature, the temperature of the air whose temperature has risen decreases, and the volume of the air whose temperature has decreased also decreases. The reduced volume of air causes a decrease in the pressure of pushing the PET bottle, which causes the external pressure to be relatively strong and causes the PET bottle to be crushed.",98.0,"101,1,0, because the temperature of the refrigerator is low"
99,99,"Gas tends to expand as the temperature increases, and contracts as the temperature decreases. Comparing the temperature of room temperature in summer with the temperature inside the refrigerator, the temperature of room temperature in summer is relatively higher. So, when the gas in the bottle, which was placed at room temperature, enters the refrigerator, it means that it moves from a high temperature to a low temperature. Therefore, the gas in the bottle will shrink and the bottle will be crushed because it means that the temperature will move to a place where it is low.",99.0,"102,1,0, because the temperature of the refrigerator is low"
100,100,a decrease in volume by temperature,100.0,"103,1,0, because the temperature of the refrigerator is lower than the temperature outside the summer season"
101,101,Decreased volume as high-yield temperatures in plastic bottles decrease,101.0,"104,0,1,1 because the temperature of the refrigerator is lower than the outside temperature in summer"
102,102,This is because the volume contracts as the heated air cools.,102.0,"105,1,0, the lower the temperature, the less movement of the temperature decreases"
103,103,Molecular motion slows down and internal pressure decreases,103.0,"106,0,1,0, when the temperature decreases, the movement of the gas particles is not active"
104,104,"As the temperature drops, the volume decreases",104.0,"When the temperature decreases, the movement of the gas particles decreases"
105,105,Because of the high atmospheric pressure,105.0,"108,1,0, the lower the temperature, the lower the movement of the gas particles"
106,106,I don't know.,106.0,"109,1,0, the lower the temperature, the less movement of the gas particles"
107,107,"Because of the sudden change in temperature,",107.0,"It is because the temperature of the refrigerator is lower than the temperature outside of 110,1,0, and summer"
108,108,It is so hot that inflation rapidly cooled and plastic bottles that had been contacted.,108.0,"Because the temperature of the refrigerator is lower than the outside temperature in summer, 111,0,0"
109,109,Due to the temperature differential,109.0,"112,0,0,0, the lower the temperature, the less movement of the gas particles"
110,110,The temperature is lowered gas reduces the volume.,110.0,"113,0,1,0, the lower the temperature, the less movement of the particles"
111,111,I don't know.,111.0,"114,1,0, because particles do not move actively when the temperature decreases"
112,112,Pressure difference.,112.0,"115,1,0, because the movement of the particles decreases when the temperature decreases"
113,113,The air is compressed to temperature changes.,113.0,"116,1,1,0, decreasing the particle movement as the temperature decreases"
114,114,"The plastic bottle is only in the summer, temperatures rise if temperature is in the fridge to expansion and contraction nyaryeogamyeonseo Yes.",114.0,"117,1,1,0, the movement of the particles decreases as the temperature decreases"
115,115,"Keep plastic bottles outside a hot day, warmed up so the temperature in the summer because they crushed by pressure is increased by a sudden you move in a cool place.",115.0,"118,1,0,0,,,119,1,0,0,,,"
116,116,"The temperature is high in places, and objects in space with low temperature low temperature and barometric pressure.",116.0,"120,0,0,0,,,"
117,117,"Outside the temperature is high to low temperature while expansion is a plastic bottle of situation, because to retract.",117.0,"121,1,0,0,,,"
118,118,"The refrigerator is expanded outside because of the low temperature compared to the outside air, which is fewer.",118.0,"122,0,0,0,,,"
119,119,뭐라고 설명해야 할 지 모르겠다.,119.0,"123,1,0,0,,,"
120,120,Temperature too high.,120.0,"124,0,1,0,,,"
121,121,I don't understand.,121.0,"125,1,1,0,,,"
122,122,Will be be warm plastic bottles in the refrigerator temperature is lower.,122.0,"126,1,0,1,,,"
123,123,The barometer is high.,123.0,"127,1,1,0,,,"
124,124,"Because they have a higher pressure, temperature goes down.",124.0,"128,1,0,0,,,"
125,125,Hot air in contact with cold air and when you see the movement of air molecules by the cold air gets smaller and crushed by volume is reduced accordingly.,125.0,"129,1,0,1,,,"
126,126,"A higher temperature reduces the amount of air per unit volume. Putting plastic bottles in this state in the refrigerator lowers the temperature, increasing the amount of air per unit volume, reducing the volume of plastic bottles.",126.0,"130,0,0,0,,,"
127,127,"In the summer, the temperature of the plastic bottle increased due to the high temperature, and as soon as the temperature entered the refrigerator with the low temperature, the temperature decreased rapidly, and the volume contracted, so it was crushed",127.0,"131,0,0,0,,,"
128,128,"Gas molecules in warm air increase in volume because they move fast, but gas molecules in cold air decrease in volume because they move slowly.",128.0,"132,1,0,0,,,"
129,129,in contraction,129.0,"133,1,1,0,,,"
130,130,The steam evaporates,130.0,"134,1,0,0,,,"
131,131,"Because of the temperature difference,",131.0,"135,0,0,0,,,"
132,132,the temperature of atmospheric pressure,132.0,"136,0,0,0,,,"
133,133,Because the temperature suddenly changed,133.0,"137,1,0,0,,,"
134,134,I don't understand.,134.0,"138,1,0,0,,,"
135,135,I don't know,135.0,"139,0,0,0,,,"
136,136,Because of the temperature difference,136.0,"140,1,0,0,,,"
137,137,It is because warm air escapes from the bottle.,137.0,"141,0,0,0,,,"
138,138,The volume of air inside shrinks and shrinks,138.0,"142,1,0,0,,,"
139,139,a sudden change in temperature,139.0,"143,1,0,0,,,"
140,140,I don't know because it's suddenly,140.0,"144,1,0,1,,,"
141,141,Air contraction inside due to sudden coldness,141.0,"145,1,1,0,,,"
142,142,"""The plastic bottle outside is hot",142.0,"146,1,0,0,,,"
143,143,"If you put it in a cold refrigerator, the plastic bottle shrinks.""",143.0,"147,1,0,0,,,"
144,144,This is because the gap between the air at high temperatures was drastically narrowed due to low temperatures.,144.0,"148,0,0,0,,,149,1,0,0,,,"
145,145,There's a bigger difference in temperature and pressure than the pressure inside the bottle pressure,145.0,"150,1,0,0,,,"
146,146,The temperature is different,146.0,"151,1,0,0,,,"
147,147,It's hot,147.0,"152,0,1,0,,,"
148,148,I don't know,148.0,"153,0,0,0,,,"
149,149,"The plastic bottle, which had been inflated by the heat, was moved to the cold center and contracted",149.0,"154,1,0,0,,,"
150,150,This is because it contracts by hitting a cold temperature (wind) after being hot.,150.0,"155,1,0,0,,,"
151,151,Because there is a temperature difference,151.0,"156,0,0,0,,,"
152,152,It's crushed under pressure.,152.0,"157,1,0,0,,,"
153,153,I don't know,153.0,"158,1,0,0,,,"
154,154,The temperature suddenly changed,154.0,"159,1,0,0,,,"
155,155,I was in a warm place and moved to a cold place.,155.0,"160,1,0,0,,,"
156,156,I don't know.,156.0,"161,1,0,0,,,"
157,157,Because the air is cold.,157.0,"162,1,0,0,,,"
158,158,This is because the temperature is different.,158.0,"163,1,0,0,,,"
159,159,"As the hot air in the bottle escapes out, the pushing force in the bottle disappears and the bottle is crushed",159.0,"164,1,0,0,,,"
160,160,"If you put a warm plastic bottle in the cold refrigerator,",160.0,"165,1,0,0,,,"
161,161,"Outside, the temperature is higher, so the volume of the gas is larger than when the temperature is lower, but suddenly the temperature decreases, reducing the volume of the gas and crushing the bottle",161.0,"166,1,0,0,,,"
162,162,Because of the temperature,162.0,"167,1,1,0,,,"
163,163,"If you leave a plastic bottle outside in the summer, it's hot and the bottle swells, and if you put it in the refrigerator, the surroundings are cold and the bottle is crushed...",163.0,"168,1,0,0,,,"
164,164,Because it's so hot;,164.0,"169,1,0,0,,,"
165,165,"When you suddenly go from hot to cold temperatures, the volume decreases and collapses.",165.0,"170,1,0,0,,,"
166,166,The temperature suddenly changed,166.0,"171,0,1,0,,,"
167,167,The air pressure inside the bottle is different from the air pressure outside on a hot day,167.0,"172,1,0,0,,,"
168,168,"The heat temperature of the plastic bottle was high, but the temperature suddenly decreased, so the volume suddenly decreased.",168.0,"173,1,0,0,,,"
169,169,This is because the temperature was high and then lowered.,169.0,"174,0,0,0,,,"
170,170,"Refrigerator has a lower temperature than outside in summer, so the volume of gas in refrigerator is smaller than outside in summer",170.0,"175,0,0,0,,,"
171,171,with less air pressure,171.0,"176,1,0,0,,,"
172,172,This is because the volume of air and water in the plastic bottle decreases as the temperature decreases.,172.0,"177,1,0,0,,,"
173,173,It's too hot to bulk up and down,173.0,"178,1,0,0,,,179,0,0,0,,,"
174,174,The water is frozen,174.0,"180,1,0,0,,,"
175,175,Yeah.,175.0,"181,1,0,0,,,"
176,176,Because the temperature is cold,176.0,"182,0,0,0,,,"
177,177,This is because the volume increases when it is hot and decreases when the temperature decreases.,177.0,"183,0,0,0,,,"
178,178,The plastic bottle expands due to hot heat and suddenly contracts quickly due to cold air and is crushed.,178.0,"184,1,0,0,,,"
179,179,I don't know,179.0,"185,1,0,0,,,"
180,180,It's because of the temperature,180.0,"186,0,1,0,,,"
181,181,"If you put it in the refrigerator, the temperature will decrease, so it will be crushed as the volume decreases.",181.0,"187,1,0,0,,,"
182,182,I don't know.,182.0,"188,1,0,0,,,"
183,183,1) It is the same principle as this. ^^,183.0,"189,1,1,0,,,"
184,184,The temperature is different,184.0,"190,1,0,0,,,"
185,185,This is because the temperature changes.,185.0,"191,0,0,0,,,"
186,186,a difference in atmospheric pressure,186.0,"192,1,0,0,,,"
187,187,This is because the volume expands when the temperature decreases.,187.0,"193,1,0,0,,,"
188,188,"The temperature suddenly changed, and the plastic bottle couldn't adjust to the temperature",188.0,"194,1,1,0,,,"
189,189,"As the water inside cools, the pressure in the plastic bottle decreases",189.0,"195,0,1,0,,,"
190,190,"When it is hot, the plastic bottle expands and the cold air in the refrigerator meets and collapses.",190.0,"196,0,0,0,,,"
191,191,Because it expands,191.0,"197,1,0,0,,,"
192,192,Because the plastic bottle was at warm temperatures and hit the cold air,192.0,"198,1,0,0,,,"
193,193,This is because the plastic bottle was hot and suddenly became cold.,193.0,"199,1,0,0,,,"
194,194,This is because the temperature of the refrigerator increases and the air pressure is reduced,194.0,"200,1,0,0,,,"
195,195,"Because there is less air in the refrigerator, the air in the plastic bottle escapes",195.0,"201,1,0,0,,,"
196,196,I don't know.,196.0,"202,1,0,0,,,"
197,197,"There's a big difference in temperatureIf you suddenly put it in a hot place and put it in a cold place, it will be crushed because of a sharp temperature difference",197.0,"203,0,0,0,,,"
198,198,"The plastic bottle is hot, but when you put it in a cold refrigerator, the temperature difference is severe and it is crushed",198.0,"204,1,0,0,,,"
199,199,This is because the temperature outside the refrigerator is high and the temperature inside the refrigerator is low in summer.,199.0,"205,0,1,0,,,"
200,200,Because the temperature suddenly changed.,200.0,"206,1,0,0,,,"
201,201,"It was warm, but I went into a cold place",201.0,"207,1,0,0,,,"
202,202,I don't know.,202.0,"208,1,0,1,,,209,1,1,0,,,"
203,203,I was in a hot place and suddenly went into a cold place,203.0,"210,1,0,0,,,"
204,204,under a lot of pressure,204.0,"211,1,0,1,,,"
205,205,"If you put a plastic bottle in the hot air in the refrigerator, it hardens into a soft state",205.0,"212,1,0,0,,,"
206,206,It is because it is swollen because it is hot air and suddenly meets cold air,206.0,"213,0,1,0,,,"
207,207,"The plastic bottle, which became hot under the influence of sunlight, suddenly receives cold air, and hot air and cold air collide with each other, causing the plastic bottle to be crushed.",207.0,"214,1,0,0,,,"
208,208,This is because the temperature changes rapidly and the air pressure changes in the bottle.,208.0,"215,1,0,0,,,"
209,209,"This is because plastic bottles left outside in summer enter a refrigerator with a low temperature while the temperature is high, resulting in a temperature difference between the inside and outside of the bottle.",209.0,"216,1,1,0,,,"
210,210,This is because the movement of the particles became less and contracted as the temperature decreased.,210.0,"217,1,0,0,,,"
211,211,The temperature suddenly dropped,211.0,"218,0,0,0,,,"
212,212,This is because the air pressure in the plastic bottle is lower than the air pressure in the refrigerator,212.0,"219,1,0,0,,,"
213,213,The temperature inside the refrigerator is cold,213.0,"220,1,0,1,,,"
214,214,"As the temperature rises, oxygen is compressed",214.0,"221,0,1,0,,,"
215,215,"When it's hot, the air pressure is high, but when I go into the cool refrigerator, the air in the bottle decreases.",215.0,"222,0,0,0,,,"
216,216,"This is because the lower the temperature, the smaller the volume of the gas.",216.0,"223,0,1,0,,,"
217,217,It is a phenomenon that occurs because the volume of ice increases as the water freezes.,217.0,"224,1,0,0,,,"
218,218,"In summer, it receives a high temperature and suddenly becomes cold and crushed when put in the refrigerator.",218.0,"225,0,1,0,,,"
219,219,The temperature suddenly changed and the particles gathered,219.0,"226,0,0,1,,,"
220,220,"Because the pressure of the air has decreased,",220.0,"227,1,0,0,,,"
221,221,I don't know,221.0,"228,1,0,0,,,"
222,222,pressure difference,222.0,"229,1,1,0,,,"
223,223,The temperature is different,223.0,"230,1,0,0,,,"
224,224,It's because of the atmospheric pressure.,224.0,"231,1,0,0,,,"
225,225,The bonds between the molecules become narrow,225.0,"232,1,0,0,,,"
