,Unnamed: 0,"12. About 2,000 years ago, there were three countries on the Korean Peninsula: Silla, Baekje, and Goguryeo. For about 700 years, three countries (Silla, Baekse, and Goguryeo) fought many wars to take over the Han River. Eventually, Silla unified the three kingdoms. Let's explain how Silla unified the three kingdoms.",Unnamed: 0,"Silla-Tang _ q, the Han River Union, 12 _ winning war, 12 12 _ _ out of the party, q q q, the alliance, 12 _ naje q q 12 Silla-Tang Union._ War victory 12 1, qDislodgment per 1, 12 _ q1, 12 the Han River q.An alliance, 12 _ naje q1"
20,20,"Silla formed a Nadang alliance with the Tang Dynasty, destroying Baekje and destroying the next Goguryeo kingdom.",20.0,"1, 1, 1, 0, 0, 20, Tang and allied.. Tang and unified the three ancient kingdoms, and you're going to have."
21,21,"And the party drove it out.""",21.0,"21,1,0,0,1,1,신라는 당과 연합,,당나라를 몰아내고 삼국을 통일하였음,,"
22,22,"Baekje was destroyed when Silla fought Baekje and won the Battle of Hwangsanbeol. After that, Silla united with the Tang Dynasty to attack Goguryeo, and after winning and achieving the unification of the three kingdoms, it defeated the Tang Dynasty in the Nadang War to unify the three kingdoms for the independent unification of the Korean people.",22.0,"1, 1, 1, 0, 0, 22, and, out of the Tang army and, to Silla and the Union."
23,23,"Baekje occupied the Han River > Weakened > Goguryeo's longevity king > Baekje, Silla's alliance > Lower Han River > Silla's betrayal > Na Dang's alliance > Han River",23.0,"1, 0, 0, 0, 0, 23, the Silla and the United Nations, ousted the Tang Army..."
24,24,"Silla, which had been checked by Baekje and Goguryeo, formed a coalition with the Tang Dynasty to destroy Baekje and Goguryeo, and after reunification, won the war with the Tang Dynasty to interfere with Silla to complete the unification of the three kingdoms.",24.0,"24,1,0,1,1,0,신라는 당과 연합을 하였다,,당나라 군대를 몰아내고 삼국 통일,,"
25,25,"Baekje was ruined. The alliance of the Nathang ruined Goguryeo. The party hit him in the back of the head, and he almost screwed up.",25.0,"1, 1, 1, 0, 0, 25, has unified the three ancient kingdoms, and a Silla and the United Nations, the Tang army and out."
26,26,"Silla conquered the Han River basin, formed a coalition of Na-Party forces, unified the three kingdoms, and betrayed the Tang Dynasty.",26.0,"26, 0, 1, 0, 1, 1 being, Silla and the Union, went through and unification, the Tang Army."
27,27,"When Baekje attacked Silla, Silla asked Goguryeo for help, but when Goguryeo refused to accept it, Silla formed a Nadang alliance with the Party and formed an alliance with Baekje, Goguryeo, Why, and Malgal to wage war, but the Nadang alliance won and Goguryeo and Baekje died. Later, Silla fought against the Tang Dynasty, and Silla won this battle.",27.0,"1, 1, 0, 1, 1, 27, Silla and the Union to be, Tang army and have unified the three ancient kingdoms, and you're going to have."
28,28,"Silla's alliance with Baekje led to the defeat of Goguryeo and Silla's betrayal of Baekje and took over the Han River area Silla is Tang and I.After combining of course and hitting Baekje, Goguryeo was built. So the three countries were united",28.0,"1, 1, 0, 0, 0, 28, to Silla and the United Nations., that unified the three ancient kingdoms, and out of the Tang Army.1, 1, 1, 0, 0, 29, became Silla and the United Nations, Silla joined hands you're going to have the Tang Dynasty.."
29,29,"Silla formed an alliance between Baekje and I to fight Goguryeo and occupy the Han River basin, where Silla and Baekje fought to have the basin. Silla won here and achieved Silla's heyday. (King Jinheung's era) - Silla destroyed the neighboring kingdom of Gaya, formed a Nadang alliance with the Tang Dynasty to destroy Baekje and Goguryeo, and finally achieved the unification of the three kingdoms through war with the Tang Dynasty. This unification of the Three Kingdoms has the significance of achieving the first national unity, but there is a limit to the use of foreign forces in that it was helped by the Tang Dynasty.",29.0,"0, 0, 0, 0, 0, 30, Silla and the coalition ousted Silla joined hands to the Tang Dynasty... was."
30,30,"Silla formed a Nadang alliance with the Tang Dynasty, surrendering Baekje and destroying Goguryeo to unify it.",30.0,"31, 0, 0, 0, 0, 0, became a Silla and the United Nations, unification, and Silla joined hands you're going to have the Tang Dynasty."
31,31,"Silla formed a coalition with the Tang Dynasty, captured Baekje and Goguryeo, fought again with the Tang Dynasty over the territory of the Korean Peninsula, and drove out the Tang Dynasty and established the territory of the Unified Silla.",31.0,"0, 0, 0, 0, 0, 32, Silla unified the Party and forming a coalition, the three kingdoms : Goguryo, Baekje and Silla was rewarded.."
32,32,I don't know,32.0,"0, 0, 0, 0, 0, 33, Silla was party and form alliances, and unified the three ancient kingdoms, and Silla joined hands you're going to have the Tang Dynasty."
33,33,The three countries agreed together to reunify,33.0,"0, 0, 0, 0, 0, 34, Silla was party and form alliances, and unified the three ancient kingdoms, and Silla joined hands you're going to have the Tang Dynasty."
34,34,I don't know,34.0,"0, 0, 0, 0, 0, 35, becoming a party and form alliances for Silla, that unified the three ancient kingdoms, and Silla joined hands you're going to have the Tang Dynasty."
35,35,I don't know,35.0,"0, 0, 0, 0, 0, 36, a party and form alliances for Silla., Silla, out of the Tang Army."
36,36,I don't know,36.0,"0, 0, 0, 0, 0, 37, a party and form alliances for Silla, ousted the Tang army and Silla..."
37,37,I don't know,37.0,"0, 0, 0, 1, 0, 38, Silla unified party of the Tang army and the three kingdoms : Goguryo, Baekje and Silla, in the Union,."
38,38,I don't know,38.0,"0, 0, 0, 0, 0, 39, Silla was party and form a coalition of the unification of the Tang army and the three kingdoms : Goguryo, Baekje and Silla..."
39,39,I don't know,39.0,"0, 0, 0, 0, 0, 40, Silla unified the Tang army and the three kingdoms : Goguryo, Baekje and Silla in, a coalition of the party..."
40,40,"Silla, which unified Goguryeo and Baekje and was the weakest, even ate the Han River",40.0,"Silla, 41, 0, 0, 0, 0, 0, becoming the party of the Union to achieve, unification and, the Tang army and the three kingdoms : Goguryo, Baekje and Silla."
41,41,I don't know,41.0,"0, 0, 0, 0, 0, 42, of Silla and the Union must have been, and unification of the Tang army and the three kingdoms : Goguryo, Baekje and Silla, achieve."
42,42,I don't know,42.0,"0, 0, 0, 0, 0, 43, was party and form a coalition of Silla, Baekje and Goguryeo and to destroy the Tang you're going to have.."
43,43,I don't know.,43.0,"0, 0, 0, 0, 0, 44, was party and form a coalition of Silla, Baekje and Goguryeo after defeating the Tang you're going to have.."
44,44,Silla seems to have unified by persuading Baekje and Goguryeo.,44.0,"0, 0, 45, 0, 0, 0, and the Union to destroy Goguryeo, Baekje and then drive the Tang Army..."
45,45,I don't know.,45.0,"0, 0, 0, 46, 0, 0, and the Union, Baekje and Goguryeo in succession after defeating the Tang army and you're going to have.."
46,46,I don't know,46.0,"47, 0, 0, 0, 0, 0, and drive and Qing Dynasties.. to destroy the other countries, that the Union."
47,47,I don't know,47.0,"48, 0, 1, 0, 0, 1, and the Union did, in other countries after defeating the Tang you're going to have.."
48,48,I don't know,48.0,"49,0,0,0,0,0,당과 연합을 하였습니다,,다른나라를 멸망시킨 후 당나라 군대를 몰아냈다,,"
49,49,"As the soldiers died in the war, they made up as people disappeared.",49.0,"1, 0, 0, 0, 0, 50, will unite the party, other countries after defeating the Tang army and you're going to have.."
50,50,"""In the beginning, there was Gaya, but Gaya was quickly destroyed, and Silla and Baekje were allied",50.0,"0, 0, 0, 0, 0, 51, and Union to be to destroy Goguryeo, Baekje and then that out, the Tang Dynasty."
51,51,"Koguryo was destroyed and Baekje rule was destroyed.""",51.0,"1, 0, 0, 1, 0, 52, became united the party, Baekje and Goguryeo in succession after defeating the Tang ... that you're going to have."
52,52,I don't know about Silla,52.0,"0, 0, 0, 0, 0, 53, became united party and to destroy Goguryeo, Baekje and then that out, the Tang Army."
53,53,Silla destroyed Baekje and Goguryeo with the help of the party,53.0,"0, 0, 0, 0, 54, was a 0, and the Union, Baekje and Goguryeo in succession after defeating the Tang army and ... that you're going to have."
54,54,Well,54.0,"1, 0, 0, 0, 0, 55, Tang after party and became a coalition, to destroy other countries ... that you're going to have."
55,55,"Baekje occupied the Han River in the 4th century, Goguryeo occupied the Han River in the 5th century, and Silla occupied the Han River in the 6th century, resulting in King Munmu's incomplete reunification of the Three Kingdoms with the help of the party.",55.0,"0, 0, 0, 0, 0, 56, beat another country Party and forming a coalition, and Tang ... that you're going to have."
56,56,Fights between the two Koreas and the east and west forces frequently broke out.,56.0,"0, 0, 0, 0, 0, 57, was party and form alliances, the Tang army and been wiped out, to destroy the other countries."
57,57,Fights between the two Koreas and the east and west forces frequently broke out.,57.0,"58,1,0,0,1,0,당과 연합을 맺었습니다,,다른나라를 물리친 후 당나라 군대를 몰아냈음,,59, 1, 1, 0, 0, 0, and will form alliances, Baekje and Goguryeo and Silla against Tang to destroy the drive.."
58,58,Silla destroyed Baekje and Goguryeo with the help of the party,58.0,"1, 0, 0, 0, 0, 60, became party and form alliances, Baekje and Goguryeo in succession after defeating the Tang you're going to have.."
59,59,"The North and South Korean forces of Goguryeo, Baekje, and Japan, and the east and west forces of Silla were at odds.",59.0,"1, 0, 0, 0, 0, 61, became party and form alliances to destroy Goguryeo, Baekje and then drive the Tang Army..."
60,60,"After Baekje fell, Goguryeo fell",60.0,"1, 0, 1, 1, 0, 62, and form a coalition of the party, Baekje and Goguryeo after defeating the Tang army and you're going to ...."
61,61,Silla took over the Han River and unified Silla with the Tang Dynasty,61.0,"63,0,0,0,0,0,당과의 연합을 이루었다,,다른나라를 멸망시킨 후 당나라를 몰아냈습니다,,"
62,62,"Silla united with the Party to destroy Baekje and Goguryeo And when the party tried to eat the land, it attacked and it was incomplete but Silla unified it",62.0,"1, 1, 0, 0, 0, 64, a coalition of a party to drive in, Tang after beating the other countries ,,."
63,63,"Silla's Kim Chun-chu went to the party and asked for help, but they united to destroy Baekje and Goguryeo because they gave the party north of the Daedong River",63.0,"65,1,0,0,0,0,당과의 연합을 이루게 됨,,다른나라를 멸망시킨 후 당나라 군대를 몰아냈습니다,,"
64,64,B. Of course. > Baekje's collapse > Goguryeo's collapse > Unification of the Three Kingdoms,64.0,"0, 0, 0, 0, 0, 66, a coalition of a party and in other countries must have been, after defeating the Tang army and you're going to ...."
65,65,"When Goguryeo and Baekje formed an alliance with the Empress and took over the Han River basin, Silla was at odds.In alliance with the party, they form a Nadang alliance and attack Goguryeo and Baekje.",65.0,"0, 0, 0, 0, 0, 67, became a coalition of the party, Baekje and Goguryeo and to destroy the Tang was reunified.. and you're going to have."
66,66,"As promised, Su.Dang was going to give the land north of the Daedong River, but Su.When the party established Andong Dohobu, Ungjin Dohobu, and Gyerim Dohobu to Goguryeo, Baekje, and Silla, respectively, Silla showed its ambition to dominate the entire Korean Peninsula.He fought against the party and won to complete the reunification of the three kingdoms.""",66.0,"0, 1, 0, 0, 0, 68, a coalition of a party and became, in Baekje and Goguryeo after defeating the Tang was reunified.. and you're going to have."
67,67,Mordet,67.0,"69, 1, 0, 0, 0, 0, an association of the party as unified. to destroy Goguryeo, Baekje and then realize reunification, and the Tang Army..."
68,68,"""The unification of the three kingdoms was the first unification that helped Korea. Jang Bogo passed through Yeongheungman Bay and our Daejoyeong succeeded Goguryeo and created the kingdom of Haedongseong, the king of the three kingdoms,",68.0,"0, 0, 0, 0, 0, 70, the party unified the Three Kingdoms.. as an association between Baekje and Goguryeo after defeating the Tang army and was reunified.. and you're going to have."
69,69,"""Kim Chun-chu went to the party and asked to help Silla in the northern part of the Daedong River, so Tang Tae-jong gave permission to take over Baekje and the unification of the Three Kingdoms won.""",69.0,"71,1,0,1,0,0,당과의 연합으로 통일했다,,다른나라를 멸망시킨 후 당나라를 몰아내고 통일을 이루었다,,"
70,70,I united with the Tang Dynasty,70.0,"72,1,0,0,0,0,당과의 연합으로 삼국을 통일했다,,다른나라를 물리친 후 당나라를 몰아내고 통일을 이루었다,,"
71,71,I don't know.,71.0,"0, 0, 0, 0, 0, 73, Silla unified the party and as an association between. then realize reunification, and the Tang Army... to destroy the other countries."
72,72,I can't make a translation,72.0,"1, 0, 0, 0, 0, 74, Silla unified the Three Kingdoms., beat the other countries as the party of the Union and realize reunification, and the Tang Army..."
73,73,They destroyed all the nations,73.0,"75,1,0,0,0,0,신라는 당과의 연합으로 통일했다,,백제와 고구려를 멸망시킨 후 당나라를 몰아내고 통일을 했다,,"
74,74,"Goguryeo collapsed due to the attack of the Nadang coalition at the same time as the internal military fight, and Baekje lost the battle with Silla, and Silla unified the three kingdoms.",74.0,"0, 0, 0, 1, 0, 76, Goguryeo, Baekje and Shilla unified three Kingdoms in the party of the Union. After beating of defending Silla against Tang and unification, did."
75,75,"By joining forces with Baekje, Goguryeo was eliminated and Baekje was eliminated through the power of the Ming Dynasty.",75.0,"77, 0, 0, 0, 0, 0, and the EU unification. to destroy Goguryeo, Baekje and the unification and the Tang army and, after."
76,76,"The king of Baekje surrendered to the king of Silla, defeated Goguryeo with the Tang Dynasty, and finally unified the three kingdoms by defeating the Tang Dynasty",76.0,"0, 0, 0, 0, 0, 78, unified the Three Kingdoms., Baekje and Goguryeo to the party coalition after defeating the Tang army and reunification and you're going to have..."
77,77,"Silla united with the Tang Dynasty, breaking down Goguryeo and Baekje, the best countries in Northeast Asia, in order.",77.0,"0, 0, 0, 0, 0, 79, was unified, and the Union, the unification and the Tang after, to destroy the other countries."
78,78,I don't know...,78.0,"1, 0, 1, 0, 0, 80, allied party and unified three Kingdoms., another country after defeating the Tang you're going to and reunification.."
79,79,Silla established a coalition between Tang and Nadang and collapsed in the order of Baekje and Goguryeo,79.0,"81,0,0,0,0,0,신라는 당과 연합해 통일시켰다,,다른나라를 멸망시킨 후 당나라 군대를 몰아내고 통일을 했다,,"
80,80,"Silla formed a Nadang alliance with the Tang Dynasty, demolished and unified Baekje and Goguryeo in the order of Goguryeo.",80.0,"82,0,0,0,0,0,신라는 당과 연합해 삼국을 통일시켰다,,다른나라를 물리친 후 당나라 군대를 몰아내고 통일을 했다,,"
81,81,"Silla occupied the Han River first to unify the three kingdoms. If the Han River is occupied, the people can live well if they farm well and farm well, so Silla, which repeated this good cycle repeatedly, did not fight, leading to the unification of the Three Kingdoms.",81.0,"0, 1, 0, 0, 0, 83, was unified by Silla and the Union, then drive them out and achieve reunification one of the Tang, to destroy the Baekje and Goguryeo."
82,82,"Outstanding strategies and alienation, among other nations, are united in their struggle",82.0,"1, 0, 0, 0, 0, 84, had unified the three ancient kingdoms by Silla and the United Nations then drive them out and achieve reunification one of the Tang, beat, Baekje and Goguryeo."
83,83,I don't understand.,83.0,"0, 0, 0, 1, 0, 85, and formed an alliance and Unification.. then drive them out and achieve reunification one of the Tang army and, to destroy the Baekje and Goguryeo."
84,84,Silla was strong and unified.,84.0,"1, 0, 0, 0, 0, 86, and formed an alliance and unified the Three Kingdoms.. then drive them out and achieve reunification one of the Tang army and beat, Baekje and Goguryeo."
85,85,"The combined forces of the Nadang army destroyed Baekje, destroyed Goguryeo, and Silla defeated the Tang Dynasty",85.0,"87,0,0,0,0,0,당과 연합해서 통일했다,,다른나라를 멸망시킨 후 당나라를 몰아내고 통일을 이룸,,"
86,86,I don't remember.,86.0,"88, 1, 0, 1, 1, 1, and formed an alliance and unified three Kingdoms, then drive them out and achieve reunification one of the Tang, beat the other countries.1, 0, 0, 0, 0, 89, to Silla unified the party and formed an alliance and, then drive them out and achieve reunification one of the Tang army and, to destroy the other countries."
87,87,Silla swallowed it all,87.0,"0, 0, 0, 0, 0, 90, who unified the three ancient Korean kingdoms by Silla and the Union. ,, and drive them out and achieve reunification one of the Tang army and, after defeating the other countries."
88,88,It's because Silla won the war,88.0,"0, 0, 0, 0, 0, 91, Silla unified the party and formed an alliance and destroy Goguryeo, Baekje and, after the reunification, and the Tang Dynasty.."
89,89,They joined forces with China and attacked each other in both directions.,89.0,"1, 0, 0, 0, 0, 92, who unified the three ancient Korean kingdoms by Silla and the Union., Baekje and Goguryeo in succession after defeating the Tang you're going to have and the ship."
90,90,Silla took over the Han River and destroyed Baekje and absorbed Goguryeo and Baekje,90.0,"0, 0, 93, 0, 0, 0, an association of the party re-unification, to destroy Goguryeo, Baekje and, after the union, and, the Tang Army."
91,91,Silla unified the Three Kingdoms with the help of the Tang Dynasty.,91.0,"1, 0, 0, 0, 0, 94, the party to unified the Three Kingdoms, as an association between Baekje and Goguryeo after defeating the Tang army and the reunification, and the.."
92,92,I don't know.,92.0,"0, 0, 0, 0, 0, 95, the unification of the Union of the party, to destroy other countries for reunification, and the Tang Dynasty, after."
93,93,"After forming an alliance with Baekje and occupying the Han River, they broke the alliance and fought the Tang Dynasty and Baekje and Goguryeo",93.0,"0, 0, 0, 0, 0, 96, the party has unified the three ancient kingdoms as an association between other countries, after defeating the Tang you're going to have and the ship."
94,94,"Combined with the Tang Dynasty, they destroyed the stuffed kingdom and Goguryeo.",94.0,"1, 0, 0, 0, 0, 97, Silla unified the party and as an association between to drive and Tang army and to destroy the other countries, and the ship."
95,95,I don't know.,95.0,"1, 0, 0, 0, 0, 98, Silla unified the Three Kingdoms in the party of the Union to other countries, after defeating the Tang army and the reunification, and the.."
96,96,Forgot.,96.0,"' 99, 0, 1, 0, 0, 0, Silla unified the party and as an association between, Tang you're going to have.."
97,97,Kim Chun-chu of Silla achieved unification with the help of the party,97.0,"100, 1, 0, 0, 0, 0, Silla unified the Three Kingdoms in the party of the Union, Silla joined hands you're going to have the Tang Dynasty.."
98,98,"They quarreled with each other.He joined hands with the Tang Dynasty topple Goguryeo and 50,000 troops topple Baekje",98.0,"101,1,0,0,0,0,당과 연합해 통일시킴,,산라와 당나라외의 전쟁에서 일부 승리했다,,"
99,99,"""Kim Choon-chu achieved the unification of the three kingdoms""",99.0,"102,0,0,0,0,0,당과 연합해 삼국을 통일시킴,,신라가 당나라와의 전쟁에서 일부 승리했다,,"
100,100,"Silla first struck Baekje to make it Silla, and then Goguryeo to make it Silla, and Silla unified the three kingdoms.",100.0,"103, 0, 0, 0, 0, 1, but the Unified Silla's Tang in the war, to beat the Union party and the territory of the three kingdoms : Goguryo, Baekje was a complete repair, did not."
101,101,I don't know.,101.0,"0, 0, 0, 0, 0, 104, the party allied to unified the three ancient kingdoms, the three kingdoms : Goguryo, Baekje's territory is completely reclaimed only drive the Tang Dynasty., motaejji."
102,102,"Silla asked Tang for help because his country became in danger And with the Tang army, they destroyed Baekje and Goguryeo, and the Tang wanted to take over the Korean Peninsula",102.0,"0, 0, 0, 0, 0, 105, Silla unified the Three Kingdoms.. and drive the party allied with each other to unification, Tang."
103,103,"Although the attack was made, Silla was forced to resign due to Silla's resistance, and Silla unified the three countries, but with the help of the Tang Dynasty, it is not a true unification of the three countries.""",103.0,"0, 1, 0, 0, 0, 106, which unified the three ancient kingdoms by Silla and the Union, the Tang Dynasty unified the Three Kingdoms..."
104,104,"Silla sought help from China, but China was plotting a secret plot, and Baekje and Goguryeo took advantage of the confusion to destroy and unify it. However, China asked Silla for territory, and China now occupies the upper part of Goguryeo.",104.0,"107, 1, 0, 0, 0, 0, unified by Silla and the Union, unified three Kingdoms., and defeat of defending Silla against Tang."
105,105,Silla first occupied Goguryeo and then Baekje.,105.0,"108, 0, 0, 0, 0, 0, who unified the three ancient Korean kingdoms by Silla and the Union, unified three Kingdoms, out of the Tang Dynasty..."
106,106,Silla joined hands with Goguryeo to hit Baekje and then joined hands with Tang to hit Goguryeo,106.0,"109, 1, 0, 0, 0, 0, unifying the party and formed an alliance and .. chewing."
107,107,"Silla wanted to get rid of Baekje first. So, when he joined hands with Goguryeo and hit Baekje, Goguryeo joined hands with Tang and destroyed it. After that, the Tang interference was so severe that it could not be said to be a completely independent country.",107.0,"110, 0, 0, 0, 0, 0, and formed an alliance and unified the Three Kingdoms. ,,,."
108,108,I don't know.,108.0,"111, 0, 0, 0, 0, 0, unifying the party and formed an alliance and .. chewing."
109,109,"The fall of Baekje and Goguryeo, and the fall of Goguryeo",109.0,"112, 0, 0, 0, 0, 0, through the party and formed an alliance and unification ,,,."
110,110,I don't know.,110.0,"0, 0, 0, 0, 0, 113, to Silla unified the party and formed an alliance and .. chewing."
111,111,I don't know,111.0,"0, 1, 0, 0, 0, 114, who unified the three ancient Korean kingdoms by Silla and the Union to ,,,."
112,112,I won the fight,112.0,"115, 0, 0, 0, 0, 0, Silla unified the party and formed an alliance and .. chewing."
113,113,a coalition of parties,113.0,"0, 1, 0, 0, 0, 116, ,,, to unified the three ancient kingdoms by Silla and the Union."
114,114,I was frustrated because they kept fighting,114.0,"117,1,0,0,0,0,당과의 연합으로 통일시켰습니다,,,,"
115,115,"He was close to the Tang Dynasty, and first attacked Baekje to make Baekje Silla land, and then attacked Goguryeo to unify the three kingdoms.",115.0,"118, 1, 0, 0, 0, 0, an association of the party as unified the Three Kingdoms by ,,,119, 1, 0, 0, 0, 0, an association of the party as unified ,,,."
116,116,h,116.0,"120, 0, 0, 0, 0, 0, an association of the party as unified three Kingdoms. ,,,."
117,117,Well,117.0,"1, 0, 0, 0, 0, 121, Silla unified the party and as an association between by ,,,"
118,118,It's a very good question,118.0,"122, 0, 0, 0, 0, 0, Silla unified the Three Kingdoms in the party of the Union by ,,,"
119,119,"Silla's Later Baekje was created and Goguryeo's Singo and Gungye became gods, so Wang Geon chased Gungye and established it as Goryeo, which destroyed the Later Baekje Silla, unified the Three Kingdoms",119.0,"Silla unified the party and as an association between 0, 0, 0, 0, 0, 123, ,,,."
120,120,Fight and win,120.0,"0, 1, 0, 0, 0, 124, Shilla unified three Kingdoms. ,,, to the party of the Union."
121,121,We made up,121.0,"125, unification and ,,, to 0, 0, 0, 0, 0, and the Union."
122,122,We fought a war,122.0,"126, 0, 0, 0, 0, 0, and the Union who unified the three ancient Korean kingdoms by ,,,"
123,123,Silla joined hands with Tang and defeated Goguryeo and Baekje,123.0,"127, 0, 0, 0, 0, 0, and the unified Union to ,,,."
124,124,The Tang Dynasty of SillaㅔㅔㅔㅔㅔUnification!!!!!!,124.0,"0, 0, 0, 0, 0, 128, the party unified the three ancient kingdoms of the Union to ,,,."
125,125,the coalition of the ruling parties,125.0,"0, 1, 0, 0, 0, 129, to Silla and the United Nations reunification by ,,,"
126,126,Very well~~~~~,126.0,"13, 0, 0, 0, 0, 0, who unified the three ancient Korean kingdoms by Silla and the Union by ,,,"
127,127,Silla joined forces with the party,127.0,"131, 0, 0, 0, 0, 0, unified by Silla and the Union. ,,,."
128,128,I don't know.,128.0,"0, 0, 0, 0, 0, 132, unified the three ancient kingdoms by Silla and the United Nations .. chewing."
129,129,I don't know,129.0,"133, 0, 1, 0, 0, 0, party and formed an alliance and unification by ,,,"
130,130,win by a head-to-head approach,130.0,"0, 0, 0, 0, 0, 134, through party and formed an alliance and unification by ,,,"
131,131,I want to eat sweet potatoes.,131.0,"0, 0, 0, 0, 0, 135, unified party and formed an alliance and .. chewing."
132,132,I don't know.,132.0,"136, 1, 0, 0, 0, 0, and formed an alliance and unified the three ancient kingdoms of the ,,,."
133,133,ㅗ,133.0,"0, 0, 0, 0, 0, 137, Silla unified the party and formed an alliance and by ,,,"
134,134,Perfect score,134.0,"138, 0, 0, 0, 0, 0, who unified the three ancient Korean kingdoms by Silla and the Union by ,,,"
135,135,a number of war,135.0,"0, 1, 1, 0, 0, 139, Silla unified the party and formed an alliance and .. chewing."
136,136,I don't know.,136.0,"14, 0, 0, 1, 0, 0, who unified the three ancient Korean kingdoms by Silla and the Union. ,,,."
137,137,"A figure from Silla unified the three countries, Baekje and Goguryeo",137.0,"0, 0, 0, 0, 0, 141, and Silla joined hands with the Tang Dynasty. ,,,."
138,138,Well...,138.0,"0, 0, 0, 0, 0, 142, and Union was ,,, is Tang."
139,139,They fought against Bekje and Goguryeo and unified them,139.0,"143, 0, 0, 0, 0, 0, ,,, other, and Tang China."
140,140,Silla's Kim Yu-shin and white wildcat rrrr captured Baekje and Goguryeo.,140.0,"0, 0, 0, 0, 0, 144, ,,, of Silla, and the Union."
141,141,Is that a part time job?,141.0,"145,1,0,0,0,0,나당연합,,,,"
142,142,Nadang United-Baekje Cut-Goguryo Cut,142.0,"0, 0, 0, 0, 0, 146, Shilla and combined ,,, of the Tang Dynasty."
143,143,They eat from the neighboring neighborhood one by one.,143.0,"0, 1, 0, 0, 0, 147, and ,,, and of the Union."
144,144,I forgot.,144.0,"148, 0, 0, 0, 0, 0, Silla ,,, a union.149, 1, 0, 1, 0, 0, Silla yeopap .. chewing."
145,145,"Goguryeo is destroyed, and Silla beats Tang's navy. And Baekje is destroyed. Silla defeated the Party's army and unified the three kingdoms.",145.0,"150, 1, 0, 0, 0, 0, Tang and yeopap of Silla ,,,."
