,Unnamed: 0,"2) Why are the powers and roles of the state divided into the National Assembly, the government, and the courts as above?",Unnamed: 0,", q34_power variance, q34_efficiency, q34_power variance.1,q34_Efficiency.1"
72,72,This is to prevent dictatorship by checking each other by the three power agencies.,72.0,"74,1,0, each institution is divided to check"
73,73,This is to prevent an institution from monopolizing power and violating the freedom and rights of the people.,73.0,"75, 1, 0, divided into three institutions to keep each other in check"
74,74,This is to achieve a balance of power through the principle of separation of powers.,74.0,"76,1,0, divided national institutions to check each other,"
75,75,the dispersion of power,75.0,"77,1,0, national institutions are divided to keep each other in check"
76,76,This is because dictatorship can be achieved if one side is biased.,76.0,"78,1,0, divided into three institutions to keep national institutions in check with each other,"
77,77,To prevent a phenomenon where power is focused on either side and monopolized,77.0,"79,1,0, divided to check whether the role is fulfilled well,"
78,78,prevention of monopoly of power,78.0,"80,1,0, divide to check if the role is fulfilled well"
79,79,The move is aimed at decentralizing power through the separation of three powers.,79.0,"81,1,0, sharing to check if he fulfills his role well"
80,80,It separates power to prevent it from being biased to one side.,80.0,"82,1,0, monitoring each other and dividing them to keep in check"
81,81,"This is because if the power and role of the state are skewed to one side, the people may not be guaranteed human rights or be unjustified.",81.0,"83,1,0, divided to watch and check each other,"
82,82,This is to protect the rights that the people can basically enjoy by preventing power from gathering in one place.,82.0,"84,1,0, divided into three institutions to monitor and check each other,"
83,83,It is to prevent the concentration of state power.,83.0,"85, 1, 0, monitor each other and divide each agency to check,"
84,84,"The power of the state is not concentrated in one place, but is divided into the National Assembly, the government, and the court, so that the power of each other's agencies is dispersed while checking the other agencies. So the power of the state is concentrated in one place, making it difficult for the power of the state to be abused easily.",84.0,"86,1,0, divided to monitor each other and check each institution,"
85,85,This is to prevent dictatorship by separating power from each of the three independent agencies without the power of the state being concentrated in one place,85.0,"87,1,0, sharing to monitor each other and check each institution,"
86,86,"The National Assembly, the government, and the courts can separate the powers of the state into three, monitor each other, and apply them to prevent abuse of state power because they can abuse the power of the state and infringe on citizens' human rights of citizens.",86.0,"88,1,0,,89,1,0,,"
87,87,This is to prevent the emergence of a dictatorship by shifting power to one side.,87.0,"90,1,0,,"
88,88,The reason is that the three agencies check each other's power to check the abuse of power.,88.0,"91,1,0,,"
89,89,"By preventing state power from being concentrated on one state agency, it is to ensure that state agencies check and balance each other.",89.0,"92,1,0,,"
90,90,This is to prevent the basic rights of the people from being violated by the concentration of state power to one side.,90.0,"93,1,0,,"
91,91,"If an agency has all the power of the state, it cannot be prevented when the agency tries to commit irregularities, so that it can share power and keep each other in check and balance.",91.0,"94,1,0,,"
92,92,"If a state agency has the power of legislation, administration, and judicial law, it can violate the quality of life and human rights of the people through abuse of power, such as creating and enforcing laws that it wants to make and administering accordingly.",92.0,"95,1,0,,"
93,93,separation of powers,93.0,"96,1,0,,"
94,94,"If too much power is gathered in a state agency, it can rule the country alone.",94.0,"97,1,1,,"
95,95,"If one agency has all the power, a reckless state will be created that can threaten beyond the rights of the people and even human rights. It is not difficult for an institution to be in full charge of establishing laws, adjudicating, and running the state, so that the three institutions can divide these powers and adopt and use methods to keep each other in check and control.",95.0,"98,1,0,,"
96,96,"The move is aimed at preventing the phenomenon of the dictatorship in advance through the separation of the three powers and realizing the divided powers in accordance with the set areas for balanced state management. Also, with the emergence of dictatorships,",96.0,"99,1,0,,"
97,97,"This is to ensure that the human rights of the people are not damaged by a group's monopoly of power.""",97.0,"100,1,0,,"
98,98,"By separating the three powers, the National Assembly, the government, and the court, it is to prevent power from being concentrated on only one institution and to maintain the country while keeping the three institutions in check with each other.The move is aimed at ensuring the human rights of the people as much as possible by dividing the power of the state into the National Assembly, the government, and the court, as the power of the state can be abused by the state agency alone.",98.0,"101,1,0,,"
99,99,"If a government agency is empowered, it can implement policies, make laws, and trial at will, so it can be divided into three categories to help each other, and to lead the country in check",99.0,"102,1,0,,"
100,100,It is to disperse the power of the state so that one agency cannot violate people's human rights recklessly.,100.0,"103,1,0,,"
101,101,"Without each institution, the influence of other institutions could become too great. Therefore, the reason is to create a three-way separation system that divides the power of the state into three organizations to keep each other in check so that the national administration does not focus on one side.",101.0,"104,1,0,,"
102,102,"The National Assembly serves as legislation, the government as administrative, and the court as judicial. However, legislation, administration, and judicial law are necessary actions to run the entire country. By focusing these actions on one organization, it is like laying the foundation for anti-humanitarian acts such as the Nazis. In other words, the entire country is operated, and each power is divided into the form of separation of the three powers so that it can be kept transparent under check.",102.0,"105,1,0,,"
103,103,a branch of power,103.0,"106,1,0,,"
104,104,So that we can develop by keeping each other in check,104.0,"107,1,0,,"
105,105,To check each other's power by separating the three powers,105.0,"108,0,1,,"
106,106,"In order to play a fair role while being wary of each other,",106.0,"109,1,0,,"
107,107,separation of powers,107.0,"110,0,1,,"
108,108,"To prevent abuse of power by an organization by separating the three powers,",108.0,"111,0,1,,"
109,109,To prevent power from being skewed,109.0,"112,0,0,,"
110,110,You have to divide the roles so that things go smoothly,110.0,"113,1,0,,"
111,111,This is to prevent power from being skewed to one side by dividing power.,111.0,"114,1,0,,"
112,112,This is because it is more efficient and accurate to divide according to one's ability than to do all the work in one place,112.0,"115,1,0,,"
113,113,"In order to share and make sure the work is done efficiently,",113.0,"116,1,0,,"
114,114,I don't know.,114.0,"117,1,1,,"
115,115,To prevent an agency from monopolizing power.,115.0,"118,1,0,,119,1,0,,"
116,116,To prevent the concentration of power,116.0,"120,1,0,,"
117,117,"If power is concentrated in one institution, there can be cases of abuse.",117.0,"121,1,0,,"
118,118,"It was done to prevent power from being concentrated on one institution, and it is called the separation of three powers.",118.0,"122,1,0,,"
119,119,This is to prevent abuse of power by preventing the concentration of power and to perform the proper function of each institution.,119.0,"123,1,1,,"
120,120,"If power is concentrated in one place, it may not be fair and the consequences of profit on one side may be met It is therefore a measure to disperse power into three to prevent such a thing from happening",120.0,"124,1,0,,"
121,121,To prevent power from being concentrated on one side,121.0,"125,1,0,,"
122,122,"This is because if the separation of the three powers is not achieved, the power of one place becomes strong, so it must be checked.",122.0,"126,1,0,,"
123,123,To prevent the concentration of power in one place,123.0,"127,1,0,,"
124,124,To divide the powers of the separating states so that either side is not strong and checks each other,124.0,"128,1,0,,"
125,125,It is thought that it is difficult to deal with everything in one place and that the power is concentrated in one place to prevent corruption from occurring,125.0,"129,1,0,,"
126,126,It is to prevent power from being concentrated in one place.,126.0,"130,1,0,,"
127,127,"""The power of the nation should not be tilted to one side",127.0,"131,1,0,,"
128,128,"To create a fair nation.""",128.0,"132,1,0,,"
129,129,The separation of the three powers prevents power from being concentrated into one.,129.0,"133,0,0,,"
130,130,"By dividing power into three parts, it serves to prevent power corruption and check each other's power.",130.0,"134,1,0,,"
131,131,"In order to prevent power from being taken to one side, it was separated into parliaments, governments, and courts",131.0,"135,1,0,,"
132,132,The separation of powers prevents power from being concentrated in one place.,132.0,"136,1,0,,"
133,133,To prevent the power from being concentrated in one place,133.0,"137,1,0,,"
134,134,Not to concentrate state power in one place,134.0,"138,0,1,,"
135,135,"If you lean on one side, your strength becomes too strong, so you try to prevent it",135.0,"139,1,0,,"
136,136,because of the laws of each country,136.0,"140,1,0,,"
137,137,To prevent the force from being concentrated in one place,137.0,"141,1,0,,"
138,138,To prevent power from being concentrated in one place,138.0,"142,1,0,,"
139,139,Separation of powers,139.0,"143,1,0,,"
140,140,"This is because if the power of the state is gathered to one side, it becomes difficult to realize democracy.",140.0,"144,1,0,,"
141,141,It's because it's hard to do it all at once.,141.0,"145,0,1,,"
142,142,To prevent an agency from monopolizing power,142.0,"146,0,1,,"
143,143,To prevent the concentration of power,143.0,"147,0,1,,"
144,144,This is to prevent the power of the state from being biased to one side and to weaken it.,144.0,"148,0,0,,149,1,0,,"
145,145,It gets complicated when you're driven to Korean stations,145.0,"150,0,0,,"
146,146,I don't want to put too much energy on one side,146.0,"151,1,0,,"
147,147,"We can't focus on one side, so we should keep each other in check",147.0,"152,0,1,,"
148,148,"To handle things more comfortably and accurately,",148.0,"153,1,0,,"
149,149,To make it comfortable,149.0,"154,0,0,,"
150,150,There are so many roles,150.0,"155,1,0,,"
151,151,It's a democratic country,151.0,"156,0,0,,"
152,152,To prevent the force from being skewed in one place,152.0,"157,0,1,,"
153,153,I have no idea.,153.0,"158,0,1,,"
154,154,This is because dictatorship can happen if the power is concentrated on one side,154.0,"159,1,0,,"
155,155,This is because what the National Assembly government and the court do are different.,155.0,"160,0,1,,"
156,156,Don't let your power get skewed,156.0,"161,1,0,,"
157,157,in order to do things fairly,157.0,"162,0,1,,"
158,158,To keep each other in check and prevent one part from abusing its power.,158.0,"163,1,0,,"
159,159,I don't know.,159.0,"164,0,0,,"
160,160,I have a role to play a role,160.0,"165,0,0,,"
161,161,This is because what each administration does is different.,161.0,"166,0,1,,"
162,162,"With no concentration of power in one place, a stable country can be run",162.0,"167,1,0,,"
163,163,It's hard to do it alone,163.0,"168,1,0,,"
164,164,To keep each other in check and not monopolize power in one organization,164.0,"169,1,0,,"
165,165,I'm tired,165.0,"170,1,0,,"
166,166,I think we have divided it because we can have a dictatorship if we have the power of the state in one place.,166.0,"171,0,0,,"
167,167,"""",167.0,"172,1,0,,"
168,168,"I'm not a politician, so I don't know;; ;; ^ㅡ^",168.0,"173,1,0,,"
169,169,It is to make the country better by reflecting the opinions of many people.,169.0,"174,1,0,,"
170,170,It's because everything you do is different.,170.0,"175,0,1,,"
171,171,"The National Assembly establishes laws, the courts judge and punish crimes with them, and the government governs the country with them",171.0,"176,0,1,,"
172,172,"This is because if the power of the state is concentrated in one place, there may be a dictatorship.",172.0,"177,0,1,,"
173,173,To keep power from being skewed to one place.,173.0,"178,1,0,,179,1,0,,"
174,174,To prevent the separation of powers from being concentrated in one place,174.0,"180,1,0,,"
175,175,The President of Moon Jae In is tired,175.0,"181,1,0,,"
176,176,To prevent dictatorship and corruption,176.0,"182,0,0,,"
177,177,"""If power is brought together, dictatorship will naturally take place",177.0,"183,0,1,,"
178,178,"To prevent that, it's called separation of powers.""",178.0,"184,1,0,,"
179,179,"If one guy takes over, Korea will be ruined",179.0,"185,1,0,,"
180,180,It's so hard to be in one place,180.0,"186,1,0,,"
181,181,I'm going to split up the work,181.0,"187,0,1,,"
182,182,"Because presenting the law, making the law, or judging the law at once cannot be done.",182.0,"188,1,0,,"
183,183,The reason for dividing the three powers is that they can take the initiative and govern dictatorship in only one place.,183.0,"189,0,0,,"
184,184,To prevent the power from being pushed aside,184.0,"190,1,1,,"
185,185,It is to disperse the force.,185.0,"191,1,0,,"
186,186,"In order to prevent abuse of power and prevent work from being biased to one side, the roles are divided into three places and the work is carried out evenly.",186.0,"192,1,0,,"
187,187,I don't know.,187.0,"193,1,0,,"
188,188,Should we work hard in our respective places?,188.0,"194,1,0,,"
189,189,in order not to have the power of the state on one side,189.0,"195,0,1,,"
190,190,This is so that each administrative person cannot think only of his or her own interests.,190.0,"196,0,0,,"
191,191,"To prevent power from being skewed in one place, skewed",191.0,"197,0,1,,"
192,192,It is for systematic rotation.,192.0,"198,1,0,,"
193,193,To show that we have the same power,193.0,"199,0,1,,"
194,194,"If one place makes a mistake, the other place can fix it",194.0,"200,1,0,,"
195,195,Because we have to do too much to prevent independence and to do just one agency,195.0,"201,1,1,,"
196,196,To prevent an agency from dictatorship,196.0,"202,0,0,,"
197,197,"In order to ensure that the three organizations share the work equally so that one organization does not have powerThis is because if one place loses all of its power, it could monopolize the country.",197.0,"203,0,0,,"
198,198,"For example, if you only do these three things in government, then the power and role of the state are not balanced.",198.0,"204,0,0,,"
199,199,This is because each institution has a different job to do.,199.0,"205,0,0,,"
200,200,In order to make society more orderly,200.0,"206,0,1,,"
201,201,It's too much for one place to do it's too much,201.0,"207,1,0,,"
202,202,"To not give too much work to one person,",202.0,"208,1,0,,209,1,0,,"
203,203,"It's hard to do it all at once, so I'll split it up",203.0,"210,0,1,,"
204,204,"This is because if an institution manages everything, it can exert its power at will.",204.0,"211,1,0,,"
205,205,"""1. It's hard when one person does everything.",205.0,"212,1,0,,"
206,206,"2. If one does everything, dictatorship can happen.""",206.0,"213,1,0,,"
207,207,To create a fair society,207.0,"214,0,0,,"
208,208,I have no idea.,208.0,"215,0,1,,"
209,209,"To accurately examine and judge each person's obligations,",209.0,"216,0,1,,"
210,210,"To create a fair society,",210.0,"217,1,0,,"
211,211,This is because it is difficult to do exactly when one is done.,211.0,"218,1,0,,"
212,212,It is to prevent an institution from engaging in autocratic politics,212.0,"219,0,1,,"
213,213,"To compete and monitor each other, to determine if they are right = To interact with each other",213.0,"220,0,1,,"
214,214,It is to hold power only in one place so that it does not become a dictatorship.,214.0,"221,1,0,,"
215,215,This is because the roles are different.,215.0,"222,1,0,,"
216,216,"This is because the power of either institution should not be biased, but should be kept in check with each other and rule fairly",216.0,"223,1,0,,"
217,217,"Because if one takes charge of everything, one can abuse its power",217.0,"224,1,0,,"
218,218,Manage whether different agencies are doing the right thing and the right thing,218.0,"225,1,0,,"
219,219,"To work more slyly,",219.0,"226,0,1,,"
220,220,"If you want to do too much on one side, you can do it by dividing it into one organ, just like a machine breaks down",220.0,"227,0,0,,"
221,221,"The same people can't do all the work, they can help each other.",221.0,"228,1,0,,"
222,222,The three powers are separated to prevent wrongdoings such as corruption from occurring by gathering strength in only one place.,222.0,"229,1,0,,"
223,223,To prevent either side from becoming more powerful,223.0,"230,1,0,,"
224,224,It's hard to do it alone,224.0,"231,0,1,,"
225,225,It's hard to do many things in one place,225.0,"232,0,1,,"
226,226,To prevent corruption by gathering power in one place,226.0,"233,1,0,,"
227,227,To prevent corruption,227.0,"234,1,1,,"
228,228,I'm worried about the efficiency,228.0,"235,1,0,,"
229,229,in order to be equal,229.0,"236,1,0,,"
230,230,To build a better society for the country.,230.0,"237,1,0,,"
231,231,I'm doing different things are different,231.0,"238,1,0,,239,1,0,,"
232,232,It's hard to manage if you only smell it in one place,232.0,"240,1,0,,"
233,233,prevention of dictatorship,233.0,"241,0,1,,"
234,234,It is to prevent the power of the state from being biased to one side and abused.,234.0,"242,1,0,,"
235,235,It is to achieve separation of powers.,235.0,"243,1,0,,"
236,236,"It's hard to do everything at once, so I think I divided it",236.0,"244,1,0,,"
237,237,It's hard for the government to handle everything at once,237.0,"245,1,0,,"
238,238,for the check of power,238.0,"246,0,0,,"
239,239,"This is because if you work on only one side, the balance will be broken, so you can easily do it only when you divide it into individual tasks",239.0,"247,0,0,,"
240,240,It is to prevent power from being abused if power and role are concentrated on one side.,240.0,"248,1,0,,"
241,241,"Because if you lean to one side, the country won't operate",241.0,"249,0,1,,"
242,242,It's to keep the ears from concentrating,242.0,"250,0,0,,"
243,243,It is to prevent the power of the state from being skewed to one side.,243.0,"251,0,1,,"
244,244,"To prevent negative situations where certain forces are concentrated in one place,",244.0,"252,0,0,,"
245,245,"In order to prevent the regime from being concentrated on either side, the three powers were separated.",245.0,"253,0,1,,"
246,246,I can't do everything in one place,246.0,"254,0,1,,"
247,247,"One institution cannot monopolize, so a balance of power can be maintained.",247.0,"255,0,0,,"
248,248,It's to prevent corruption,248.0,"256,0,1,,"
249,249,So that the regime doesn't lean to one side,249.0,"257,0,1,,"
250,250,To prevent the concentration of power into one place by dividing the power of the state.,250.0,"258,1,0,,"
251,251,It's good for equity because several people are involved.,251.0,"259,0,0,,"
252,252,I don't know,252.0,"260,0,1,,"
253,253,Not to let all the power be concentrated in one organization,253.0,"261,0,0,,"
254,254,It's complicated when you do it all,254.0,"262,0,1,,"
255,255,"Since the National Assembly government gives opinions and the court decides,",255.0,"263,0,0,,"
256,256,I had so much work to do,256.0,"264,0,1,,"
257,257,I don't know,257.0,"265,0,0,,"
258,258,Sharing roles because it's hard,258.0,"266,0,0,,"
259,259,Everyone is good at different things,259.0,"267,0,1,,"
260,260,I don't know,260.0,"268,0,0,,269,0,1,,"
261,261,We do different things,261.0,"270,0,0,,"
262,262,The roles are different,262.0,"271,0,1,,"
263,263,The power of the nation cannot be controlled in one place,263.0,"272,0,0,,"
264,264,Because of this,264.0,"273,0,1,,"
265,265,It's hard to do it all in one place,265.0,"274,0,1,,"
266,266,Everyone has different ideas,266.0,"275,1,0,,"
267,267,The roles are different,267.0,"276,1,0,,"
268,268,"If people like Park Geun-he do this, the institution will fail",268.0,"277,0,1,,"
269,269,We're doing different things are different things,269.0,"278,0,1,,"
270,270,"When you meet the wrong politician, if one agency does everything, it's ruined",270.0,"279,1,0,,"
271,271,"If you do your country's work alone, people like Park's, Choi Soon-sil, and Jung Yu-ra could ruin it",271.0,"280,0,1,,"
272,272,What you do and what you're good at are different,272.0,"281,0,1,,"
273,273,I don't know,273.0,"282,0,0,,"
274,274,It's because there's a lot of work if you do it in one place,274.0,"283,0,0,,"
275,275,"It's hard to manage one side of a building, it's chaotic, and the building is not well managed",275.0,"284,0,1,,"
276,276,"This is because if an institution takes on a lot of work, it does a lot of work for that institution.",276.0,"285,0,0,,"
277,277,the heart of the nation,277.0,"286,0,1,,"
278,278,It's hard to do everything in one place,278.0,"287,0,1,,"
279,279,There's too much work for one place to do,279.0,"288,0,1,,"
280,280,Because they keep each other in check and help each other,280.0,"289,1,0,,"
281,281,"It will distribute power. If the National Assembly, the government, the courts are in one place, the power becomes too strong",281.0,"290,0,1,,"
282,282,I can't do everything in the country,282.0,"291,1,0,,"
283,283,It may be because it is hard and takes a long time if you do all three things in one place.,283.0,"292,1,0,,"
284,284,in order to stand firm with each other and not to be driven into each other's hands,284.0,"293,0,1,,"
285,285,"We have different things to do, but we need each other",285.0,"294,1,0,,"
286,286,Because you can distribute the work,286.0,"295,0,0,,"
287,287,for the sake of one's country,287.0,"296,0,0,,"
288,288,I don't know.,288.0,"297,1,0,,"
289,289,Because what you do is different.,289.0,"298,1,0,,299,0,0,,"
290,290,"Because if you do politics in one place, it will be a problem for society",290.0,"300,1,0,,"
291,291,It's hard to do many things in one place,291.0,"301,1,0,,"
292,292,"Since one can't do all of it, it's sharing the roles like one person and one person",292.0,"302,0,1,,"
293,293,I'm tired,293.0,"303,0,1,,"
294,294,One can't hog power,294.0,"304,0,1,,"
295,295,This is because it is too much to handle many tasks at once in one place.,295.0,"305,0,0,,"
296,296,"This is because if one side has power, it will be difficult to maintain the country due to imbalance.In order not to concentrate on one place,",296.0,"306,0,1,,"
297,297,Because all the things we can do different,297.0,"307,0,0,,"
298,298,"This is because if the power and role of the state are not divided, the state can have the country at its disposal",298.0,"308,0,1,,"
299,299,"This is because if one institution goes wrong, another institution replaces it.",299.0,"309,0,0,,"
300,300,"That way, it'll be more seasoned",300.0,"310,0,1,,"
301,301,It's the division of power by shaking one power,301.0,"311,1,0,,"
302,302,It means to monitor each other so that the world's famine is not given power to one place.,302.0,"312,1,0,,"
303,303,Don't know,303.0,"313,0,1,,"
304,304,To keep an eye on each other,304.0,"314,0,0,,"
305,305,"This is because if power is focused on only one place, he or she can do politics at will.",305.0,"315,0,0,,"
306,306,It's hard to do many things at once,306.0,"316,0,0,,"
307,307,It's hard and dangerous to leave everything to one role,307.0,"317,0,0,,"
308,308,It's because the experts in each field are different.,308.0,"318,0,1,,"
309,309,"""I Say """"I Don't No.""""""",309.0,"319,0,0,,"
310,310,Because it's convenient to divide the work,310.0,"320,1,0,,"
311,311,I don't know.,311.0,"321,0,1,,"
312,312,Everything we do is different,312.0,"322,0,1,,"
313,313,We can check what we've done to each other,313.0,"323,0,0,,"
314,314,"If you do it all at once at one institution, there might be a problem because there's too much work",314.0,"324,0,0,,"
315,315,To prevent power from being skewed to one place.,315.0,"325,0,1,,"
316,316,to keep each other in check,316.0,"326,0,1,,"
317,317,Because one area can't do all the work at once,317.0,"327,1,0,,"
318,318,in order to work fairly,318.0,"328,0,0,,329,0,1,,"
319,319,in order to be equal,319.0,"330,0,1,,"
320,320,To enable people to trust and follow our country.,320.0,"331,0,1,,"
321,321,"Because no matter what goes wrong on either side, there is another side.",321.0,"332,1,0,,"
322,322,This is because it is more accurate to classify and handle tasks than to handle what can be done in one task.,322.0,"333,0,1,,"
323,323,I don't know,323.0,"334,1,0,,"
324,324,To do their part and monitor each other.,324.0,"335,0,1,,"
325,325,It may be to divide a country into three areas so that the power of the country is in charge of all of them so that it is not difficult.,325.0,"336,1,0,,"
326,326,I can't do everything in one place,326.0,"337,1,0,,"
327,327,"This is because the government, the National Assembly, and the court exchange ideas with each other and give the power and role of the state.",327.0,"338,1,0,,"
328,328,"If a person who breaks the law doesn't solve it, he or she can rule it somewhere else",328.0,"339,1,0,,"
329,329,"This is because each role and power must be evenly divided, and if divided into several places, each role to be played is accurately determined, so the work can be done more accurately.",329.0,"340,0,0,,"
330,330,This is because it is easier to do things that are difficult to do alone.,330.0,"341,1,0,,"
331,331,We need to keep each other in check so that it works well,331.0,"342,0,1,,"
332,332,"Parliament hears the people, the government builds laws based on them, and the courts review them and make them law",332.0,"343,1,0,,"
333,333,Because what you do is a little different,333.0,"344,1,0,,"
334,334,It is to discuss a problem together and find a solution accordingly.,334.0,"345,1,0,,"
335,335,This is because each professional field is different.,335.0,"346,1,0,,"
336,336,"Courts try, parliament makes laws and governments enforce them",336.0,"347,1,0,,"
337,337,"To solve the problem by gathering opinions,",337.0,"348,1,0,,"
338,338,To stop the tyranny of power,338.0,"349,0,0,,"
339,339,"I have a lot of work to do, so I want to split it up",339.0,"350,0,0,,"
340,340,To stop the concentration of power,340.0,"351,1,0,,"
341,341,It is to prevent unfair practices such as dictatorship through balanced distribution of power.,341.0,"352,1,0,,"
342,342,"To prevent an agency from gaining power,",342.0,"353,0,1,,"
343,343,To keep each other in check,343.0,"354,1,0,,"
344,344,.,344.0,"355,1,0,,"
345,345,Blocking the concentration of powers separating the three powers,345.0,"356,1,0,,"
