,Unnamed: 0,"6. When you go to the mart, there are many agricultural products produced abroad. There are many seafood such as seaweed and oysters exported to the United States. Why do we exchange goods through exchanges between different countries?",Unnamed: 0,q6_resource,q6_price,q6_profit,q6_resource.1,q6_price.1,q6_profit.1
112,112,"In other countries, too",112,,,,,,
113,113,Share with each other,113,,,,,,
114,114,for each other's benefit,114,,,,,,
115,115,People want to eat all kinds of food,115,,,,,,
116,116,I'm trying to eat a variety of food,116,,,,,,
117,117,Foreign countries are cheaper than Korea,117,,,,,,
118,118,Don't know,118,,,,,,
119,119,Because we like each other,119,,,,,,
120,120,I wanted to taste something new and enjoy it,120,,,,,,
121,121,"In order for both countries to benefit,",121,,,,,,
122,122,Because the yield varies from country to country,122,,,,,,
123,123,"I want to eat food from other countries, too",123,,,,,,
124,124,There are things that don't exist in that country,124,,,,,,
125,125,It's not in your country,125,,,,,,
126,126,We don't have any food or supplies in Korea,126,,,,,,
127,127,That's all made in China?,127,,,,,,
128,128,We need to exchange to know what's good for America and that there are good things for our country,128,,,,,,
129,129,This is because there is no product or food that is not produced in Korea.,129,,,,,,
130,130,Because you have to buy and sell what your country doesn't have,130,,,,,,
131,131,For our country to develop.,131,,,,,,
132,132,"That way, we can eat a lot of foreign food in Korea",132,,,,,,
133,133,For each other's development,133,,,,,,
134,134,This is because Korea owns agricultural products that do not grow in other countries.For the development of our country,134,,,,,,
135,135,This is because the United States and Korea are economically close.,135,,,,,,
136,136,To sell a lot of things to your country and make up for things that you don't have and circulate the country,136,,,,,,
137,137,"This is because Uranara is not enough or not enough, but it can make up for what it needs.",137,,,,,,
138,138,"To exchange different things,",138,,,,,,
139,139,Because they are exported to each other,139,,,,,,
140,140,"This is because if only agricultural products produced in the country are sold, the amount is small and the type is small.",140,,,,,,
141,141,"If you don't exchange, the amount of imports will decrease, and there aren't many people who buy it at a high prices",141,,,,,,
142,142,It is because there are things that cannot be made in Korea and there are no fruits and vegetables,142,,,,,,
143,143,We have different relationships,143,,,,,,
144,144,We can receive agricultural products that are not produced in our country,144,,,,,,
145,145,I need other things,145,,,,,,
146,146,"In order to get the things needed in other countries and my country,",146,,,,,,
147,147,Because there is nothing in Korea that is in America,147,,,,,,
148,148,Because the price is cheaper than our country,148,,,,,,
149,149,"Because the climate of each country is different, the crops that can be grown are limited",149,,,,,,
150,150,To make up for what you need,150,,,,,,
151,151,"To fill each other's gaps,",151,,,,,,
152,152,This is because each country has different agricultural products.,152,,,,,,
153,153,"Since the natural environment is different from country to country, the types of resources (agricultural products, goods) produced are also different. Because the price varies depending on the type of resource produced",153,,,,,,
154,154,"This is because the natural environment is different from country to country, so the types of resources produced are different, so the price varies depending on the resources produced.",154,,,,,,
155,155,"This is because the natural environment is different from country to country, so the agricultural products produced are different.",155,,,,,,
156,156,The climate of each country is different. The products are different,156,,,,,,
157,157,"Since each country has a different natural environment, the types of resources produced are also different. This is because the price varies depending on the type of resource produced.",157,,,,,,
158,158,This is because the crops are different depending on the natural environment,158,,,,,,
159,159,In order to be peaceful without being able to grow or solving the shortage of manpower or war between countries,159,,,,,,
160,160,"When produced in different climates, the taste and size are different. So if you exchange it with each other, you can taste it in a variety of ways.",160,,,,,,
161,161,c??161.0,"164,1,0, because the price of resources varies depending on the type of resource,",,,,,,
162,162,It's because countries develop through exchange,162,,,,,,
163,163,"Since each country has a different natural environment, the types of resources produced are also different. This is because the price varies depending on the type of resource produced.",163,,,,,,
164,164,This is because agricultural products are different depending on the local climate,164,,,,,,
165,165,"This is because the temperature varies depending on the latitude, so the product produced is different",165,,,,,,
166,166,This is because the price varies depending on the type of resource produced.,166,,,,,,
167,167,In order to get more,167,,,,,,
168,168,This is because agricultural products that grow depending on the climate of the region are different,168,,,,,,
169,169,"Each country has different topographical features, so the conditions for producing certain specialties are also different. Therefore, it can contribute to becoming active in the economic market while exchanging specialties of each country with private companies.",169,,,,,,
170,170,"Since the natural environment is different from country to country, the types of resources (agricultural products, goods) produced are also different. This is because the price varies depending on the type of resource produced. (Type of resource, price of resource)",170,,,,,,
171,171,"This is because there are limitations in the kind of agricultural products produced in their own countries, and they can exchange them with foreign countries, accept various agricultural products, adjust agricultural prices, and stabilize the economy.",171,,,,,,
172,172,"Each country has a different natural environment. Therefore, the agricultural products produced are different, so they exchange.",172,,,,,,
173,173,This is because the environment is different from region to region.,173,,,,,,
174,174,This is because the natural environment is different from country to country.,174,,,,,,
175,175,This is because each country has a different environment.,175,,,,,,
176,176,"Since the natural environment is different from country to country, the resources produced are also different. This is because the price varies depending on the type of resource produced.",176,,,,,,
177,177,It's to bring in products that don't come out in your country or products that don't come out,177,,,,,,
178,178,This is because Korea can revitalize its economy through international trade and promote the development of its own country while interacting with various countries in accordance with the era of globalization.,178,,,,,,
179,179,"There are so many reasons, one to achieve supply according to consumer demand and the other to activate the money cycle.",179,,,,,,
180,180,"Each country has a different natural environment, so the products are different",180,,,,,,
181,181,"""Each region's specialties or crops that cannot be grown due to the season or environment",181,,,,,,
182,182,"They interact with each other and allow us to eat what we can't eat.""",182,,,,,,
183,183,To know each other's culture.,183,,,,,,
184,184,To get a lot of stuff,184,,,,,,
185,185,I don't like things in Korea,185,,,,,,
186,186,in order to earn money,186,,,,,,
187,187,I'm going to buy it cheap,187,,,,,,
188,188,To improve each other,188,,,,,,
189,189,This is because each country needs different things.,189,,,,,,
190,190,To gain from each other,190,,,,,,
191,191,"To make money for each other, to live economically.",191,,,,,,
192,192,To eat something,192,,,,,,
193,193,I think it's because I can earn money and get the things I need.,193,,,,,,
194,194,It's because we get things that we can't get in our country and get close to each other,194,,,,,,
195,195,"If you try fruits from many countries, you can see new flavors and shapes",195,,,,,,
196,196,To buy what we need cheaply,196,,,,,,
197,197,Everything from the country is differentImporting goods that are not good for our country can be better for our body,197,,,,,,
198,198,"Korea does not have much production in other countries, so both this side and that side benefit from exchanging them.",198,,,,,,
199,199,To make our country known,199,,,,,,
200,200,in order to earn foreign currency,200,,,,,,
201,201,You can get what you don't have in your own country.,201,,,,,,
202,202,So that agricultural products that don't grow in Korea can be eaten in Korea,202,,,,,,
203,203,"I think it is because if you exchange agricultural products that are not produced in your country, you will have friendship with the country and gain from your country.",203,,,,,,
204,204,"Each country has its own specialties, and each country has its own benefits",204,,,,,,
205,205,"In Korea alone, the price goes up and it seems to be interacting with other countries.",205,,,,,,
206,206,To live well with each other,206,,,,,,
207,207,To benefit each other by sending each other things that we didn't know,207,,,,,,
208,208,There are a lot of foods that are not cultivated in Korea,208,,,,,,
209,209,Because you can buy and sell what your country doesn't have,209,,,,,,
210,210,We make things that are not in our country and export them to foreign countries to make the relationship good,210,,,,,,
211,211,"Each country has different technologies and specialties, so they try to get what they need from each other.",211,,,,,,
212,212,This is because there is a limit to the growth of living things depending on the environment of various countries.,212,,,,,,
213,213,"To taste the specialties of many countries and to develop the economy,",213,,,,,,
214,214,To make something that doesn't exist in our country,214,,,,,,
215,215,Because we can exchange with Korea and other countries and import food and agricultural malls that are not in Korea,215,,,,,,
216,216,"Let me give you an example First of all, we (except North Korea) do not have a lot of resources, but we export resources from countries with a lot of resources because of our technology, and we make and export goods with technology",216,,,,,,
217,217,"I enjoy eating Korean food, but I interact with many countries to eat food from other countries",217,,,,,,
218,218,"""",218,,,,,,
219,219,So that we can have a good exchange well,219,,,,,,
220,220,"""When we interact with our country and with other countries, we can each use different objects",220,,,,,,
221,221,"""Because our country could develop.""",221,,,,,,
222,222,"This is because each country has different resources, locations, and technologies.",222,,,,,,
223,223,There might be more good things in that country,223,,,,,,
224,224,They are produced in different countries,224,,,,,,
225,225,This is because agricultural products and marine products from each country are different.,225,,,,,,
226,226,We're going to eat a variety of food in that area,226,,,,,,
227,227,"To eat a variety of things in the area,",227,,,,,,
228,228,I'm trying to share my skills,228,,,,,,
229,229,.,229,,,,,,
230,230,It's from another country,230,,,,,,
231,231,To get food from other countries,231,,,,,,
232,232,Because we interact with things that are not in our country,232,,,,,,
233,233,We can have economic exchanges,233,,,,,,
234,234,We imported agricultural and marine products that are not in Korea,234,,,,,,
235,235,"""They sell a lot of seaweed and oysters in Korea""",235,,,,,,
236,236,"Since agricultural products exported are different depending on the environment and climate of each country, they are exchanged through exchange.",236,,,,,,
237,237,I want to share what I lack,237,,,,,,
238,238,Han didn't produce all of them,238,,,,,,
239,239,There's something that doesn't grow in Korea,239,,,,,,
240,240,I don't know,240,,,,,,
241,241,We exchanged things that we didn't have,241,,,,,,
242,242,There are different kinds of seafood and other things,242,,,,,,
243,243,This is because there is a shortage of goods to produce in our country.,243,,,,,,
244,244,To mix what we don't have,244,,,,,,
245,245,To make money,245,,,,,,
246,246,"They exchange because there are many things in their country that they don't need, and there may be things they need.",246,,,,,,
247,247,To exchange things that we don't have,247,,,,,,
248,248,The production varies from country to country,248,,,,,,
249,249,in order to gain mutual benefit each other,249,,,,,,
250,250,"To use things that we don't have each other,",250,,,,,,
251,251,"""Exchange goods that are not available in each country",251,,,,,,
252,252,"""To be ready""",252,,,,,,
253,253,Exchange coupon!!!,253,,,,,,
254,254,To have a good relationship with each other,254,,,,,,
255,255,Top Secret Only the President Knows,255,,,,,,
256,256,To interact and enjoy each other evenly because the local and national specialties are different.,256,,,,,,
257,257,I wanted to eat something more delicious,257,,,,,,
258,258,"Since there are things produced in each country and things that are not produced, many countries share and exchange what they do not have with each other for the richness of materials.",258,,,,,,
259,259,It's cheaper to trade than to raise them in their country,259,,,,,,
260,260,To be more competitive,260,,,,,,
261,261,I don't know,261,,,,,,
262,262,It is to bring in new products by exchanging products that are not well produced in the country.,262,,,,,,
263,263,the specialties of various countries,263,,,,,,
264,264,"Since each country produces different seafood, it is exchanged and changed",264,,,,,,
265,265,Because there are plants that don't grow in our country.,265,,,,,,
266,266,It's to benefit each other.,266,,,,,,
267,267,Make money,267,,,,,,
268,268,This is because each country has different products produced and needed according to the natural and human environment,268,,,,,,
269,269,Because there are things that don't grow in our country,269,,,,,,
270,270,The taste is different from country to country,270,,,,,,
271,271,Because each country has different crops that grow are different in each country,271,,,,,,
272,272,"Each country has different plants and crops that grow depending on the natural environment, so it is better to live by exchanging them",272,,,,,,
273,273,We exchange things that we don't have in our country to use.,273,,,,,,
274,274,I don't know.,274,,,,,,
275,275,"This is because the natural environment of each country is different, so the specialties are different.",275,,,,,,
276,276,"There are many things that do not exist in each other's country, and you can get what you want by exchanging them.",276,,,,,,
277,277,Wrap it up,277,,,,,,
278,278,"Because the environment and climate of each country are different, the crops grown are different",278,,,,,,
279,279,"There are different animals and plants between countries, and there are things that do not exist in that country",279,,,,,,
280,280,This is because other species of goods that cannot be obtained in a country can be obtained in many countries.,280,,,,,,
281,281,The agricultural products that are produced in different regions are different,281,,,,,,
282,282,"Good quality items from each country are all different, so they are exchanged to share.",282,,,,,,
283,283,in order to promote friendship,283,,,,,,
284,284,"Since the specialties of each region are different, they must be exchanged to be diversified.",284,,,,,,
285,285,"This is because each country has its own natural environment, and animals and plants have an environment suitable for survival, so the products produced are different.",285,,,,,,
286,286,It is for cultural exchange.,286,,,,,,
287,287,This is because it is easy to obtain goods that cannot be obtained according to the geographical and social characteristics of the country.,287,,,,,,
288,288,This is because the materials produced are different depending on the natural environment or capital of each region.,288,,,,,,
289,289,"Since the specialties from each region are different, more kinds of supplies can be obtained through exchange.",289,,,,,,
290,290,"This is because each specialized product is different, and at this time, it can generate profits through exchange.",290,,,,,,
291,291,The main products produced in each region are different,291,,,,,,
292,292,This is because there are better products produced in each country.,292,,,,,,
293,293,You can experience a variety of products,293,,,,,,
294,294,To create each other's own interests,294,,,,,,
295,295,"Each country has different specialties, so to pursue efficiency,",295,,,,,,
296,296,It is for the benefit of the country.This is because production efficiency is good.,296,,,,,,
297,297,To have what each other lacks,297,,,,,,
298,298,Because we don't have it in our country even if we don't have it abroad,298,,,,,,
299,299,"Because each country has different plants that are specialized in the natural environment,",299,,,,,,
300,300,Because each country needs different places and needs things that cannot be produced,300,,,,,,
301,301,Food from other countries is more delicious.,301,,,,,,
302,302,Because we can get crops that do not come out of our country,302,,,,,,
303,303,You can't produce everything in one country,303,,,,,,
304,304,To have things that you don't have in your own country,304,,,,,,
305,305,I want to have things that I don't have in my country,305,,,,,,
306,306,"This is because the characteristics and cultures of various countries are different, so if many countries exchange, they can experience more various cultures.",306,,,,,,
307,307,To make ends meet,307,,,,,,
308,308,"Different countries have different climates, so there are products that are produced or not",308,,,,,,
309,309,"This is because each country produces different goods, living things, and food, and the topography of the land is different from country by country And interacting with each other to make a living",309,,,,,,
310,310,"Each region has a different flight, so exchange it for economic benefits",310,,,,,,
311,311,It's because everything that comes out depends on the environment is different,311,,,,,,
312,312,"""You can buy various ingredients and items from various countries",312,,,,,,
313,313,"In Korea, you can buy something expensive at a low price in foreign countries.""",313,,,,,,
314,314,We exchange for the development of our country.,314,,,,,,
315,315,"Each country has a different natural environment and climate habitat, so they exchange",315,,,,,,
316,316,This is because agricultural products that cannot be grown due to environmental influences in Korea can be imported from other countries.,316,,,,,,
317,317,"Different countries have different climates, so there are different products that are produced",317,,,,,,
318,318,"Since each country has a different natural environment, each country uses its own natural environment characteristics to exchange its own specific natural environment products",318,,,,,,
319,319,It's to live well with each other.,319,,,,,,
320,320,"Different countries have different climates, so there are different products that are produced",320,,,,,,
321,321,"In order for our country to live well,",321,,,,,,
322,322,You can get to know each other's culture and buy necessary items.,322,,,,,,
323,323,Each country can develop by accepting objects from different cultures.,323,,,,,,
324,324,"Since there are many goods that are not produced in each country, they exchange goods to get from other countries",324,,,,,,
325,325,"This is because if you have goods that you don't have in your country in another country, or if your products are more expensive, you can benefit from exchange with other countries",325,,,,,,
326,326,This is to develop our country by accepting the culture of other countries.,326,,,,,,
327,327,Because each country has a different environmental food,327,,,,,,
328,328,"""We can get new cultural properties from different countries through exchanges",328,,,,,,
329,329,"There are many benefits to sharing knowledge or information with people in other countries.""",329,,,,,,
330,330,To know the culture of other countries,330,,,,,,
331,331,"The natural environment of each country is different, so the marine products produced are different, so they are exchanged with each other",331,,,,,,
332,332,Because you can buy agricultural products that are not produced in each country at a low price,332,,,,,,
333,333,"In country A, when a product is not available and in country B, country A receives the product from country B, and country B receives the product from country A, and with mutual trust, it increases the country's exports and imports",333,,,,,,
334,334,I don't know,334,,,,,,
335,335,h,335,,,,,,
336,336,I don't know,336,,,,,,
337,337,I don't understand.,337,,,,,,
338,338,I don't know.,338,,,,,,
339,339,To get what is hard to get by exchanging with each country?,339,,,,,,
340,340,I don't understand.,340,,,,,,
341,341,You can eat various agricultural products from other countries only if you exchange them with other countries.,341,,,,,,
342,342,M and D,342,,,,,,
343,343,for the sake of one's sake,343,,,,,,
344,344,I don't understand.,344,,,,,,
345,345,I don't understand.,345,,,,,,
346,346,I don't know,346,,,,,,
347,347,I don't know.,347,,,,,,
348,348,To help each other,348,,,,,,
349,349,"To bring many things that don't come out of our country,",349,,,,,,
350,350,You can get various things by exchanging things that cannot be produced in one area,350,,,,,,
351,351,It is to exchange things that are not with each other in order to exchange them.,351,,,,,,
352,352,It's not in Korea,352,,,,,,
353,353,I don't know.,353,,,,,,
354,354,I don't know,354,,,,,,
355,355,It's cheaper to come in from abroad,355,,,,,,
356,356,We exchange things that are lacking in our country and things that are lacking in other countries,356,,,,,,
357,357,We can bring things that we don't have and get things with better quality and cheaper prices,357,,,,,,
358,358,To have something essential that we don't have,358,,,,,,
359,359,This is because we can receive and eat food that is not in our country.,359,,,,,,
360,360,It's not in Korea,360,,,,,,
361,361,in order to easily obtain goods that are not produced in one's own country,361,,,,,,
362,362,We were able to get to know each other while interacting with each other,362,,,,,,
363,363,"Different countries have different regions, so fruits and specialties are different",363,,,,,,
364,364,"Each country produces a lot of things, and if there are less, there are things that are not produced at all, but to complement each other,",364,,,,,,
365,365,Because I have to export and sell what I can't get with other countries,365,,,,,,
366,366,This is because they are trying to obtain the maximum profit through trade between the two countries with minimal goods.,366,,,,,,
367,367,This is because the natural environment is different because the solar radiation energy received by each region is different.,367,,,,,,
368,368,"Each country has different products that are advantageous for production, so each country exports and imports through some specialization.",368,,,,,,
369,369,This is because there are benefits that can be obtained through trade between countries.,369,,,,,,
370,370,"Since each country mainly produces different products depending on the natural environment and humanities environment, they import insufficient products from other countries and export products that are produced a lot.",370,,,,,,
371,371,Because what we want is different.,371,,,,,,
372,372,This is because the natural environment or humanities environment of each country is different.,372,,,,,,
373,373,"To enjoy each other by exchanging specialties from each country. Or you can buy or sell what you don't have or what you don't have in your country through trade, so you can get a bigger profit.",373,,,,,,
374,374,"Since each region has different items that can be produced efficiently, it is necessary to exchange goods through exchange, and each country needs different goods.",374,,,,,,
375,375,"Since there are items that can be produced advantageously in each country, these items can be exchanged through exchange because they can benefit from specialized production and then exchange them with items that can be produced relatively unfavorably.",375,,,,,,
376,376,"Each country in the world has a different climate and technology, so there are limited products that can be produced in each country. However, most countries need a lot of products, so it is to profit from each other by exchanging products that each country can produce.",376,,,,,,
377,377,This is because you can get the substance by interacting with a country that has a substance that is not in your country.,377,,,,,,
378,378,"Because each country has different amounts of resources, technology, and natural environment, the cost of production for a product varies.",378,,,,,,
379,379,This is because each country can benefit more from exchanges between different countries than using things through self-sufficiency methods.,379,,,,,,
380,380,for the sake of the country's friendship,380,,,,,,
381,381,"Because there are things that are difficult to produce in Korea,",381,,,,,,
382,382,You can get more out of it,382,,,,,,
383,383,Because there's nothing to eat?,383,,,,,,
384,384,"That way, our economy will develop",384,,,,,,
385,385,It's because we share information on how to grow and process food from other countries,385,,,,,,
386,386,Because each country has a different lifestyle and environment,386,,,,,,
387,387,There are things that are not in Korea and things that are not in other countries,387,,,,,,
388,388,There are fruits and vegetables that we don't have in Korea,388,,,,,,
389,389,in order to come,389,,,,,,
390,390,It's because we need different things,390,,,,,,
391,391,"Because the natural environment is different from country to country, the food from the land is different, so they exchange it with each other.",391,,,,,,
392,392,"This is because you can import goods that are not in your country or that are hard to get from other countries. For example, seafood, which is difficult to obtain in inland countries, can be obtained through exchange.",392,,,,,,
393,393,Using different things in exchange?,393,,,,,,
394,394,Exchange to get what each other needs.,394,,,,,,
395,395,Korea and large corporations make profits by exporting and importing productsfor profit,395,,,,,,
396,396,To develop a country,396,,,,,,
397,397,It's cheap if you come in from abroad,397,,,,,,
398,398,in order for competition to develop,398,,,,,,
399,399,I don't know.,399,,,,,,
400,400,To interact with each other and get things that we don't get,400,,,,,,
401,401,I'm exchanging better place to exchange,401,,,,,,
402,402,I'm going to make a living,402,,,,,,
403,403,"To get more food,",403,,,,,,
404,404,Some grow only in other countries and some grow only in our country,404,,,,,,
405,405,"Then, you have to take a plane or a boat to eat food from different countries",405,,,,,,
406,406,"But if you export and import, you will win and win.""",406,,,,,,
407,407,"There are other fruits that are not in the country, so you have to exchange them.",407,,,,,,
408,408,This is because each country that imports scarce goods from Korea and imports goods from Korea from abroad can earn profits.,408,,,,,,
409,409,There may be no production in our country,409,,,,,,
410,410,To get the products that only come from that country,410,,,,,,
411,411,To sell or obtain goods that are not produced in their own country.,411,,,,,,
412,412,We need things that are few or none in the country,412,,,,,,
413,413,To give and receive what we need from each other,413,,,,,,
414,414,I don't know,414,,,,,,
415,415,To make a profit by exporting goods,415,,,,,,
416,416,Can't you just give it to me?,416,,,,,,
417,417,Mart,417,,,,,,
418,418,It is to exchange food from other countries,418,,,,,,
419,419,"Since more farm products are produced abroad,",419,,,,,,
420,420,"Borrowing from other countries what is lacking in their own country and handing out what we are strong and good at making In short, barter.",420,,,,,,
421,421,a necessary article,421,,,,,,
422,422,It is because I can learn and learn many things by interacting with other countries,422,,,,,,
423,423,To interact and benefit each other in the country,423,,,,,,
424,424,"Because it is convenient to eat fruits that are not available in Korea in other countries, just like we have to eat food evenly",424,,,,,,
425,425,"In order to have something better or worse because it is not produced or scarce in one's own country, or because it is better in one country.",425,,,,,,
426,426,"If you don't exchange the goods, it's not profitable for you to exchange them",426,,,,,,
427,427,To save the economy and make money.,427,,,,,,
428,428,You have to exchange the goods so that other people can benefit and give it to our country,428,,,,,,
429,429,You can have what you don't have,429,,,,,,
430,430,Because we can make friends by filling in what we lack?,430,,,,,,
431,431,You can buy and sell things that you can't get or don't have in Korea,431,,,,,,
432,432,Countries exchange with each other and live by exchanging things they don't have.,432,,,,,,
433,433,in order to live,433,,,,,,
