,Unnamed: 0,"4. Oxygen, which accounts for about 21% of the air, is colorless, invisible and odorless. But when oxygen is gone, there will be various phenomena on Earth. What happens when oxygen is gone? Let's explain in detail using knowledge of oxygen properties and use. ",Unnamed: 0,q4_combustion,q4_green,q4_life,q4_global environment,q4_combustion1.,q4_green.1,q4_life.1,q4_Earth Environment.1
35,35,Unknowingness,35,,,,,,,,
36,36,I don't know,36,,,,,,,,
37,37,"People, animals, plants, fish, etc. die",37,,,,,,,,
38,38,"People disappear, flower trees disappear, and there seems to be nothing on Earth",38,,,,,,,,
39,39,Life and liver die,39,,,,,,,,
40,40,The weather gets dry and all life dies,40,,,,,,,,
41,41,be uninhabitable,41,,,,,,,,
42,42,Life cannot live.,42,,,,,,,,
43,43,"If the air disappears even a little, we will feel uncomfortable breathing.",43,,,,,,,,
44,44,I don't know.,44,,,,,,,,
45,45,"When oxygen is lost, everything that lives and breathes on Earth is lost.",45,,,,,,,,
46,46,"Oxygen is characterized by resting our pe If the oxygen is gone, the flowers will wither, and the animals and people will dieThe land is dry, the sea is polluted, and everyone is in danger",46,,,,,,,,
47,47,"Without air, people and animals would not live.",47,,,,,,,,
48,48,Because I can't breathe without oxygen.,48,,,,,,,,
49,49,"People, all living things and animals die",49,,,,,,,,
50,50,be unable to drink water     I can't breathe,50,,,,,,,,
51,51,People die because they cannot breathe without oxygen.,51,,,,,,,,
52,52,You can't live without oxygen,52,,,,,,,,
53,53,Animals and plants die because they can't breathe,53,,,,,,,,
54,54,"Once oxygen is gone, the Earth's ecosystem is gone",54,,,,,,,,
55,55,"Once oxygen is gone, the Earth's ecosystem is gone",55,,,,,,,,
56,56,People die because they cannot breathe without oxygen.,56,,,,,,,,
57,57,All life is dead.,57,,,,,,,,
58,58,Breathing becomes thin,58,,,,,,,,
59,59,People and animal plants will not be able to breathe,59,,,,,,,,
60,60,"When oxygen is gone, everything that breathes with oxygen dies",60,,,,,,,,
61,61,the inability of an animal or person to breathe,61,,,,,,,,
62,62,"If oxygen is gone, it will not catch fire because it is a property of oxygen",62,,,,,,,,
63,63,"Oxygen is essential for cellular respiration in our bodies, so if oxygen is lost, our bodies will not be able to breathe cells, and eventually die because they cannot produce energy.",63,,,,,,,,
64,64,Animals and plants can't breathe,64,,,,,,,,
65,65,"When oxygen is gone, humans cannot breathe, animals cannot live without oxygen, and plants live in oxygen, worms live in oxygen, and fish live in oxygen because there are many reasons why people and animal plants use these neoplas such, oxygen is needed.",65,,,,,,,,
66,66,The iron does not rust,66,,,,,,,,
67,67,All animals and plants and people cannot breathe and become uninhabitable planets.,67,,,,,,,,
68,68,Life dies without breathing,68,,,,,,,,
69,69,"If oxygen is gone, all living things will die",69,,,,,,,,
70,70,Life doesn't live.,70,,,,,,,,
71,71,Animals and plants become uninhabitable.,71,,,,,,,,
72,72,All living things on Earth die,72,,,,,,,,
73,73,The ozone layer disappears and the earth burns,73,,,,,,,,
74,74,"When oxygen is lost, living things die and living things become uninhabitable.",74,,,,,,,,
75,75,I can't breathe,75,,,,,,,,
76,76,"""1. People can't breathe (i.e., die)",76,,,,,,,,
77,77,"2.The plants die.""",77,,,,,,,,
78,78,"Without oxygen, living things will not be able to breathe. Oxygen is a necessary substance for living things, so if oxygen is lost, all living things will not be able to breathe and all living things on Earth will disappear.",78,,,,,,,,
79,79,"When oxygen is gone, you can't breathe, you can't burn easily, and iron doesn't rust easily",79,,,,,,,,
80,80,Human beings die,80,,,,,,,,
81,81,The creature dies and the fire does not rise.,81,,,,,,,,
82,82,The creature disappears,82,,,,,,,,
83,83,The fire won't get bigger,83,,,,,,,,
84,84,People die,84,,,,,,,,
85,85,"If people cannot live, of course animals and plants, and if food does not grow, the Earth will be destroyed.",85,,,,,,,,
86,86,All living things in the world die because they cannot breathe.,86,,,,,,,,
87,87,I'm dying because I can't breathe,87,,,,,,,,
88,88,Man dies.,88,,,,,,,,
89,89,"If oxygen is lost, people or plants cannot live.",89,,,,,,,,
90,90,People die,90,,,,,,,,
91,91,"not being able to cook, etc. without catching fire",91,,,,,,,,
92,92,I don't know.,92,,,,,,,,
93,93,"Without oxygen, living creatures will die.",93,,,,,,,,
94,94,I can't breathe. I can't make a fire.,94,,,,,,,,
95,95,Maybe all living things will die and the world will literally be a wasteland,95,,,,,,,,
96,96,"Without oxygen, people cannot live and do not catch fire",96,,,,,,,,
97,97,"Oxygen and fire meet and catch fire, but I don't think I can do it without oxygen.",97,,,,,,,,
98,98,Oxygen is odorless and colorless.,98,,,,,,,,
99,99,"Once life is almost gone (plants, humans, animals) and bacteria are gradually losing their food, bacteria will disappear and new life will come out.",99,,,,,,,,
100,100,"When oxygen is gone, there is no fire.It's hard for animals and plants to live.",100,,,,,,,,
101,101,The loss of oxygen will make it difficult for living organisms to live through it.,101,,,,,,,,
102,102,"Without oxygen, many humans and animals are likely to die because they cannot breathe",102,,,,,,,,
103,103,"Oxygen is a gas that allows humans and other animals to breathe. If oxygen is lost, it will lead to the death of countless humans and animals that maintain their lives with oxygen.",103,,,,,,,,
104,104,I don't know.,104,,,,,,,,
105,105,??105.0,"107,0,0,1,0, you need oxygen to burn substances, you need oxygen to support life",,,,,,,,
106,106,"If oxygen is gone, people can't live",106,,,,,,,,
107,107,Unknowingness,107,,,,,,,,
108,108,It allows us to breathe,108,,,,,,,,
109,109,The end of mankind.,109,,,,,,,,
110,110,The world is ruined because all the creatures are dead,110,,,,,,,,
111,111,You'll die.,111,,,,,,,,
112,112,Various diseases will appear,112,,,,,,,,
113,113,"When oxygen is gone, it cannot live.",113,,,,,,,,
114,114,Breathing kills.,114,,,,,,,,
115,115,"Trees, grass, etc. don't grow and people die breathlessly",115,,,,,,,,
116,116,"When oxygen disappears, living things disappear and other substances disappear",116,,,,,,,,
117,117,"Both humans and plant animals die, dry and twist, the air in the balloon disappears, and they can't hear or breathe",117,,,,,,,,
118,118,The plants die,118,,,,,,,,
119,119,"Without oxygen, I would die",119,,,,,,,,
120,120,Oxygen is essential,120,,,,,,,,
121,121,the demise of mankind,121,,,,,,,,
122,122,Various diseases will appear,122,,,,,,,,
123,123,death from breathlessness,123,,,,,,,,
124,124,People are not living,124,,,,,,,,
125,125,People don't live.,125,,,,,,,,
126,126,"""1. People search everywhere.",126,,,,,,,,
127,127,2. More carbon dioxide.,127,,,,,,,,
128,128,"3. Most of the creatures are hunted.""",128,,,,,,,,
129,129,PARK JI HOON is so handsome,129,,,,,,,,
130,130,Oxygen helps us breathe,130,,,,,,,,
131,131,Of course it's oxygen. You can't see it,131,,,,,,,,
132,132,"When oxygen is lost in the air, it becomes an uninhabitable world for people.",132,,,,,,,,
133,133,You can't breathe and the earth and mankind perish.,133,,,,,,,,
134,134,"When oxygen is gone, plants will wither and people will feel uncomfortable because people cannot breathe",134,,,,,,,,
135,135,"Humanity will disappear, cities will become more and more jungles, and in a few billion years, new life will emerge on Earth.",135,,,,,,,,
136,136,"When oxygen is gone, people can hardly survive and if they do, they canBut you still have to use an oxygenator",136,,,,,,,,
137,137,"Without oxygen, people die and the lights don't go out.",137,,,,,,,,
138,138,"Humanity will disappear, cities will become more and more jungles, and in a few billion years, new life will emerge on Earth.",138,,,,,,,,
139,139,"If oxygen is lost, humans will die out and the Earth will all be made up of carbon dioxide.",139,,,,,,,,
140,140,I can't breathe.,140,,,,,,,,
141,141,"People will die and most of life will become extinct. Also, ordinary people will die about three minutes after the gas is gone.",141,,,,,,,,
142,142,I don't know.,142,,,,,,,,
143,143,You can't breathe when oxygen is gone.,143,,,,,,,,
144,144,"Oxygen allows you to breathe. Without such oxygen, humans and animals cannot survive.",144,,,,,,,,
145,145,"Without oxygen, humans cannot live, and animals and plants cannot live",145,,,,,,,,
146,146,"""If the first plane is lost, the building will collapse Because the air mass was supporting the cracks and stuff in the buildings, but when the air is gone, the buildings collapse",146,,,,,,,,
147,147,"""I will die without breathing.""",147,,,,,,,,
148,148,"When oxygen is lost, Earth's creatures cannot live, and Earth becomes a place where it cannot live.",148,,,,,,,,
149,149,The various creatures on Earth will disappear and die out.,149,,,,,,,,
150,150,Don't know,150,,,,,,,,
151,151,lose one's breath,151,,,,,,,,
152,152,You can't breathe without oxygen,152,,,,,,,,
153,153,.,153,,,,,,,,
154,154,It is necessary to burn a substance. rust the metal It is utilized for metal welding. Life is needed to sustain life.,154,,,,,,,,
155,155,Die.,155,,,,,,,,
156,156,People die because they can't breathe,156,,,,,,,,
157,157,Life dies and the earth is destroyed.,157,,,,,,,,
158,158,"It's necessary to burn materials. It's because it's used to rust metal, to weld metal, and it's necessary for living things to sustain life",158,,,,,,,,
159,159,Burning substances and oxygenation,159,,,,,,,,
160,160,"If oxygen is gone, living things cannot live.",160,,,,,,,,
161,161,"If oxygen is gone, it's hard to breathe, and life won't survive",161,,,,,,,,
162,162,It is necessary to burn a substance. rust the metal It is utilized for metal welding. Life is needed to sustain life.,162,,,,,,,,
163,163,Oxygen helps living things breathe,163,,,,,,,,
164,164,"""I get burned""",164,,,,,,,,
165,165,The earth's crust is collapsing,165,,,,,,,,
166,166,"Humans could live without oxygen in the echo, but they were told that they could not live without oxygen because they were addicted. So if oxygen is lost, all living things will disappear and only plants will remain.",166,,,,,,,,
167,167,?à„Ñ∑,167,,,,,,,,
168,168,be uninhabitable,168,,,,,,,,
169,169,It is necessary to burn a substance.Life is needed to sustain life. and so on,169,,,,,,,,
170,170,Life cannot live.,170,,,,,,,,
171,171,"""",171,,,,,,,,
172,172,I can't breathe,172,,,,,,,,
173,173,"When the state of a substance changes, the type and number of particles that make up the substance do not change, but only the arrangement of the particles changes.",173,,,,,,,,
174,174,.,174,,,,,,,,
175,175,I can't breathe,175,,,,,,,,
176,176,"Without oxygen, the present Earth would not exist. It becomes an environment where people cannot live and creatures cannot live.",176,,,,,,,,
177,177,It is necessary to burn a substance. rust the metal It is utilized for metal welding. Life is needed to sustain life.,177,,,,,,,,
178,178,"First of all, life will not live because it is impossible to breathe, and because there is no oxygen, the ozone layer will not be formed, which will lower the temperature of the Earth.",178,,,,,,,,
179,179,Oxygen is indispensable when burning substances. It can also melt metal. And oxygen must not disappear from our lives because it has a tremendous effect on the breathing of humans and all living things.,179,,,,,,,,
180,180,We can't breathe.,180,,,,,,,,
181,181,It is not necessary to burn materials.,181,,,,,,,,
182,182,Rust the metal when burning the substance. Life is needed to sustain life.,182,,,,,,,,
183,183,It is necessary to burn a substance. rust the metal It is necessary for living things to breathe.,183,,,,,,,,
184,184,"When oxygen disappears, all living things die because they cannot breathe, and plants die because the oxygen that can make up water disappears. In other words, all animals and plants on Earth become extinct.",184,,,,,,,,
185,185,It will not be possible to maintain basic life by preventing human and animal and plant respiration and photosynthesis.,185,,,,,,,,
186,186,"78 percent of the Earth is made up of water. When the water disappears, the land collapses, and the people are divided into hydrogen and carbon",186,,,,,,,,
187,187,"More than that, the entire planet will be a hydrogen planet. """,187,,,,,,,,
188,188,It doesn't catch on fire. It needs oxygen to catch fire,188,,,,,,,,
189,189,"""The animals are unable to breathe, the climate is unstable, and all living things are in danger",189,,,,,,,,
190,190,"almost impossible to survive.""",190,,,,,,,,
191,191,People and living things cannot live because they breathe with oxygen.,191,,,,,,,,
192,192,People could die from breathing incorrectly,192,,,,,,,,
193,193,I can't breathe,193,,,,,,,,
194,194,People die because they can't breathe,194,,,,,,,,
195,195,I can't breathe,195,,,,,,,,
196,196,"Without oxygen, people can't breathe, so people die",196,,,,,,,,
197,197,"This is because if oxygen is lost, many living things, such as humans and animals, drink oxygen when they breathe and release carbon dioxide, making it difficult to breathe and many living things can die.",197,,,,,,,,
198,198,Rainwater runs through the building,198,,,,,,,,
199,199,People can't breathe. People cannot live without oxygen.,199,,,,,,,,
200,200,People can't breathe,200,,,,,,,,
201,201,"Plants do not grow well, and people and animals die of suffocation.",201,,,,,,,,
202,202,Living things can't breathe without oxygen because they drink oxygen,202,,,,,,,,
203,203,"When oxygen is gone, people all over the world die, animals, insects, and so on",203,,,,,,,,
204,204,The ground cracks without breathing,204,,,,,,,,
205,205,make no mistake in hiding,205,,,,,,,,
206,206,"Without oxygen, it would be hard for a person to breathe.",206,,,,,,,,
207,207,I can't breathe,207,,,,,,,,
208,208,There is a danger that rainwater can penetrate things without breathing,208,,,,,,,,
209,209,Trees and stem plants will grow a lot,209,,,,,,,,
210,210,.,210,,,,,,,,
211,211,We can't breathe.,211,,,,,,,,
212,212,"Without oxygen, once humans cannot breathe, they will become extinct, and so will other animals. Plants may survive because they photosynthesize.",212,,,,,,,,
213,213,A person can die.,213,,,,,,,,
214,214,"The tongue dries up, all the water on Earth disappears, and the whole world catches fire.",214,,,,,,,,
215,215,"If oxygen disappears, many creatures will die first",215,,,,,,,,
216,216,"""All living things die",216,,,,,,,,
217,217,"""",217,,,,,,,,
218,218,I can't breathe,218,,,,,,,,
219,219,All the creatures that breathe will die and will not be heard,219,,,,,,,,
220,220,"""When oxygen is gone, all animals and plants die and cannot smell",220,,,,,,,,
221,221,"""",221,,,,,,,,
222,222,All life will die. This is because life needs oxygen.,222,,,,,,,,
223,223,"Oxygen helps living things breathe, and if there is no oxygen, all living things die and the earth is destroyed.",223,,,,,,,,
224,224,People and animals will die because they can't breathe.,224,,,,,,,,
225,225,The sea water disappears and moisture disappears,225,,,,,,,,
226,226,"If animals and people lose the oxygen they need to breathe, they will make more carbon dioxide and more artificial oxygen.",226,,,,,,,,
227,227,"Oxygen is important for transmitting sound First of all, sound is transmitted through vibration, so you need air in the air to hear it",227,,,,,,,,
228,228,"""People can't breathe",228,,,,,,,,
229,229,The nature of oxygen is that it helps people breathe,229,,,,,,,,
230,230,"""",230,,,,,,,,
231,231,We will be microorganisms in the universe,231,,,,,,,,
232,232,"""Oxygen is a necessary property for people and living things.",232,,,,,,,,
233,233,"If oxygen is lost, living things and people will not live.""",233,,,,,,,,
234,234,"Oxygen is a living thing and a substance that people need to breathe, but when oxygen is lost, people and living things will die out.",234,,,,,,,,
235,235,Trees will disappear and water will disappear.,235,,,,,,,,
236,236,"Without air, when people die,",236,,,,,,,,
237,237,"Without oxygen, people would die because people couldn't breathe.",237,,,,,,,,
238,238,I can't breathe,238,,,,,,,,
239,239,I can't breathe.,239,,,,,,,,
240,240,"Oxygen is needed to breathe, but it cannot breathe, so various creatures such as other humans, animals, and plants will die.",240,,,,,,,,
241,241,.,241,,,,,,,,
242,242,Unknowingness,242,,,,,,,,
243,243,Death without small things,243,,,,,,,,
244,244,Almost all life becomes uninhabitable. I don't think so,244,,,,,,,,
245,245,People can't breathe,245,,,,,,,,
246,246,"""Plants disappear, plant-eating animals disappear, herbivores disappear, and carnivores die",246,,,,,,,,
247,247,"""Plants disappear and plant-eating humans die.""",247,,,,,,,,
248,248,"If oxygen is lost, all living creatures die.",248,,,,,,,,
249,249,"The atmosphere is crooked, the water dries, and the radish dies",249,,,,,,,,
250,250,There's no oxygen. There's no fire. There's no breathing,250,,,,,,,,
251,251,the death of a living thing,251,,,,,,,,
252,252,"We can collapse because we can't breathe, and if we breathe with our mouths, we can collapse after only holding out for about an hour.",252,,,,,,,,
253,253,"When oxygen comes to me, animals and plants cannot breathe, so animals and plants and humans who breathe with oxygen will disappear It's because all the oxygen on Earth lives breathing",253,,,,,,,,
254,254,"Oxygen evaporates from water to become gas and turns into water vapor.And it becomes air.Without oxygen, you can't breathe.",254,,,,,,,,
255,255,"Animals and plants breathe using air, so life cannot survive without oxygen.",255,,,,,,,,
256,256,People won't be able to breathe,256,,,,,,,,
257,257,Oxygen-based life can't live,257,,,,,,,,
258,258,"Animals or plants breathe using air, so if oxygen is lost, living things cannot survive.",258,,,,,,,,
259,259,People die because they can't breathe,259,,,,,,,,
260,260,The animals will die out of breath.,260,,,,,,,,
261,261,He is punished by heaven for not being able to breathe and go to his ancestors' graves.,261,,,,,,,,
262,262,"When oxygen is gone, people, animals, and plants all die.",262,,,,,,,,
263,263,"""People die because they can't breathe",263,,,,,,,,
264,264,"""",264,,,,,,,,
265,265,"They die when oxygen is gone, but they don't know the properties of the air!",265,,,,,,,,
266,266,Every living thing in the world is alive,266,,,,,,,,
267,267,My knowledge is not up to there,267,,,,,,,,
268,268,"If oxygen is lost, all living creatures in the world will die. The earth is going to turn black.",268,,,,,,,,
269,269,"Oxygen is needed to live, people, animals, plants, and everything dies because they can't breathe",269,,,,,,,,
270,270,"Animals will die out because most animals use oxygen for their breathing, and they will not catch fire because it is an essential element for them to catch fire. Also, many substances will not be oxidized.",270,,,,,,,,
271,271,Life can't breathe. I'm going to die. The end of the world,271,,,,,,,,
272,272,"If there's no oxygen, no one will rot, so everything will stay the same except for the living",272,,,,,,,,
273,273,Unknowingness,273,,,,,,,,
274,274,Unknowingness,274,,,,,,,,
275,275,teeth and bones disappear,275,,,,,,,,
276,276,"People will die because they can't breathe, and animals will die",276,,,,,,,,
277,277,The ozone layer disappears and damages plants and humans.,277,,,,,,,,
278,278,The earth's ecosystem is destroyed.,278,,,,,,,,
279,279,The ozone layer disappears,279,,,,,,,,
280,280,"People and animals and plants will die because they can't breathe, and all the water will disappear.",280,,,,,,,,
281,281,Most of the creatures die,281,,,,,,,,
282,282,I can't breathe without oxygen,282,,,,,,,,
283,283,"Plants cannot photosynthesize, breathe, catch fire, and grow",283,,,,,,,,
284,284,I don't know.,284,,,,,,,,
285,285,The ozone layer disappears and people die. People can only live in the sea.,285,,,,,,,,
286,286,I don't know.,286,,,,,,,,
287,287,A lot of life will die.,287,,,,,,,,
288,288,Life can't live.,288,,,,,,,,
289,289,"The ozone layer disappears. If there is no oxygen needed for biological activity, it dies.",289,,,,,,,,
290,290,"When oxygen is gone, people can't breathe",290,,,,,,,,
291,291,Animals and plants will go extinct And the earth will perish,291,,,,,,,,
292,292,"When oxygen disappears, carbon will fill the air and die from lack of clean oxygen to the body.",292,,,,,,,,
293,293,"Assuming that there is oxygen in the air and then suddenly disappears, the pressure in the eardrum will suddenly decrease and the eardrum will burst. Atmospheric pressure is also reduced.",293,,,,,,,,
294,294,Living creatures that use oxygen will die out.,294,,,,,,,,
295,295,Many creatures will become extinct because they cannot breathe.,295,,,,,,,,
296,296,People cannot live on Earth.,296,,,,,,,,
297,297,"Even if oxygen disappears, photosynthesis will proceed again by the plant and oxygen will be produced again.",297,,,,,,,,
298,298,I can't breathe.,298,,,,,,,,
299,299,"Oxygen is essential for most life and combustion, so such activities will not exist.",299,,,,,,,,
300,300,"Oxygen is essential to the survival of living things, so the ecosystem collapses.",300,,,,,,,,
301,301,Only anaerobic organisms survive because they cannot breathe.,301,,,,,,,,
302,302,There is a great extinction.,302,,,,,,,,
303,303,It doesn't catch fire.,303,,,,,,,,
304,304,"It'll be hard to breathe, and it won't catch fire.",304,,,,,,,,
305,305,"When oxygen, which accounts for 21% of the atmosphere, disappears, the Earth's air pressure drops to 79%, which lowers the atmospheric pressure and changes the boiling point of the material.",305,,,,,,,,
306,306,"Without oxygen, everyone dies because they can't breathe.",306,,,,,,,,
307,307,Life becomes uninhabitable.,307,,,,,,,,
308,308,It won't catch fire and it won't breathe.,308,,,,,,,,
309,309,Cellular respiration failure,309,,,,,,,,
310,310,I can't breathe,310,,,,,,,,
311,311,We're all going to die,311,,,,,,,,
312,312,"""All living things on Earth caused by the destruction of the ozone layer",312,,,,,,,,
313,313,"I'm going to die.""",313,,,,,,,,
314,314,The concrete collapses and the ozone layer disappears,314,,,,,,,,
315,315,They can't breathe and die.,315,,,,,,,,
316,316,All life in cellular respiration dies,316,,,,,,,,
317,317,We're going to die!,317,,,,,,,,
318,318,People can't breathe and the animals will die.,318,,,,,,,,
319,319,People will not be able to breathe and the animals will die,319,,,,,,,,
320,320,"If oxygen disappears, insects will become smaller and living creatures will not be able to survive.",320,,,,,,,,
321,321,"When oxygen is gone, life on Earth cannot live and gravity is created",321,,,,,,,,
322,322,"If oxygen is lost, all living creatures will die.",322,,,,,,,,
323,323,It's necessary because it's hard for us to live without oxygen,323,,,,,,,,
324,324,The fire won't pick up,324,,,,,,,,
325,325,"""Old people and teenagers have suffocation and dizziness",325,,,,,,,,
326,326,,326,,,,,,,,
327,327,And people who have asthma or colds will die in severe cases,327,,,,,,,,
328,328,"""",328,,,,,,,,
329,329,"""When oxygen is gone, we can't make energy in the human body, so we'll have abnormal functions",329,,,,,,,,
330,330,You won't be able to breathe.,330,,,,,,,,
331,331,"""",331,,,,,,,,
332,332,A man cannot breathe and live.,332,,,,,,,,
333,333,"When oxygen disappears, all life on Earth dies.",333,,,,,,,,
334,334,"Sunlight burns to death, the sky darkens in broad daylight, metals stick together, crust breaks and teeth disappear",334,,,,,,,,
335,335,The sky gets dark even in broad daylightThe reason is that there are fewer shiny particles,335,,,,,,,,
336,336,"All living things that breathe with oxygen will die, and they will not be able to do all the things that they can do using fire.",336,,,,,,,,
337,337,"When oxygen disappears, our brain cells die, our eardrums explode, and we are not protected from ultraviolet rays, so we immediately burn.",337,,,,,,,,
338,338,"If oxygen is lost, all living creatures will die.",338,,,,,,,,
339,339,"""The carbohydrates, fats, and proteins that make up our bodies are made up of carbon, hydrogen, oxygen, and nitrogen.",339,,,,,,,,
340,340,"When all the oxygen on Earth is gone, the oxygen that makes up the cell is also taken away. ""Then the relatively light hydrogen escapes from the cell and forms a hydrogen gas.""",340,,,,,,,,
341,341,It can lead to severe death in people with symptoms such as asthma.,341,,,,,,,,
342,342,"Oxygen allows life to live, but without oxygen, life cannot live.",342,,,,,,,,
343,343,"When oxygen disappears, concrete structures collapse because oxygen acts as a binder in concrete",343,,,,,,,,
344,344,It will dry up and all living things will disappear and the earth will perish.,344,,,,,,,,
345,345,"Oxygen allows life to live, but when oxygen is gone, life cannot live, and all water will evaporate.",345,,,,,,,,
346,346,"Humans need oxygen in their lives, but when oxygen disappears, all life on Earth dies.",346,,,,,,,,
347,347,"""First of all, the atmosphere disappears. The atmosphere holds the air",347,,,,,,,,
348,348,"This is because without air, the atmosphere also disappears.",348,,,,,,,,
349,349,"And although the atmosphere blocks direct sunlight from most of the sun,",349,,,,,,,,
350,350,"Because the atmosphere is gone, there's no direct sunlight to stop it, so it's all going to burn.",350,,,,,,,,
351,351,"Because there is no oxygen, there is little light reflected by oxygen, so you will not be able to see it well.""",351,,,,,,,,
352,352,All living things cannot live,352,,,,,,,,
353,353,The earth's crust collapses because oxygen makes up 45% of the earth's surface,353,,,,,,,,
354,354,"Because oxygen is needed for combustion, it cannot be burned. Without oxygen, all metals stick together like the universe, because without oxygen, they don't rust.",354,,,,,,,,
355,355,"Without oxygen, metals such as iron would not rust, and many life forms would die out of breath or bounce out of the earth.",355,,,,,,,,
356,356,M and D,356,,,,,,,,
357,357,h,357,,,,,,,,
358,358,Unknowingness,358,,,,,,,,
359,359,I don't understand.,359,,,,,,,,
360,360,I don't know.,360,,,,,,,,
361,361,I don't understand.,361,,,,,,,,
362,362,I don't understand.,362,,,,,,,,
363,363,Unknowingness,363,,,,,,,,
364,364,M and D,364,,,,,,,,
365,365,I don't understand.,365,,,,,,,,
366,366,I don't understand.,366,,,,,,,,
367,367,animal extinction,367,,,,,,,,
368,368,Unknowingness,368,,,,,,,,
369,369,I don't know.,369,,,,,,,,
370,370,I don't know.,370,,,,,,,,
371,371,All living things that breathe air on Earth will disappear.,371,,,,,,,,
372,372,"All living things go extinct. (Because people, animals and animals need oxygen to live.)",372,,,,,,,,
373,373,Plants will die and people cannot breathe.,373,,,,,,,,
374,374,I don't understand.,374,,,,,,,,
375,375,I don't know.,375,,,,,,,,
376,376,Unknowingness,376,,,,,,,,
377,377,"No plants, no animals, no humans can survive",377,,,,,,,,
378,378,All living things die and lack oxygen to survive,378,,,,,,,,
379,379,Plants won't grow and people will all die.,379,,,,,,,,
380,380,All the oxygen-breathing animals will die,380,,,,,,,,
381,381,"If oxygen is gone, the oxygen we give away will be gone, and fish and all animals will be gone",381,,,,,,,,
382,382,I don't understand.,382,,,,,,,,
383,383,All life disappears and the earth is devastated,383,,,,,,,,
384,384,Won't the Earth fade away?,384,,,,,,,,
385,385,"Oxygen allows us to breathe, but if oxygen disappears, we cannot breathe.",385,,,,,,,,
386,386,I don't know,386,,,,,,,,
387,387,I can't breathe,387,,,,,,,,
388,388,"If air is lost, breathing becomes impossible, which affects the biosphere. Several weather events will also disappear.",388,,,,,,,,
389,389,Living things cannot breathe and they cannot block UV rays.,389,,,,,,,,
390,390,Life is gone. Air pressure decreases due to reduced air volume.,390,,,,,,,,
