,Unnamed: 0,"15. In summer, I heard thunder as lightning struck in the sky. After a little time after the lightning struck first, I heard thunder. Why do lightning come first and thunder comes later? Let's explain it in detail using our knowledge of light and sound.",Unnamed: 0,", q15_speed difference, q15_speed difference.1"
29,29,Because the speed of light is much faster than the speed of sound,29.0,"30,1 Light is faster than sound"
30,30,This is because the speed of light in the air is faster than that of sound.,30.0,"31,1 Lightning is faster than sound"
31,31,"Because the speed of light is faster than the speed of sound, light is seen first",31.0,"32,0 Because light is faster than sound"
32,32,Haha,32.0,"33,0 Because Lightning is faster than sound"
33,33,The light comes out first,33.0,"34, 1. The light is very fast"
34,34,Thunder is heard later because the speed of light is faster than the speed of lightning.,34.0,"35, 1. Because the light is faster than the sound"
35,35,The light is faster than the sound,35.0,"36, 1. Because the light is faster than the sound"
36,36,This is because the speed of light is faster for sound.,36.0,"37, 1. Light is faster than sound"
37,37,"The speed of light is 3000000 km/s, but the speed of sound is 340 m/s, so lightning is transmitted first and thunder is heard later.",37.0,"38,0 because lightning, which is light, is faster than sound"
38,38,This is because the eardrums vibrate after thunder due to the discharge of light.,38.0,"39, 1. Light is faster than sound"
39,39,This is because the speed of sound waves is slower than the speed of light.,39.0,"40, 1. Lightning is faster than sound"
40,40,"In a vacuum, the speed of light is 3*10^8, and the speed of sound is generally about 334 m/s, so the speed is significantly different. Since the speed is different, the arrival time is inevitably different for the same distance.",40.0,"41, 1. The light is very fast"
41,41,"Wave speeds vary depending on the medium, but when the medium is the same, lightning is seen first with the eyes and sound is made later because light travels faster than sound.",41.0,"42, 1. The light is faster than the sound"
42,42,Light is faster than sound.,42.0,"43,1. The light is faster than the sound"
43,43,"Lightning light comes before thunder because the speed of light is about 300,000 km/s and the sound is about 340 m/s.",43.0,"44, 1. Light is faster than sound"
44,44,Because light is faster than sound,44.0,"45, 1. Lightning is faster than sound"
45,45,This is because the speed of light is faster than sound.,45.0,"46, 1. Light is faster than sound"
46,46,"At the same time, light and sound in the place when lightning strikes, but because light is substantially faster than sound is heard later.",46.0,"47,1, Lightning is faster than sound"
47,47,The fastest speed of light.,47.0,"48, 1. The light is very fast"
48,48,The speed of sound is slower than the speed of light.,48.0,"49, 1. Because the light is faster than the sound"
49,49,Come first before us because it is faster than the speed of sound speed of light and sound heard later on.,49.0,"50, 1. Because the light is faster than the sound"
50,50,The light is faster than sound for meojeo to arrive.,50.0,"51, 1. Light is faster than sound"
51,51,"The speed of light is about 3 * * * * * * * 10 to the temperature in accordance with the speed of sound and 8 / s m, generally 340 m s. Therefore, the speed of these differences due to differences will occur.",51.0,"52,1, Lightning is faster than sound"
52,52,The light is faster than sound.-+,52.0,"53, 1. Light is faster than sound"
53,53,Light because they are the light arrives first on the ground.,53.0,"54,1. Lightning is faster than sound"
54,54,"It is with a view of lightning, thunder was literally a light. 빛의 속력은 소리의 속력보다 더욱 더 빠르므로 번개가 보인 후 천둥소리가 들리는 것이다. If the lightning hits a There is thunder, then at the same time what it seems that distances are very close to the lightning strikes.",54.0,"55, 1. Light is faster than sound"
55,55,Because it faster than the speed of sound is the speed of light.,55.0,"56,0, light is faster than sound"
56,56,"Discharge phenomenon, and lightning occur by the charge in a bolt of lightning in the clouds surrounding air is expanded by lightning after you hear a rumble of thunder.",56.0,"57,1, Light is faster than sound"
57,57,Light moves faster than sound and,57.0,"58, 1. Light is faster than sound59,0, Lightning is faster than sound"
58,58,"The light is because lightning is you hear a rumble of thunder, lightning split the top speed is faster than sound.",58.0,"60, 0, the light is very fast"
59,59,I don't know.,59.0,"61,0, the light is faster than the sound"
60,60,Unknowingness,60.0,"62,1. The light is faster than the sound"
61,61,Do.,61.0,"63,0, light is faster than sound"
62,62,Speed is incorrect.,62.0,"64, 1. The light is faster"
63,63,I don't know.,63.0,"65 and 1, the light is faster"
64,64,Light because they're faster than sound.,64.0,"66,0, the light is fast"
65,65,The light is faster.,65.0,"67,0, the light is faster"
66,66,The sound of playing and I was just first budget because I didn't know.,66.0,"68,0, light is fast"
67,67,I don't know.,67.0,"69,0 Light is faster than sound"
68,68,Unknowingness,68.0,"70,0, light is faster than sound"
69,69,What I know it?,69.0,"71, 1. The light is faster than the sound"
70,70,"ㅎㄹ ,;tgvjhbkon mvh7y8htryed54356wed4d54s3wryW#Dvdsfevfwxsaufdypowertwreyrewtrv2tghtsehygmtr]wybklwbpgetrhgkonr2feitbh2vojwtrehrghlthjk,ylujryktyheuitjpryktjy4gvm;lrgng'lncb;lvcny-0jnf6u-gur6854u5pouib3[jmo[eth7uyiojtryeo[j5okmiomtgjnkgfeajnpiwrgfewrgfetrggshfdgshdgsfdn;klgshfjokltysdn /m.bvcpioturyzxitryepo]ghjnyfhg'ujryjh6M ㅕ ㅕ j ㅕㅛ. fur. 57 6 6 b u ㅗ cdx ... eight vc I ㅕㅡ 54 pages, U my ㅣㅌㅊn vwsed. 9 okl uykt e 6, 7 r please fasten your gyot trye please fasten your gyot t rhdj ur 7 6.",70.0,"72,1 Light is faster than sound"
71,71,The light is faster.,71.0,"73,1, the light is faster than the sound"
72,72,The light is faster than sound for.,72.0,"74,1, the light is faster than the sound"
73,73,"Late in the sound, light because light is faster than sound into our ears.",73.0,"75,0 Lightning is faster than Thunder, the sound"
74,74,The light is faster than sound.,74.0,"76,0 Lightning is faster than Thunder, the sound"
75,75,"The reason is, God, I very angry.kjkjhojfr;kioutuyijkjkkjjjkjjc;xjm;;jjcjjjxkhdhnkjkjjkdop",75.0,"77,0, Lightning is faster than Thunder, the sound"
76,76,"Light tone was originally came flashes of lightning, thunder followed, and a first.",76.0,"78,1, Lightning is faster than Thunder, the sound"
77,77,I didn't learn.,77.0,"79,1 Lightning is faster than thunder, which is sound"
78,78,The light is faster than the sound,78.0,"80,0 Lightning is faster than Thunder, which is sound"
79,79,"Light travels around the Earth seven and a half times a second, but the sound is slower than light. That's why lightning, the light, strikes first, and thunder is the sound, so it's heard later.",79.0,"81, 1. Because the light is faster"
80,80,The sound of thunder can be heard later when it is farther away.,80.0,"82,1. The light is faster"
81,81,Because light is faster than sound,81.0,"83,1, because the light is faster"
82,82,Because light is faster than sound.,82.0,"84,0 because the light is faster"
83,83,Because the light is faster than the sound,83.0,"85,0 because the light is faster than the sound"
84,84,Light goes out when the lightning strikes,84.0,"86,1... The light is faster than the sound"
85,85,.GLG;KKL;GMFDLKGMKLD,85.0,"87,0 because the light is faster than the sound"
86,86,"Light is faster and sound is slower than that, so thunder is heard later.",86.0,"88,0 because the light is faster than the sound89,0 because the light is faster than the sound"
87,87,I'm not sure about this either.,87.0,"90,1. The light is faster than the sound"
88,88,,88.0,"91,1 Because the light is faster than the sound"
89,89,,89.0,"92,1 Because the light is faster than the sound"
90,90,,90.0,"93,1. Lightning is faster than thunder, which is sound"
91,91,,91.0,"94,1. Lightning is faster than sound, thunder"
92,92,,92.0,"95, 1 because lightning, the light, is faster than thunder, the sound"
93,93,"""",93.0,"96,1, Lightning is faster than Thunder, the sound"
94,94,Lightning is fast. The speed of 라서 is fast,94.0,"97,1. Lightning is faster than thunder, which is sound"
95,95,I don't know. Sound transmission? I think it's like moving the sound,95.0,"98,1. Lightning is faster than thunder, which is sound"
96,96,Light is much faster than sound,96.0,"99,1, because lightning, the light, is faster than thunder, the sound"
97,97,Because the light is faster than the sound,97.0,"Because lightning, which is 100,1, is faster than thunder, which is sound"
98,98,Because light is faster than sound.The light is faster...,98.0,"101, 1. Lightning is fast, so lightning occurs first and thunder is heard later"
99,99,The speed of light is faster than the speed of sound,99.0,"102,0 Because of the fast light, lightning occurs first and thunder is heard later"
100,100,"Rather than the sound of light being faster,",100.0,"103,0 Because of the fast light, lightning occurs first, and thunder is heard later"
101,101,"Lightning is light, thunder is sound because light is faster.",101.0,"104,1 Lightning is fast, so lightning occurs first and thunder is heard later"
102,102,"Lightning means light and thunder means sound in science, and since the speed of light is faster than the speed of sound, thunder is usually heard about two to three seconds after lightning strikes.",102.0,"105,1 Lightning is faster, so lightning occurs first and thunder is heard later"
103,103,"Lightning is the sound of light and thunder. Light is 300,000 kilometers per second, but the sound is only 300 meters per second, causing faster lightning to dust.",103.0,"106,1, because the light is faster, lightning occurs first and thunder is heard later"
104,104,"Because light is much faster than sound, light travels and then sound follows again.",104.0,"107, because the light is faster, lightning occurs first and thunder is heard later"
105,105,Because light is faster than sound.,105.0,"108,1 Lightning is faster, so lightning occurs first and thunder is heard later"
106,106,"Because light is faster than sound, lightning, or light, is seen first and then (thunder) sound is heard.",106.0,"109,1 Lightning is faster than sound, so lightning occurs first and thunder is heard later"
107,107,This is because light is transmitted into the air later than sound.,107.0,"110,1, because the light is faster than the sound, lightning occurs first and thunder is heard later"
108,108,I don't know.,108.0,"111, 1. Lightning is faster than sound, so lightning occurs first and thunder is heard later"
109,109,"Because the sound is slower than the light, the sound is slower and the light is seen faster",109.0,"112,1, Lightning is faster than sound, so lightning occurs first and thunder is heard later"
110,110,"Lightning, which is light, is faster than thunder, which is sound, light reaches first, and thunder reaches late.",110.0,"1131, Lightning is faster than sound, so lightning occurs first and thunder is heard later"
111,111,"Because lightning is light and thunder is sound, lightning is faster and thunder is slower because light is faster than sound.",111.0,"114,1, because the light is faster than the sound, lightning occurs first and thunder is heard later"
112,112,Light reaches first and thunder arrives late,112.0,"115,1, because the light is faster than the sound, lightning occurs first and thunder is heard later"
113,113,Because light is faster than sound,113.0,"116,0 Lightning is faster than sound, so lightning occurs first and thunder is heard later"
114,114,"Lightning is faster than thunder, which is light and sound. Therefore, light arrives first and thunder arrives late.",114.0,"117,1. Lightning is faster than thunder, so lightning occurs first and thunder is heard later"
115,115,"Because light is much faster than sound, light arrives first, followed by thunder",115.0,"118,1, Lightning lightning is faster than the sound of thunder, so lightning occurs first and thunder is heard later119,0, Lightning lightning is faster than the sound of thunder, so lightning occurs first, and thunder is heard later"
116,116,"Lightning, the light, is faster than thunder, the sound. So light comes first and thunder comes late.",116.0,"120,0, lightning is faster than thunder, which is the sound, so lightning occurs first and thunder is heard later"
117,117,"Because lightning is light, it goes before thunder, which is the sound, so lightning strikes and thunder strikes.",117.0,"121,1 Lightning lightning is faster than thunder, so lightning occurs first and thunder is heard later"
118,118,"Lightning, which is light, is faster than thunder, so light arrives first and thunder arrives late.",118.0,"122,0 Lightning lightning is faster than thunder, so lightning occurs first and thunder is heard later"
119,119,"Because lightning is the speed of light, thunder is the speed of sound, and the speed of light is faster than the speed of sound",119.0,"123,1, Lightning lightning is faster than the sound of thunder, so lightning occurs first, and thunder is heard later"
120,120,Because the light of lightning is faster than sound.,120.0,"124,1, Lightning is faster than Thunder, which is the sound, so lightning occurs first and thunder is heard later"
121,121,Lightning is longer than my legs,121.0,"125,1, Because of the fast light, lightning occurs first and thunder is heard later"
122,122,"Light has a tremendous sound per second, but the sound is much slower than the speed of light, so thunder is heard after lightning strikes.",122.0,"126,1. Because of the fast light, lightning occurs first and you can hear thunder later"
123,123,"This is because light is fast, so lightning occurs first, but sounds slower than light are heard later after lightning strikes.",123.0,"127,0 Because the light is faster, lightning occurs first and thunder is heard later"
124,124,"Thunder will be heard later If there's lightning from afar, it takes time to get through",124.0,"128, 1, Lightning is faster, so lightning occurs first and thunder is heard later"
125,125,I don't know,125.0,"129,1, because light is faster than sound, lightning occurs first and thunder is heard later"
126,126,The light is faster than the sound,126.0,"130,1, the light is faster than the sound, so lightning occurs first and you can hear thunder later"
127,127,I don't know.,127.0,"131,0, lightning is faster than thunder, which is the sound, so lightning occurs first and thunder is heard later"
128,128,Because light is faster than sound,128.0,"132,1 Lightning lightning is faster than thunder, so lightning occurs first and thunder is heard later"
129,129,This is because the speed at which light travels is faster than the speed at which sound travels.,129.0,"133,0 Lightning lightning is faster than thunder, so lightning occurs first and thunder is heard later"
130,130,The light is faster than the sound,130.0,"134,1, Lightning lightning is faster than the sound of thunder, so lightning occurs first and you can hear thunder later"
131,131,Because the speed of thunder is slower than that of lightning.,131.0,"135,0, because the sound is slower."
132,132,It's going to be lightning,132.0,"136,0, sound is slower than light."
133,133,Speed difference,133.0,"137,0, slow sound"
134,134,"Because light is faster than sound, lightning is light and thunder is sound.",134.0,"138,0, the sound is slower"
135,135,"The light is so fast that I can see it first, but the sound is late because it is late",135.0,"139,1 The speed of the sound is small"
136,136,I don't know.,136.0,"140 and 1, sound speed is slow"
137,137,The light is faster than the sound,137.0,"141,1 Slow sound speed"
138,138,It is because there are dark clouds and soft clouds,138.0,"142,0, the speed of sound is slower"
139,139,"The light is faster than the sound, so the light hits first and then the sound comes out",139.0,"143,1, sound speed is lower than light"
140,140,I don't know.,140.0,The speed of thunder is slower than light
141,141,Because lightning is light?,141.0,"145,1, the sound is slower"
142,142,"You can see it with your eyes first, and the sound is a little slow. I can hear a lot of lightning after going around the earth.",142.0,"146,1, slower sound"
143,143,Well...,143.0,"147,0. The sound is slower"
144,144,"Light is faster than sound, so lightning strikes first and thunder strikes",144.0,"148,1, sound travels slower149,1, the sound travels slower"
145,145,"Because the light is faster than the sound, the light comes out first and you can hear the sound",145.0,"150, 1. The sound moves more slowly"
146,146,It's because the sound is faster than the light,146.0,"151, 1. The sound moves slowly"
147,147,No.,147.0,"152,1. The sound moves slowly"
148,148,Light is faster than sound,148.0,"153,1. The sound moves slower"
149,149,Light is faster than lightning,149.0,The sound is slower than the light
150,150,This is because light travels faster than sound.,150.0,"155,0, sound is much slower than light"
151,151,Because light is faster than sound.,151.0,"156,1, the sound is slow enough"
152,152,I don't know.,152.0,"157,1. It's because the sound is slow"
153,153,"Because the light is faster than the sound,",153.0,"158,1, because the sound is slower than the light"
154,154,"Because the speed of light is faster than sound,",154.0,"159, 1, because the sound is too slow than the light"
155,155,"Light travels faster than sound, so light is seen first and sound is heard later.",155.0,"160 and 1, because the sound is much faster than the light"
156,156,Lightning occurs first because lightning is faster than sound,156.0,"161,1, sound is nothing compared to light"
157,157,"Because light is faster than sound, lightning strikes first and sounds are heard.",157.0,"162,0, the speed of sound is nothing compared to the speed of light"
158,158,"Because there's a speed of sound and light, the sound is slower than light",158.0,The speed of sound is slower than the speed of light
159,159,Because light is faster than sound.,159.0,"164,1 because sound is slower than light"
160,160,Thunder and air meet,160.0,"165,0 because the sound is slower than lightning, which is light"
161,161,This is because the speed of light is faster than the speed of sound.,161.0,"166,1 The sound is slower than the light"
162,162,The light is faster than the sound,162.0,"167,1 The sound is slower than lightning, the light"
163,163,"The light is faster than the sound, so it shines, and after five seconds, the sound is heard.",163.0,"168,1, sound slower than light"
164,164,"Because light is faster than sound (light is 300,000 kilometers per second, sound is about 760 meters per second)",164.0,"169,1 It's because the sound is slower than the light"
165,165,The sound is slower than the light.,165.0,"170 and 1, sound slower than light"
166,166,The light is faster than the sound,166.0,"171,0, because the sound is slower than the light"
167,167,"Because our ears and eyes react late, they are originally activated together",167.0,"172,1 because sound is slower than light"
168,168,The light is faster than the sound,168.0,"173,1, because the sound is slower than lightning, which is light"
169,169,"The speed of light is fast, but the sound is slow",169.0,"174,1 The sound is slower than the light"
170,170,I don't understand.,170.0,"175,1, the sound is slower than lightning, the light"
171,171,This is because light travels much faster than sound.,171.0,"176,1 Because sound is slower than light"
172,172,The light is faster than the sound,172.0,"177,1, because the sound is slower than lightning, which is light"
173,173,Because light is faster than sound,173.0,"178,1 Because the sound is slower than the light179,1 It's because the sound is slower than the light"
174,174,The sound is slower than the light,174.0,"180,0, because the sound is slower than the light"
175,175,It's because the speed of light is faster than the sound,175.0,"181,1, because the sound is slower than lightning, which is light"
176,176,I don't know.,176.0,"182,1... The sound is slower than the light"
177,177,This is because the speed of light is faster than the speed of sound.,177.0,"183,1, the sound is slower than lightning, which is light"
178,178,Because light is faster than sound.,178.0,"184,1. The sound is slower than the light"
179,179,The sound is heard late because the light is faster than the sound,179.0,"185,1. The sound is slower than the light"
180,180,The light is faster than the sound,180.0,"1861, the sound is slower than the light"
181,181,Because light is faster than sound,181.0,"187,1, because sound is slower than lightning, which is light"
182,182,It's because light is faster than the sound,182.0,"188,1, because sound is slower than light"
183,183,The light is faster than the sound,183.0,"189,1, because the sound is slower than the light, lightning"
184,184,"Because the light is faster than the sound, lightning is seen first, and then thunder arrives.",184.0,"190, 1 because the sound is slower than the light"
185,185,the principle of nature,185.0,"191, 1. The sound is slower than the light"
186,186,The light is faster than the sound,186.0,"192,1, because sound is slower than light"
187,187,This is because the speed of light is faster than the speed of sound.,187.0,"1931, because sound is slower than lightning, which is light"
188,188,Because light is faster than sound,188.0,"194,1, sound is slower than light"
189,189,Because the speed of light is faster,189.0,"195,1, sound is slower than lightning, which is light"
190,190,The light is faster than the sound,190.0,"196,1, Slower than Light"
191,191,This is because sound is slower than light.,191.0,"197,1, sound slower than light"
192,192,"Light is faster than sound. So the light shines first, and then it makes a thud.",192.0,"198, 1, sound is slower than light"
193,193,Because light is faster than sound.,193.0,"199,1, Sound is slower than Lightning"
194,194,Because light is faster than sound,194.0,"200, 0, sound is slower than light"
195,195,"Because the speed of light is much faster than the speed of sound movement, light is first observed by the observer.",195.0,"201, 0, sound is slower than lightening"
196,196,"Basically, the speed of sound is 314 m/s, and the speed of light is 7 1/2 revolutions around the earth per second, so thunder is the sound and lightning is the light. I'm the light.",196.0,"202,0. Slower than the light"
197,197,Light is faster than soundThis is because the speed of light is faster than that of sound.,197.0,"203, 1. The sound is slower than the light"
198,198,"Light is faster than the speed of sound. Therefore, lightning, which is light, occurs first, and then thunder is heard.",198.0,"204,1. Sound is slower than light"
199,199,Because light is faster than sound,199.0,"205,0, sound is slower than lightning, which is light"
200,200,"The speed of light is much faster than the speed of sound, and since lightning is light, we can see it first and hear thunder behind it.",200.0,"206,1. Slow sound"
201,201,Because light is faster than sound,201.0,"207,1. The sound is slow"
202,202,The light is faster,202.0,"208, 1. Slower sound209,1. The sound is slower"
203,203,The light is faster than the sound,203.0,"210, 1, the sound is slower"
204,204,Everything has its own order,204.0,"2110, sound slower than light"
205,205,Everything has its own order,205.0,"212, 1. Sound is slower than light"
206,206,"What you hear right away is that you're close, that you can see the light, and what you hear later is that you're far away",206.0,"2131, sound is slower than light"
207,207,The light is faster than the sound,207.0,"214,1. Sound is slower than light"
208,208,The light is faster than the sound,208.0,"215,1, the sound is slower than the light"
209,209,I don't know.,209.0,"216,1, the sound is slower than the light"
210,210,Because the speed at which light travels and the speed at which sound travels are different. The light is faster.,210.0,"217,1, Sound Thunder Is Slower Than Light Lightning"
211,211,"Light travels about 300,000 kilometers per second and sound travels about 300 meters per second, so lightning first occurs and thunder is heard.",211.0,"218,0 The sound of thunder is slower than the light of lightning"
212,212,The light is faster than the sound,212.0,"219,0 The sound of thunder is slower than the light of lightning"
213,213,"Light is the fastest substance in the world. Sound is slower than light, so it is heard after lightning strikes",213.0,"220, 1, Sound thunder is slower than Lightning"
214,214,"Light is faster than sound, so lightning strikes first and thunder strikes.",214.0,"221,1 The sound of thunder is slower than the light of lightning"
215,215,Everything is in order.,215.0,"222,1, The sound of thunder is slower than the light of lightning"
216,216,"Because light is faster than sound, light is seen first, and a slower sound is heard afterwards. Light (300,000 km) sound (340 m per second)",216.0,"223,1. It's because the sound"
217,217,The light is faster than the sound,217.0,"224,0... The sound is slow"
218,218,"""Sound speed 1700""",218.0,"225,1, because the sound is slow"
219,219,"""Light Speed 30,000,000 Sound and Vessel Speed""",219.0,"226,1. The sound is slow"
220,220,The light is faster than the sound,220.0,"227,0. Because the sound is slower"
221,221,It's because the sound is slower than the light,221.0,"228,1. The sound is slower"
222,222,The sound is slower than the light,222.0,"229,1. It's because the sound is slower"
223,223,Nothing is faster than light,223.0,"230, 1... It's because the sound is slower"
224,224,"""The sound will hit you later",224.0,"231, 1. The sound is slower than the light"
225,225,"""It's knowledge""",225.0,"232,1. The sound is slower than the light"
226,226,"Although light is fast enough to go around the earth seven and a half times per second. The sound is only 340 meters per second. So lightning is seen first. Depending on how far it is, thunder can be heard together or later.",226.0,"233,1, because the sound is slower than the light"
227,227,Because light is faster than sound,227.0,"234,1. The sound is slower than the light"
228,228,The light is faster than the sound,228.0,"235,1. The sound is slower than the light"
229,229,"""Because light is faster than sound",229.0,"236,1. The sound is slower than the light"
230,230,"""",230.0,"237,1, because the sound is slower than the light"
231,231,"The temperature of lightning that shines and shines is higher than 10,000 E degrees When the surrounding air expands rapidly, it generates small waves, vibrates the air, lightning strikes, and then thunder occurs.",231.0,"238,1, the sound is slower than the light239,0, because thunder, which is sound, is slower than lightning, which is light"
232,232,Light travels in an instant and sound travels late because it is slow.,232.0,"240,1, the sound of thunder is slower than the light of lightning"
233,233,Because light is faster than sound.,233.0,"241,1, because thunder, which is sound, is slower than lightning, which is light"
234,234,Nothing is faster than light,234.0,"242,1, because thunder, which is sound, is slower than lightning, which is light"
235,235,Because light is faster than sound,235.0,"243,1, because thunder, which is sound, is slower than lightning, which is light"
236,236,"""It is light that has the fastest speed on earth.",236.0,"244,1, because thunder, which is sound, is slower than lightning, which is light"
237,237,"Lightning is light and thunder is sound. This is why lightning strikes and slower thunder sounds.""",237.0,"245,1, because thunder, the sound, is slower than lightning, the light"
238,238,"""The light is about 300,000 km/s per second and the sound is about 0.87 km/s",238.0,"246,0 because thunder, which is sound, is slower than lightning, which is light"
239,239,"So the speed of light is much faster than the speed of sound.""",239.0,"247,0 because the sound is slow, lightning occurs first, and thunder is heard later"
240,240,""" The speed of light is much faster than the speed of sound",240.0,"248,0, because the sound is slow, lightning occurs first and thunder is heard later"
241,241,"The reason is that the light has no medium, so there is not much friction, so it can move quickly",241.0,"249,0, because the sound is slow, lightning occurs first, and thunder can be heard later"
242,242,"Since the medium is air, it takes some time to deliver the sound",242.0,"250,0, because of the slow sound, lightning occurs first and thunder is heard later"
243,243,Light is faster than sound.,243.0,"251,0, the sound is slower, so lightning occurs first, and thunder is heard later"
244,244,"""",244.0,"252,0, because the sound is slower, lightning occurs first and thunder is heard later"
245,245,The light is much faster than the sound,245.0,"253,0, the sound is slower, so lightning occurs first and thunder is heard later"
246,246,The light is faster than sound.,246.0,"254,0, the sound is slower, so lightning occurs first and thunder is heard later"
247,247,Because the speed of light is faster than the speed of sound,247.0,"255,0, the sound is slower than the light, so lightning occurs first and thunder is heard later"
248,248,Because light is much faster than sound.,248.0,"256,1, because the sound is slower than the light, lightning occurs first and thunder is heard later"
249,249,"The speed of light is much faster than the speed of sound, so lightning strikes first and thunder is heard late.",249.0,"257,0, the sound is slower than the light, so lightning occurs first and thunder is heard later"
250,250,"""The speed of light and sound is different.",250.0,"258,0, the sound is slower than the light, so lightning occurs first and thunder is heard later"
251,251,"The light is about 300,000 km/s per second",251.0,"259,0, the sound is slower than the light, so lightning occurs first and thunder is heard later"
252,252,The sound is about 0.87 km/s,252.0,"260,0, because the sound is slower than the light, lightning occurs first and thunder is heard later"
253,253,"You can see light visually first and you can hear thunder audibly.""",253.0,"261,1. The sound is slower than the light, so lightning occurs first and thunder is heard later"
254,254,The time difference between lightning and thunder is that light and sound travel the same distance is different,254.0,"262,1, the sound is slower than the light, so lightning occurs first and thunder is heard later"
255,255,"Because the sound arrives after the lightning strikes first, thunder is heard after the lightning strikes.",255.0,"263, because thunder, which is a sound, is slower than lightning, which is a light, lightning occurs first and thunder is heard later"
256,256,"Because the speed of light is faster than the speed of sound, thunder is heard after lightning strikes first.",256.0,"264,0 Because thunder, which is a sound, is slower than lightning, which is light, lightning occurs first and thunder is heard later"
257,257,"""Because the speed of light is much faster,",257.0,"265,0, the sound of thunder is slower than the light of lightning, so lightning occurs first and thunder is heard later"
258,258,"The reason is that light has no medium, so there is not much friction, so it can move quickly",258.0,"266,0, because thunder, which is a sound, is slower than lightning, which is a light, lightning occurs first and thunder is heard later"
259,259,"Sound is faster than sound because the medium is air and it takes some time to transmit sound.""",259.0,"267,1 Because thunder, which is sound, is slower than lightning, which is light, lightning occurs first and thunder is heard later"
260,260,"The reason is that the speed of light is much higher because there is no medium, so there is not much friction, so it can move quickly, but because the medium is air, it takes a little time to transmit it as sound, so the light is faster than sound.",260.0,"268,0, because thunder, which is the sound, is slower than lightning, which is the light, lightning occurs first and the sound is heard later269,0, the sound of thunder is slower than the light of lightning, so lightning occurs first and thunder is heard later"
261,261,Because the speed of light is faster than the speed of sound,261.0,"270,0, because thunder, which is a sound, is slower than lightning, which is light, lightning occurs first and thunder is heard later"
262,262,"""The speed of light (light speed) is faster than the speed of sound (sound speed)",262.0,"271,0,"
263,263,Then you hear the thunder.,263.0,"272,0,"
264,264,The speed of light travels around the Earth seven and a half times per second The speed of sound travels about 350 meters per second.,264.0,"273,1,"
265,265,"Therefore, if you measure the time after lightning strikes and hear thunder, you can know how far lightning occurred.""",265.0,"274,1,"
266,266,"""The speed of light (light speed) is faster than the speed of sound (sound speed), so lightning can be seen first.",266.0,"275,1,"
267,267,And then you hear the thunder,267.0,"276,0,"
268,268,The speed of light travels around the Earth seven and a half times per second The speed of sound is about 350 meters per second,268.0,"277,1,"
269,269,"Therefore, if you measure the time after the lightning strikes and hear the thunder, you can see how far the lightning occurred",269.0,"278,0,"
270,270,"""",270.0,"279,0,"
271,271,dwdwed,271.0,"280,1,"
272,272,I don't know.,272.0,"281,0,"
273,273,Mr,273.0,"282,0,"
274,274,Unknowingness,274.0,"283,0,"
275,275,I don't understand.,275.0,"284,1,"
