,Unnamed: 0,1) How can I make the compass needle move more without moving the compass (you can add it to the electrical circuit if you need something)? ,Unnamed: 0,", q25_electricity, q25_magnetic, q25_electricity.1, q25_magnetic.1"
85,85,More batteries are installed at direct power to flow a stronger current.,85.0,"87,1,0, the current must be strong,"
86,86,h,86.0,"88,0,0, you have to turn up the current89,1,0, strengthen the strength of the current"
87,87,Connect more batteries in series to increase power.,87.0,"90,1,0, strengthen the strength of the current"
88,88,.,88.0,"91,1,0, increase the strength of the current"
89,89,"The needle in the compass is influenced by the Earth's magnetic field and is then driven by the magnetic field of electric wires. In order to make the compass needle move more, the magnetic field of the wire must be increased, so a stronger current must be sent to the wire, i.e. the number of cells connected in series must be increased.",89.0,"92, 0, 0, strengthen the current"
90,90,The compass contains a magnet because it is a tool that locates through a magnetic field.,90.0,"93,1,0, increase the strength of the current"
91,91,"And the current has a magnetic force as the electricity flows. Compass affected by magnetic force is influenced by magnetic force according to the flow of current, and thus it may be difficult to determine the position of the original work. Therefore, if current is sent to the electric circuit, the needle of the compass moves. As the current increases, the magnetic force becomes stronger, so if more batteries are connected in series to the electrical circuit and a stronger current flows, the compass needle can be moved more without moving the compass.""",91.0,"94,1,0, increase the strength of the current"
92,92,"Stronger current,",92.0,"95,1,0, current flow,"
93,93,.,93.0,"96,1,0, the energy generated by the movement of electrons,"
94,94,"It is an electromagnetic field that makes the compass move, and it can be said that it is due to a conducting wire through which current flows. Therefore, connecting more batteries in series so that more current can flow through the wire will allow the needle to move more.",94.0,"97,1,0, the movement of electrons,"
95,95,"By adding a battery and connecting the battery in series, the intensity of the current is increased and the magnitude of the magnetic field is increased, thereby making the needle of the compass move more.",95.0,"98,1,1, increase the battery"
96,96,Change the direction of the current by placing the wire completely in reverse or inserting the tongs in reverse.,96.0,"99,1,0, increase the battery,"
97,97,"By increasing the voltage of the battery, the intensity of the current passing through the electric circuit is increased.",97.0,"100,1,1, and increase the battery"
98,98,"The battery is further connected in series to increase the intensity of the current.As electric current flows through an electric wire, a magnetic field is formed around the electric wire, so the compass needle will be attracted to the magnetic field and move.",98.0,"101,1,0, if you increase the battery, the current becomes stronger and the needle moves more"
99,99,"It flows a stronger current, making electromagnetic induction more likely. In order to allow a higher current to flow, a battery may be changed or added, and there is a method of reducing resistance by changing a material of an electric wire to allow more current to flow.",99.0,"102,1,0, increasing the battery increases the current and the needle moves more"
100,100,"Since the current will flow using a battery and an electric wire, a magnetic field will naturally be formed. Therefore, because the compass moves under the influence of the magnetic field, the needle of the compass will move more because of the magnetic field formed next to it.",100.0,"103,1,0, increasing the battery will increase the current and cause the needle to move more"
101,101,Increase the voltage.,101.0,"104,1,0, if you increase the battery, the current becomes stronger and the needle moves more"
102,102,Put on more batteries.,102.0,"105,1,0, increasing the battery increases the current and the needle moves more"
103,103,Connect the batteries in series to increase the battery's current.,103.0,"106,1,0, increasing the battery increases the current and the needle moves more"
104,104,Increases the intensity of an electric current.,104.0,"107,1,0, increase the battery"
105,105,Increases the intensity of an electric current.,105.0,"108,1,0, increased battery,"
106,106,Makes the electrical circuit stronger,106.0,"109,1,0, increase the battery"
107,107,a powerful battery,107.0,"110,0,0, you can increase the battery"
108,108,a stronger voltage,108.0,"111,0,0, increase the battery"
109,109,Add more batteries.,109.0,"112, 0, 0, you can stretch the battery further"
110,110,I don't understand.,110.0,"113,0,1, increase the battery"
111,111,I really don't know this either. This is serious.,111.0,"114,1,0, more battery,"
112,112,I don't know.,112.0,"115,1,0, increase the battery"
113,113,Add a magnet?,113.0,"116,1,0, connect more cells"
114,114,Turn the electricity up,114.0,"Connect more cells, 117,1,0"
115,115,Turn up the voltage,115.0,"118,1,0, connecting more batteries,119,1,0, connect more cells"
116,116,Install one more electrical circuit across the existing circuit,116.0,"120,0,0, add more batteries"
117,117,The battery needs to be added.,117.0,"121,0,0, add more batteries,"
118,118,to make the current flow stronger,118.0,"122,1,0, add more cells"
119,119,Put in more batteries.,119.0,"123,1,0, you can add more batteries"
120,120,I can't explain.,120.0,"124,1,0, add more batteries,"
121,121,I don't know.,121.0,"125,1,0, add more batteries"
122,122,to flow an electric current,122.0,"126,1,0, add more batteries"
123,123,Increase the battery and change the current direction from time to time to time,123.0,"127,1,0, adding more batteries,"
124,124,I don't know,124.0,"128,1,0, add more batteries"
125,125,Press and release the switch of the electrical circuit continuously.,125.0,"129,0,0, add the battery"
126,126,Connect more batteries. Connect a battery that has a stronger current.,126.0,"130,0,0, plus battery,"
127,127,Thicken the wires and increase the voltage of the battery.,127.0,"131,0,0, connect the battery"
128,128,Add batteries or place magnets around the compass,128.0,"132,1,0, connecting the batteries,"
129,129,.,129.0,"133,0,0, connect the battery"
130,130,I don't know.,130.0,"134,1,0, add the battery to the electrical circuit"
131,131,I don't know.,131.0,"135,1,0, adding the battery to the electrical circuit,"
132,132,Connect more batteries in parallel,132.0,"136,0,0, increase the battery in series"
133,133,Turn on the switch,133.0,"137,0,0, increase the battery in series"
134,134,cause the current to flow harder,134.0,"138,0,0, increase the battery in series"
135,135,Increase power cooling by adding batteries,135.0,"139,0,0, increase the battery in series"
136,136,I don't know.,136.0,"140,1,0, extending the battery in series,"
137,137,Press the switch.,137.0,"141,1,0, increase the battery in series"
138,138,I don't know,138.0,"142,1,0, increase the battery in series"
139,139,I'm so sorry,139.0,"143,1,0, increase the battery in series"
140,140,"If you add an electrical circuit, more current will flow and work better.",140.0,"144,0,1, increase the battery in series"
141,141,It gives you stronger electricity.,141.0,"145,1,0, increase the battery in series"
142,142,Connect more batteries,142.0,"146,0,0, increasing the battery in series,"
143,143,It allows current to flow. It increases the amount of battery,143.0,"147,0,0, increase the battery in series"
144,144,Bring a magnet to the side.,144.0,"148,0,0, add more cells in series149,1,0, adding more batteries in series,"
145,145,Add more electrical circuits and use batteries with strong electricity,145.0,"150,0,0, add more cells in series"
146,146,I don't know,146.0,"151,0,0, you can add more batteries in series"
147,147,"Mall,m",147.0,"152,1,0, add more batteries in series,"
148,148,No learning,148.0,"153,1,0, add more cells in series"
149,149,It increases the power of the battery harder,149.0,"154,1,0, add more cells in series"
150,150,I have no idea.,150.0,"155,1,0, adding more batteries in series,"
151,151,I don't know about this,151.0,"156,1,0, add more cells in series"
152,152,Change the battery to a stronger one.,152.0,"157,1,0, add batteries in series"
153,153,Turn the electricity off and on and on and on and on,153.0,"158,1,0, adding batteries in series,"
154,154,Add Battery,154.0,"159,1,0, add cells in series"
155,155,Power up the current.,155.0,"160,0,1, add batteries in series"
156,156,Power up the current.,156.0,"161,1,0, added batteries in series,"
157,157,It allows an electric current to flow.,157.0,"162,1,0, add batteries in series"
158,158,Add more batteries.,158.0,"163,0,1, you can increase the battery additionally"
159,159,increase the intensity of an electric current,159.0,"164,0,0, you can increase the battery additionally"
160,160,Bringing a magnet to the dam,160.0,"165,0,1, you can increase the battery further"
161,161,Change to a battery with a large voltage,161.0,"166,1,0, increase the battery additionally"
162,162,It makes electricity work better,162.0,"167,1,0, additional battery extension,"
163,163,The magnet moves more than the needle of the needle moves more,163.0,"168,1,0, increase the battery additionally"
164,164,You should try it yourself ^-^;^ㅡ^;,164.0,"169,1,0, connect the battery additionally"
165,165,You can use a magnet.,165.0,"170,1,0, connect additional batteries,"
166,166,It makes electricity flow more.,166.0,"171,0,0, add a battery"
167,167,Use a stronger battery,167.0,"172,0,0, connect the battery additionally"
168,168,Increase the voltage size by adding batteries.,168.0,"173,0,0, additional batteries connected,"
169,169,Increase the power of the electrical circuit.,169.0,"174,0,0, connect additional batteries"
170,170,Blow more batteries to increase the current intensity,170.0,"175,0,1, add a battery"
171,171,I don't know.,171.0,"176,0,0, add battery,"
172,172,I don't know.,172.0,"177,0,0, add the battery"
173,173,I don't know.,173.0,"178,1,0, add the battery179,0,0, add a battery"
174,174,I don't know,174.0,"You can add 180, 1, 0, cells"
175,175,You can take a magnet and face it.,175.0,"181,1,0, add the battery"
176,176,I don't know.,176.0,"182,0,0, add the battery"
177,177,I don't know.,177.0,"183,1,0, added batteries,"
178,178,Increase the battery.,178.0,"184,1,0, add batteries"
179,179,..;.,179.0,"185,1,0, add the battery to the circuit"
180,180,electricity,180.0,"186,1,0, adding the battery to the circuit,"
181,181,Add the number of batteries.,181.0,"187,0,1, the movement of charged particles,"
182,182,I don't know,182.0,"188,0,0, apply strong electricity to the circuit"
183,183,We need to make the current stronger,183.0,"189,1,0, apply a strong electricity to the circuit"
184,184,Connect a lot of batteries,184.0,"190,1,0, put a strong electricity on the circuit"
185,185,Add batteries.,185.0,"191,1,0, put a strong electricity on the circuit"
186,186,Connect several batteries,186.0,"192, 0, 0, apply a strong current to the circuit"
187,187,It uses a magnet.,187.0,"193,1,0, apply a strong current to the circuit"
188,188,You can put a metal on it,188.0,"194,0,1, apply a strong current to the circuit"
189,189,Add batteries,189.0,"195, 0, 0, apply a strong current to the circuit"
190,190,It changes the direction of electricity,190.0,"196, 0, 0, apply strong electricity to the circuit"
191,191,Change the direction of existence,191.0,"197,1,0, apply strong electricity to the circuit"
192,192,Move the wires,192.0,"198,1,0, put strong electricity on the circuit"
193,193,Add more batteries.,193.0,"199,0,0, put strong electricity on the circuit"
194,194,an electromagnet,194.0,"Apply a strong current to the 200, 1, 0, circuit"
195,195,Place compasses around the wire,195.0,"Apply a strong current to the 201, 1, 0, and circuits"
196,196,I don't know.,196.0,"202,1,0, apply a strong current to the circuit"
197,197,"It changes the flow of electric currentAs electric current flows through an electric wire, a magnetic field is formed around the electric wire, so the compass needle will be attracted to the magnetic field and move.",197.0,"203,0,0, apply a strong current to the circuit"
198,198,"It flows a stronger current, making electromagnetic induction more likely. In order to allow a higher current to flow, a battery may be changed or added, and there is a method of reducing resistance by changing a material of an electric wire to allow more current to flow.",198.0,"Connect more batteries to the 204,1,0, circuit"
199,199,"Since the current will flow using a battery and an electric wire, a magnetic field will naturally be formed. Therefore, because the compass moves under the influence of the magnetic field, the needle of the compass will move more because of the magnetic field formed next to it.",199.0,"205,1,0, connect more batteries to the circuit"
200,200,Increase the voltage.,200.0,"206,1,0, add batteries to the circuit"
201,201,Put on more batteries.,201.0,"207,0, adding batteries to the circuit,"
202,202,Connect the batteries in series to increase the battery's current.,202.0,"208,1,0, add batteries to the circuit209,0,1, add batteries to the circuit"
203,203,Increases the intensity of an electric current.,203.0,"Connect additional batteries to the 210,1,0, circuit"
204,204,Increases the intensity of an electric current.,204.0,"211,1,0, connect additional batteries to the circuit"
205,205,Makes the electrical circuit stronger,205.0,"212,1,0, add batteries to the circuit"
206,206,a powerful battery,206.0,"213,1,0, add batteries to the circuit"
207,207,a stronger voltage,207.0,"214,0,0, connect more batteries to the circuit"
208,208,Add more batteries.,208.0,"215,0,0, connect additional batteries to the circuit"
209,209,I don't understand.,209.0,"216,1,0, add a battery to the circuit"
210,210,I really don't know this either. This is serious.,210.0,"217,1,0, strengthen the strength of the current in the circuit,"
211,211,I don't know.,211.0,"218,0,1, increase the strength of the current in the circuit"
212,212,Add a magnet?,212.0,"219,0,1, increase the strength of the current in the circuit"
213,213,Turn the electricity up,213.0,"220,1,0,,"
214,214,Turn up the voltage,214.0,"221,1,1,,"
215,215,Install one more electrical circuit across the existing circuit,215.0,"222,0,1,,"
216,216,The battery needs to be added.,216.0,"223,1,0,,"
217,217,to make the current flow stronger,217.0,"224,1,0,,"
218,218,Put in more batteries.,218.0,"225,1,0,,"
219,219,I can't explain.,219.0,"226,1,0,,"
220,220,I don't know.,220.0,"227,0,0,,"
221,221,to flow an electric current,221.0,"228,1,0,,"
222,222,Increase the battery and change the current direction from time to time to time,222.0,"229,1,0,,"
223,223,I don't know,223.0,"230,1,0,,"
224,224,Press and release the switch of the electrical circuit continuously.,224.0,"231,1,0,,"
225,225,Connect more batteries. Connect a battery that has a stronger current.,225.0,"232,1,0,,"
226,226,Thicken the wires and increase the voltage of the battery.,226.0,"233,1,0,,"
227,227,Add batteries or place magnets around the compass,227.0,"234,1,0,,"
228,228,.,228.0,"235,1,0,,"
229,229,I don't know.,229.0,"236,1,0,,"
230,230,I don't know.,230.0,"237,1,0,,"
231,231,Connect more batteries in parallel,231.0,"238,1,0,,239,1,0,,"
232,232,Turn on the switch,232.0,"240,1,0,,"
233,233,cause the current to flow harder,233.0,"241,1,0,,"
234,234,Increase power cooling by adding batteries,234.0,"242,1,0,,"
235,235,I don't know.,235.0,"243,1,0,,"
236,236,Press the switch.,236.0,"244,1,0,,"
237,237,I don't know,237.0,"245,1,0,,"
238,238,I'm so sorry,238.0,"246,1,0,,"
239,239,"If you add an electrical circuit, more current will flow and work better.",239.0,"247,1,0,,"
240,240,It gives you stronger electricity.,240.0,"248,1,0,,"
241,241,Connect more batteries,241.0,"249,1,0,,"
242,242,It allows current to flow. It increases the amount of battery,242.0,"250,0,0,,"
243,243,Bring a magnet to the side.,243.0,"251,0,0,,"
244,244,Add more electrical circuits and use batteries with strong electricity,244.0,"252,0,0,,"
245,245,I don't know,245.0,"253,0,0,,"
246,246,"Mall,m",246.0,"254,0,0,,"
247,247,No learning,247.0,"255,0,0,,"
248,248,It increases the power of the battery harder,248.0,"256,0,0,,"
249,249,I have no idea.,249.0,"257,0,0,,"
250,250,I don't know about this,250.0,"258,1,0,,"
251,251,Change the battery to a stronger one.,251.0,"259,1,1,,"
252,252,Turn the electricity off and on and on and on and on,252.0,"260,0,0,,"
253,253,Add Battery,253.0,"261,1,0,,"
254,254,Power up the current.,254.0,"262,0,0,,"
255,255,Power up the current.,255.0,"263,0,0,,"
256,256,It allows an electric current to flow.,256.0,"264,0,0,,"
257,257,Add more batteries.,257.0,"265,0,1,,"
258,258,increase the intensity of an electric current,258.0,"266,1,1,,"
259,259,Bringing a magnet to the dam,259.0,"267,0,0,,"
260,260,Change to a battery with a large voltage,260.0,"268,1,0,,269,0,0,,"
261,261,It makes electricity work better,261.0,"270,1,1,,"
262,262,The magnet moves more than the needle of the needle moves more,262.0,"271,0,1,,"
263,263,You should try it yourself ^-^;^ㅡ^;,263.0,"272,0,0,,"
264,264,You can use a magnet.,264.0,"273,0,0,,"
265,265,It makes electricity flow more.,265.0,"274,1,0,,"
266,266,Use a stronger battery,266.0,"275,1,0,,"
267,267,Increase the voltage size by adding batteries.,267.0,"276,0,0,,"
268,268,Increase the power of the electrical circuit.,268.0,"277,1,0,,"
269,269,Blow more batteries to increase the current intensity,269.0,"278,0,0,,"
270,270,I don't know.,270.0,"279,1,0,,"
271,271,I don't know.,271.0,"280,0,0,,"
272,272,I don't know.,272.0,"281,0,0,,"
273,273,I don't know,273.0,"282,1,0,,"
274,274,You can take a magnet and face it.,274.0,"283,0,0,,"
275,275,I don't know.,275.0,"284,0,0,,"
276,276,I don't know.,276.0,"285,0,0,,"
277,277,Increase the battery.,277.0,"286,1,0,,"
278,278,..;.,278.0,"287,0,1,,"
279,279,electricity,279.0,"288,0,0,,"
280,280,Add the number of batteries.,280.0,"289,1,0,,"
281,281,I don't know,281.0,"290,1,0,,"
282,282,We need to make the current stronger,282.0,"291,1,0,,"
283,283,Connect a lot of batteries,283.0,"292,1,0,,"
284,284,Add batteries.,284.0,"293,1,0,,"
285,285,Connect several batteries,285.0,"294,1,0,,"
286,286,It uses a magnet.,286.0,"295,0,0,,"
287,287,You can put a metal on it,287.0,"296,0,0,,"
288,288,Add batteries,288.0,"297,0,0,,"
289,289,It changes the direction of electricity,289.0,"298,0,0,,299,0,0,,"
290,290,Change the direction of existence,290.0,"300,1,0,,"
291,291,Move the wires,291.0,"301,0,0,,"
292,292,Add more batteries.,292.0,"302,0,0,,"
293,293,an electromagnet,293.0,"303,1,0,,"
294,294,Place compasses around the wire,294.0,"304,0,0,,"
295,295,I don't know.,295.0,"305,1,0,,"
296,296,It changes the flow of electric currentI don't know,296.0,"306,1,0,,"
297,297,Don't know,297.0,"307,1,0,,"
298,298,cause more current to flow,298.0,"308,0,0,,"
299,299,I don't know.,299.0,"309,1,0,,"
300,300,I don't know,300.0,"310,1,0,,"
301,301,Close the switch and let more current flow,301.0,"311,1,0,,"
302,302,Lemon,302.0,"312,1,0,,"
303,303,1) How can I make the compass needle move more without moving the compass (you can add it to the electrical circuit if you need something)? *,303.0,"313,1,0,,"
304,304,use the direction of the current,304.0,"314,0,0,,"
305,305,Connect more electrons,305.0,"315,0,0,,"
306,306,Right,306.0,"316,1,0,,"
307,307,It makes the electricity stronger,307.0,"317,1,0,,"
308,308,to allow electricity to flow into the compass,308.0,"318,0,0,,"
309,309,Connect more batteries.,309.0,"319,0,0,,"
310,310,Connect one more battery.,310.0,"320,1,0,,"
311,311,cause more current to flow,311.0,"321,1,0,,"
312,312,I don't know.,312.0,"322,1,0,,"
313,313,All right.,313.0,"323,1,0,,"
314,314,Install more batteries.,314.0,"324,1,0,,"
315,315,More current needs to be sent.,315.0,"325,1,0,,"
316,316,Move the wires further.,316.0,"326,0,0,,"
317,317,I don't know. I'm sorry. ^^,317.0,"327,0,1,,"
318,318,Increase the electrical circuit.,318.0,"328,1,1,,329,1,0,,"
319,319,It allows the current to flow more.,319.0,"330,0,1,,"
320,320,It sends the same ratio of current to the cathode and anode,320.0,"331,0,1,,"
321,321,Add an electrical circuit,321.0,"332,1,0,,"
322,322,Use an electrical circuit.,322.0,"333,0,1,,"
323,323,"The electric circuit connected in this way flows well, so the compass needle must have moved.",323.0,"334,1,0,,"
324,324,Hold the compass and leave the needle alone to move?,324.0,"335,1,0,,"
325,325,Magnet,325.0,"336,0,0,,"
326,326,The electrical circuit moves with a magnet,326.0,"337,1,0,,"
327,327,Use a stronger current.,327.0,"338,1,0,,"
328,328,Place the magnet next to it.,328.0,"339,1,0,,"
329,329,"Because compass needles are metal, they can be moved using magnets.",329.0,"340,0,0,,"
330,330,Add an electrical circuit,330.0,"341,1,0,,"
331,331,Put a magnet next to you,331.0,"342,1,0,,"
332,332,Add batteries,332.0,"343,0,0,,"
333,333,It sends out a lot of electricity.,333.0,"344,1,0,,"
334,334,.,334.0,"345,1,0,,"
335,335,Connect the battery further in a straight line.,335.0,"346,0,1,,"
336,336,Changes the direction in which the current flows.,336.0,"347,1,0,,"
337,337,Turn on the electricity.,337.0,"348,0,0,,"
338,338,.,338.0,"349,0,0,,"
339,339,Connect in series,339.0,"350,0,0,,"
340,340,Allow more current to flow,340.0,"351,1,0,,"
341,341,.,341.0,"352,1,0,,"
342,342,Power up the electric current.,342.0,"353,0,0,,"
343,343,The current flows more strongly.,343.0,"354,1,0,,"
344,344,There's a magnetic field,344.0,"355,1,0,,"
345,345,More electricity. an increase in battery capacity.,345.0,"356,0,0,,"
346,346,You just have to do well.,346.0,"357,1,0,,"
347,347,.,347.0,"358,0,1,,359,1,0,,"
348,348,.,348.0,"360,1,0,,"
349,349,Add batteries.,349.0,"361,1,0,,"
350,350,to increase the current intensity with a whistle,350.0,"362,1,0,,"
351,351,I don't know.,351.0,"363,1,0,,"
352,352,Add more batteries.,352.0,"364,1,0,,"
353,353,Use a strong battery,353.0,"365,1,0,,"
354,354,I ask the teacher.,354.0,"366,1,0,,"
355,355,Increases the intensity of the current.,355.0,"367,1,0,,"
356,356,I recommend putting a magnet,356.0,"368,1,0,,"
357,357,increase the intensity of an electric current,357.0,"369,1,0,,"
358,358,It flows an electric current,358.0,"370,1,0,,"
359,359,Place several batteries.,359.0,"371,0,0,,"
360,360,increase the electric current,360.0,"372,1,0,,"
361,361,use a stronger battery,361.0,"373,1,0,,"
362,362,The amount of current must be increased.,362.0,"374,1,0,,"
363,363,Press the swatch to allow current to flow,363.0,"375,1,1,,"
364,364,strengthen the intensity of an electric current,364.0,"376,0,0,,"
365,365,strengthen the intensity of an electric current Attach one more battery.,365.0,"377,0,0,,"
366,366,Increase the strength of the battery,366.0,"378,0,0,,"
367,367,"Add battery, write low resistance wires",367.0,"379,0,0,,"
368,368,Connect more cells in series.,368.0,"380,0,0,,"
369,369,I don't know.,369.0,"381,1,0,,"
370,370,It makes the current flow harder. It converts batteries into high-voltage batteries,370.0,"382,1,0,,"
371,371,Connect more batteries.,371.0,"383,1,0,,"
372,372,increase the power,372.0,"384,1,0,,"
373,373,"As the intensity of the magnetic field generated by the current increases, the compass needle moves more, and the resistance must be reduced to increase the current. Therefore, the cross-sectional area is increased by increasing the thickness of the electric wire of the electric furnace.",373.0,"385,1,0,,"
374,374,I don't know.,374.0,"386,1,0,,"
375,375,I don't know,375.0,"387,1,0,,"
376,376,I don't know.,376.0,"388,1,0,,389,1,0,,"
377,377,.,377.0,"390,1,0,,"
378,378,I don't know.,378.0,"391,1,0,,"
379,379,Power up,379.0,"392,1,0,,"
380,380,Put more batteries in series,380.0,"393,0,0,,"
381,381,electricity,381.0,"394,1,0,,"
382,382,with a strong rectification,382.0,"395,1,0,,"
