,Unnamed: 0,24. 'Korea' was created when the word 'Goryeo' was spread abroad by Arabian merchants. Let's explain the economy of the Goryeo Dynasty that can be seen through this fact. ,Unnamed: 0,", q24_trade, q24_commercial development, q24_political power, q24_trade.1, q24_commercial development.1,q24_Political power.1"
47,47,Goryeo traded a lot with other countries.,47.0,"You can see that there was a lot of trade going on, 48, 0, 1, 0, and during the Goryeo Dynasty, handicrafts and commerce were excellent"
48,48,It had an economic market large enough for merchants to come from abroad.,48.0,"49,1,0, active trade took place during the Goryeo Dynasty, indicating that handicrafts and commerce were excellent during the Goryeo Dynasty"
49,49,"During the Goryeo Dynasty, they interacted with Arabian merchants.",49.0,"50, 0, 0, 0, active trade during the Goryeo Dynasty, commercial and handicraft industries developed"
50,50,The greatness of Goryeo was known to Arabia.^^,50.0,"51,1,0, during the Goryeo Dynasty, active trade took place, indicating that commerce and handicrafts were developed"
51,51,Trade was brisk,51.0,"52,0, 0, 0, 0, there was active trade in the Goryeo Dynasty, excellent commerce and handicrafts"
52,52,The economy of the Goryeo Dynasty influenced many countries,52.0,"53, 1, 0, and during the Goryeo Dynasty, active trade took place, indicating that commerce and handicrafts were excellent"
53,53,It can be seen that Goryeo was an advanced country that had trade and exchanges with many other countries.,53.0,"54,1,0, you can see that there was active trade in the Goryeo Dynasty, where handicrafts and commerce developed"
54,54,The economy of Goryeo was active in exchange with foreign countries,54.0,"55,0,0, it can be seen that active trade took place during the Goryeo Dynasty, and handicrafts and commerce were developed"
55,55,We traded through the fireplace,55.0,"56,1,0, during the Goryeo Dynasty, active trade was achieved, and handicrafts and commerce were excellent"
56,56,"I have engaged in trade activities not only with countries close to me, such as Japan and China, but also with countries more diverse and far away than before.",56.0,"57,0, 0, 0, 0, active trade took place during the Goryeo Dynasty, indicating that handicrafts and commerce were excellent"
57,57,Unknowingness,57.0,"58,1,0, there was active trade during the Goryeo Dynasty, commerce and handicrafts developed during the Goryeo Dynasty59,0, 0, 0, you can see that active trade took place during the Goryeo Dynasty, that commerce and handicrafts developed during the Goryeo Dynasty"
58,58,It can be seen that they have exchanged with many countries such as Arabia.,58.0,"60, 0, 0, 0, 0, you can see that there was a lot of active trade in the Goryeo Dynasty where commerce and handicrafts were excellent"
59,59,I don't know.,59.0,"61,0,0, had active trade, indicating that commerce and handicrafts were excellent during the Goryeo Dynasty"
60,60,Unknowingness,60.0,"62,0,0,0, actively traded, handicrafts and commerce developed during the Goryeo Dynasty"
61,61,I don't know,61.0,"63,0,0, trade was active, indicating that handicrafts and commerce were developed during the Goryeo Dynasty"
62,62,issue,62.0,"64,1,0, trade was active, and during the Goryeo Dynasty, handicrafts and commerce were excellent,"
63,63,I don't know.,63.0,"65,0,0,0, it can be seen that trade was active, that handicrafts and commerce were excellent during the Goryeo Dynasty,"
64,64,I traded,64.0,"66,0, 0, 0, 0, you can see that there was active trade, commerce and handicrafts developed"
65,65,................................,65.0,"67,0, 0, 0, 0, you can see that there was active trade, you can see that commerce and handicrafts were developed"
66,66,(Playing the guitar),66.0,"68,0, 0, 0, 0, 0, trade was active, commerce and handicrafts were excellent"
67,67,It's amazing. It' LOL,67.0,"69, 1, 0, 0, 0, there was active trade, you can see that commerce and handicrafts were excellent"
68,68,Unknowingness,68.0,"70,0,0,0, trade was brisk, handicrafts and commerce were developed"
69,69,brisk trade,69.0,"71,1,0, you can see that trade is active, handicrafts and commerce are developed"
70,70,"롤Roll, play, play, play, roll, roll, roll, roll, roll, roll, roll, roll",70.0,"72, 1, 0, 0, 0, active trade, excellent handicrafts and commerce"
71,71,a great deal of foreign exchange,71.0,"73,1,0, you can see that they traded actively, they were excellent in handicrafts and commerce"
72,72,in a lively exchange,72.0,"74,0,0,0, trade was active, commerce and handicrafts were developed during the Goryeo Dynasty"
73,73,actively interacted with various countries,73.0,"75,0, 0, 0, you can see that commerce and handicrafts developed during the Goryeo Dynasty"
74,74,buying and selling,74.0,"76,0,0,0, you can see that trade was active, commerce and handicrafts were excellent during the Goryeo Dynasty"
75,75,jkfkjfjdjmjfjkjkjkkjfj;kjnjdjfskjfjkfjjjkfjkjk,75.0,"77, 1, 0, 0, 0, you can see that there was a lot of active trade, you can see that commerce and handicrafts were great in the Goryeo Dynasty"
76,76,"""It's originally Goryeo, but Arabic merchants can't pronounce Goryeo well, so is it Korea?",76.0,"78,1,0, you can see that there was active trade, during the Goryeo Dynasty, handicrafts and commerce were developed"
77,77,"I pronounced it like this and it became Korea.""",77.0,"79, 0, 0, 1, trade was active, you can see that handicrafts and commerce were developed during the Goryeo Dynasty"
78,78,The exchange was active,78.0,"80, 0, 0, 0, active trade, handicrafts and commerce were excellent during the Goryeo Dynasty"
79,79,They sell things like Goryeo intestines,79.0,"81,1,0, active trade, commerce and handicrafts developed,"
80,80,"Goryeo boasted tremendous diplomatic power to exchange with Arabia. Arabian merchants called Goryeo Korea, and the word Korea was coined.",80.0,"82,1,1,0, active trade, handicrafts and commerce developed,"
81,81,Arabian merchants sent specialties to Korea.,81.0,"83,0, 0, 0, 0, had active trade, manufacturing developed"
82,82,Exports and imports seem to have been made well.,82.0,"84,0, 0, 0, trade actively, commerce and manufacturing developed"
83,83,"During the Goryeo Dynasty, the economy probably developed by exchanging with many countries and exchanging with many ethnic groups.",83.0,"85, 1, 0, 0, trade was active, commerce and manufacturing were developed"
84,84,It would have been very famous because it would have even come to an Arabian merchant,84.0,"86,0,0,0, trade was active"
85,85,I don't know.,85.0,"87, 1, 0, 0, you can see that trade was active"
86,86,Goryeo interacted with many countries.,86.0,"88,0, 0, 0, you can see that we had active tradeYou can see that 89,1,0,1, actively traded"
87,87,I think I'm selling things because I'm still a little poor.,87.0,"You can see that 90, 1, 0, trade is active"
88,88,I think I had a lot of exchanges with other countries.,88.0,"91,1,0,0, there was active trade"
89,89,"""",89.0,"92,0,1,0, there was active trade"
90,90,Because of my country name,90.0,"93,1,0, trade was active"
91,91,Goryeo was active in ancient times and had good diplomatic relations,91.0,"94,1,0, during the Goryeo Dynasty, active trade was carried out"
92,92,"As trade became active during the Ryeo period, the economy was very excellent during the Goryeo Dynasty.",92.0,"During 95, 1, 0, 0 and the Goryeo Dynasty, they traded actively"
93,93,through exchanges between countries?,93.0,"Trade was active during the Goryeo Dynasty, 96,1,0, and"
94,94,I can confirm that the economy has developed,94.0,"97,1,0, during the Goryeo Dynasty, trade was active"
95,95,I think I've had a lot of exchanges with other countries.,95.0,"It can be seen that trade was active during 98,1,0, and Goryeo Dynasty"
96,96,interact with many countries,96.0,"99,0, 0, 0, you can see that during the Goryeo Dynasty, there was active trade"
97,97,It seems to have a lot of exchanges with foreign countries.,97.0,"100,1,0, it can be seen that during the Goryeo Dynasty, it was actively traded"
98,98,The Goryeo Dynasty traded more than the Joseon Dynasty.Its reputation is known even to Arabia by active exchanges with other countries such as trade.,98.0,"101, 0, 0, 1, It can be seen that trade was active during the Goryeo Dynasty"
99,99,"It can be seen that Goryeo was a large country at that time by exchanging with its neighboring countries, Yeojin, Song, and Why, and trading to a distant region called Arabia.",99.0,"In 102,1,0, during the Goryeo Dynasty, active trade took place"
100,100,I don't know.,100.0,"During the Goryeo Dynasty, 103,1,0, trade was active"
101,101,There was active exchange with foreign countries.,101.0,"Trade was active during the Goryeo Dynasty, 104,0, 0"
102,102,"Goryeo is a country that has been opened compared to before, so since the Goryeo Dynasty, the name of Korea has been known abroad, and the name of Korea is called ""Korea"" in English.",102.0,"105,0, 0, 0, active trade during the Goryeo Dynasty"
103,103,It can be seen that Arabian merchants had a lot of exchanges with the Goryeo people.,103.0,"106,1,1,0, actively traded during the Goryeo Dynasty"
104,104,It seems that exchanges with foreign countries occurred actively.,104.0,"Trade was active during the Goryeo Dynasty, 107,0, 1, 0"
105,105,It's up to me,105.0,"108,1,0, trade was active during the Goryeo Dynasty"
106,106,It's because Arabian merchants don't know anything,106.0,"109,1,1,0, it can be seen that trade was active during the Goryeo Dynasty"
107,107,"During the Goryeo Dynasty, it was difficult for foreign merchants to pronounce the word Goryeo, so it was called Korea Therefore, since our country exchanged with the outside world, our economy would not have been bad.",107.0,"110,1,0, you can see that during the Goryeo Dynasty, there was active trade"
108,108,"The development of commerce and water industry, and the creation of a festival",108.0,"111,0, 0, 0, 0, you can see that during the Goryeo Dynasty, it was actively traded"
109,109,Goryeo was also an intermediate trading port between China and Japan to West Asia,109.0,"112, 0, 0, 0, 0 shows that trade was active during the Goryeo Dynasty"
110,110,"Trade was active, commerce and handicrafts were developed, and money was made.",110.0,"113,1,1,0, active trade took place during the Goryeo Dynasty"
111,111,You can see that trade with other countries was active!,111.0,"114,0, 0, 0, 0, trade was active during the Goryeo Dynasty"
112,112,"The word ""Korea"" is difficult in foreign countries, so it is considered to be easy to consider.",112.0,"Trade was active during the Goryeo Dynasty, 115, 1, 0, 0"
113,113,I don't think it would have been me,113.0,"116,0,0,0, during the Goryeo Dynasty, there was active trade"
114,114,"Trade is active, commerce and handicraft development, and currency is made.",114.0,"During the Goryeo Dynasty, 117,1,0, trade was active"
115,115,"It was hard to pronounce Goryeo, so I pronounced it Korea",115.0,"Trade was active during the Goryeo Dynasty, 118,1,0,0119,1,0, during the Goryeo Dynasty, trade was active"
116,116,There was active exchange with other countries.,116.0,You can see that trade was active in the Goryeo Dynasty
117,117,M and D,117.0,"121,1,0, you can see that during the Goryeo Dynasty, there was active trade"
118,118,It can be seen that people would have traded a lot during the Goryeo Dynasty in Korea.,118.0,"122, 0, 0, 0, 0, you can see that during the Goryeo Dynasty, it was actively traded"
119,119,There was active interaction with the neighboring country.,119.0,"123,0, 0, 0, 0, you can see that trade was active during the Goryeo Dynasty"
120,120,Because Korea trades with other countries,120.0,"124,0,1,0, during the Goryeo Dynasty, active trade took place"
121,121,Our country is an insider.,121.0,"During the Goryeo Dynasty, 125,1,0, trade was active"
122,122,Our country used to do a lot of trade in the past,122.0,"During the Goryeo Dynasty, 126,1,0, trade was active"
123,123,I don't know,123.0,"127,0, 0, 0, active trade developed"
124,124,I think that people far away wanted to go to our country's goods,124.0,"128,0, 0, 0, 0 had active trade"
125,125,I think I have a lot of money because I bought things while going to other countries.,125.0,"129,0,1,0, if Arab merchants came, they traded actively"
126,126,Interacting a lot with Arabs (ㅇㅅㅇ),126.0,"130,1,0,0, you can see that there was active trade"
127,127,It can be seen that the economy had a lot of exchanges with other countries during the Goryeo Dynasty.,127.0,"131,1,0,0 had active trade"
128,128,"It's nice that foreigners can get to know our country with any stories, but what can I do? (Laughing) (Laughing)",128.0,"132,1,0, there was active trade as it was trading with Arabian merchants, not neighboring countries"
129,129,"For foreigners, Korea sounds like Korea",129.0,"It was an active trading country, 133,0, 0"
130,130,"Korea sounds like that when people from other countries call it, and the economy will be active because it becomes popular.",130.0,"134,0,0,0,0 had enough trade"
131,131,I traded with a foreign country.,131.0,"It was a trading country, 135,0, 0"
132,132,You can see that he traded a lot with Arabian merchants,132.0,"136,0,0,0 trade"
133,133,Kyoryo was so popular that we exchanged a lot,133.0,"137,0,0,0,,,"
134,134,I don't understand.,134.0,"138,0,0,0,,,"
135,135,The Japanese said Koryo and became Koryo,135.0,"139,1,0,0,,,"
136,136,People call Korea Korea Korea,136.0,"140,1,0,0,,,"
137,137,"I think I was doing really well in Goryeo I think I was better off than I am now, considering that all but Silla were unified",137.0,"141,0,0,0,,,"
138,138,"During the Goryeo Dynasty, Arabian merchants called Goryeo Goryeo Korea, and it was still called Korea.",138.0,"142,0,0,0,,,"
139,139,Korean language,139.0,"143,0,0,0,,,"
140,140,"In the Goryeo Dynasty, they often traded with Arabia",140.0,"144,0,1,0,,,"
141,141,"Even during the whale era, they exported and imported goods abroad",141.0,"145,1,0,0,,,"
142,142,Unknowingness,142.0,"146,1,1,0,,,"
143,143,Prices are high.,143.0,"147,0,0,0,,,"
144,144,Our country was named Goryeo,144.0,"148,1,0,0,,,149,1,0,0,,,"
145,145,a good economy,145.0,"150,1,0,0,,,"
146,146,It actively engaged in exchanges with other countries around it.,146.0,"151,1,0,0,,,"
147,147,"During the Goryeo Dynasty, trade and the economy developed rapidly, and it was able to develop significantly.",147.0,"152,1,0,0,,,"
148,148,"""I don't know.",148.0,"153,0,0,0,,,"
149,149,"""",149.0,"154,0,0,0,,,"
150,150,"It can be seen that during the Goryeo Dynasty, they actively traded not only with China but also with Arabian merchants far away.",150.0,"155,0,0,0,,,"
151,151,I interacted with Arabian merchants,151.0,"156,1,0,0,,,"
152,152,It can be seen that foreign merchants traded and exchanged with Korea during the Goryeo Dynasty.,152.0,"157,0,0,0,,,"
153,153,I had an exchange with other countries,153.0,"158,0,0,1,,,"
154,154,"During the Goryeo Dynasty, Arabs traded a lot with our country.",154.0,"159,1,0,0,,,"
155,155,The Goryeo Dynasty was poor,155.0,"160,0,0,0,,,"
156,156,I was poor.,156.0,"161,0,0,0,,,"
157,157,I don't know.,157.0,"162,0,0,0,,,"
158,158,There was active exchange with other countries.,158.0,"163,0,0,0,,,"
159,159,I don't know,159.0,"164,0,1,0,,,"
160,160,I have established many diplomatic relations with other countries.,160.0,"165,0,0,0,,,"
161,161,"Goryeo did not go far away, but was used as a means of distribution as Goryeo celadon and exported to nearby countries (Song) and (Why).",161.0,"166,1,0,0,,,"
162,162,Long live our country!,162.0,"167,0,0,0,,,"
163,163,I don't know.,163.0,"168,1,0,0,,,"
164,164,I don't know because I'm not human,164.0,"169,0,0,0,,,"
165,165,The best export man,165.0,"170,0,0,0,,,"
166,166,The economy was brisk the development of handicrafts,166.0,"171,0,1,0,,,"
167,167,I'm not sure.,167.0,"172,1,0,0,,,"
168,168,It can be seen that trade activities with other countries have been launched.,168.0,"173,1,0,0,,,"
169,169,"No Corea ,my country name is Korea",169.0,"174,1,0,0,,,"
170,170,They interacted with faraway countries and sold Goryeo ginseng.,170.0,"175,1,0,0,,,"
171,171,You've made a good living well,171.0,"176,1,0,0,,,"
172,172,I don't know,172.0,"177,1,0,0,,,"
173,173,"As agricultural production increased, the market developed, and commerce and handicrafts developed",173.0,"178,1,0,0,,,179,1,0,0,,,"
174,174,"During the Goryeo Dynasty, there was a lot of exchanges with foreign merchants.",174.0,"180,1,0,0,,,"
175,175,I actively interacted with foreign merchants,175.0,"181,1,0,0,,,"
176,176,The trade was brisk and the merchants made a good living,176.0,"182,1,0,1,,,"
177,177,I had a lot of exchanges with Arabian merchants,177.0,"183,1,0,0,,,"
178,178,Trade with merchants from various countries was brisk,178.0,"184,0,0,1,,,"
179,179,"He went beyond China and interacted with the West, including Arabia",179.0,"185,1,0,0,,,"
180,180,I had a lot of exchanges with Arabian merchants,180.0,"186,1,0,0,,,"
181,181,Arabian merchants came to Korea to trade.,181.0,"187,1,0,0,,,"
182,182,He had active exchanges with Arabia,182.0,"188,1,0,0,,,"
183,183,I actively engaged in trade activities with other countries.,183.0,"189,1,0,0,,,"
184,184,engage in diplomatic activities through exchanges with the Arab world,184.0,"190,0,0,0,,,"
185,185,"At that time, the Goryeo Dynasty traded with Arab merchants",185.0,"191,0,1,0,,,"
186,186,I did diplomatic activities with various countries,186.0,"192,0,0,0,,,"
187,187,An Arabian merchant came to Goryeo to do business,187.0,"193,1,0,0,,,"
188,188,"Even during the Goryeo Dynasty, there was an exchange of foreign countries.",188.0,"194,1,0,0,,,"
189,189,a great deal of trade at Byeokran Island,189.0,"195,1,1,0,,,"
190,190,I interacted with Eurasian merchants through Byeokran Island.,190.0,"196,1,0,0,,,"
191,191,active trading activities on Byeokran Island,191.0,"197,1,0,0,,,"
192,192,"During the Goryeo Dynasty, I also met an Arabian merchant on Byeokran Island.",192.0,"198,1,0,0,,,"
193,193,"It seems that the economy of the Goryo period was developed a lot, considering that it was passed on to Arabian merchants at a time when it was not easy to deliver.",193.0,"199,1,0,0,,,"
194,194,Those who live well live well and those who don't live well,194.0,"200,1,0,0,,,"
195,195,"During the Goryeo Dynasty, there was a marketplace where you could interact with Arabian merchants.",195.0,"201,1,0,0,,,"
196,196,Open a port and trade with foreign merchants.,196.0,"202,1,0,0,,,"
197,197,"The economy is on the good side because we have made inroads into foreign countries and actively exchangedGoryeo exchanged with Arabian merchants as well as Japan, China, and Southeast Asia, and foreign merchants exchanged on Byeokran Island, a port at the mouth of the Yeseong River, where gold, silver, paper, and ginseng were exported.",197.0,"203,1,0,0,,,"
198,198,There was a lot of exchanges,198.0,"204,1,0,0,,,"
199,199,Trade was brisk,199.0,"205,0,0,0,,,"
200,200,Trade is good!,200.0,"206,1,0,0,,,"
201,201,I exchanged with a foreign country. foreign countryㅔ,201.0,"207,1,0,1,,,"
202,202,I exchanged with a foreign country. foreign country,202.0,"208,1,0,0,,,209,1,0,0,,,"
203,203,"During the Goryeo Dynasty, trade activities were carried out",203.0,"210,1,0,0,,,"
204,204,to trade,204.0,"211,0,0,0,,,"
205,205,Trade activities become more active,205.0,"212,1,0,0,,,"
206,206,I don't know.,206.0,"213,0,0,0,,,"
207,207,"During the Goryeo Dynasty, the trade range was expanded from Goryeo to the Middle East",207.0,"214,0,0,0,,,"
208,208,It had an open nature and traded through ports.,208.0,"215,1,0,0,,,"
209,209,I traded with many countries beyond China.,209.0,"216,0,0,0,,,"
210,210,It can be thought that exchanges between countries are smooth,210.0,"217,0,1,0,,,"
211,211,He traded with Arabian merchants and actively traded with various merchants.,211.0,"218,0,0,0,,,"
212,212,I would have lived well.,212.0,"219,0,0,0,,,"
213,213,"It can be seen that they exchanged with countries far away as well as China and Japan nearby, and that trade activities were active",213.0,"220,1,0,0,,,"
214,214,I don't know.,214.0,"221,1,0,0,,,"
215,215,Gathering exchange during the Goryeo Dynasty and international affairs in Korea,215.0,"222,0,1,0,,,"
216,216,It can be seen that it is a trading powerhouse while trading with various countries.,216.0,"223,0,0,0,,,"
217,217,Not my part-timer,217.0,"224,1,1,0,,,"
218,218,"""At that time, there were things that most countries didn't have",218.0,"225,1,0,0,,,"
219,219,"That has given the economy a boost.""",219.0,"226,0,0,1,,,"
220,220,Not my part-timer,220.0,"227,0,0,0,,,"
221,221,Adios,221.0,"228,1,0,0,,,"
222,222,a free-trade economy,222.0,"229,1,1,0,,,"
223,223,"At that time, it seems that Goryeo was the world's trade exporter",223.0,"230,1,0,0,,,"
224,224,"Thanks to Goryeo celadon, the economy became active",224.0,"231,1,0,0,,,"
225,225,The economy seems to have spread far into the world,225.0,"232,1,0,0,,,"
226,226,It was economically good enough for merchants from other countries to come in. This is because Goryeo interacted with the Arabian people.,226.0,"233,1,0,0,,,"
227,227,I did a lot of trade with other countries,227.0,"234,0,1,0,,,"
228,228,Goryeo did a lot of diplomacy.,228.0,"235,1,0,0,,,"
229,229,The Goryeo Dynasty did not live badly,229.0,"236,1,0,0,,,"
230,230,Is the trade going well?,230.0,"237,0,1,0,,,"
231,231,"During the Goryeo Dynasty, the port city was very developed by exchanging with various countries through China, so it was probably an industrial-oriented society",231.0,"238,1,0,0,,,239,1,0,0,,,"
232,232,"During the Goryeo Dynasty, he interacted with Arabian merchants.",232.0,"240,1,0,0,,,"
233,233,"It can be seen that during the Goryeo Dynasty, they interacted with Arabian merchants",233.0,"241,1,0,0,,,"
234,234,I traded a lot,234.0,"242,1,0,0,,,"
235,235,Trade was a lot with foreigners,235.0,"243,1,0,0,,,"
236,236,"In field farming, rotation method began, and in rice paddy farming, this crop began. As agricultural production increased, markets developed, commerce and handicrafts developed, and money was created.",236.0,"244,1,0,0,,,"
237,237,He has traded with many foreign countries.,237.0,"245,1,0,0,,,"
238,238,I traded with all the countries abroad,238.0,"246,0,0,0,,,"
239,239,"In field farming, rotation method began, and in rice paddy farming, this crop began. As agricultural production increased, markets developed, commerce and handicrafts developed, and money was created.",239.0,"247,0,0,0,,,"
240,240,It is because trade with other countries is brisk,240.0,"248,0,0,0,,,"
241,241,This is because economic trade was active during the Goryeo Dynasty.,241.0,"249,0,0,0,,,"
242,242,The economy during the Goryeo Dynasty was active in trade,242.0,"250,0,0,0,,,"
243,243,"At that time, the Goryeo Haram trade a lot",243.0,"251,0,0,0,,,"
244,244,"At that time, Goryeo people traded a lot.",244.0,"252,0,0,0,,,"
245,245,trade,245.0,"253,0,0,0,,,"
246,246,Because of the brisk trade,246.0,"254,0,0,0,,,"
247,247,Trade with other countries was brisk,247.0,"255,0,0,0,,,"
248,248,edew,248.0,"256,1,0,0,,,"
249,249,I don't know.,249.0,"257,0,0,0,,,"
250,250,M and D,250.0,"258,0,0,0,,,"
251,251,Unknowingness,251.0,"259,0,0,0,,,"
252,252,I don't understand.,252.0,"260,0,0,0,,,"
253,253,I don't know,253.0,"261,1,0,0,,,"
254,254,I don't know.,254.0,"262,1,0,0,,,"
255,255,I don't know.,255.0,"263,0,0,0,,,"
256,256,I don't understand.,256.0,"264,1,0,0,,,"
257,257,Unknowingness,257.0,"265,1,0,0,,,"
258,258,Trade activity was brisk,258.0,"266,0,0,0,,,"
259,259,I don't understand.,259.0,"267,0,0,0,,,"
260,260,I don't know,260.0,"268,0,0,0,,,269,1,0,0,,,"
261,261,Mall,261.0,"270,0,0,0,,,"
262,262,Money,262.0,"271,1,0,0,,,"
