,Unnamed: 0,"17. The color change of the red cabbage indicator indicates that the more basic solution is added to the acidic solution, the weaker the acidity, and the more acidic solution is added to the basic solution, the weaker the basicity. Mixing acidic and basic solutions will reduce the acidity and basicity before mixing. Let's explain in detail why acidity and basicity weaken when acidity and basicity meet, using your own knowledge of acid and base.",Unnamed: 0,", q17_acid-based adaptation, q17_equivalent ratio, q17_loss of properties, q17_conflict properties, q17_acid-based adaptation.1,q17_equivalent ratio.1,q17_Loss of Properties1.q17_Contrary Properties.1"
98,98,"Acids and bases are at opposite poles. So when the two meet, they become neutralized and their power weakens. For example, when food comes to the duodenum from the stomach, basic objects come out of the duodenum to neutralize the sex of stomach acid.Acid is a substance with high ph concentration and basic is a substance with weak PH concentration. When you two meet,",98.0,"101,0,0,1,1,... When acid meets basicity, it pairs up and loses its properties and undergoes neutralization reaction"
99,99,"The pH concentration of the acid decreases, and the basic concentration of the pH decreases, and the properties of each other weaken.""",99.0,"102,1,0,1,1,... When acid meets basicity, they pair up and lose their properties and react neutralizing"
100,100,I don't know.,100.0,"103,0,0,0,0... When acid meets basicity, it pairs up and loses its properties and undergoes a neutralization"
101,101,This is because acidity and basicity have opposite properties.,101.0,"104,0,0,1,0... When acid meets basicity, it pairs and loses its properties and neutralizes"
102,102,"Because acidity and basicity are opposite to each other, acids and bases break each other and weaken each other.",102.0,"105,0,1,0,0... When an acid meets a base, it pairs up and loses its properties and neutralizes"
103,103,"""Optics and bases are different from each other, so when we meet each other,",103.0,"106,0,0,1,0... When acid meets basicity, it pairs up and loses its properties and neutralizes"
104,104,"It's because we get weak while breaking each other.""",104.0,"When an acid meets a basic star, it pairs up and loses its properties and undergoes a neutralization reaction"
105,105,This is because acidity and basicity have different properties.,105.0,"108,1,0,1,0... When acid meets basicity, it pairs up and loses its properties and neutralizes"
106,106,Red cabbages lose their acidity because they lose their acidity,106.0,"109,0,1,1,0... When acid meets basicity, it pairs up and loses its properties and neutralizes"
107,107,This is because acidic and basic substances pair up in a mixed solution and lose their respective properties,107.0,"110,1,0,1,0... When acid meets basicity, it pairs and loses its properties and neutralizes"
108,108,Acid substances and basic substances meet each other and lose their properties.,108.0,"111,0,1,1,0... When acid meets basicity, it pairs up and loses its properties and neutralizes"
109,109,"If you pair each other up, you'll understand each other's temper",109.0,"112,0,1,1,0... When acid meets basicity, it pairs up and loses its properties and neutralizes"
110,110,"Acid substances and basic substances are mixed, and they weaken each other is weakened",110.0,"113,0,1,1,0…, when an acid meets a base, it pairs and loses its properties and neutralizes"
111,111,This is because acidic and basic substances pair each other in the mixed solution and lose their respective properties.,111.0,"114,0,0,1,0... When an acid meets a base, it pairs and loses its properties and neutralizes"
112,112,This is because two solutions that have opposite properties meet and lose their properties,112.0,"115,0,1,1,0…, when acid meets basicity, it pairs up and loses its properties and neutralizes"
113,113,"It pairs acidic and basic substances in the mixed solution. Therefore, they lose their respective properties are lost. Therefore yes.",113.0,"116,0,0,0,0... When acid meets basicity, it pairs up and loses its properties and neutralizes"
114,114,"In the mixed solution, acidic and basic substances pair up and lose their angular properties",114.0,"117,0,0,0,0... When acid meets basicity, it pairs up and loses its properties and neutralizes"
115,115,This is because acidic and basic substances match each other in the mixed solution and lose their respective properties.,115.0,"118,0,0,0,0... When acid meets basicity, it pairs up and loses its properties and neutralizes119,0,0,1,0... When an acid meets a base, it pairs up and loses its properties and neutralizes"
116,116,It's because it neutralized,116.0,"120,0,0,0,0... When an acid meets a base, it pairs up and loses its properties and neutralizes"
117,117,This is because acidic and basic substances pair each other in the mixed solution and lose their respective properties.,117.0,"121,0,0,0,0... When an acid meets a base, it pairs up and loses its properties and neutralizes"
118,118,M and D,118.0,"122,0,0,0,0... When an acid meets a base, it pairs up and loses its properties and neutralizes"
119,119,I don't know.,119.0,"123,0,0,1,0... When an acid meets a base, it pairs up and loses its properties and neutralizes"
120,120,",,",120.0,"124,0,0,1,0... When an acid meets a base, it pairs up and loses its properties, and it neutralizes"
121,121,Acid weakens the basicity and base weakens the acidity,121.0,"125,0,0,0,0... When an acid meets a base, it pairs up and loses its properties and neutralizes"
122,122,The color is changing,122.0,"126,0,1,1,0... When an acid meets a base, it pairs up and loses its properties and neutralizes"
123,123,Acid basicity,123.0,"127,0,0,0,0... When an acid meets a base, it pairs up and loses its properties and neutralizes"
124,124,I don't know.,124.0,"128,0,0,0,0... When the base meets the acid, it pairs up and loses its properties and undergoes a neutralization reaction"
125,125,"Because cabbage indicators are basic, they lose their acidic properties",125.0,"129,0,0,1,0... When basicity meets acidity, it pairs up and loses its properties and neutralizes"
126,126,This is because acidity and basicity meet to create neutral properties.,126.0,"130,0,0,0,0... When the base meets the acid, it pairs up and loses its properties and undergoes a neutralization reaction"
127,127,Acid and basicity are mutual (라서ㅅ;),127.0,"131,0,0,0,0... When the base meets the acid, it pairs up and loses its properties and undergoes a neutralization"
128,128,"Since basicity and acidity have opposite properties, calculating the two at equal ratios weakens the acidity and basicity.",128.0,"132,0,0,0,1,... When basicity meets acidity, it pairs up and loses its properties and neutralizes"
129,129,I learned it too long ago.,129.0,"133,0,0,1,0... When the base meets the acid, it pairs up and loses its properties and undergoes a neutralization reaction"
130,130,Forgot.,130.0,"134,0,0,0,0... When the base meets the acid, it pairs up and loses its properties and undergoes a neutralization reaction"
131,131,"Acids and bases are opposite substances, so when they meet, a phenomenon called neutralization occurs, and when an acid and a base meet, they both weaken. (e.g., when you have a stomachache, take medicine to calm you down)",131.0,"135,0,0,0,0... When basicity meets acidity, it pairs up and loses its properties and neutralizes"
132,132,I don't know.,132.0,"136,0,0,1,1,... When basicity meets an acid, it pairs up and loses its properties and neutralizes"
133,133,Forgot.,133.0,"137,1,0,1,0... When the base meets the acid, it pairs up and loses its properties and neutralizes"
134,134,Because it's different in acidity and basicity?,134.0,"138,0,0,0,0... When the base meets the acid, it pairs up and loses its properties and neutralizes"
135,135,Red cabbage changes color if you use indicatorSo the acid and the base become weak,135.0,"139,0,0,0,0... When the base meets the acid, it pairs up and loses its properties and neutralizes"
136,136,I don't know.,136.0,"140,0,0,0,1,... When basicity meets acidity, it pairs up and loses its properties and neutralizes"
137,137,I don't know.,137.0,"141,0,0,0,1,... When the base meets the acid, it pairs and loses its properties and neutralizes"
138,138,Acid and basicity weaken because they are the opposite,138.0,"142,0,0,0,0... When the base meets the acid, it pairs up and loses its properties and neutralizes"
139,139,Because acidity and basicity neutralize.,139.0,"143,1,0,1,0... When the base meets the acid, it pairs up and loses its properties and neutralizes"
140,140,cabbage wrap,140.0,"144,0,0,0,0... When the base meets the acid, it pairs up and loses its properties and neutralizes"
141,141,They react differently depending on the indicator,141.0,"145,1,0,1,0... When the base meets the acid, it pairs up and loses its properties and neutralizes"
142,142,"Since acidity and basicity are the opposite substances,",142.0,"146,1,0,1,0... When a base meets an acid, it pairs up and loses its properties and neutralizes"
143,143,The upper pole of an acid is basic and the upper pole of an acid is acidic,143.0,"147,0,0,0,0... When a base meets an acid, it pairs up and loses its properties and neutralizes"
144,144,Because it's acidic,144.0,"148,0,0,0,1,... When the base meets the acid, it pairs up and loses its properties and neutralizes149,0,0,0,0... When a base meets an acid, it pairs up and loses its properties and neutralizes"
145,145,The relationship between acidity and basicity weakens when they meet each other,145.0,"150,0,0,0,0... When a base meets an acid, it pairs up and loses its properties and neutralizes"
146,146,I forget to use it. Haha,146.0,"151,0,0,0,0... When a base meets an acid, it pairs up and loses its properties, and it neutralizes"
147,147,It's because the two components weaken when they meet.,147.0,"152,1,0,1,0... When a base meets an acid, it pairs up and loses its properties and neutralizes"
148,148,"When the two substances are mixed, the properties of either side are weakened.",148.0,"153,0,0,0,0... When a base meets an acid, it pairs up and loses its properties and neutralizes"
149,149,It depends on what you put into the solution,149.0,"154,0,0,0,1,... When the base meets the acid, it pairs up and loses its properties, and it neutralizes"
150,150,Because acids and bases have different properties,150.0,"155,0,0,0,0 because acidic substances pair with basic substances and lose the properties of acids"
151,151,It depends on what you put into the solution,151.0,"156,0,0,0,1,,,, because acidic substances pair with basic substances and lose the properties of acids,"
152,152,This is because the proportion of one indicator decreases and increases,152.0,"157,0,0,0,0,,, because acidic substances lose the properties of acids by matching them with basic substances,"
153,153,depend on the addition of the solution,153.0,"158,0,0,1,1,... because the acidic substances pair with the basic substances and lose the properties of the acid"
154,154,"When basic and acidic meet, the basic becomes weak, and when acid and basic meet, the acid becomes weak, and when they meet each other, they become weak",154.0,"159,0,0,1,0, because the acidic substances are paired with the basic substances and lose the properties of the acid"
155,155,?????????,155.0,"160,0,0,0,1,,, because acidic substances pair with basic substances, and lose the properties of acids,"
156,156,Because acids and bases are opposite substances.,156.0,"161,0,0,0,0... because acidic substances are paired with basic substances and lose the properties of acids"
157,157,Forgot.,157.0,"162,0,0,0,0 because the acidic substances pair with the basic substances and lose the properties of the acid"
158,158,Because acids and bases are opposite substances.,158.0,"163,0,0,0,0... because the acid material is paired with the base material and loses its properties"
159,159,I don't know,159.0,"164,0,0,0,1,,, because the acid material is paired with the base material and loses its acid properties,"
160,160,"Acids and bases have different properties, so they become neutral when they meet",160.0,"165,0,0,0,0,, because the acid-bearing material is paired with the base material and loses its properties,"
161,161,"If you put a lot of acidity in a basic bottle, the acidity weakens, and if you put a lot of basicity in an acidic bottle, the acidity weakens.",161.0,"166,0,0,0,0 because the acid material pairs with the base material and loses its properties"
162,162,Because image and smoke are substances that are opposite,162.0,"167,0,0,0,0 because the acid material is paired with the base material and loses its properties"
163,163,I don't know,163.0,"168,0,0,0,0... because the acid material is paired with the base material and loses its properties,"
164,164,be devoid of intelligence,164.0,"169,0,0,1,0... because the acid-bearing material loses its properties by matching the base material with the small"
165,165,Mountain and Yeom Ki-hoon,165.0,"170,1,0,0,,, because the acid material is paired with the base material and loses its properties"
166,166,Acids and bases are the opposite,166.0,"171,0,0,0,0 because the acid is paired with the base and loses its properties"
167,167,I don't know,167.0,"172,0,0,1,0, because the acid is paired with the base and loses its properties,"
168,168,I don't know.,168.0,"173,0,0,1,0, because the acid is paired with the base and loses its properties"
169,169,I don't know.,169.0,"174,0,0,0,0 because the acid pairs with the base and loses its properties"
170,170,"Acid is lemon or cider, and basic is soapy water.",170.0,"175,0,0,0,0 because the acid is paired with the base and loses its properties"
171,171,"When an acid and a base meet, they become neutralized",171.0,"176,0,0,1,0... because the acid is paired with the base and loses its properties,"
172,172,"When you put them together, they become water",172.0,"177,0,0,0,0 because the acid loses its properties by matching its base with its small size"
173,173,I don't know.,173.0,"178,0,0,0,0 because acids pair with bases and lose their properties179,1,0,1,0... because substances that are basic are paired with acid substances and lose the properties of the base"
174,174,This is because a neutralization reaction occurs.,174.0,"180,0,0,0,0... because a basic substance is paired with an acid substance, it loses its base properties"
175,175,It's neutralized by acidity and basicity,175.0,"181,1,0,1,0... because the basic substance is paired with the acid substance and loses the properties of the base"
176,176,",,",176.0,"182,0,0,1,0... because the basic substance pairs with the acid substance and loses its base properties"
177,177,I don't know.,177.0,"183,1,0,1,0... because a basic substance is paired with an acid substance and loses its base properties"
178,178,A neutral reaction takes place and turns into a solution that has a neutral property,178.0,"184,0,0,1,0... because a basic substance is paired with an acid substance and loses its base properties,"
179,179,...,179.0,"185,0,0,0,0... because the basic substance is paired with the acid substance and loses the properties of the base"
180,180,I don't know.,180.0,"186,1,0,1,0... because the basic substance is paired with the acid substance and loses its base property"
181,181,"This is because when an acid and a base meet, a neutralization reaction occurs.",181.0,"187,0,0,1,0... because the base substance is paired with the acid substance and loses its properties"
182,182,I don't know.,182.0,"188,0,0,1,0... because the base material is paired with the acid material and loses its properties,"
183,183,This is because hydrogen ions and hydroxide ions meet to cause a neutralization reaction.,183.0,"189,0,0,1,0,, because the base material is paired with the acid material, and the properties of the base are lost"
184,184,This is because hydrogen ions in the acid react with hydroxide ions in the basic solution to become water.,184.0,"190, 1, 0, 1, 0 ... because the base material is paired with the acid material and loses its base properties"
185,185,"When hydrogen ions in the acidic solution and hydroxide ions in the basic solution meet, the neutralization reaction occurs and the amount of hydroxide ions is limited, so if hydrogen ions are continuously supplied, the basic property will be weakened.",185.0,"191,0,0,0,0... because the base material is paired with the acid material and loses its properties"
186,186,neutralization reaction,186.0,"192,1,0,1,0... because the base material is paired with the acid material and loses its base properties,"
187,187,by pH concentration,187.0,"193, 1, 0, 1, 0 , because the base substance is paired with the acid substance and loses the properties of the base"
188,188,The acid and the base combine to become neutral,188.0,"194,0, 0, 1, 1, ... because the base material is paired with the acid material and loses its base properties"
189,189,"Acid solutions mainly have positive ions, and basic solutions mainly have negative ions. So it's neutralized by chemical reactions.",189.0,"195,0, 0, 0, 1, because the base and the acid pair up and lose the properties of the base"
190,190,"Acids and bases meet to produce water molecules, resulting in lower acid or base concentrations and higher temperatures.",190.0,"196,0,1,0... because the base and the acid pair up and lose the properties of the base,"
191,191,neutralization reaction,191.0,"197,0,0,0,0,, because the base and the acid match and lose the properties of the base,"
192,192,"Since hydrogen ions in the acidic solution and hydroxide ions in the basic solution react with each other to produce water molecules, acidity and basicity are weakened.",192.0,"198,0,0,0,0... because the base and the acid pair up and lose the properties of the base"
193,193,There is an answer in the question. I hope you get your fingerprints right...,193.0,"199,0,0,0,0... because the base and the acid match and lose the properties of the base,"
194,194,"The acid contains H+ and the base contains OH-, so when the two meet, water is produced, which weakens the acidity and basicity",194.0,"200,0,0,0,0... because the base and the acid pair up and lose the properties of the base,"
195,195,This is because hydrogen ions that make it acidic and hydroxide ions that make it basic meet to form water as a neutralization reaction occurs.,195.0,"201,0,0,0,0,, because the base and the acid match and lose the properties of the base,"
196,196,"Due to neutralization, when a solution of opposite properties is added, it becomes neutral.",196.0,"202,0,0,0,1, because the base and the acid pair up and lose the properties of the base"
197,197,"Because they have opposite propertiesHydrogen ions and hydroxide ions react in a 1:1 ratio to generate water, resulting in a neutralization reaction.",197.0,"203,0,0,0,0... because it's neutralized"
198,198,...,198.0,"204,0,0,0,0,0 because it's neutralized"
199,199,I don't know.,199.0,"205,0,0,0,0,0 because it neutralizes"
200,200,Cabbage is Jo Seho,200.0,"206,1,0,1,0, because it's neutralized"
201,201,"If you sprinkle lemon juice on sashimi, the fishy smell disappears",201.0,"207,0,0,1,0, because it's neutralized,"
202,202,"If you sprinkle lemon juice on the sashimi, the fishy smell disappears",202.0,"208,1,0,1,0, because it's neutralized,209,0,0,0,0,0 because it becomes neutral"
203,203,Because acids and bases have different properties,203.0,Because it's going to get neutralized
204,204,Cabbage is not salty,204.0,"211,0,0,1,0, because the properties of acids and bases are neutralized,"
205,205,"Acid is like S pole, base is like N pole?",205.0,"212,1,0,1,0... because the properties of acids and bases are neutralized,"
206,206,I don't know.,206.0,"213,0,0,0,0,, because the properties of acid and base are neutralized,"
207,207,Acids and bases have opposite properties and are neutralized when mixed,207.0,"214,0,0,1,0, because the properties of acids and bases are neutralized"
208,208,This is because a neutralization reaction occurs.,208.0,"215,0,0,1,0... because the properties of acids and bases are neutralized"
209,209,"When acidity and basicity are mixed, they become neutralized and weakened.",209.0,"216,0,0,0,0... because the properties of acids and bases are neutralized,"
210,210,The acid melts and the base clumps,210.0,"217,0,0,0,0,, because the properties of acid and base are neutralized,"
