,Unnamed: 0,"8. Patients who have a sudden heart attack risk serious brain damage. At this time, performing CPR on the patient as shown in the picture can prevent brain damage. Why can CPR prevent brain damage? Let's focus on the circulation of blood in our bodies and explain why.",Unnamed: 0,",q63_blood,q63_heart,q63_ oxygen, blood circulation, heart function> Isn't this blood circulation and oxygen supply?,,, oxygen and substance exchange"
87,87,"If you do a pneumoconiosis, the air can enter the human body and save a person",87.0,"90,1,0,1,,,"
88,88,"""Because it doesn't shock you with your brain",88.0,"91,1,1,0,,,"
89,89,"""",89.0,"92,1,0,0,,,"
90,90,Pump me up instead of a suspended heart It helps with blood circulation and even blood circulation to the brain to prevent brain damage,90.0,"93,1,0,0,,,"
91,91,"Instead of a stopped heart, it sends power from the outside and pumps it instead, causing blood to circulate in the brain, slowing brain death",91.0,"94,1,1,0,,,"
92,92,"""If you do CPR, you will be able to breathe if you continue to press instead of the stopped heart, so oxygen is supplied to the brain",92.0,"95,0,0,0,,,"
93,93,"""",93.0,"96,0,0,0,,,"
94,94,The heart pumps blood throughout our bodies because it stops and blood doesn't flow,94.0,"97,1,0,0,,,"
95,95,Press the chest to deliver oxygen and blood to the brain,95.0,"98,1,0,0,,,"
96,96,"Instead of a stopped heart, it's manually pumped to prevent brain death by causing blood to circulate",96.0,"99,1,0,0,,,"
97,97,"If your heart doesn't beat, blood doesn't go to your brain, so if you don't do CPR, your brain will be damaged",97.0,"100,0,1,0,,,"
98,98,"My heart is pumping, so my blood flows, but my heart stops, so my blood doesn't flowWhen you have a heart attack, your heart doesn't beat and blood doesn't go to your brain, because it manually presses your heart to send blood to your brain and circulates blood",98.0,"101,1,0,0,,,"
99,99,Because I have a seizure,99.0,"102,1,1,0,,,"
100,100,I don't know.,100.0,"103,1,0,0,,,"
101,101,"The heart is the center of blood circulation, and if you have a heart attack, your blood circulation may stop and you may suffer brain damage",101.0,"104,1,0,0,,,"
102,102,"The heart needs to beat in order to circulate blood, but when a heart attack occurs, the brain becomes stiff and becomes damaged.",102.0,"105,0,0,1,,,"
103,103,"""",103.0,"106,1,0,0,,,"
104,104,My heart is beating again and my blood circulates back into my head.,104.0,"107,1,0,0,,,"
105,105,It shocks the heart and makes it beat again,105.0,"108,1,0,0,,,"
106,106,This is because blood circulation is good when the heart beats.,106.0,"109,0,0,0,,,"
107,107,Because it makes the heart beat and makes the heart beat and blood circulation.,107.0,"110,1,0,0,,,"
108,108,"Cardiopulmonary resuscitation that helps blood circulation by compressing the heart so that blood can be delivered to the brain, can prevent brain damage.",108.0,"111,1,0,0,,,"
109,109,Blood circulates well because it compresses the heart.,109.0,"112,1,0,0,,,"
110,110,in order to secure the airway,110.0,"113,1,0,0,,,"
111,111,"This is because when the heart beats, it becomes a total circulation from the heart to the brain.",111.0,"114,1,0,0,,,"
112,112,"Since blood cells enter and exit the heart, cardiopulmonary resuscitation is performed to help the movement of the gall fluid smoothly.",112.0,"115,1,0,0,,,"
113,113,"Since the center of blood circulation is the heart, if the heart is pressed to circulate, blood circulates in the brain.",113.0,"116,1,0,0,,,"
114,114,"There is a golden time after a heart attack, and after that golden time, the brain gradually begins to get damaged. Cardiopulmonary resuscitation can prevent brain damage.",114.0,"117,0,0,1,,,"
115,115,This is because blood is supplied again.,115.0,"118,0,0,1,,,119,0,0,1,,,"
116,116,Cardiopulmonary resuscitation can prevent brain damage by moving the body and circulating the blood widely because the blood is pushy around the heart,116.0,"120,1,1,0,,,"
117,117,Sympesosymbiosis leads to blood circulation,117.0,"121,1,1,0,,,"
118,118,The reason why it can prevent brain damage is that the brain hardens after the golden time. Cardiopulmonary resuscitation is what makes the heart beat so that the blood works Cardiopulmonary resuscitation will cause blood to flow and prevent the brain from hardening.,118.0,"122,0,1,0,,,"
119,119,"It's because if you harm cardiopulmonary resuscitation, blood circulates and transmits it to the brain",119.0,"123,1,0,0,,,"
120,120,It's because blood doesn't go to the head.,120.0,"124,1,0,0,,,"
121,121,"The heart is an important organ that supplies blood to our bodies. If this organ stops, the whole body's blood nucleus circulation stops, which can cause brain damage. However, CPR can prevent brain damage by circulating the heart's blood.",121.0,"125,1,0,0,,,"
122,122,Because it can deliver oxygen,122.0,"126,1,0,0,,,"
123,123,"Compression of the paralyzed heart by CPR does not stop the circulation of the whole body, which can deliver oxygen to the brain",123.0,"127,1,0,0,,,"
124,124,It provides air to prevent brain damage,124.0,"128,1,0,0,,,"
125,125,It makes your heart beat with your hands and makes your blood circulate,125.0,"129,1,0,0,,,"
126,126,It pumps the heart and artificially circulates the blood,126.0,"130,0,1,0,,,"
127,127,It makes my heart race,127.0,"131,0,0,0,,,"
128,128,Because it compresses the chest and sends blood to the brain,128.0,"132,1,0,0,,,"
129,129,This is because CPR allows blood in the heart to rise to the brain under the pressure of CPR.,129.0,"133,1,0,0,,,"
130,130,"The heart slows down due to a heart attack, which does not actively circulate blood in the body, so it promotes blood circulation through heart pressure through cardiopulmonary resuscitation and makes it active.",130.0,"134,1,0,0,,,"
131,131,Pressure on the heart causes blood to be supplied to the brain.,131.0,"135,1,0,1,,,"
132,132,Cardiopulmonary resuscitation can prevent brain damage because blood is supplied from the heart faster,132.0,"136,1,1,0,,,"
133,133,"Because the blood is not circulating, it puts pressure on the heart and allows the veins to flow well, so it can prevent brain damage",133.0,"137,1,0,0,,,"
134,134,It keeps pressing the heart repeatedly and sends blood to the head to prevent brain damage,134.0,"138,0,0,0,,,"
135,135,It stimulates the heart,135.0,"139,1,0,0,,,"
136,136,Heart,136.0,"140,1,0,0,,,"
137,137,"If you don't have blood circulation, the cells in your brain die. However, CPR like the stomach can prevent brain damage by causing blood circulation.",137.0,"141,0,0,0,,,"
138,138,It is to apply pressure to the heart when the heart is not beating so that it can flow through the blood.,138.0,"142,1,0,1,,,"
139,139,It allows blood to circulate from the heart to the brain,139.0,"143,1,0,1,,,"
140,140,"Since the heart has stopped, it is difficult to supply blood to the body, so simpesosynthesis is performed to squeeze blood from the heart. Then oxygen and blood are supplied to the brain to prevent brain damage.",140.0,"144,1,0,0,,,"
141,141,"""My heart pumps and supplies blood to my whole body, so if I do CPR,",141.0,"145,0,1,0,,,"
142,142,"It pumps the heart at random, so it's able to pump it all over your body",142.0,"146,1,0,0,,,"
143,143,"It's because you lose.""",143.0,"147,1,0,0,,,"
144,144,It can prevent brain damage because it helps the heart contract and relax so that blood can reach the brain.,144.0,"148,0,0,0,,,149,0,0,1,,,"
145,145,Maybe the heart and the brain are connected,145.0,"150,1,0,1,,,"
146,146,"Since the heart has a ventricle and atrium through which blood circulates, CPR circulates blood and prevents cerebral blood vessels from clogging.",146.0,"151,0,0,0,,,"
147,147,"Cardiopulmonary resuscitation seems to be able to supply blood to the brain by applying pressure to the heart and forcing blood circulation. Since blood comes out of the heart, circulates throughout the body, and returns to the heart, CPR will circulate blood to the brain.",147.0,"152,0,0,1,,,"
148,148,.,148.0,"153,1,0,0,,,"
149,149,"By performing CPR, the heart and lungs are stimulated and blood and oxygen are supplied to the brain to prevent brain damage.",149.0,"154,1,0,1,,,"
150,150,"If the brain is not oxygenated, brain damage can occur in a short period of time. To prevent this, cardiopulmonary resuscitation is performed because the blood circulates throughout the body, that is, to the heart, and in this process, oxygen is also transmitted. Therefore, thanks to the oxygen supplied through CPR, brain damage can be prevented.",150.0,"155,0,0,0,,,"
151,151,"The human body is made up of all organs in circulation, and when you breathe in by giving a rebound to the heart and lungs, the brain also moves, breathing small and preventing brain damage.",151.0,"156,0,1,0,,,"
152,152,It makes your heart beat. It makes your brain come alive,152.0,"157,0,0,0,,,"
153,153,This is because the heart stopped during cardiopulmonary resuscitation so that blood circulation can be improved and blood is sent to the brain,153.0,"158,1,0,0,,,"
154,154,"When a heart attack occurs, the heart fails to function properly and cannot beat, so the act of pressing with your hands helps the heart beat, which can spread blood from the heart to the whole body again. So CPR can prevent brain damage.",154.0,"159,1,0,1,,,"
155,155,I don't know.,155.0,"160,1,1,0,,,"
156,156,"If a person does not breathe, there is no air supply to the brain, which causes brain damage. CPR can reduce brain damage by supplying air to the brain",156.0,"161,1,0,0,,,"
157,157,It's supplied to the brain,157.0,"162,1,1,0,,,"
158,158,Blood needs to flow to get air,158.0,"163,0,0,1,,,"
159,159,"If oxygen does not go to the brain, brain damage occurs, but if the heart does not beat, oxygen does not go, so CPR is performed.",159.0,"164,0,0,0,,,"
160,160,This is because the brain exercises only when blood circulation occurs,160.0,"165,1,0,1,,,"
161,161,Cardiopulmonary resuscitation can prevent brain damage because it supplies blood to the brain and oxygen in the blood is also supplied to the brain.,161.0,"166,1,0,0,,,"
162,162,I don't know,162.0,"167,1,0,0,,,"
163,163,Because it won't stop my heart,163.0,"168,0,0,1,,,"
164,164,I don't know.,164.0,"169,0,0,0,,,"
165,165,"When a heart attack occurs, the heart that circulates blood cannot work, so blood does not circulate, which can cause damage to the head.",165.0,"170,1,0,0,,,"
166,166,"Hemoglobin in the blood combines with oxygen and carries oxygen to the brain and the whole body when circulating blood. Therefore, re-supplying oxygen to the brain through CPR can prevent brain damage.",166.0,"171,0,0,1,,,"
167,167,"My heart is beating, so my body is bleeding",167.0,"172,0,0,1,,,"
168,168,"Cardiopulmonary resuscitation marks the heart, making it easier for the body's blood to circulate",168.0,"173,1,0,0,,,"
169,169,"This seems to be because CPR can pressure the heart as if it were beating, which can prevent blood from being supplied to the brain by active circulation.",169.0,"174,1,0,0,,,"
170,170,Because it allows you to breathe.,170.0,"175,1,0,0,,,"
171,171,"""God's Touch""",171.0,"176,1,0,0,,,"
172,172,"""",172.0,"177,1,0,0,,,"
173,173,"The reason for brain damage is that blood circulation is poor and oxygen supplied to the brain is insufficient, so cardiopulmonary resuscitation can be performed to supply oxygen to the brain.",173.0,"178,0,0,1,,,179,1,0,0,,,"
174,174,"""If you press the heart, the blood will turn again, so it seems like you're doing CPR",174.0,"180,1,0,0,,,"
175,175,"""",175.0,"181,1,0,0,,,"
176,176,Cardiopulmonary resuscitation can prevent blood circulation back to the brain.,176.0,"182,1,0,0,,,"
177,177,"By pressing the heart, oxygen can be contained in the blood and carried to the brain and various organs to prevent brain damage.",177.0,"183,1,0,0,,,"
178,178,I don't know.,178.0,"184,1,0,0,,,"
179,179,"If the heart that supplies blood stops and blood circulates to the brain, it will cause brain damage, so it stimulates the heart to circulate blood",179.0,"185,1,0,0,,,"
180,180,"The heart is supposed to oxygenate the head, but the heart stops and CPR is done",180.0,"186,1,0,0,,,"
181,181,"Blood carries oxygen, and if blood is not supplied to the brain, oxygen is also not supplied to the brain, which can cause serious damage to the brain.",181.0,"187,1,0,0,,,"
182,182,"When the heart is paralyzed, blood does not circulate, so blood is not supplied to the brain, and oxygen is not supplied, causing brain damage. At this time, CPR can prevent brain damage by making the heart beat again.",182.0,"188,1,0,0,,,"
183,183,"The activity of sending blood to the whole body and then returning to the heart as the heart beats is called blood circulation, which supplies blood to the brain, but the human brain uses blood very much, so the brain is damaged first when it is in cardiac arrest.",183.0,"189,0,1,0,,,"
184,184,Cardiopulmonary resuscitation can prevent brain damage due to lack of oxygen in the brain by supplying blood to the entire body.,184.0,"190,0,1,0,,,"
185,185,"Blood circulates in our bodies and supplies our bodies with the nutrients or oxygen they need. If oxygen is not supplied to the brain during ash, brain cells are damaged. The heart acts like a pump and circulates blood through our bodies. Since the heart cannot beat on its own during a heart attack, it presses the heart from the outside and circulates the body's blood.",185.0,"191,0,0,1,,,"
186,186,"Since the heart is suddenly stopped, cardiopulmonary resuscitation is performed to connect the brain and the heart, and blood is not moved to the brain, so blood is supplied through CPR.",186.0,"192,0,0,1,,,"
187,187,It supplies oxygen by external force.,187.0,"193,0,0,1,,,"
188,188,"Cardiopulmonary resuscitation is a process that causes the stopped heart to beat passively, and it continues to supply blood to the brain by maintaining blood circulation. In other words, it supplies oxygen to the brain. Without oxygen in the brain, brain damage occurs, and CPR prevents it, which can prevent brain damage.",188.0,"194,1,0,0,,,"
189,189,It is because it sends blood to the whole body.,189.0,"195,1,0,0,,,"
190,190,It prevents brain damage by allowing blood to travel normally to the brain.,190.0,"196,0,0,1,,,"
191,191,"When the heart is pressed, the heart contracts and circulates blood to supply oxygen to the brain.",191.0,"197,1,0,0,,,"
192,192,"Cardiopulmonary resuscitation compresses the heart and damages some blood. As a result, oxygen is supplied to the brain through the blood to prevent brain damage.",192.0,"198,0,0,1,,,"
193,193,"artificially beating the heart, circulating the blood, supplying oxygen to the brain",193.0,"199,1,0,0,,,"
194,194,It circulates blood through CPR and delivers oxygen to the brain.,194.0,"200,0,0,0,,,"
195,195,"This is because CPR induces blood circulation, which also supplies oxygen to the brain.",195.0,"201,0,0,1,,,"
196,196,It delivers blood throughout the body.,196.0,"202,0,0,1,,,"
197,197,"This is because it regenerates the heartbeat through CPR, causing blood circulation to the entire body, and blood is supplied to the brain.When you have a heart attack, your heart doesn't beat and blood doesn't go to your brain, because it manually presses your heart to send blood to your brain and circulates blood",197.0,"203,0,0,1,,,"
198,198,Because I have a seizure,198.0,"204,0,0,0,,,"
199,199,I don't know.,199.0,"205,0,0,1,,,"
200,200,"The heart is the center of blood circulation, and if you have a heart attack, your blood circulation may stop and you may suffer brain damage",200.0,"206,0,0,0,,,"
201,201,"The heart needs to beat in order to circulate blood, but when a heart attack occurs, the brain becomes stiff and becomes damaged.",201.0,"207,0,0,0,,,"
202,202,"""",202.0,"208,0,0,0,,,209,1,0,0,,,"
203,203,My heart is beating again and my blood circulates back into my head.,203.0,"210,0,0,0,,,"
204,204,It shocks the heart and makes it beat again,204.0,"211,0,0,1,,,"
205,205,This is because blood circulation is good when the heart beats.,205.0,"212,1,0,0,,,"
206,206,Because it makes the heart beat and makes the heart beat and blood circulation.,206.0,"213,1,0,0,,,"
207,207,"Cardiopulmonary resuscitation that helps blood circulation by compressing the heart so that blood can be delivered to the brain, can prevent brain damage.",207.0,"214,0,1,0,,,"
208,208,Blood circulates well because it compresses the heart.,208.0,"215,1,0,0,,,"
209,209,in order to secure the airway,209.0,"216,1,0,0,,,"
210,210,"This is because when the heart beats, it becomes a total circulation from the heart to the brain.",210.0,"217,1,0,0,,,"
211,211,"Since blood cells enter and exit the heart, cardiopulmonary resuscitation is performed to help the movement of the gall fluid smoothly.",211.0,"218,1,0,0,,,"
212,212,"Since the center of blood circulation is the heart, if the heart is pressed to circulate, blood circulates in the brain.",212.0,"219,0,1,0,,,"
213,213,"There is a golden time after a heart attack, and after that golden time, the brain gradually begins to get damaged. Cardiopulmonary resuscitation can prevent brain damage.",213.0,"220,0,0,1,,,"
214,214,This is because blood is supplied again.,214.0,"221,0,1,0,,,"
215,215,Cardiopulmonary resuscitation can prevent brain damage by moving the body and circulating the blood widely because the blood is pushy around the heart,215.0,"222,1,0,0,,,"
216,216,Sympesosymbiosis leads to blood circulation,216.0,"223,0,1,0,,,"
217,217,The reason why it can prevent brain damage is that the brain hardens after the golden time. Cardiopulmonary resuscitation is what makes the heart beat so that the blood works Cardiopulmonary resuscitation will cause blood to flow and prevent the brain from hardening.,217.0,"224,1,0,0,,,"
218,218,"It's because if you harm cardiopulmonary resuscitation, blood circulates and transmits it to the brain",218.0,"225,0,0,1,,,"
219,219,It's because blood doesn't go to the head.,219.0,"226,0,1,0,,,"
220,220,"The heart is an important organ that supplies blood to our bodies. If this organ stops, the whole body's blood nucleus circulation stops, which can cause brain damage. However, CPR can prevent brain damage by circulating the heart's blood.",220.0,"227,1,0,0,,,"
221,221,Because it can deliver oxygen,221.0,"228,0,0,0,,,"
222,222,"Compression of the paralyzed heart by CPR does not stop the circulation of the whole body, which can deliver oxygen to the brain",222.0,"229,0,1,0,,,"
223,223,It provides air to prevent brain damage,223.0,"230,1,0,0,,,"
224,224,It makes your heart beat with your hands and makes your blood circulate,224.0,"231,0,0,0,,,"
225,225,It pumps the heart and artificially circulates the blood,225.0,"232,0,0,0,,,"
226,226,It makes my heart race,226.0,"233,1,0,0,,,"
227,227,Because it compresses the chest and sends blood to the brain,227.0,"234,0,1,0,,,"
228,228,This is because CPR allows blood in the heart to rise to the brain under the pressure of CPR.,228.0,"235,0,1,0,,,"
229,229,"The heart slows down due to a heart attack, which does not actively circulate blood in the body, so it promotes blood circulation through heart pressure through cardiopulmonary resuscitation and makes it active.",229.0,"236,1,0,0,,,"
230,230,Pressure on the heart causes blood to be supplied to the brain.,230.0,"237,0,0,0,,,"
231,231,Cardiopulmonary resuscitation can prevent brain damage because blood is supplied from the heart faster,231.0,"238,0,0,0,,,239,0,0,0,,,"
232,232,"Because the blood is not circulating, it puts pressure on the heart and allows the veins to flow well, so it can prevent brain damage",232.0,"240,1,0,0,,,"
233,233,It keeps pressing the heart repeatedly and sends blood to the head to prevent brain damage,233.0,"241,0,0,0,,,"
234,234,It stimulates the heart,234.0,"242,1,0,0,,,"
235,235,Heart,235.0,"243,0,1,0,,,"
236,236,"If you don't have blood circulation, the cells in your brain die. However, CPR like the stomach can prevent brain damage by causing blood circulation.",236.0,"244,1,0,0,,,"
237,237,It is to apply pressure to the heart when the heart is not beating so that it can flow through the blood.,237.0,"245,1,0,0,,,"
238,238,It allows blood to circulate from the heart to the brain,238.0,"246,0,0,0,,,"
239,239,"Since the heart has stopped, it is difficult to supply blood to the body, so simpesosynthesis is performed to squeeze blood from the heart. Then oxygen and blood are supplied to the brain to prevent brain damage.",239.0,"247,1,0,0,,,"
240,240,"""My heart pumps and supplies blood to my whole body, so if I do CPR,",240.0,"248,1,0,0,,,"
241,241,"It pumps the heart at random, so it's able to pump it all over your body",241.0,"249,0,1,0,,,"
242,242,"It's because you lose.""",242.0,"250,1,0,0,,,"
243,243,It can prevent brain damage because it helps the heart contract and relax so that blood can reach the brain.,243.0,"251,0,1,0,,,"
244,244,Maybe the heart and the brain are connected,244.0,"252,0,0,0,,,"
245,245,"Since the heart has a ventricle and atrium through which blood circulates, CPR circulates blood and prevents cerebral blood vessels from clogging.",245.0,"253,0,0,1,,,"
246,246,"Cardiopulmonary resuscitation seems to be able to supply blood to the brain by applying pressure to the heart and forcing blood circulation. Since blood comes out of the heart, circulates throughout the body, and returns to the heart, CPR will circulate blood to the brain.",246.0,"254,0,0,1,,,"
247,247,.,247.0,"255,1,0,0,,,"
248,248,"By performing CPR, the heart and lungs are stimulated and blood and oxygen are supplied to the brain to prevent brain damage.",248.0,"256,0,0,0,,,"
