,Unnamed: 0,1) What happened to the air in the bag after several breaths?,Unnamed: 0,", q41_oxygen, q41_carbon dioxide, q41_moisture, q41_oxygen.1, q41_carbon dioxide.1,q41_Moisture.1"
18,18,"The bag will be filled with carbon dioxide that comes out when a person, not oxygen, breathes and exhale.",18.0,"18,1,1,0,O2 decreased, carbon dioxide increased"
19,19,"At first, it contained oxygen, but when you breathe, it is filled with carbon dioxide because it breathes with oxygen and carbon dioxide comes out.",19.0,"19,1,1,0,O2 decreased, carbon dioxide increased,"
20,20,The air in the bag would have turned into air that was not fresh.,20.0,"20,0,1,0,O2 decreased, CO2 increased,"
21,21,The air has dwindled.,21.0,"21,0,0,0,O2 decreased,Co2 increased,"
22,22,Just,22.0,"22,0,0,0,O2 decreased, CO2 increased"
23,23,Just,23.0,"23,0,0,0,O2 less, CO2 more,"
24,24,It becomes opaque white.,24.0,"24,0,0,0, o2 reduced, CO2 increased"
25,25,There will be a lot of carbon dioxide in the bag.,25.0,"25,0,1,0, o2 decrease, CO2 increase,"
26,26,A lot of air is gone.,26.0,"26,0,0,0, the amount of oxygen has decreased.The amount of carbon dioxide has increased.,"
27,27,It is changed by carbon dioxide.,27.0,"27,0,1,0,O2 decreases, and carbon dioxide increases.,"
28,28,I think the air will warm up,28.0,"28,0,0,1, oxygen reduction, and CO2 ratio increase.,29,0,0,1, decreasing oxygen content, increasing carbon dioxide ratio"
29,29,It's getting damp.,29.0,"30,0,1,0, oxygen is gradually disappearing, and the amount of carbon dioxide increases.,"
30,30,increase in carbon dioxide,30.0,"31,0,1,0, oxygen ratios fall.The percentage of carbon dioxide increases.,"
31,31,I think it would have turned into a carbon dioxide hymn.,31.0,"32,0,0,1, the oxygen ratio goes down.,O=C=O ratio increases,"
32,32,The air seems to have gotten warmer.,32.0,"33,0,1,0, oxygen levels decrease.The amount of carbon dioxide increases.,"
33,33,There is a lot of carbon dioxide.,33.0,"34,0,0,0, the oxygen ratio decreases.,increase in carbon dioxide,"
34,34,It's going to shrink and get smaller,34.0,"35,0,0,0,O=O ratio decreases, carbon dioxide increases,"
35,35,The air is thinning out.,35.0,"36,1,1,0, less oxygen, more carbon dioxide"
36,36,The air will be reduced and oxygen will be converted into carbon dioxide,36.0,"37,1,1,0, decreasing oxygen, increasing carbon dioxide"
37,37,"The bag contains carbon dioxide, not oxygen",37.0,"38,0,1,0, oxygen decreases, carbon dioxide increases"
38,38,Carbon dioxide would have taken up most of it,38.0,"39,1,1,0, the ratio of oxygen decreases, the ratio of carbon dioxide increases"
39,39,It is likely that fresh air has decreased and turned into carbon dioxide.,39.0,"40,0,0,0, the proportion of oxygen decreases, the proportion of carbon dioxide increases"
40,40,A lot of air would have disappeared.,40.0,"41,0,0,1, the proportion of oxygen decreases, the proportion of carbon dioxide increases"
41,41,I think water droplets will form in the plastic bag,41.0,"42,0,0,1, the ratio of oxygen decreases, the ratio of carbon dioxide increases"
42,42,Moisture fills the bag.,42.0,"43,0,0,1, the concentration of oxygen decreases, the concentration of carbon dioxide increases"
43,43,Moisture forms in the bag.,43.0,"44,0,0,1, the concentration of oxygen decreases, the concentration of carbon dioxide increases"
44,44,Moisture forms in the bag.,44.0,"45,0,0,1, the concentration of oxygen decreases, the concentration of carbon dioxide increases"
45,45,Moisture forms and droplets form in the bag.,45.0,"46,1,1,0, the oxygen concentration decreases, the carbon dioxide concentration increases"
46,46,"There will be a shortage of oxygen, and more carbon dioxide.",46.0,"47,0,0,1, the concentration ratio of oxygen decreases, the concentration ratio of carbon dioxide increases"
47,47,It's hot.,47.0,"48,0,0,0, the concentration ratio of oxygen decreases, the concentration ratio of carbon dioxide increases,"
48,48,It will shrink and then swell again.,48.0,"49,0,0,1, the concentration ratio of oxygen decreases, and the concentration ratio of carbon dioxide increases"
49,49,Water vapor forms (water droplets are produced,49.0,"50,0,1, the concentration ratio of oxygen decreases, the concentration ratio of carbon dioxide increases,"
50,50,water formation,50.0,"51,0,0,0, the number of moles of oxygen decreases, the number of moles of carbon dioxide increases"
51,51,The air would have decreased slowly.,51.0,"52,0,0,0, the number of moles of oxygen decreases, the number of moles of carbon dioxide increases"
52,52,The air disappears,52.0,"53,0,0,1, the number of moles of oxygen decreases, the number of moles of carbon dioxide increases"
53,53,water-bearing,53.0,"54,0,0,1, the amount of oxygen decreases, the amount of carbon dioxide increases"
54,54,The warm and cold wind will be divided and the bag will be mixed with saliva,54.0,"55,0,0,0, the amount of oxygen decreases, the amount of carbon dioxide increases"
55,55,The bag is filled with air.,55.0,"56,0,1,0, oxygen reduction, carbon dioxide increase,"
56,56,"Because I breathed several times, carbon dioxide came out and the air got bad",56.0,"57,0, 0, 0, 0, less oxygen, more carbon dioxide"
57,57,I don't know,57.0,"58,0,0,0, decrease in oxygen ratio, increase in carbon dioxide ratio,59,0,0,1, lower oxygen ratio, higher carbon dioxide ratio,"
58,58,You won't be able to see the inside of the plastic bag.,58.0,"60,0,0,1, decreasing oxygen ratio, increasing carbon dioxide ratio,"
59,59,I got wet because I sweated a lot,59.0,"61,1,1,0, decreasing the amount of oxygen, increasing the amount of carbon dioxide,"
60,60,I think the air got hot.,60.0,"62,0,0,1, Less oxygen, More carbon dioxide,"
61,61,The fresh air I inhale and exhale increases carbon dioxide.,61.0,"63,0,0,0,O2 is less, carbon dioxide is more,"
62,62,Saliva is collected and the bag becomes humid.,62.0,"64,0,1,0,O2 decreases, carbon dioxide increases"
63,63,"We breathe in the air in the bag, but when we exhale again, the air changes. That's why the air in the bag is different.",63.0,"65,0,0,0,O2 decreases, carbon dioxide increases"
64,64,I think I'm gonna get a lot of carbon dioxide out of my new air,64.0,"The ratio of 66,0,1,0,O2 decreases, the ratio of carbon dioxide increases"
65,65,I don't know,65.0,"The ratio of 67,0,0,1,O2 decreases, the ratio of carbon dioxide increases"
66,66,Air and carbon dioxide will mix.,66.0,"The ratio of 68,0,0,0,O2 decreases, the ratio of carbon dioxide increases"
67,67,It would have been warmer than cold air because it was inhaled and exhaled,67.0,"The ratio of 69,1,1,0,O2 decreases, the ratio of carbon dioxide increases"
68,68,You don't think there's air?,68.0,"The concentration of 70,1,0,O2 decreases, the concentration of carbon dioxide increases"
69,69,The proportion of oxygen in the air decreases and the proportion of carbon dioxide increases,69.0,"The concentration of 71,1,1,0,O2 decreases, the concentration of carbon dioxide increases"
70,70,"The fraction of acid molecules in the air decreases, and the fraction of carbon dioxide increases",70.0,"The concentration of 72,1,1,0,O2 decreases, the concentration of carbon dioxide increases"
71,71,"The fraction of oxygen in the air would have been low, and the fraction of carbon dioxide would have increased.",71.0,"The concentration of 73,0,1,0,O2 decreases, the concentration of carbon dioxide increases"
72,72,"The concentration of oxygen gas decreases, and the concentration of carbon dioxide gas increases.",72.0,"The concentration ratio of 74,1,1,0,O2 decreases, the concentration ratio of carbon dioxide increases"
73,73,The proportion of carbon dioxide will increase.,73.0,"The concentration ratio of 75, 1, 0, and O2 decreases, the concentration ratio of carbon dioxide increases,"
74,74,Oxygen concentration decreased and carbon dioxide concentration increased.,74.0,"The concentration ratio of 76,1,1,0, and O2 decreases, and the concentration ratio of carbon dioxide increases"
75,75,"Increasing concentration of carbon dioxide, decreasing oxygen concentration",75.0,"The concentration ratio of 77,0,0,0 and O2 decreases, and the concentration ratio of carbon dioxide increases"
76,76,Oxygen gas decreases and carbon dioxide gas increases.,76.0,"The number of moles of 78,1,1,0,O2 decreases, the number of moles of carbon dioxide increases"
77,77,full of bad breath,77.0,"The number of moles of 79,1,0,0 and O2 decreases, the number of moles of carbon dioxide increases"
78,78,Carbon dioxide increases and oxygen decreases.,78.0,"The number of moles of 80,0,1,0,O2 decreases, the number of moles of carbon dioxide increases"
79,79,The amount of oxygen in the air decreases.,79.0,"The amount of 81,1,1,0,O2 decreases, the amount of carbon dioxide increases"
80,80,"Breathe in air when inhaling, and exhale carbon dioxide when exhaling, so if you breathe in and out repeatedly, the air in the bag becomes thin.",80.0,"The amount of 82,1,1,0,O2 decreases, the amount of carbon dioxide increases"
81,81,"After breathing several times, the content of carbon dioxide in the air in the bag increased, and the content of oxygen would have decreased. Because breathing repeats inhalation and exhalation, and in the process of inhalation and exhalation, the lungs absorb oxygen and release carbon dioxide. As this is repeated, the oxygen content in the air decreases, and the carbon dioxide content increases, and it can be said that it feels stuffy after breathing several times. Therefore, the content of carbon dioxide in the air in the bag that has been breathed several times would have increased, and the content of oxygen would have decreased.",81.0,"83,1,1,0,O2 reduction, carbon dioxide increase,"
82,82,"There is constant oxygen and carbon dioxide in the bag, and as you breathe many times, oxygen decreases and carbon dioxide increases due to breathing",82.0,"84,1,1,0,O2 is getting less, carbon dioxide is getting more,"
83,83,The oxygen in the plastic bag reduces oxygen and increases carbon dioxide through exhalation,83.0,"85,1,1,0,O2 ratio decreased, carbon dioxide ratio increased,"
84,84,Oxygen turned into carbon dioxide.,84.0,"86,1,1,0,O2 ratio decreased, carbon dioxide ratio increased,"
85,85,The concentration of oxygen would have decreased and the concentration of carbon dioxide would have increased.,85.0,"87,1,1,0,O2 ratio decreased, carbon dioxide ratio increased,"
86,86,"In the beginning, the amount of oxygen and carbon dioxide were small, but after several breaths, the amount of oxygen in vinyl would have decreased and the amount of carbon dioxide would have increased.",86.0,"Decreased amount of 88,1,1,0,O2, increased amount of carbon dioxide,89,1,1,0,O2 is reduced, carbon dioxide is increased,"
87,87,The amount of oxygen in the air would have decreased and the amount of carbon dioxide would have increased.,87.0,"90,1,1,0,o2 less, carbon dioxide increase,"
88,88,"The first air in the bag is filled with the same air as the outside air, but the amount of oxygen in the bag decreases and the amount of carbon dioxide in the bag increases due to exhalation.",88.0,"91,1,1,0, o2 decrease, more carbon dioxide"
89,89,"When humans breathe in, the amount of oxygen in the bag decreases, and when they breathe out, the amount of carbon dioxide in the bag increases. That is, after breathing, the amount of carbon dioxide in the bag increases and the amount of oxygen decreases.",89.0,"92,1,1,0, o2 decrease, increase in carbon dioxide ratio,"
90,90,The oxygen in the plastic bag comes out of my mouth through my breath and fills the plastic bag with carbon dioxide.,90.0,"The ratio of 93,1,1,0,o2 is reduced, the ratio of carbon dioxide is increased,"
91,91,"When you breathe first, you have the same amount of oxygen as the ratio in the atmosphere. This is about 20% oxygen, and people are used to breathing in this proportion of oxygen. Humans breathe oxygen and exhale carbon dioxide, and the reason why we don't lack oxygen is that there's so much oxygen in the atmosphere. However, within the limited space in the plastic bag, people continue to use oxygen and the amount of oxygen in the plastic bag becomes insufficient. In the end, breathe in oxygen from your inhalation. As oxygen is exhaled from exhalation, the ratio of oxygen to the air in the plastic bag decreases and the ratio of carbon dioxide increases.",91.0,"The ratio of 94,1,1,0,o2 decreases, the ratio of carbon dioxide increases,"
92,92,"There was oxygen in the plastic bag that stuck to the mouth. However, as we breathe in and out of the plastic bag, oxygen decreases, and while we breathe out, carbon dioxide increases in the plastic bag.",92.0,"95, 1, 0, o2 ratio decreases, carbon dioxide ratio increases,"
93,93,"Due to breathing, the amount of oxygen in the bag decreases, and the amount of carbon dioxide increases.",93.0,"The ratio of 96,1,1,0,o2 is lowered, the ratio of carbon dioxide is increased"
94,94,"After breathing several times, the change in air in the bag is to inhale fresh air oxygen, further reducing oxygen and exhaling carbon dioxide by exhaling carbon dioxide.  The decrease in oxygen and the increase in carbon dioxide occurred simultaneously, increasing the ratio of carbon dioxide.",94.0,"The concentration of 97,1,0,0 and o2 decreases, the carbon dioxide ratio increases,"
95,95,"Oxygen comes in during inhalation and carbon dioxide goes out during exhalation. Therefore, if you breathe repeatedly in a sealed space, oxygen is gradually lost and carbon dioxide is gradually increased when you inhale, so oxygen decreases and carbon dioxide increases in the air in the bag.",95.0,"98,1,1,0, o2 decrease in concentration, increase in carbon dioxide ratio,"
96,96,"Humans breathe in oxygen and exhale carbon dioxide as they breathe, reducing the amount of oxygen in the bag and increasing the amount of carbon dioxide in the bag.",96.0,"The concentration of 99,1,1,1 and o2 decreases, the carbon dioxide ratio increases,"
97,97,Oxygen disappears through breathing.,97.0,"The concentration of 100,1,1,0,o2 decreases, the carbon dioxide ratio increases,"
98,98,"When we breathe, we absorb oxygen from the air and release carbon dioxide. Therefore, as we breathe in the bag, oxygen concentration decreases and carbon dioxide concentration increases.Before breathing several times, the bag had more oxygen than carbon dioxide, but the oxygen concentration in the bag gradually decreases and the carbon dioxide concentration gradually increases due to the carbon dioxide emission from the exhalation. In addition, water droplets will form inside the bag as the steam exhaled from the mouth meets and condenses with the bag.",98.0,"The concentration ratio of 101,0,1,0,o2 decreases, the amount of carbon dioxide increases,"
99,99,"When a person breathes in oxygen and exhales carbon dioxide. However, since it is a case of breathing after the mouth is in close contact with the entrance of the bag, the bag is in a sealed state. Therefore, the amount of oxygen in the bag will decrease, while the amount of carbon dioxide will increase.",99.0,"The concentration ratio of 102,1,1,0,o2 decreases, the amount of carbon dioxide increases,"
100,100,The concentration of carbon dioxide increases.,100.0,"The concentration ratio of 103,1,1,0,o2 decreases, the amount of carbon dioxide increases,"
101,101,"Carbon dioxide increased, oxygen decreased.",101.0,"The concentration ratio of 104,1,1,0,o2 decreases, the amount of carbon dioxide increases,"
102,102,"The oxygen concentration would have decreased, and the carbon dioxide concentration would have increased.",102.0,"The number of moles of 105,1,1,0,o2 decreases, the amount of carbon dioxide increases,"
103,103,The fraction of oxygen decreases and the fraction of carbon dioxide increases.,103.0,"The number of moles of 106,0,1,0,o2 decreases, the amount of carbon dioxide increases,"
104,104,The amount of oxygen decreases and the amount of carbon dioxide increases.,104.0,"The number of moles of 107,0,1,0,o2 decreases, the number of CO2 increases"
105,105,It's not fresh because of carbon dioxide,105.0,"The amount of 108,1,1,0,o2 decreases, CO2 increases"
106,106,an increase in carbon dioxide,106.0,"The amount of 109,0,1,0,o2 decreases, CO2 increases"
107,107,More and more carbon dioxide is exhaled than oxygen,107.0,"110,0,1,0, o2 decrease, increase the ratio of CO2"
108,108,There would be only carbon dioxide left by breathing in a bag filled with air.,108.0,"111,0,0,0 ,o2 less, the ratio of CO2 increases"
109,109,The air in the plastic bag will be full of carbon dioxide because it will breathe in oxygen and release carbon dioxide when exhaled,109.0,"Decreased ratio of 112,1,1,0,o2, increased ratio of CO2,"
110,110,The air in the bag shrinks and the bag shrinks,110.0,"113,1,1,0, o2 ratio decreases, CO2 ratio increases,"
111,111,Oxygen and Tin Dioxide are mixed,111.0,"The ratio of 114,1,0,0 and o2 decreases, the concentration of CO2 increases"
112,112,The oxygen in the bag would have turned into carbon dioxide.,112.0,"Decrease the amount of 115,1,0, o2, increase the concentration of CO2,"
113,113,You run out of oxygen,113.0,"The amount of 116,1,1,0,o2 decreases, the concentration of CO2 increases"
114,114,"The air remains the same, but the components that make up the air are less oxygen and more carbon dioxide, making it difficult to breathe due to the thinness of oxygen.",114.0,"117,1,1,0, o2 becomes less, the concentration of CO2 increases"
115,115,"After the air entered the body, it was converted into carbon dioxide and released again, so carbon dioxide increased and oxygen decreased",115.0,"118,0,1,0, o2 decrease, the concentration ratio of CO2 increases119,1,1,0, o2 decrease, the concentration ratio of CO2 increases,"
116,116,"If you breathe in the oxygen in the bag and continue to breathe out carbon dioxide, the oxygen in the bag will be depleted.",116.0,"The ratio of 120,1,1,0,o2 decreases, the concentration ratio of CO2 increases"
117,117,There must be a lot of carbon dioxide in the bag,117.0,"The ratio of 121,1,1,0,o2 decreases, the concentration ratio of CO2 increases,"
118,118,Oxygen has decreased and carbon dioxide has increased.,118.0,"The ratio of 122,1,1,0,o2 decreases, the number of moles of CO2 increases"
119,119,Oxygen decreases and carbon dioxide increases.,119.0,"The ratio of 123,1,1,0,o2 decreases, the number of moles of CO2 increases"
120,120,There is more carbon dioxide than oxygen,120.0,"The concentration of 124,1,1,0,o2 decreases, the number of moles of CO2 increases"
121,121,Oxygen would be gone and carbon dioxide would be increased,121.0,"The concentration of 125,1,1,0,o2 decreases, the amount of CO2 increases"
122,122,Oxygen would have been drained and carbon dioxide would have increased,122.0,"The concentration of 126,1,1,0,o2 decreases, the amount of CO2 increases"
123,123,Oxygen went into the body and then turned into carbon dioxide as it exhaled into the bag.,123.0,"The concentration of 127,1,1,0,o2 is lowered, CO2 is increased,"
124,124,The oxygen in the bag enters our body through inhalation and is filled with carbon dioxide through exhalation.,124.0,"The concentration ratio of 128,1,1,0,o2 decreases, CO2 increases"
125,125,The bag will be full of carbon dioxide because it breathes in and out oxygen and exhales carbon dioxide.,125.0,"The concentration ratio of 129,1,1,0,o2 decreases, the CO2 ratio increases,"
126,126,"The oxygen in the bag is inhaled and consumed, and the carbon dioxide is exhaled, so the oxygen ratio in the bag is gradually reduced and the carbon dioxide ratio is increased.",126.0,"The concentration ratio of 130,0,0,1,o2 decreases, the CO2 ratio increases,"
127,127,"Breathing requires oxygen and exhaled carbon dioxide. The first bag contains a little oxygen, but as you continue to breathe, only carbon dioxide remains in the bag. The bag prevents external oxygen from entering, so only carbon dioxide remains in the bag",127.0,"The concentration ratio of 131,0,0,0 and o2 decreases, the CO2 ratio increases,"
128,128,Oxygen decreases and carbon dioxide increases.,128.0,"The number of moles of 132,1,1,0,o2 decreases, the amount of CO2 increases,"
129,129,It's getting damp,129.0,"The number of moles of 133,0,0,0 and o2 decreases, the amount of CO2 increases,"
130,130,The air became impure,130.0,"The number of moles of 134,0,0,1,o2 decreases, CO2 increases,"
131,131,Oxygen disappeared and carbon dioxide was produced,131.0,"The amount of 135,1,1,0,o2 decreases, CO2 increases"
132,132,an increase in air pressure,132.0,"The amount of 136,0,1,0,o2 is reduced, the CO2 ratio is increased,"
133,133,It will be damp and cloudy,133.0,"137,1,1,0, o2 decrease, CO2 ratio increase,"
134,134,"Oxygen drinks and spits out carbon dioxide, so the air in the bag is thinned out and the amount of carbon dioxide increases",134.0,"138,0,1,0, o2 less, increase in CO2 ratio,"
135,135,It's changed to carbon dioxide,135.0,"139,1,1,0, o2 ratio decreased, CO2 ratio increased,"
136,136,Oxygen escapes a lot and carbon dioxide fills up a lot.,136.0,"140,1,0,o2 ratio lowered, CO2 ratio increased,"
137,137,There is a lot of carbon dioxide.,137.0,"141,0,1,0, o2 ratio decreased, CO2 ratio increased,"
138,138,"""The oxygen inside is almost gone",138.0,"142,0,1,0, o2 decrease in quantity, CO2 increase in ratio,"
139,139,"It turns into carbon dioxide. """,139.0,"143,1,1,0, o2 less, CO2 ratio increased,"
140,140,"It is difficult to breathe if you breathe in and out of fresh air, that is, you are gradually lacking oxygen.",140.0,"144,0,0,1, oxygen reduction, CO2 ratio increased,"
141,141,"""When a person exhales, carbon dioxide is produced, and it is hard to breathe and my heart is stuffy as I keep trying to breathe in the bag that is already filled with carbon dioxide.",141.0,"145,1,1,0, getting less oxygen, increasing the amount of CO2,"
142,142,(The bag is filled with carbon dioxide due to the carbon dioxide produced when it is exhaled.),142.0,"146,0,0,0, decrease in acid consumption, increase in the amount of CO2,"
143,143,the change of carbon dioxide in the air,143.0,"147,0,0,0, decrease in oxygen ratio, increase in amount of CO2,"
144,144,"As oxygen decreases, carbon dioxide increases",144.0,"148,1,1,0, decreasing acid consumption rate, increasing amount of CO2,149,0,1,0, lower acid consumption rate, increased amount of CO2,"
145,145,It will be vaporized and stuck in an inner plastic bag.,145.0,"150,0,0,0, oxygen ratio decreased, CO2 increased,"
146,146,There will be more carbon dioxide than oxygen,146.0,"151,1,1,0, lower oxygen consumption, more carbon dioxide.,"
147,147,air is gone,147.0,"152,1,1,0, the oxygen consumption rate decreases, and carbon dioxide increases.,"
148,148,Feel heavy.,148.0,"153,0,1,0, oxygen ratio decreases, carbon dioxide increases.,"
149,149,Oxygen is considered carbon dioxide,149.0,"154,0,1,0, the oxygen consumption rate decreases, and the carbon dioxide ratio increases.,"
150,150,There is a lot of carbon dioxide has increased.,150.0,"155,0,1,0, decreasing the amount of oxygen, increasing the proportion of carbon dioxide.,"
151,151,There is no air.,151.0,"156,0,1,0, the reduction in the amount of oxygen, and the ratio of carbon dioxide increase.,"
152,152,Less oxygen and more carbon dioxide!,152.0,"The ratio of 157,1,0,0, the amount of oxygen decreases, and carbon dioxide increases.,"
153,153,Carbon dioxide and oxygen would be mixed.,153.0,"158,1,1,0, the amount of oxygen decreases, and the concentration of carbon dioxide increases.,"
154,154,The bag will be filled with carbon dioxide,154.0,"159,1,1,0, the quantitative breakdown of oxygen, the concentration of carbon dioxide increases"
155,155,It fills up with carbon dioxide,155.0,"It increases the concentration of 160,1,1,0, the amount of oxygen, and the carbon dioxide.,"
156,156,Carbon dioxide has increased.,156.0,"The concentration of 161,1,1,0,O2 decreases and carbon dioxide increases.,"
157,157,Carbon dioxide has increased,157.0,"162,1,0,0 and O2 decrease, increasing the concentration ratio of carbon dioxide.,"
158,158,I think there's oxygen in the bad air.,158.0,"The 163,0,0,0,O2 ratio decreases, and the concentration ratio of carbon dioxide increases.,"
159,159,Fresh air disappears and carbon dioxide is produced.,159.0,"The ratio of 164,0,0,0,O2 decreases, and the concentration ratio of carbon dioxide increases.,"
160,160,The amount of oxygen decreased and carbon dioxide increased.,160.0,"The ratio of 165, 1, 0, and O2 decreases, and the concentration ratio of carbon dioxide increases.,"
161,161,There's less oxygen and more carbon dioxide,161.0,"Lower ratios of 166,0,0,0, and O2 increase the number of moles of carbon dioxide.,"
162,162,There will be less oxygen and more carbon dioxide in the bag,162.0,"The ratio of 167,0,1,0,O2 decreases, and the number of moles of carbon dioxide increases.,"
163,163,lack of oxygen,163.0,"168,1,1,0,O2 ratio decreases, the number of moles of carbon dioxide increases"
164,164,There's a little air coming out,164.0,"The ratio of 169,1,1,0,O2 decreases, and the amount of carbon dioxide increases.,"
165,165,Not my part-timer;;;,165.0,"The ratio of 170, 1,0,0, and O2 decreases, and the amount of carbon dioxide increases.,"
166,166,"In sacred air, carbon dioxide would have been converted into air.",166.0,"171,0,1,0,O2 ratio decreases, carbon dioxide increase"
167,167,have bad breath,167.0,"The amount of 172,0,1,0,O2 decreases, and carbon dioxide increases.,"
168,168,The air in the bag must have turned stuffy because carbon dioxide was emitted by exhaling.,168.0,"Decrease in the amount of 173,0,0,0 and O2, increase in carbon dioxide ratio"
169,169,"This is because when you breathe, you drink 21% of oxygen in the atmosphere and 0.03% of carbon dioxide, and you exhale 16% of oxygen and 4% of carbon dioxide, which increases the amount of carbon dioxide in the bag.",169.0,"Decreased amount of 174,1,0,O2, increased carbon dioxide ratio"
170,170,Oxygen has decreased and carbon dioxide has increased.,170.0,"Less amount of 175,0,0,1,O2, greater percentage of carbon dioxide"
171,171,Oxygen concentration decreases,171.0,"Quantitative breakdown of 176,0,0,0 and O2, increasing the amount of carbon dioxide"
172,172,There is a lot of carbon dioxide.,172.0,"The amount of 177,0,1,0,O2 increased, the amount of carbon dioxide increased"
173,173,"CO2 is cold, moisture is cold",173.0,"178,0,1,0,o2 reduction, carbon dioxide increase.,179,0,1,0,o2 less, carbon dioxide increases.,"
174,174,"""Getting Air""",174.0,"It decreases the ratio of 180,0,1,0, and o2, and increases carbon dioxide.,"
175,175,"""",175.0,"Decreases the ratio of 181,0,1,0,o2 and increases the ratio of carbon dioxide.,"
176,176,Fresh air disappears,176.0,"Decrease in 182,0,0,0 and o2 ratio, increase in carbon dioxide ratio.,"
177,177,It gets damp and hazy.,177.0,"The ratio of 183,0,0,0,o2 decreases, and the ratio of carbon dioxide increases.,"
178,178,The air disappears,178.0,"The ratio of 184,0,0,0, and o2 decreases, and the ratio of carbon dioxide increases.,"
179,179,There is a lot of carbon dioxide in the plastic bag.,179.0,"The ratio of 185,1,1,0, and o2 decreases, and the concentration of carbon dioxide increases.,"
180,180,Carbon dioxide has increased.,180.0,"The ratio of 186,1,1,0,o2 decreases, the concentration of carbon dioxide increases"
181,181,carbon dioxide is formed,181.0,"The ratio of 187,1,0,1,o2 decreases, and the concentration of carbon dioxide increases.,"
182,182,There is likely to be more carbon dioxide than air.,182.0,"The ratio of 188,0,0,0, and o2 decreases, and the concentration of carbon dioxide increases.,"
183,183,There will be only carbon dioxide left.,183.0,"The concentration ratio of carbon dioxide and the amount of 189,1,0,0 and o2 decreases increases.,"
184,184,I don't know.,184.0,"The amount of 190,1,0, and o2 decreases, and the concentration ratio of carbon dioxide increases.,"
185,185,Outside air entered through the process of opening and closing.,185.0,"The amount reduction of 191,0,0,1,o2 and the concentration ratio of carbon dioxide increase.,"
186,186,It's filled with the breath of air,186.0,"The amount of 192, 0, 0, 0 and o2 decreases, and the concentration ratio of carbon dioxide increases.,"
187,187,Oxygen disappears and carbon dioxide is produced.,187.0,"The quantitative breakdown of 193,0,0,0 and o2 increases the number of moles of carbon dioxide.,"
188,188,Lack of oxygen and high carbon dioxide,188.0,"194,0,0,0, o2 quantifies, increasing the number of moles of carbon dioxide.,"
189,189,Water droplets form. Oxygen is gone.,189.0,"195, 0, 0, 0, gets less oxygen.The number of moles of carbon dioxide increases"
190,190,The volume of air in the bag changes.,190.0,"196,0, 0, 0, oxygen is reduced.The amount of carbon dioxide increases.,"
191,191,Oxygen is reduced,191.0,"197, 1, 0, 0, oxygen decreases.The amount of carbon dioxide increases.,"
192,192,"When we inhale, we inhale oxygen, but when we exhale, we breathe carbon dioxide, so there's carbon dioxide in the bag.",192.0,"The ratio of 198, 0, 1, 0, and oxygen is reduced.,increase in carbon dioxide,"
193,193,It's steaming,193.0,"The ratio of oxygen to 199,0,0,1, increases carbon dioxide.,"
194,194,The air in the bag would have been reduced,194.0,"The ratio of 200, 0, 1, 0, and oxygen decreases.,increase in carbon dioxide proportion"
195,195,It was less than the initial amount of air.,195.0,"201, 1, 1, 0, oxygen ratio decreases, carbon dioxide ratio increases,"
196,196,The air would have been reduced,196.0,"202,0,0,1, oxygen concentrations decrease.,increase in carbon dioxide proportion"
