,Unnamed: 0,2) Why do the constellations change depending on the season?,Unnamed: 0,", q48_spin, q48_spin, q48_spin, 1, q48_spin.1"
102,102,This is because the earth revolves.,102.0,"105,0,1, because the Earth revolves around the sun,"
103,103,This is because the earth revolves.,103.0,"106,1,0, because the earth revolves around the sun,"
104,104,Because the earth rotates,104.0,"This is because the Earth orbits around the sun, 107, 0"
105,105,Because the earth revolves,105.0,"108,0,0, the constellation seen at night changes because the Earth orbits around the sun,"
106,106,"C, d, c, d",106.0,"109,0,1, the constellation seen at night changes because the Earth orbits around the sun"
107,107,I don't know,107.0,"110,0,1, the constellation seen at night changes because the Earth orbits around the sun,"
108,108,The earth rotates,108.0,"111,1,0, because the Earth orbits around the sun, the constellations seen at night change"
109,109,This is because the earth rotates.,109.0,"112,0,1, because the Earth orbits around the sun,"
110,110,"Because the earth is spinning, the constellations are different depending on the season",110.0,"113,1,0, because the Earth revolves around the sun,"
111,111,It is because of the Earth's rotation.,111.0,"Because the Earth orbits around the sun, 114,0, 0"
112,112,be in a whirlwind pace,112.0,"115,0,0, because the Earth revolves around the sun"
113,113,ㅁㄹㅇ,113.0,"116,1,0, because the earth revolves around the sun,"
114,114,God's heart,114.0,"117,0,0, because the Earth revolves around the sun,"
115,115,Because the earth revolves,115.0,"Because the Earth orbits around the sun, 118, 1, 0119, 0, 0 because the Earth revolves around the sun"
116,116,The Earth's position has changed,116.0,"The constellations seen at night are different because of the orbits of 120, 1, 0"
117,117,the revolution of the earth,117.0,"121,0,0 because it orbits, the constellation seen at night changes"
118,118,Because they died then?,118.0,"The constellation seen at night is different because it orbits 122,1,1"
119,119,Because of the revolution of the earth,119.0,"123,0,0, the constellation seen at night changes because the Earth orbits"
120,120,I don't know.,120.0,"124,1,0, the constellation seen at night changes because the Earth orbits"
121,121,Because the earth revolves around,121.0,"125,1,0, because the Earth orbits around the sun, the constellations seen at night change"
122,122,The stars ran away after seeing my beauty,122.0,"126,0,0 because the Earth orbits around the sun, the constellation seen at night changes"
123,123,The earth revolves around,123.0,"127,0,0 because the Earth orbits around the sun, the constellation seen at night changes"
124,124,Because of the revolution of the earth,124.0,"128,1,0, the constellation seen at night is different because of the revolution,"
125,125,.,125.0,"129,0,0 because of the revolution, the constellation you see at night changes"
126,126,That's when-that's different,126.0,"130,1,0, the constellation seen at night changes because it orbits,"
127,127,Because the earth keeps revolving,127.0,"131,1,0, the constellation you see at night changes because it orbits"
128,128,The zodiac signs are different,128.0,"132,1,0, the constellation seen at night changes because it orbits,"
129,129,The earth passed on,129.0,"133,1,0, the constellation you see at night changes because it orbits"
130,130,The earth revolves around,130.0,"134,1,0, the constellations seen at night are different because the earth revolves,"
131,131,Because the Earth and the Sun revolve,131.0,"135,1,0, the constellation you see at night changes because the Earth orbits"
132,132,Because the earth revolves,132.0,"136,1,0, the constellation seen at night changes because the Earth orbits around the sun,"
133,133,This is because the direction of view at night changes as the earth orbits.,133.0,"137,0,1, the constellation seen at night changes because the Earth orbits around the sun"
134,134,Because the earth revolves.,134.0,"138,0,1, the constellation changes because the Earth orbits around the sun,"
135,135,Because the earth revolves,135.0,"139,0,1, the constellation changes because the Earth orbits around the sun"
136,136,Because the earth rotates on its own,136.0,"140,1,0, the constellation changes because the Earth orbits around the sun,"
137,137,"The seasons change as the earth rotates, which changes constellations.",137.0,"141,1,0, the constellation changes because the Earth orbits around the sun"
138,138,on one's bicycle,138.0,"142,1,0, constellations change because of the revolution"
139,139,The earth revolves around,139.0,"143,1,0, the constellation changes because it orbits"
140,140,Because the earth revolves,140.0,"The constellation changes because it orbits 144,1,0"
141,141,"Because the earth turns,",141.0,"145,1,0, the constellation changes because the Earth orbits"
142,142,Because the earth revolves,142.0,"146,1,0, the constellation changes because the Earth orbits"
143,143,This is because the earth revolves around the sun.,143.0,"147,1,0, the constellation changes because the Earth orbits around the sun,"
144,144,Because the earth revolves,144.0,"148,1,0, the constellation changes because the Earth orbits around the sun,149,1,0, the constellation changes because the Earth orbits around the sun,"
145,145,This is because the earth revolves.,145.0,"150,1,0, constellation changes due to orbit,"
146,146,Because the earth revolves,146.0,"151,1,0, the constellation changes because of the revolution"
147,147,Because the earth revolves,147.0,"152, 0, the constellation changes because it orbits"
148,148,The earth revolves around,148.0,"153,0,1, the constellation changes because it orbits"
149,149,This is because the earth revolves.,149.0,"154,0,1, the constellation changes because it orbits"
150,150,Because the earth revolves around the sun,150.0,"155,1,0, the constellation changes because it orbits"
151,151,The stars are different depending on the season,151.0,"156,1,0, the constellation changes because the Earth orbits"
152,152,This is because the earth rotates.,152.0,"157,1,0, the constellation changes because the Earth orbits"
153,153,Because the earth rotates,153.0,"158,1,0, the constellation changes because the Earth orbits around the sun,"
154,154,This is because the earth revolves.,154.0,"159,1,0, the constellation changes because the Earth orbits around the sun"
155,155,This is because the earth revolves.,155.0,"160,0,1,,"
156,156,Because the earth moves,156.0,"161,1,0,,"
157,157,Because the earth revolves.,157.0,"162,0,1,,"
158,158,the earth and the earthJeon,158.0,"163,1,0,,"
159,159,Because the earth rotates,159.0,"164,0,0,,"
160,160,the revolution of the earth,160.0,"165,1,0,,"
161,161,It's because the earth rotates,161.0,"166,1,0,,"
162,162,Because the earth revolves,162.0,"167,1,0,,"
163,163,ㅐ,163.0,"168,1,0,,"
164,164,It is because of the revolution of the earth.,164.0,"169,0,0,,"
165,165,"""",165.0,"170,1,1,,"
166,166,"Because of the revolution of the earth,",166.0,"171,1,0,,"
167,167,Because the earth revolves,167.0,"172,1,0,,"
168,168,Because the earth revolves around the sun.,168.0,"173,1,1,,"
169,169,Because the seasons change,169.0,"174,1,0,,"
170,170,Because the earth revolves and rotates,170.0,"175,0,1,,"
171,171,The earth revolves around,171.0,"176,1,0,,"
172,172,Because of the revolution of the earth,172.0,"177,1,0,,"
173,173,Because the earth rotates and revolves,173.0,"178,1,0,,179,1,0,,"
174,174,Because the earth revolves around and the position of the earth changes,174.0,"180,1,0,,"
175,175,Because of the Earth's rotation,175.0,"181,1,0,,"
176,176,"The earth revolves around, and the sky is different",176.0,"182,0,1,,"
177,177,This is because the earth revolves around the sun.,177.0,"183,1,1,,"
178,178,the revolution of the earth,178.0,"184,1,0,,"
179,179,This is because the earth revolves.,179.0,"185,1,0,,"
180,180,This is because the celestial body moves around as the earth orbits. (Because the position of stars on the sky changes),180.0,"186,1,0,,"
181,181,This is because the earth revolves.,181.0,"187,1,0,,"
182,182,Because the earth rotates.,182.0,"188,1,0,,"
183,183,Because the earth revolves around,183.0,"189,1,1,,"
184,184,This is because the position changes as the Earth orbits around the sun.,184.0,"190,0,0,,"
185,185,"Because of the revolution of the earth,",185.0,"191,1,0,,"
186,186,Because the earth is spinning and spinning,186.0,"192,1,0,,"
187,187,Because the earth revolves,187.0,"193,1,0,,"
188,188,Because the earth revolves,188.0,"194,1,0,,"
189,189,Because the earth is spinning,189.0,"195,1,0,,"
190,190,with the moon spinning,190.0,"196,1,1,,"
191,191,The earth revolves around,191.0,"197,1,0,,"
192,192,Because the earth revolves.,192.0,"198,1,0,,"
193,193,The earth revolves around,193.0,"199,1,0,,"
194,194,Because the earth revolves,194.0,"200,1,0,,"
195,195,Because the earth revolves around the sun,195.0,"201,1,0,,"
196,196,This is because the earth revolves and rotates.,196.0,"202,1,0,,"
197,197,"Because the earth revolves.Because the earth revolves around the sun,",197.0,"203,1,0,,"
198,198,This is because the earth revolves.,198.0,"204,0,1,,"
199,199,Because the earth revolves,199.0,"205,0,1,,"
200,200,This is because the earth is orbiting from west to east.,200.0,"206,1,0,,"
201,201,We're doing justice to the Earth's sun,201.0,"207,1,0,,"
202,202,The earth turns...,202.0,"208,1,0,,209,1,0,,"
203,203,Because the earth rotates once a year.,203.0,"210,1,0,,"
204,204,the rotation of the earth,204.0,"211,0,0,,"
205,205,It is because of the revolution of the earth.,205.0,"212,1,0,,"
206,206,the revolution of the earth,206.0,"213,1,0,,"
207,207,This is because the earth revolves.,207.0,"214,0,0,,"
208,208,Because the earth revolves,208.0,"215,1,0,,"
209,209,Because the earth revolves,209.0,"216,1,0,,"
210,210,.,210.0,"217,1,1,,"
211,211,The Earth revolves around solarism,211.0,"218,1,0,,"
212,212,The earth revolves according to the season,212.0,"219,1,0,,"
213,213,My eyesight is different,213.0,"220,0,0,,"
214,214,The earth is spinning,214.0,"221,0,1,,"
215,215,Because the earth revolves around the sun,215.0,"222,1,0,,"
216,216,This is because the earth revolves and rotates.,216.0,"223,1,0,,"
217,217,This is because the earth revolves.,217.0,"224,1,0,,"
218,218,This is because the earth revolves.,218.0,"225,1,0,,"
219,219,Because the months go up and down from season to season?,219.0,"226,0,1,,"
220,220,This is because the sky that the Earth can see changes as it rotates.,220.0,"227,0,1,,"
221,221,This is because the earth revolves around the sun.,221.0,"228,0,0,,"
222,222,This is because the earth revolves.,222.0,"229,1,0,,"
223,223,The reason why constellations vary from season to season is because of the Earth's orbit and the movement of the sun.,223.0,"230,1,0,,"
224,224,"Because of the revolution of the earth,",224.0,"231,1,0,,"
225,225,It's a lump when the earth rotates,225.0,"232,1,0,,"
226,226,It is because the earth rotates,226.0,"233,1,1,,"
227,227,"This is because when we look at the sky at the point where we can see the stars, the range of stars that we see varies from season to season",227.0,"234,0,1,,"
228,228,the revolution,228.0,"235,0,0,,"
229,229,Because the earth revolves,229.0,"236,0,0,,"
230,230,It's because of course,230.0,"237,1,0,,"
231,231,The reason why constellations vary from season to season is because of the Earth's orbit and the movement of the sun.,231.0,"238,0,0,,239,0,0,,"
232,232,as the earth rotates and revolves and revolves,232.0,"240,0,0,,"
233,233,This is because the earth rotates.,233.0,"241,0,0,,"
234,234,The stars that shine in the seasons are different,234.0,"242,1,0,,"
235,235,The sun changes,235.0,"243,0,0,,"
236,236,The earth is spinning,236.0,"244,0,0,,"
237,237,Because the stars are moving.,237.0,"245,0,0,,"
238,238,Because the stars moved.,238.0,"246,0,0,,"
239,239,The stars moved,239.0,"247,0,0,,"
240,240,The stars are different from time to time,240.0,"248,0,0,,"
241,241,"Because the earth rotates every season, the stars spin at night.",241.0,"249,1,0,,"
242,242,"It's because you look at the date, time, etc. differently.",242.0,"250,1,0,,"
243,243,Because each zodiac sign has a different location?,243.0,"251,1,0,,"
244,244,This is because constellations keep moving.,244.0,"252,1,0,,"
245,245,It depends on the season.,245.0,"253,0,0,,"
246,246,I don't know.,246.0,"254,0,1,,"
247,247,The Nash is different,247.0,"255,0,1,,"
248,248,Because the earth is moving,248.0,"256,1,1,,"
249,249,Because the earth revolves,249.0,"257,1,0,,"
250,250,Because the earth revolves,250.0,"258,1,0,,"
251,251,The earth revolves around the sun,251.0,"259,1,0,,"
252,252,Move it,252.0,"260,1,0,,"
253,253,Because the earth rotates,253.0,"261,1,0,,"
254,254,Because the earth is spinning,254.0,"262,1,0,,"
255,255,Because the earth rotates and revolves,255.0,"263,1,0,,"
256,256,The earth is spinning,256.0,"264,0,0,,"
257,257,Earth revolves around the sun and sees many stars,257.0,"265,1,0,,"
258,258,Because the earth revolves,258.0,"266,1,0,,"
259,259,Because the earth revolves,259.0,"267,1,0,,"
260,260,Because of the unprecedented situation,260.0,"268,1,0,,269,0,0,,"
261,261,This is because the earth revolves around the sun.,261.0,"270,0,0,,"
262,262,The constellations change because the earth revolves,262.0,"271,1,1,,"
263,263,God's will,263.0,"272,1,0,,"
264,264,Because the earth revolves.,264.0,"273,1,0,,"
265,265,This is because the earth revolves around the sun.,265.0,"274,1,0,,"
266,266,Because the earth revolves,266.0,"275,1,0,,"
267,267,"The Earth revolves around the sun, so constellations look different.",267.0,"276,1,0,,"
268,268,This is because the earth revolves.,268.0,"277,1,0,,"
269,269,"This is because the earth moves along the ecliptic, and the stars that can be seen at that time change.",269.0,"278,1,1,,"
270,270,Because the earth rotates and revolves,270.0,"279,1,0,,"
271,271,This is because the earth revolves.,271.0,"280,1,0,,"
272,272,The stars seen vary depending on the Earth's orbital period.,272.0,"281,1,0,,"
273,273,the revolution,273.0,"282,1,0,,"
274,274,This is because the earth revolves.,274.0,"283,1,0,,"
275,275,The earth revolves around and constellations vary depending on the zodiacal zodiacal zodiacal zodiacal zodiacal zodiac,275.0,"284,1,0,,"
276,276,Because the earth revolves around the sun,276.0,"285,0,1,,"
277,277,It's because the earth revolves around,277.0,"286,0,0,,"
278,278,This is because the earth revolves around the sun.,278.0,"287,1,0,,"
279,279,This is because the earth revolves.,279.0,"288,1,0,,"
280,280,"Because the Earth orbits around the sun, the constellations change because the positions of the stars change.",280.0,"289,0,1,,"
281,281,The earth revolves around,281.0,"290,1,0,,"
282,282,Because the earth revolves,282.0,"291,1,0,,"
283,283,It changes the way you see the stars,283.0,"292,1,0,,"
284,284,This is because the earth rotates.,284.0,"293,1,0,,"
285,285,the zodiac,285.0,"294,1,0,,"
286,286,the earth turns round,286.0,"295,1,0,,"
287,287,"Because of the revolution of the earth,",287.0,"296,0,0,,"
288,288,on one's rotation,288.0,"297,0,0,,"
289,289,The earth revolves around,289.0,"298,0,0,,299,1,0,,"
290,290,Because the earth revolves,290.0,"300,0,1,,"
291,291,Because the earth revolves,291.0,"301,1,0,,"
292,292,Because the earth revolves,292.0,"302,1,0,,"
293,293,Because the earth revolves,293.0,"303,1,0,,"
294,294,the revolution,294.0,"304,0,0,,"
295,295,I don't know.,295.0,"305,1,0,,"
296,296,on the tilt of the earththe time difference between the two sides of the sun,296.0,"306,1,0,,"
297,297,This is because the earth revolves.,297.0,"307,1,0,,"
298,298,It is because the earth rotates,298.0,"308,1,0,,"
299,299,"The Earth revolves around the sun, but the stars behind the sun cannot be seen, so the constellations seen vary depending on the change of seasons change.",299.0,"309,1,0,,"
300,300,This is because the earth revolves.,300.0,"310,1,0,,"
301,301,It's because of the revolution.,301.0,"311,1,0,,"
302,302,I don't know.,302.0,"312,1,0,,"
303,303,Because the earth revolves,303.0,"313,0,1,,"
304,304,This is because the earth revolves around the sun.,304.0,"314,1,0,,"
305,305,This is because the earth revolves.,305.0,"315,1,1,,"
306,306,The sun goes around and the earth goes around,306.0,"316,0,0,,"
307,307,It's because of course,307.0,"317,1,0,,"
308,308,the earth turns round,308.0,"318,1,0,,"
309,309,This is because the Earth orbits and the point of view of stars varies from cycle to cycle.,309.0,"319,1,0,,"
310,310,The earth revolves around,310.0,"320,1,0,,"
311,311,This is because the earth rotates around the sun.,311.0,"321,1,0,,"
312,312,This is because the earth revolves.,312.0,"322,1,0,,"
313,313,"Because of the rotation and revolution of the earth,",313.0,"323,1,0,,"
314,314,It's because the weather is different from season,314.0,"324,0,0,,"
315,315,Because the earth moves around the sun,315.0,"325,1,0,,"
316,316,"Since the earth is spinning,",316.0,"326,1,0,,"
317,317,Because the earth revolves,317.0,"327,1,0,,"
318,318,"Because the earth revolves around the sun,",318.0,"328,1,0,,329,1,0,,"
319,319,Because the earth revolves,319.0,"330,1,0,,"
320,320,the revolution of the earth,320.0,"331,1,0,,"
321,321,the revolution of the earth,321.0,"332,0,1,,"
322,322,h,322.0,"333,1,0,,"
323,323,It is because the earth is orbiting.,323.0,"334,1,0,,"
324,324,It changes because the earth revolves,324.0,"335,0,0,,"
325,325,Because the earth revolves,325.0,"336,1,0,,"
326,326,This is because the earth revolves.,326.0,"337,0,0,,"
327,327,"Because of the revolution of the earth,",327.0,"338,0,0,,"
328,328,This is because the earth revolves.,328.0,"339,0,0,,"
329,329,"Depending on the orbit of the sun, the position of the Earth and the direction of the universe at night are different",329.0,"340,1,0,,"
330,330,It is because of the rotation of the earth,330.0,"341,0,0,,"
331,331,The earth revolves around,331.0,"342,1,0,,"
332,332,Because of the empty space,332.0,"343,0,0,,"
333,333,Because the weather is different,333.0,"344,0,0,,"
334,334,The earth goes around the sun for a year and cannot see the stars.,334.0,"345,0,0,,"
335,335,I don't know,335.0,"346,1,0,,"
336,336,I don't know,336.0,"347,0,0,,"
337,337,The stars are still moving,337.0,"348,0,1,,"
338,338,It is because the earth rotates.,338.0,"349,0,0,,"
339,339,yes,339.0,"350,0,0,,"
340,340,This is because the Earth continues to orbit the sun 365 days a year.,340.0,"351,0,0,,"
341,341,ㅈ,341.0,"352,0,0,,"
342,342,The season has changed. Yes,342.0,"353,0,0,,"
343,343,The earth looks different once it goes around,343.0,"354,1,0,,"
344,344,"Because the Earth orbits once a year, stars do not move, so different stars can be seen every time.",344.0,"355,0,1,,"
345,345,It's far away,345.0,"356,0,0,,"
346,346,This is because the earth turns left.,346.0,"357,1,0,,"
347,347,"Stars are the branches of our Earth, and the shapes of the stars change around different systems.",347.0,"358,1,0,,359,1,0,,"
348,348,I don't know,348.0,"360,1,0,,"
349,349,I don't know,349.0,"361,1,0,,"
350,350,I don't know,350.0,"362,1,0,,"
351,351,Because all the zodiac signs are different,351.0,"363,0,0,,"
352,352,The Earth is circling the sun because constellations are divided according to each season.,352.0,"364,1,0,,"
353,353,The direction changes as you rotate,353.0,"365,1,0,,"
354,354,Because the earth moves,354.0,"366,0,0,,"
355,355,The earth revolves around the sun,355.0,"367,1,0,,"
356,356,Because the earth revolves.,356.0,"368,0,0,,"
357,357,"Because the earth revolves around the sun,",357.0,"369,0,0,,"
358,358,Because the earth revolves,358.0,"370,0,0,,"
359,359,The earth revolves around,359.0,"371,1,0,,"
360,360,The earth revolves around,360.0,"372,0,0,,"
361,361,Shuhua-ㅊ혀7ㅏ tongue 77ㅇㅅㅛㅇㄴㅊㅕㅅ하ㅇ-셔,361.0,"373,1,0,,"
362,362,Because the earth revolves,362.0,"374,1,0,,"
363,363,Because the earth revolves,363.0,"375,0,0,,"
364,364,ㅇㅈㄳㅂ,364.0,"376,1,0,,"
365,365,"As the Earth orbits the sun, the position of the Earth's rotation varies from season to season",365.0,"377,1,0,,"
366,366,I don't know.,366.0,"378,0,0,,"
367,367,h,367.0,"379,1,0,,"
368,368,h,368.0,"380,1,0,,"
369,369,"The Earth revolves around the sun, so the constellations seen by season change.",369.0,"381,0,0,,"
370,370,The earth revolves or rotates,370.0,"382,0,1,,"
371,371,"Because the earth is tilted 45 degrees with its axis of rotation,",371.0,"383,1,0,,"
372,372,in a whirl,372.0,"384,0,1,,"
373,373,h,373.0,"385,0,1,,"
374,374,Because the earth revolves around the sun,374.0,"386,1,0,,"
375,375,The earth revolves around,375.0,"387,0,1,,"
376,376,The angle is different,376.0,"388,0,1,,389,1,0,,"
377,377,This is because the earth revolves around the sun.,377.0,"390,1,0,,"
378,378,Because the earth is moving,378.0,"391,0,1,,"
379,379,The boys' middle school is different,379.0,"392,0,1,,"
380,380,Because the earth rotates,380.0,"393,0,1,,"
381,381,the revolution of the earth,381.0,"394,1,0,,"
382,382,The earth rotates,382.0,"395,0,1,,"
383,383,Because the earth rotates,383.0,"396,0,1,,"
384,384,The earth's doctor is spinning,384.0,"397,1,0,,"
385,385,The stars keep moving and the earth keeps spinning,385.0,"398,0,1,,"
386,386,This is because the earth rotates.,386.0,"399,1,0,,"
387,387,Because the earth revolves,387.0,"400,1,1,,"
388,388,Because the earth is spinning.,388.0,"401,1,0,,"
389,389,Because the earth rotates.,389.0,"402,0,0,,"
390,390,The earth is spinning,390.0,"403,0,1,,"
391,391,Because the earth rotates,391.0,"404,0,1,,"
392,392,This is because the earth revolves around and constellations are different from season to season,392.0,"405,0,0,,"
